County Name,Org. Code,Organization Name,School Code,School Name / Category (include or exclude alternative schools),Total Pupil Count,Total Dropouts,Total Dropout Rate,Black Or Aftican American Pupil Count,Hispanic or Latino Pupil Count,White Pupil Count
,,,,,,,,,,
 ,9999,STATE TOTAL,9999,STATE GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),30816,4736,0.1537,1792,15214,11940
 ,9999,STATE TOTAL,9999,STATE GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),434363,4541,0.0105,20473,144151,233272
 ,9999,STATE TOTAL,9999,STATE GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),465179,9277,0.0199,22265,159365,245212
ADAMS,0010,Mapleton 1,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,851,9,0.0106,21,618,170
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,289,5,0.0173,2,208,59
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,286,10,0.0350,3,260,18
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,516,21,0.0407,9,430,51
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,121,0,0.0000,4,104,10
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,115,0,0.0000,1,92,20
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,438,1,0.0023,3,371,36
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,136,0,0.0000,8,105,13
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,121,0,0.0000,0,101,11
ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,249,10,0.0402,1,183,46
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,2451,105,0.0428,81,529,1600
ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,132,2,0.0152,2,123,6
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,118,31,0.2627,1,85,27
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,134,1,0.0075,0,109,24
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),117,31,0.2650,1,84,27
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),5643,164,0.0291,130,3084,2027
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),5760,195,0.0339,131,3168,2054
ADAMS,0020,Adams 12 Five Star Schools,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,874,0,0.0000,18,176,596
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,658,37,0.0562,17,414,201
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,700,1,0.0014,12,227,387
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,732,0,0.0000,5,82,467
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,2261,13,0.0057,36,636,1395
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,146,0,0.0000,4,16,90
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,860,0,0.0000,18,457,316
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4699,NEW AMERICA SCHOOL - THORNTON,474,134,0.2827,4,434,28
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,2691,15,0.0056,31,617,1767
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,789,2,0.0025,33,626,99
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,2124,70,0.0330,84,1450,453
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,2299,14,0.0061,52,844,1246
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,701,0,0.0000,5,306,324
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,678,1,0.0015,9,469,167
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,2475,40,0.0162,63,1627,627
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,773,0,0.0000,4,91,595
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,643,93,0.1446,24,349,245
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,111,0,0.0000,0,16,81
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,329,0,0.0000,3,237,77
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8814,THUNDER VISTA P-8,117,0,0.0000,0,12,88
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,224,0,0.0000,2,52,144
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,832,0,0.0000,17,181,565
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),1651,264,0.1599,42,1118,437
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),18785,156,0.0083,370,7609,9160
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),20436,420,0.0206,412,8727,9597
ADAMS,0030,Adams County 14,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ADAMS,0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,639,10,0.0156,11,547,61
ADAMS,0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,386,121,0.3135,13,317,49
ADAMS,0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,2161,115,0.0532,58,1844,212
ADAMS,0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,653,5,0.0077,18,559,69
ADAMS,0030,ADAMS COUNTY 14,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),379,121,0.3193,13,310,49
ADAMS,0030,ADAMS COUNTY 14,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),3323,130,0.0391,82,2839,328
ADAMS,0030,ADAMS COUNTY 14,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),3702,251,0.0678,95,3149,377
ADAMS,0040,School District 27J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ADAMS,0040,SCHOOL DISTRICT 27J,0700,BELLE CREEK CHARTER SCHOOL,171,0,0.0000,5,90,67
ADAMS,0040,SCHOOL DISTRICT 27J,1021,Brighton Heritage Academy,379,44,0.1161,8,218,142
ADAMS,0040,SCHOOL DISTRICT 27J,1022,BRIGHTON HIGH SCHOOL,2138,51,0.0239,27,1100,910
ADAMS,0040,SCHOOL DISTRICT 27J,1052,BROMLEY EAST CHARTER SCHOOL,342,0,0.0000,2,121,203
ADAMS,0040,SCHOOL DISTRICT 27J,1560,BOLT ACADEMY,95,3,0.0316,0,37,53
ADAMS,0040,SCHOOL DISTRICT 27J,2399,EAGLE RIDGE ACADEMY,597,2,0.0034,14,254,299
ADAMS,0040,SCHOOL DISTRICT 27J,2945,FOUNDATIONS ACADEMY,186,1,0.0054,3,80,99
ADAMS,0040,SCHOOL DISTRICT 27J,4950,LANDMARK ACADEMY AT REUNION,184,1,0.0054,8,61,104
ADAMS,0040,SCHOOL DISTRICT 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,552,0,0.0000,6,324,185
ADAMS,0040,SCHOOL DISTRICT 27J,6702,OTHO E STUART MIDDLE SCHOOL,645,0,0.0000,32,292,262
ADAMS,0040,SCHOOL DISTRICT 27J,7129,PRAIRIE VIEW HIGH SCHOOL,2212,41,0.0185,72,1002,960
ADAMS,0040,SCHOOL DISTRICT 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,572,0,0.0000,7,317,213
ADAMS,0040,SCHOOL DISTRICT 27J,7340,RIVERDALE RIDGE HIGH SCHOOL,784,1,0.0013,14,343,361
ADAMS,0040,SCHOOL DISTRICT 27J,7351,RODGER QUIST MIDDLE SCHOOL,520,0,0.0000,9,195,263
ADAMS,0040,SCHOOL DISTRICT 27J,9230,VIKAN MIDDLE SCHOOL,534,1,0.0019,7,360,148
ADAMS,0040,SCHOOL DISTRICT 27J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),354,44,0.1243,8,200,135
ADAMS,0040,SCHOOL DISTRICT 27J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),8567,101,0.0118,190,4041,3761
ADAMS,0040,SCHOOL DISTRICT 27J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),8921,145,0.0163,198,4241,3896
ADAMS,0050,Bennett 29J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ADAMS,0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,192,0,0.0000,3,61,119
ADAMS,0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,395,4,0.0101,2,116,264
ADAMS,0050,Bennett 29J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),0,0,#DIV/0!,0,0,0
ADAMS,0050,BENNETT 29J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),586,4,0.0068,5,177,382
ADAMS,0050,BENNETT 29J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),586,4,0.0068,5,177,382
ADAMS,0060,Strasburg 31J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ADAMS,0060,STRASBURG 31J,7133,PRAIRIE CREEK HIGH SCHOOL,20,1,0.0500,0,4,15
ADAMS,0060,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,151,0,0.0000,0,33,111
ADAMS,0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,364,0,0.0000,1,71,279
ADAMS,0060,STRASBURG 31J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),20,1,0.0500,0,4,15
ADAMS,0060,STRASBURG 31J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),509,0,0.0000,1,104,385
ADAMS,0060,STRASBURG 31J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),529,1,0.0019,1,108,400
ADAMS,0070,Westminster Public Schools,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,3931,HIDDEN LAKE HIGH SCHOOL,565,76,0.1345,11,434,95
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,4334,COLORADO STEM ACADEMY,115,0,0.0000,2,61,47
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,398,0,0.0000,6,332,45
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,7305,IVER C. RANUM MIDDLE SCHOOL,557,10,0.0180,11,462,52
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,7812,SHAW HEIGHTS MIDDLE SCHOOL,449,6,0.0134,8,318,88
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9236,WESTMINSTER ACADEMY FOR INTERNATIONAL STUDIES,49,0,0.0000,1,37,10
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9466,WESTMINSTER HIGH SCHOOL,2877,46,0.0160,37,2201,412
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),564,76,0.1348,11,434,94
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),4312,62,0.0144,62,3303,636
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),4876,138,0.0283,73,3737,730
ALAMOSA,0100,Alamosa RE-11J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ALAMOSA,0100,ALAMOSA RE-11J,0114,ORTEGA MIDDLE SCHOOL,401,2,0.0050,2,259,119
ALAMOSA,0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,690,8,0.0116,7,422,224
ALAMOSA,0100,ALAMOSA RE-11J,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,111,12,0.1081,3,80,18
ALAMOSA,0100,ALAMOSA RE-11J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),103,12,0.1165,3,74,16
ALAMOSA,0100,ALAMOSA RE-11J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),1060,10,0.0094,9,660,337
ALAMOSA,0100,ALAMOSA RE-11J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),1163,22,0.0189,12,734,353
ALAMOSA,0110,Sangre De Cristo Re-22J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ALAMOSA,0110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,156,0,0.0000,2,53,92
ALAMOSA,0110,Sangre De Cristo Re-22J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),0,0,#DIV/0!,0,0,0
ALAMOSA,0110,SANGRE DE CRISTO RE-22J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),156,0,0.0000,2,53,92
ALAMOSA,0110,SANGRE DE CRISTO RE-22J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),156,0,0.0000,2,53,92
ARAPAHOE,0120,Englewood 1,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ARAPAHOE,0120,ENGLEWOOD 1,0206,COLORADO'S FINEST HIGH SCHOOL OF CHOICE,405,44,0.1086,8,124,257
ARAPAHOE,0120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,637,14,0.0220,19,295,282
ARAPAHOE,0120,ENGLEWOOD 1,2750,ENGLEWOOD LEADERSHIP ACADEMY,46,0,0.0000,0,13,31
ARAPAHOE,0120,ENGLEWOOD 1,2752,ENGLEWOOD MIDDLE SCHOOL,363,1,0.0028,15,161,166
ARAPAHOE,0120,ENGLEWOOD 1,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),404,44,0.1089,8,124,256
ARAPAHOE,0120,ENGLEWOOD 1,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),1032,15,0.0145,34,463,471
ARAPAHOE,0120,ENGLEWOOD 1,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),1436,59,0.0411,42,587,727
ARAPAHOE,0123,Sheridan 2,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,#DIV/0!,0,0,0
ARAPAHOE,0123,SHERIDAN 2,7837,FORT LOGAN NORTHGATE,245,1,0.0041,8,189,29
ARAPAHOE,0123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,420,4,0.0095,24,316,53
ARAPAHOE,0123,SHERIDAN 2,8123,SOAR ACADEMY,161,44,0.2733,6,120,26
ARAPAHOE,0123,SHERIDAN 2,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),160,44,0.2750,5,120,26
ARAPAHOE,0123,SHERIDAN 2,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),640,5,0.0078,32,487,77
ARAPAHOE,0123,SHERIDAN 2,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),800,49,0.0613,37,607,103
ARAPAHOE,0130,CHERRY CREEK 5,0000,SUMMER SCHOOL DROPOUTS,14,14,1.0000,3,4,5
ARAPAHOE,0130,CHERRY CREEK 5,0018,LIBERTY MIDDLE SCHOOL,864,6,0.0069,86,151,464
ARAPAHOE,0130,CHERRY CREEK 5,0141,SKY VISTA MIDDLE SCHOOL,608,0,0.0000,82,128,293
ARAPAHOE,0130,CHERRY CREEK 5,1510,CHALLENGE SCHOOL,147,1,0.0068,25,13,70
ARAPAHOE,0130,CHERRY CREEK 5,1551,CHEROKEE TRAIL HIGH SCHOOL,3075,24,0.0078,310,491,1761
ARAPAHOE,0130,CHERRY CREEK 5,1566,CAMPUS MIDDLE SCHOOL,1108,4,0.0036,38,139,666
ARAPAHOE,0130,CHERRY CREEK 5,1568,WEST MIDDLE SCHOOL,946,4,0.0042,16,153,673
ARAPAHOE,0130,CHERRY CREEK 5,1570,CHERRY CREEK HIGH SCHOOL,4033,50,0.0124,135,531,2642
ARAPAHOE,0130,CHERRY CREEK 5,1571,CHERRY CREEK CHARTER ACADEMY,124,0,0.0000,11,7,77
