COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",SCHOOL CODE,SCHOOL NAME,PK-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,0951,BLUE HERON ELEMENTARY SCHOOL,528,66,20,418,86,12.50%,3.79%,0.1629
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,0952,BRADFORD INTERMEDIATE SCHOOL,330,6,7,317,13,1.82%,2.12%,0.0394
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,0965,BRADY EXPLORATION SCHOOL,280,136,25,106,161,48.57%,8.93%,0.5750
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1238,CAMPBELL ELEMENTARY SCHOOL,327,114,32,181,146,34.86%,9.79%,0.4465
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1318,CARMODY MIDDLE SCHOOL,587,222,66,299,288,37.82%,11.24%,0.4906
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1451,ADDENBROOKE CLASSICAL ACADEMY,223,55,28,139,83,24.66%,12.56%,0.3722
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1522,CHATFIELD HIGH SCHOOL,"1,863",161,91,"1,608",252,8.64%,4.88%,0.1353
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1730,COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,148,18,5,125,23,12.16%,3.38%,0.1554
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1790,COLOROW ELEMENTARY SCHOOL,235,57,21,157,78,24.26%,8.94%,0.3319
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1861,COLUMBINE HILLS ELEMENTARY SCHOOL,423,81,45,283,126,19.15%,10.64%,0.2979
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1864,COLUMBINE HIGH SCHOOL,"1,690",241,121,"1,327",362,14.26%,7.16%,0.2142
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1869,COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,283,15,6,210,21,5.30%,2.12%,0.0742
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1876,CORONADO ELEMENTARY SCHOOL,628,56,32,510,88,8.92%,5.10%,0.1401
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1880,COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,403,43,19,304,62,10.67%,4.71%,0.1538
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1886,CONIFER SENIOR HIGH SCHOOL,814,77,33,701,110,9.46%,4.05%,0.1351
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,1976,CREIGHTON MIDDLE SCHOOL,677,318,61,297,379,46.97%,9.01%,0.5598
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2093,DAKOTA RIDGE SENIOR HIGH SCHOOL,"1,540",135,80,"1,322",215,8.77%,5.19%,0.1396
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2120,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,"1,018",31,28,959,59,3.05%,2.75%,0.0580
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2130,DEER CREEK MIDDLE SCHOOL,630,46,22,562,68,7.30%,3.49%,0.1079
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2194,DEVINNY ELEMENTARY SCHOOL,545,42,16,487,58,7.71%,2.94%,0.1064
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2288,DRAKE JUNIOR HIGH SCHOOL,656,110,39,507,149,16.77%,5.95%,0.2271
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2300,DUNSTAN MIDDLE SCHOOL,615,125,54,435,179,20.33%,8.78%,0.2911
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2322,DUTCH CREEK ELEMENTARY SCHOOL,317,78,49,190,127,24.61%,15.46%,0.4006
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2496,EDGEWATER ELEMENTARY SCHOOL,515,411,35,62,446,79.81%,6.80%,0.8660
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2550,EIBER ELEMENTARY SCHOOL,449,371,42,32,413,82.63%,9.35%,0.9198
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2616,ELK CREEK ELEMENTARY SCHOOL,292,36,14,241,50,12.33%,4.79%,0.1712
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2799,EXCEL ACADEMY CHARTER SCHOOL,518,65,21,431,86,12.55%,4.05%,0.1660
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2820,EVERITT MIDDLE SCHOOL,347,189,44,113,233,54.47%,12.68%,0.6715
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2832,EVERGREEN MIDDLE SCHOOL,717,43,21,652,64,6.00%,2.93%,0.0893
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2836,EVERGREEN HIGH SCHOOL,"1,013",44,27,940,71,4.34%,2.67%,0.0701
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2866,FAIRMOUNT ELEMENTARY SCHOOL,666,44,9,613,53,6.61%,1.35%,0.0796
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2946,FITZMORRIS ELEMENTARY SCHOOL,357,145,30,164,175,40.62%,8.40%,0.4902
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,2963,FALCON BLUFFS MIDDLE SCHOOL,613,62,30,520,92,10.11%,4.89%,0.1501
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3025,FOOTHILLS ELEMENTARY SCHOOL,346,159,40,142,199,45.95%,11.56%,0.5751
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3088,FOSTER ELEMENTARY SCHOOL,526,335,35,142,370,63.69%,6.65%,0.7034
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3099,FAMILY LITERACY PRESCHOOL,13,1,0,12,1,7.69%,0.00%,0.0769
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3201,FREE HORIZON MONTESSORI CHARTER SCHOOL,379,41,19,250,60,10.82%,5.01%,0.1583
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3216,FREMONT ELEMENTARY SCHOOL,351,115,24,212,139,32.76%,6.84%,0.3960
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3250,NORMA ANDERSON PRESCHOOL,129,5,0,85,5,3.88%,0.00%,0.0388
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3450,GLENNON HEIGHTS ELEMENTARY SCHOOL,226,105,27,94,132,46.46%,11.95%,0.5841
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3502,GOLDEN HIGH SCHOOL,"1,301",228,76,982,304,17.52%,5.84%,0.2337
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3536,GOVERNOR'S RANCH ELEMENTARY SCHOOL,426,34,22,370,56,7.98%,5.16%,0.1315
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3622,GREEN GABLES ELEMENTARY SCHOOL,299,68,12,219,80,22.74%,4.01%,0.2676
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3624,GREEN MOUNTAIN ELEMENTARY SCHOOL,495,157,51,246,208,31.72%,10.30%,0.4202
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3628,GREEN MOUNTAIN HIGH SCHOOL,"1,116",196,68,846,264,17.56%,6.09%,0.2366
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,3726,HACKBERRY HILL ELEMENTARY SCHOOL,503,103,39,361,142,20.48%,7.75%,0.2823
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4190,HUTCHINSON ELEMENTARY SCHOOL,417,43,18,356,61,10.31%,4.32%,0.1463
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4402,JEFFERSON ACADEMY CHARTER SCHOOL,692,63,35,594,98,9.10%,5.06%,0.1416
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4404,JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL,812,36,16,754,52,4.43%,1.97%,0.0640
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4408,JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,365,35,9,287,44,9.59%,2.47%,0.1205
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4410,JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,404,28,24,352,52,6.93%,5.94%,0.1287
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4411,JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY K-6,33,12,1,20,13,36.36%,3.03%,0.3939
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4422,JEFFERSON HIGH SCHOOL,489,367,47,67,414,75.05%,9.61%,0.8466
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4478,SHERIDAN GREEN ELEMENTARY SCHOOL,420,95,26,285,121,22.62%,6.19%,0.2881
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4548,KEN CARYL MIDDLE SCHOOL,652,97,55,499,152,14.88%,8.44%,0.2331
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4549,KENDALLVUE ELEMENTARY SCHOOL,501,99,36,334,135,19.76%,7.19%,0.2695
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4550,KENDRICK LAKES ELEMENTARY SCHOOL,442,80,34,316,114,18.10%,7.69%,0.2579
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4798,CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON CAMPUS,34,17,3,9,20,50.00%,8.82%,0.5882
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4802,KULLERSTRAND ELEMENTARY SCHOOL,206,130,30,46,160,63.11%,14.56%,0.7767
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4830,KYFFIN ELEMENTARY SCHOOL,556,42,19,495,61,7.55%,3.42%,0.1097
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,4942,LAKEWOOD HIGH SCHOOL,"2,124",539,149,"1,415",688,25.38%,7.02%,0.3239
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5004,LASLEY ELEMENTARY SCHOOL,511,357,61,93,418,69.86%,11.94%,0.8180
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5024,LAWRENCE ELEMENTARY SCHOOL,364,198,54,112,252,54.40%,14.84%,0.6923
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5036,LEAWOOD ELEMENTARY SCHOOL,418,62,16,320,78,14.83%,3.83%,0.1866
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5145,LINCOLN CHARTER ACADEMY,656,97,39,485,136,14.79%,5.95%,0.2073
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5222,LITTLE ELEMENTARY SCHOOL,406,208,45,153,253,51.23%,11.08%,0.6232
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5350,LUKAS ELEMENTARY SCHOOL,528,106,45,377,151,20.08%,8.52%,0.2860
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5354,LUMBERG ELEMENTARY SCHOOL,552,431,35,86,466,78.08%,6.34%,0.8442
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,5415,ROCKY MOUNTAIN DEAF SCHOOL,71,21,3,47,24,29.58%,4.23%,0.3380
