COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",SCHOOL CODE,SCHOOL NAME, K-12 COUNT , FREE LUNCH , REDUCED LUNCH , NOT ELIGIBLE , FREE AND REDUCED COUNT ,% FREE,% REDUCED,% FREE AND REDUCED,FRL % RANGE
21,EL PASO,1010,Colorado Springs 11,9660,Wilson Elementary School,358,278,25,55,303,77.70%,7.00%,0.846,75%-100%
21,EL PASO,1020,Cheyenne Mountain 12,1582,The Vanguard School (Elementary),1060,155,55,850,210,14.60%,5.20%,0.198,0% - 25%
21,EL PASO,1020,Cheyenne Mountain 12,1586,Cheyenne Mountain Elementary School,341, * , * , * , * , * , * ,*, * 
21,EL PASO,1020,Cheyenne Mountain 12,1588,Cheyenne Mountain Junior High School,569,56,4,509,60,9.80%,0.70%,0.105,0% - 25%
21,EL PASO,1020,Cheyenne Mountain 12,1590,Cheyenne Mountain High School,1271,91,15,"1,165",106,7.20%,1.20%,0.083,0% - 25%
21,EL PASO,1020,Cheyenne Mountain 12,1592,Broadmoor Elementary School,326, * , * , * , * , * , * ,*, * 
21,EL PASO,1020,Cheyenne Mountain 12,1596,Canon Elementary School,0, * , * , * , * , * , * ,*, * 
21,EL PASO,1020,Cheyenne Mountain 12,1604,Skyway Park Elementary School,291,75,6,210,81,25.80%,2.10%,0.278,25%-50%
21,EL PASO,1020,Cheyenne Mountain 12,3482,Gold Camp Elementary School,471, * , * , * , * , * , * ,*, * 
21,EL PASO,1020,Cheyenne Mountain 12,6953,Pinon Valley Elementary School,292, * , * , * , * , * , * ,*, * 
21,EL PASO,1020,Cheyenne Mountain 12,9051,The Vanguard School (Middle),238,39,17,182,56,16.40%,7.10%,0.235,0% - 25%
21,EL PASO,1020,Cheyenne Mountain 12,9057,The Vanguard School (High),284,50,13,221,63,17.60%,4.60%,0.222,0% - 25%
21,EL PASO,1030,Manitou Springs 14,5460,Manitou Springs Elementary School,397,106,28,263,134,26.70%,7.10%,0.338,25%-50%
21,EL PASO,1030,Manitou Springs 14,5464,Manitou Springs Middle School,283,93,11,179,104,32.90%,3.90%,0.367,25%-50%
21,EL PASO,1030,Manitou Springs 14,5468,Manitou Springs High School,471,99,17,355,116,21.00%,3.60%,0.246,0% - 25%
21,EL PASO,1030,Manitou Springs 14,9010,Ute Pass Elementary School,161,37,5,119,42,23.00%,3.10%,0.261,25%-50%
21,EL PASO,1040,Academy 20,17,Academy Endeavour Elementary School,383,55,18,310,73,14.40%,4.70%,0.191,0% - 25%
21,EL PASO,1040,Academy 20,19,Academy International Elementary School,450,47,10,393,57,10.40%,2.20%,0.127,0% - 25%
21,EL PASO,1040,Academy 20,74,Challenger Middle School,660,63,14,583,77,9.50%,2.10%,0.117,0% - 25%
21,EL PASO,1040,Academy 20,76,Air Academy High School,1383,140,61,"1,182",201,10.10%,4.40%,0.145,0% - 25%
21,EL PASO,1040,Academy 20,110,Village High School,310, * , * , * , * , * , * ,*, * 
21,EL PASO,1040,Academy 20,209,Aspen Valley Campus,131,13,7,111,20,9.90%,5.30%,0.153,0% - 25%
21,EL PASO,1040,Academy 20,249,Antelope Trails Elementary School,271,30,4,237,34,11.10%,1.50%,0.125,0% - 25%
21,EL PASO,1040,Academy 20,1033,Briargate Preschool,0, * , * , * , * , * , * ,*, * 
21,EL PASO,1040,Academy 20,1421,Chinook Trail Middle School,750,39,17,694,56,5.20%,2.30%,0.075,0% - 25%
21,EL PASO,1040,Academy 20,1511,Home School Academy,470,28,6,436,34,6.00%,1.30%,0.072,0% - 25%
21,EL PASO,1040,Academy 20,1615,Chinook Trail Elementary School,637,29,8,600,37,4.60%,1.30%,0.058,0% - 25%
21,EL PASO,1040,Academy 20,1627,The Classical Academy Charter,2172,114,55,"2,003",169,5.20%,2.50%,0.078,0% - 25%
21,EL PASO,1040,Academy 20,1629,The Classical Academy Middle School,421,21,6,394,27,5.00%,1.40%,0.064,0% - 25%
21,EL PASO,1040,Academy 20,1630,The Classical Academy High School,585,27,4,554,31,4.60%,0.70%,0.053,0% - 25%
21,EL PASO,1040,Academy 20,1901,Journey K8,141, * , * , * , * , * , * ,*, * 
21,EL PASO,1040,Academy 20,1921,Discovery Canyon Campus Middle School,753,59,14,680,73,7.80%,1.90%,0.097,0% - 25%
21,EL PASO,1040,Academy 20,1929,Discovery Canyon Campus Elementary School,505,37,16,452,53,7.30%,3.20%,0.105,0% - 25%
21,EL PASO,1040,Academy 20,2195,Discovery Canyon Campus High School,1160,76,20,"1,064",96,6.60%,1.70%,0.083,0% - 25%
