County Name,Org. Code,Organization Name,School Code,School Name / Category (include or exclude alternative schools),Total Pupil Count,Total Dropouts,Total Dropout Rate,Black Or Aftican American Pupil Count,Hispanic or Latino Pupil Count,White Pupil Count
,,,,,,,,,,
ADAMS,0010,MAPLETON 1,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,851,16,0.0190,23,601,187
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,279,6,0.0220,4,198,54
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,281,12,0.0430,2,255,17
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,500,12,0.0240,16,393,60
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,125,2,0.0160,1,108,11
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,116,0,0.0000,2,82,25
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,443,4,0.0090,4,356,52
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,126,1,0.0080,2,103,13
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,110,0,0.0000,0,86,18
ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,192,9,0.0470,0,142,34
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,2488,132,0.0530,78,545,1633
ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,129,0,0.0000,2,118,7
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,113,34,0.3010,1,92,16
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,137,1,0.0070,0,117,17
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),0,0,0.0000,0,0,0
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),5745,229,0.0400,134,3092,2118
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),5745,229,0.0400,134,3092,2118
