year,mergecode,lowincome
21,10-187,64.9
21,10-212,62.6
21,10-263,69.9
21,10-309,63.4
21,10-502,74.4
21,10-503,65.3
21,10-504,70.6
21,10-505,71.4
21,10-506,61.6
21,10-507,66.6
21,10-509,72.0
21,10-695,62.8
21,10-1796,30.0
21,10-3590,78.1
21,10-3623,74.2
21,10-6315,57.1
21,10-8823,65.1
21,20-14,37.4
21,20-57,15.4
21,20-59,10.0
21,20-210,59.9
21,20-301,52.6
21,20-1388,75.1
21,20-1480,40.9
21,20-1878,82.3
21,20-1914,24.2
21,20-2361,27.5
21,20-2410,24.7
21,20-2576,46.9
21,20-2578,45.2
21,20-2580,32.3
21,20-2582,86.8
21,20-2584,53.9
21,20-2918,90.0
21,20-4000,85.1
21,20-4108,19.7
21,20-4172,11.0
21,20-4187,62.2
21,20-4699,61.9
21,20-5043,19.2
21,20-5058,75.1
21,20-5418,74.3
21,20-5706,83.8
21,20-5814,83.0
21,20-5816,68.5
21,20-6060,36.6
21,20-6150,28.2
21,20-6342,45.9
21,20-6355,74.6
21,20-6376,89.4
21,20-6398,84.5
21,20-6402,64.4
21,20-6956,47.2
21,20-7155,13.6
21,20-7795,12.1
21,20-8211,37.6
21,20-8225,53.5
21,20-8275,22.4
21,20-8310,75.8
21,20-8361,81.4
21,20-8842,87.1
21,20-9431,17.7
21,20-9444,27.3
21,20-9494,65.1
21,20-9682,57.4
21,30-20,79.2
21,30-22,66.5
21,30-24,74.9
21,30-186,79.7
21,30-1426,84.2
21,30-2308,75.9
21,30-4516,81.0
21,30-4536,78.7
21,30-5982,82.8
21,30-6534,81.4
21,30-7500,80.4
21,40-700,32.5
21,40-1013,14.4
21,40-1021,33.3
21,40-1022,30.9
21,40-1052,21.6
21,40-2399,16.1
21,40-2945,17.8
21,40-3900,45.7
21,40-4950,13.0
21,40-5615,35.5
21,40-6294,55.4
21,40-6395,45.3
21,40-6638,39.7
21,40-6702,31.0
21,40-7129,25.4
21,40-7131,32.2
21,40-7318,13.8
21,40-7340,22.9
21,40-7351,23.8
21,40-7714,39.0
21,40-8032,37.6
21,40-8060,65.6
21,40-8130,40.7
21,40-8820,27.6
21,40-9230,44.7
21,40-9426,18.6
21,50-562,37.6
21,50-770,33.9
21,50-774,35.1
21,50-775,31.0
21,60-8328,27.3
21,60-8332,26.2
21,60-8334,18.8
21,70-1622,81.6
21,70-2876,84.8
21,70-3792,78.4
21,70-3931,73.7
21,70-4334,46.8
21,70-4465,83.7
21,70-5388,85.5
21,70-5834,82.7
21,70-7305,82.2
21,70-7810,72.0
21,70-7812,81.5
21,70-7860,82.9
21,70-7952,89.8
21,70-8406,78.7
21,70-8798,83.8
21,70-9236,71.7
21,70-9466,72.5
21,100-114,69.2
21,100-115,77.4
21,100-118,63.2
21,100-270,82.0
21,100-1107,69.6
21,110-7626,55.6
21,110-7630,45.3
21,120-206,42.7
21,120-1514,48.8
21,120-1556,62.8
21,120-1652,64.8
21,120-2746,63.1
21,120-2750,51.9
21,120-2752,71.3
21,120-9620,83.2
21,123-3054,80.2
21,123-7837,87.1
21,123-7842,73.3
21,130-16,18.8
21,130-18,27.6
21,130-102,8.1
21,130-141,30.3
21,130-188,14.4
21,130-242,25.9
21,130-243,12.8
21,130-348,52.1
21,130-442,24.6
21,130-714,16.2
21,130-1155,23.2
21,130-1273,28.6
21,130-1429,21.1
21,130-1510,13.3
21,130-1551,13.9
21,130-1566,16.6
21,130-1568,12.0
21,130-1570,13.7
21,130-1571,9.8
21,130-1572,15.5
21,130-1574,5.5
21,130-1614,56.7
21,130-1916,5.4
21,130-1970,17.6
21,130-2094,25.0
21,130-2292,16.3
21,130-2357,30.7
21,130-2428,73.0
21,130-2653,53.4
21,130-2897,28.7
21,130-3030,10.6
21,130-3589,21.5
21,130-3648,6.2
21,130-3926,12.9
21,130-3988,83.5
21,130-4062,63.8
21,130-4078,9.2
21,130-4100,55.9
21,130-4189,17.6
21,130-4276,60.1
21,130-4280,12.3
21,130-4448,7.1
21,130-4975,48.3
21,130-5744,58.4
21,130-5934,52.6
21,130-6225,21.7
21,130-6367,6.6
21,130-6625,66.7
21,130-6820,28.1
21,130-6955,11.0
21,130-7102,56.4
21,130-7116,71.8
21,130-7158,70.8
21,130-7277,49.0
21,130-7476,14.4
21,130-7514,18.2
21,130-7559,49.4
21,130-8020,42.6
21,130-8380,47.5
21,130-8394,65.5
21,130-8848,29.0
21,130-8850,26.0
21,130-8887,25.4
21,130-9108,70.6
21,130-9200,21.0
21,130-9624,7.1
21,140-298,9.1
21,140-752,10.7
21,140-1382,44.8
21,140-2382,65.2
21,140-2804,23.8
21,140-2926,74.7
21,140-3472,38.4
21,140-3930,12.6
21,140-3950,19.0
21,140-4316,14.4
21,140-4447,13.7
21,140-5224,29.2
21,140-5229,6.6
21,140-5233,10.6
21,140-5236,5.8
21,140-5572,16.1
21,140-5574,17.6
21,140-6814,14.7
21,140-7518,7.5
21,140-7606,9.0
21,140-8064,26.2
21,140-9600,5.6
21,170-2136,45.9
21,170-2140,41.7
21,180-126,73.9
21,180-127,75.8
21,180-213,71.5
21,180-214,92.3
21,180-310,73.0
21,180-458,69.4
21,180-464,87.6
21,180-465,42.5
21,180-914,97.6
21,180-1458,79.6
21,180-1470,75.0
21,180-1720,75.0
21,180-1800,65.3
21,180-1851,68.4
21,180-1948,96.0
21,180-2095,56.7
21,180-2114,65.2
21,180-2384,89.6
21,180-2618,93.3
21,180-2654,76.9
21,180-2673,68.4
21,180-3272,94.8
21,180-3354,71.2
21,180-3471,61.1
21,180-4024,78.0
21,180-4270,70.2
21,180-4426,76.0
21,180-4646,97.4
21,180-4970,86.0
21,180-4973,92.0
21,180-5298,86.5
21,180-5361,92.7
21,180-6068,88.3
21,180-6160,73.9
21,180-6189,34.6
21,180-6310,93.0
21,180-6728,98.5
21,180-6758,91.5
