year,districtcode,schoolcode,mergecode,black,hispanic,white,totalenroll
15,10,0,10-0,0.0,50.0,50.0,24
15,10,1796,10-1796,1.81,20.02,69.59,1049
15,10,187,10-187,3.01,69.4,22.13,366
15,10,212,10-212,1.98,69.96,24.11,253
15,10,263,10-263,1.53,87.76,8.16,196
15,10,309,10-309,1.31,78.8,16.49,382
15,10,503,10-503,2.03,73.98,20.33,246
15,10,6315,10-6315,2.04,71.43,26.53,49
15,100,118,100-118,0.79,63.26,33.01,509
15,100,368,100-368,4.76,85.71,7.14,42
15,1000,203,1000-203,10.78,32.35,42.16,102
15,1000,3110,1000-3110,13.13,27.2,47.16,1798
15,1010,1616,1010-1616,2.51,18.59,71.86,199
15,1010,1870,1010-1870,4.6,23.98,62.98,1610
15,1010,1885,1010-1885,7.0,39.3,42.41,257
15,1010,2202,1010-2202,6.69,23.35,60.08,2094
15,1010,2400,1010-2400,5.17,25.0,56.9,116
15,1010,2528,1010-2528,7.25,41.97,41.45,193
15,1010,269,1010-269,8.29,20.44,62.43,181
15,1010,5146,1010-5146,21.12,35.06,32.67,251
15,1010,5948,1010-5948,15.17,36.34,38.95,1299
15,1010,6680,1010-6680,7.03,29.81,51.47,1976
15,1010,871,1010-871,4.1,31.15,49.18,122
15,1020,1590,1020-1590,2.36,12.8,77.74,1312
15,1020,9057,1020-9057,5.43,15.89,63.95,258
15,1030,5468,1030-5468,0.57,9.0,84.87,522
15,1040,110,1040-110,0.0,14.0,66.0,50
15,1040,1630,1040-1630,1.62,8.24,85.46,619
15,1040,209,1040-209,3.48,20.87,67.83,115
15,1040,2195,1040-2195,2.53,10.39,77.33,1107
15,1040,5126,1040-5126,4.34,13.71,72.58,1590
15,1040,6937,1040-6937,2.66,11.3,76.26,1504
15,1040,7240,1040-7240,4.87,15.53,65.99,1623
15,1040,76,1040-76,3.67,12.51,75.06,1335
15,1040,8779,1040-8779,1.57,5.76,84.29,382
15,1050,2642,1050-2642,4.63,22.39,66.02,259
15,1060,1346,1060-1346,2.33,44.19,41.86,43
15,1060,6902,1060-6902,0.51,6.57,86.36,198
15,1070,3758,1070-3758,1.39,26.39,68.06,72
15,1080,5100,1080-5100,1.4,8.12,81.86,998
15,1080,6678,1080-6678,0.63,10.48,82.02,1107
15,110,7630,110-7630,1.12,23.6,73.03,89
15,1110,2877,1110-2877,4.72,7.48,79.13,254
15,1110,2908,1110-2908,5.96,13.73,72.0,1275
15,1110,3475,1110-3475,3.8,49.89,40.72,3259
15,1110,6810,1110-6810,6.79,19.91,63.8,221
15,1110,7613,1110-7613,12.45,21.45,52.45,1245
15,1110,8791,1110-8791,8.89,22.27,57.03,1338
15,1120,2504,1120-2504,0.0,10.39,81.82,77
15,1120,2526,1120-2526,0.0,4.35,95.65,46
15,1130,5854,1130-5854,1.18,17.65,77.65,85
15,1140,1266,1140-1266,0.58,8.64,87.18,1030
15,1140,419,1140-419,0.0,0.0,91.43,35
15,1150,3002,1150-3002,0.24,13.66,81.71,410
15,1160,3228,1160-3228,0.0,5.36,87.5,56
15,1180,1006,1180-1006,1.18,54.12,41.18,85
15,1180,3468,1180-3468,0.57,43.46,53.36,879
15,1180,570,1180-570,0.0,65.95,31.64,373
15,1180,7422,1180-7422,0.0,56.48,39.48,347
15,1195,65,1195-65,0.55,39.85,57.77,547
