year,mergecode,schoolcode,districtcode,droprate,black,white,hispanic,totalenroll
19,10-187,187,10,1.06,2.47,19.98,72.62,851
19,10-212,212,10,1.73,0.69,20.42,71.97,289
19,10-263,263,10,3.5,1.05,6.29,90.91,286
19,10-309,309,10,4.07,1.74,9.88,83.33,516
19,10-501,501,10,0.0,3.31,8.26,85.95,121
19,10-502,502,10,0.0,0.87,17.39,80.0,115
19,10-503,503,10,0.23,0.68,8.22,84.7,438
19,10-505,505,10,0.0,5.88,9.56,77.21,136
19,10-509,509,10,0.0,0.0,9.09,83.47,121
19,10-695,695,10,4.02,0.4,18.47,73.49,249
19,10-1796,1796,10,4.28,3.3,65.28,21.58,2451
19,10-3590,3590,10,1.52,1.52,4.55,93.18,132
19,10-6315,6315,10,26.27,0.85,22.88,72.03,118
19,10-9036,9036,10,0.75,0.0,17.91,81.34,134
19,20-57,57,20,0.0,2.06,68.19,20.14,874
19,20-210,210,20,5.62,2.58,30.55,62.92,658
19,20-1480,1480,20,0.14,1.71,55.29,32.43,700
19,20-1519,1519,20,0.0,0.68,63.8,11.2,732
19,20-4108,4108,20,0.57,1.59,61.7,28.13,2261
19,20-4172,4172,20,0.0,2.74,61.64,10.96,146
19,20-4187,4187,20,0.0,2.09,36.74,53.14,860
19,20-4699,4699,20,28.27,0.84,5.91,91.56,474
19,20-5043,5043,20,0.56,1.15,65.66,22.93,2691
19,20-5814,5814,20,0.25,4.18,12.55,79.34,789
19,20-5816,5816,20,3.3,3.95,21.33,68.27,2124
19,20-6060,6060,20,0.61,2.26,54.2,36.71,2299
19,20-6342,6342,20,0.0,0.71,46.22,43.65,701
19,20-6398,6398,20,0.15,1.33,24.63,69.17,678
19,20-6402,6402,20,1.62,2.55,25.33,65.74,2475
19,20-6802,6802,20,0.0,0.52,76.97,11.77,773
19,20-6956,6956,20,14.46,3.73,38.1,54.28,643
19,20-8275,8275,20,0.0,0.0,72.97,14.41,111
19,20-8310,8310,20,0.0,0.91,23.4,72.04,329
19,20-8814,8814,20,0.0,0.0,75.21,10.26,117
19,20-9431,9431,20,0.0,0.89,64.29,23.21,224
19,20-9444,9444,20,0.0,2.04,67.91,21.75,832
19,30-20,20,30,1.56,1.72,9.55,85.6,639
19,30-22,22,30,31.35,3.37,12.69,82.12,386
19,30-24,24,30,5.32,2.68,9.81,85.33,2161
19,30-4516,4516,30,0.77,2.76,10.57,85.6,653
19,40-700,700,40,0.0,2.92,39.18,52.63,171
19,40-1021,1021,40,11.61,2.11,37.47,57.52,379
19,40-1022,1022,40,2.39,1.26,42.56,51.45,2138
19,40-1052,1052,40,0.0,0.58,59.36,35.38,342
19,40-1560,1560,40,3.16,0.0,55.79,38.95,95
19,40-2399,2399,40,0.34,2.35,50.08,42.55,597
19,40-2945,2945,40,0.54,1.61,53.23,43.01,186
19,40-4950,4950,40,0.54,4.35,56.52,33.15,184
19,40-6638,6638,40,0.0,1.09,33.51,58.7,552
19,40-6702,6702,40,0.0,4.96,40.62,45.27,645
19,40-7129,7129,40,1.85,3.25,43.4,45.3,2212
19,40-7131,7131,40,0.0,1.22,37.24,55.42,572
19,40-7340,7340,40,0.13,1.79,46.05,43.75,784
19,40-7351,7351,40,0.0,1.73,50.58,37.5,520
19,40-9230,9230,40,0.19,1.31,27.72,67.42,534
19,50-774,774,50,0.0,1.56,61.98,31.77,192
19,50-775,775,50,1.01,0.51,66.84,29.37,395
19,60-7133,7133,60,5.0,0.0,75.0,20.0,20
19,60-8332,8332,60,0.0,0.0,73.51,21.85,151
19,60-8334,8334,60,0.0,0.27,76.65,19.51,364
19,70-3931,3931,70,13.45,1.95,16.81,76.81,565
19,70-4334,4334,70,0.0,1.74,40.87,53.04,115
19,70-5388,5388,70,0.0,1.51,11.31,83.42,398
19,70-7305,7305,70,1.8,1.97,9.34,82.94,557
19,70-7812,7812,70,1.34,1.78,19.6,70.82,449
19,70-9236,9236,70,0.0,2.04,20.41,75.51,49
19,70-9466,9466,70,1.6,1.29,14.32,76.5,2877
19,100-114,114,100,0.5,0.5,29.68,64.59,401
19,100-118,118,100,1.16,1.01,32.46,61.16,690
19,100-368,368,100,10.81,2.7,16.22,72.07,111
19,110-7630,7630,110,0.0,1.28,58.97,33.97,156
19,120-206,206,120,10.86,1.98,63.46,30.62,405
19,120-2746,2746,120,2.2,2.98,44.27,46.31,637
19,120-2750,2750,120,0.0,0.0,67.39,28.26,46
19,120-2752,2752,120,0.28,4.13,45.73,44.35,363
19,123-7837,7837,123,0.41,3.27,11.84,77.14,245
19,123-7842,7842,123,0.95,5.71,12.62,75.24,420
19,123-8123,8123,123,27.33,3.73,16.15,74.53,161
19,130-18,18,130,0.69,9.95,53.7,17.48,864
19,130-141,141,130,0.0,13.49,48.19,21.05,608
19,130-1510,1510,130,0.68,17.01,47.62,8.84,147
19,130-1551,1551,130,0.78,10.08,57.27,15.97,3075
19,130-1566,1566,130,0.36,3.43,60.11,12.55,1108
19,130-1568,1568,130,0.42,1.69,71.14,16.17,946
19,130-1570,1570,130,1.24,3.35,65.51,13.17,4033
19,130-1571,1571,130,0.0,8.87,62.1,5.65,124
19,130-2357,2357,130,1.06,14.04,48.99,22.73,3313
19,130-2653,2653,130,9.75,12.75,48.0,33.5,400
