1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,443,94,25,324,119,21%,6%,0.269,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,455,297,91,67,388,65%,20%,0.853,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,369,149,57,163,206,40%,15%,0.558,50%-75%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,546,424,66,56,490,78%,12%,0.897,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,485,348,62,75,410,72%,13%,0.845,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,2037,285,159,1593,444,14%,8%,0.218,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,677,36,32,609,68,5%,5%,0.1,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,1120,509,165,446,674,45%,15%,0.602,50%-75%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,2330,311,134,1885,445,13%,6%,0.191,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,438,242,61,135,303,55%,14%,0.692,50%-75%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,477,266,76,135,342,56%,16%,0.717,50%-75%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,457,321,57,79,378,70%,13%,0.827,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,925,665,111,149,776,72%,12%,0.839,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,1706,614,67,1025,681,36%,4%,0.399,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,1989,495,197,1297,692,25%,10%,0.348,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,595,115,41,439,156,19%,7%,0.262,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,949,288,142,519,430,30%,15%,0.453,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,420,267,70,83,337,64%,17%,0.802,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,379,291,34,54,325,77%,9%,0.858,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,789,517,141,131,658,66%,18%,0.834,75%-100%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,2060,875,205,980,1080,43%,10%,0.524,50%-75%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,1373,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,322,136,21,165,157,42%,7%,0.488,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,499,46,22,431,68,9%,4%,0.136,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,600,55,16,529,71,9%,3%,0.118,0% - 25%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,292,92,37,163,129,32%,13%,0.442,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,564,195,67,302,262,35%,12%,0.465,25%-50%
1,ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,469,55,34,380,89,12%,7%,0.19,0% - 25%
