year,mergecode,lowincome
16,10-0,0.0
16,10-187,64.0
16,10-212,65.57
16,10-263,83.99
16,10-309,63.86
16,10-501,75.93
16,10-502,72.07
16,10-503,70.71
16,10-504,66.0
16,10-505,73.58
16,10-506,66.85
16,10-507,82.12
16,10-509,69.56
16,10-1796,41.12
16,10-6315,56.94
16,10-9036,75.22
16,20-14,29.82
16,20-57,12.39
16,20-59,3.76
16,20-70,0.0
16,20-210,49.46
16,20-301,36.59
16,20-1020,0.0
16,20-1388,67.54
16,20-1480,33.15
16,20-1519,1.55
16,20-1878,85.96
16,20-1914,26.21
16,20-1937,3.81
16,20-2361,22.03
16,20-2410,23.3
16,20-2576,50.26
16,20-2578,45.42
16,20-2580,30.24
16,20-2582,81.19
16,20-2584,54.88
16,20-2918,89.66
16,20-3439,46.93
16,20-4000,81.36
16,20-4108,22.32
16,20-4172,10.03
16,20-4187,56.02
16,20-5043,19.96
16,20-5058,69.88
16,20-5418,77.35
16,20-5706,81.84
16,20-5814,80.32
16,20-5816,40.54
16,20-6060,33.15
16,20-6150,24.68
16,20-6342,42.97
16,20-6355,83.18
16,20-6376,86.21
16,20-6398,79.98
16,20-6402,35.05
16,20-6802,0.78
16,20-6956,43.87
16,20-7155,15.36
16,20-7795,8.78
16,20-8211,37.59
16,20-8225,45.3
16,20-8275,19.7
16,20-8310,72.3
16,20-8361,82.48
16,20-8842,76.94
16,20-9431,19.07
16,20-9444,24.87
16,20-9494,61.05
16,20-9682,55.87
16,30-20,87.34
16,30-22,79.34
16,30-24,81.14
16,30-124,0.0
16,30-186,87.52
16,30-1426,87.04
16,30-2308,88.94
16,30-4516,85.14
16,30-4536,89.46
16,30-5880,0.0
16,30-5982,87.92
16,30-6534,87.23
16,30-7500,85.05
16,40-700,36.49
16,40-1013,11.63
16,40-1021,33.85
16,40-1022,36.56
16,40-1052,25.98
16,40-1560,3.13
16,40-2399,23.26
16,40-2945,12.13
16,40-3900,46.62
16,40-4950,10.04
16,40-5615,42.31
16,40-6294,82.4
16,40-6395,59.67
16,40-6638,55.96
16,40-6702,33.1
16,40-7129,32.2
16,40-7131,35.69
16,40-7714,33.65
16,40-7725,0.0
16,40-8032,39.43
16,40-8060,72.28
16,40-8130,52.5
16,40-8820,24.69
16,40-9230,64.36
16,40-9426,25.23
16,50-763,0.0
16,50-770,38.41
16,50-774,29.66
16,50-775,19.38
16,60-7133,20.0
16,60-8328,29.47
16,60-8332,21.01
16,60-8334,15.56
16,70-0,0.0
16,70-1622,83.43
16,70-2876,88.27
16,70-3144,93.5
16,70-3649,0.0
16,70-3792,85.88
16,70-3931,61.78
16,70-4334,47.0
16,70-4465,88.85
16,70-5388,93.17
16,70-5834,79.44
16,70-7305,90.65
16,70-7810,83.4
16,70-7812,84.45
16,70-7860,88.3
16,70-7952,94.99
16,70-8406,82.72
16,70-8798,88.77
16,70-9462,90.45
16,70-9466,78.34
16,100-114,66.87
16,100-115,70.04
16,100-118,50.69
16,100-368,83.33
16,110-7626,55.64
16,110-7630,56.33
16,120-206,48.8
16,120-1514,45.43
16,120-1556,58.33
16,120-1652,66.8
16,120-2746,51.25
16,120-2750,31.08
16,120-2752,70.43
16,120-5318,0.0
16,120-9620,81.02
16,123-3054,93.55
16,123-7837,90.34
16,123-7842,89.69
16,123-7843,0.0
16,123-8123,78.35
16,130-16,12.89
16,130-18,23.28
16,130-141,25.5
16,130-242,20.9
16,130-243,7.85
16,130-348,47.03
16,130-442,19.63
16,130-714,14.19
16,130-1155,14.5
16,130-1273,25.83
16,130-1510,8.99
16,130-1551,15.88
16,130-1566,15.89
16,130-1568,14.94
16,130-1570,11.8
16,130-1571,1.76
16,130-1572,17.08
16,130-1574,2.6
16,130-1614,58.43
16,130-1916,4.29
16,130-1970,15.49
16,130-2094,16.18
16,130-2292,14.11
16,130-2357,31.52
16,130-2428,66.67
16,130-2653,47.86
16,130-2897,25.46
16,130-3030,10.24
16,130-3589,22.46
16,130-3648,7.01
16,130-3926,12.41
16,130-3988,89.16
16,130-4062,79.45
16,130-4078,8.38
16,130-4100,55.41
16,130-4276,57.36
16,130-4280,11.53
16,130-4448,4.26
