year,mergecode,lowincome
15,10-0,0.0
15,10-187,62.78
15,10-212,57.31
15,10-263,82.94
15,10-309,60.99
15,10-501,77.71
15,10-502,65.78
15,10-503,68.89
15,10-504,62.16
15,10-505,58.26
15,10-506,65.53
15,10-507,73.23
15,10-509,73.36
15,10-1796,37.68
15,10-6315,46.94
15,10-9036,77.94
15,20-14,30.11
15,20-57,12.47
15,20-59,4.08
15,20-70,34.27
15,20-210,47.58
15,20-301,33.39
15,20-1020,0.0
15,20-1388,58.7
15,20-1480,29.22
15,20-1519,2.12
15,20-1878,84.2
15,20-1914,24.09
15,20-1937,4.6
15,20-2361,22.17
15,20-2410,16.39
15,20-2576,46.92
15,20-2578,38.92
15,20-2580,24.42
15,20-2582,79.62
15,20-2584,51.67
15,20-2918,86.02
15,20-3439,44.04
15,20-4000,79.74
15,20-4108,19.23
15,20-4172,8.14
15,20-4187,49.95
15,20-5043,17.65
15,20-5058,67.23
15,20-5418,78.39
15,20-5706,81.09
15,20-5814,73.68
15,20-5816,52.64
15,20-6060,30.33
15,20-6150,25.33
15,20-6342,37.46
15,20-6355,78.67
15,20-6376,89.15
15,20-6398,73.2
15,20-6402,38.35
15,20-6802,2.34
15,20-6956,37.1
15,20-7155,13.3
15,20-7795,8.14
15,20-8211,37.8
15,20-8225,40.74
15,20-8275,13.79
15,20-8310,68.76
15,20-8361,82.49
15,20-8842,77.15
15,20-9431,9.74
15,20-9444,24.8
15,20-9494,60.2
15,20-9682,45.64
15,30-20,73.06
15,30-22,48.9
15,30-24,67.08
15,30-124,50.0
15,30-186,85.99
15,30-1426,65.99
15,30-2308,79.37
15,30-4516,67.07
15,30-4536,79.52
15,30-5880,74.16
15,30-5982,89.39
15,30-6534,69.06
15,30-7500,69.67
15,40-700,40.77
15,40-1013,12.53
15,40-1021,53.4
15,40-1022,38.01
15,40-1052,21.72
15,40-1560,4.55
15,40-2399,25.79
15,40-2945,12.92
15,40-3900,50.73
15,40-4950,14.96
15,40-5615,40.03
15,40-6294,80.16
15,40-6395,59.24
15,40-6638,56.93
15,40-6702,38.66
15,40-7129,35.54
15,40-7131,41.2
15,40-7714,35.86
15,40-7725,34.48
15,40-8032,41.33
15,40-8060,78.4
15,40-8130,52.99
15,40-8820,25.51
15,40-9230,63.68
15,40-9426,23.96
15,50-763,1.49
15,50-770,42.53
15,50-774,33.6
15,50-775,23.03
15,60-7133,33.33
15,60-8328,24.45
15,60-8332,26.32
15,60-8334,13.37
15,70-1622,83.73
15,70-2035,48.07
15,70-2876,83.73
15,70-3144,86.16
15,70-3649,69.06
15,70-3792,81.82
15,70-3931,57.03
15,70-4334,46.97
15,70-4465,87.13
15,70-5388,89.23
15,70-5834,72.63
15,70-7305,87.01
15,70-7810,74.55
15,70-7812,77.47
15,70-7860,85.76
15,70-7952,86.32
15,70-8406,79.62
15,70-8798,81.0
15,70-9462,84.89
15,70-9466,69.71
15,100-114,64.98
15,100-115,75.25
15,100-118,54.03
15,100-368,75.93
15,110-7626,65.9
15,110-7630,55.49
15,120-206,50.2
15,120-1514,48.98
15,120-1556,67.87
15,120-1652,67.81
15,120-2746,55.8
15,120-2750,35.14
15,120-2752,74.91
15,120-5318,66.67
15,120-9620,85.17
15,123-3054,95.94
15,123-7837,92.95
15,123-7842,87.39
15,123-7843,31.88
15,123-8123,76.58
15,130-16,12.94
15,130-18,22.76
15,130-141,24.72
15,130-242,20.24
15,130-243,8.23
15,130-348,43.63
15,130-442,19.17
15,130-714,14.12
15,130-1155,17.12
15,130-1273,23.93
15,130-1510,8.44
15,130-1551,15.79
15,130-1566,15.72
15,130-1568,14.92
15,130-1570,12.29
15,130-1571,0.53
15,130-1572,20.86
15,130-1574,2.93
15,130-1614,55.22
15,130-1916,6.41
15,130-1970,18.69
15,130-2094,21.03
15,130-2292,11.66
15,130-2357,32.11
15,130-2428,68.67
15,130-2897,27.2
15,130-3030,10.32
15,130-3589,22.4
15,130-3648,6.88
15,130-3926,12.02
15,130-3988,87.07
15,130-4062,77.99
15,130-4078,8.67
15,130-4100,55.4
15,130-4276,57.56
15,130-4280,10.73
15,130-4448,5.41
15,130-4896,8.16
15,130-4975,45.08
15,130-5744,50.19
15,130-5934,47.63
15,130-6225,13.86
15,130-6367,0.33
15,130-6475,0.0
15,130-6619,3.45
15,130-6625,63.68
15,130-6820,22.26
15,130-6955,6.38
15,130-7102,38.93
15,130-7116,73.09
15,130-7158,74.35
15,130-7277,35.54
15,130-7476,10.45
15,130-7559,44.65
15,130-8020,35.81
15,130-8380,44.74
15,130-8394,45.55
15,130-8848,26.72
15,130-8850,18.47
15,130-8887,17.74
15,130-9108,71.66
15,130-9200,19.75
15,130-9624,6.38
15,140-298,7.5
15,140-752,9.27
15,140-1382,44.16
15,140-2382,77.42
15,140-2804,27.43
15,140-2926,79.6
15,140-3472,35.43
15,140-3930,13.23
15,140-3950,19.95
15,140-4316,14.07
15,140-4447,10.2
15,140-5224,24.56
15,140-5229,6.0
15,140-5233,17.5
15,140-5236,6.08
15,140-5572,21.57
15,140-5574,15.51
15,140-6292,17.82
15,140-6814,20.94
15,140-7518,10.19
15,140-7606,4.58
15,140-8064,33.01
15,140-9600,5.65
15,170-2136,59.6
15,170-2140,51.76
15,180-1,65.22
15,180-136,90.63
15,180-213,60.08
15,180-214,87.6
15,180-219,54.77
15,180-310,69.2
15,180-458,51.29
15,180-464,75.42
15,180-465,32.61
15,180-914,87.61
15,180-1458,73.77
15,180-1470,71.51
15,180-1720,68.64
15,180-1800,59.24
15,180-1948,89.1
15,180-2095,54.05
15,180-2114,63.16
15,180-2384,87.06
15,180-2618,94.77
15,180-2951,66.46
15,180-2998,90.46
15,180-3272,89.33
15,180-3354,64.4
15,180-3471,63.27
15,180-4024,76.48
15,180-4270,73.35
15,180-4385,87.84
15,180-4426,75.47
15,180-4646,90.0
15,180-4970,86.64
15,180-4973,84.91
15,180-5298,67.41
15,180-5361,85.76
15,180-5751,50.0
15,180-6068,85.97
15,180-6160,72.39
15,180-6189,40.28
15,180-6310,86.75
15,180-6546,5.48
15,180-6728,95.06
15,180-6758,75.84
15,180-6869,90.67
15,180-7232,23.17
15,180-7250,47.23
15,180-7558,83.05
15,180-7865,50.73
15,180-7932,84.39
15,180-8078,90.39
15,180-8356,57.1
15,180-8858,78.42
15,180-9056,68.65
15,180-9059,68.4
15,180-9060,91.21
15,180-9083,49.09
15,180-9125,51.17
15,180-9140,82.72
15,180-9189,48.56
15,180-9396,85.81
15,180-9514,78.4
15,180-9756,69.88
15,190-1168,44.19
15,190-1176,41.26
15,190-1752,0.77
15,190-2356,0.0
15,190-3362,63.56
15,190-6241,1.13
15,190-6263,0.36
15,220-6652,60.76
15,220-6657,53.36
15,220-6658,40.21
15,230-9222,57.78
15,230-9226,42.42
15,240-7174,83.33
15,240-7176,50.0
15,240-7180,30.77
15,250-8160,59.88
15,250-8168,65.35
15,260-9085,72.55
15,260-9090,77.78
