Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female ,Asian Male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0180,Adams-Arapahoe 28J,0465,Aurora Frontier K-8,,1,1,55,65,37,38,124,132,113,126,4,1,20,22,739
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,004 (PK),0,0,4,0,3,1,6,11,0,0,0,0,0,0,25
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,007 (Full Day K),0,0,2,2,1,2,13,5,1,1,0,0,2,1,30
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,010 (1st),1,1,2,3,0,4,16,12,0,1,0,0,0,1,41
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,020 (2nd),0,0,0,5,5,1,14,13,0,1,0,0,0,0,39
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,030 (3rd),0,0,0,1,3,1,22,21,2,0,0,0,0,0,50
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,040 (4th),0,0,1,2,0,2,15,14,1,1,0,0,0,1,37
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,050 (5th),0,0,2,2,4,2,23,22,2,0,0,0,0,0,57
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,060 (6th),1,0,1,0,3,0,18,14,2,2,0,0,1,0,42
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,070 (7th),0,0,1,1,3,6,17,13,0,1,0,0,0,0,42
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,080 (8th),0,0,1,1,3,4,14,17,0,3,0,0,0,0,43
0180,Adams-Arapahoe 28J,0914,Boston K-8 School,,2,1,14,17,25,23,158,142,8,10,0,0,3,3,406
0180,Adams-Arapahoe 28J,1458,Aurora Central High School,090 (9th),3,2,7,10,29,35,138,164,10,13,3,0,11,12,437
0180,Adams-Arapahoe 28J,1458,Aurora Central High School,100 (10th),3,3,13,7,36,32,130,156,8,4,5,1,5,6,409
0180,Adams-Arapahoe 28J,1458,Aurora Central High School,110 (11th),2,1,10,14,35,36,131,179,9,11,1,1,7,7,444
0180,Adams-Arapahoe 28J,1458,Aurora Central High School,120 (12th),1,1,14,11,39,52,185,179,10,11,4,1,5,4,517
0180,Adams-Arapahoe 28J,1458,Aurora Central High School,,9,7,44,42,139,155,584,678,37,39,13,3,28,29,1807
0180,Adams-Arapahoe 28J,1470,Century Elementary School,004 (PK),0,0,1,0,1,2,3,6,4,6,0,0,0,3,26
0180,Adams-Arapahoe 28J,1470,Century Elementary School,007 (Full Day K),1,0,0,2,7,4,8,2,3,5,1,0,4,2,39
0180,Adams-Arapahoe 28J,1470,Century Elementary School,010 (1st),0,0,1,2,6,6,9,6,4,3,1,1,1,2,42
0180,Adams-Arapahoe 28J,1470,Century Elementary School,020 (2nd),0,0,2,1,2,5,10,7,3,1,0,0,3,0,34
0180,Adams-Arapahoe 28J,1470,Century Elementary School,030 (3rd),0,0,2,4,6,4,5,16,5,2,0,1,1,2,48
0180,Adams-Arapahoe 28J,1470,Century Elementary School,040 (4th),0,0,1,1,3,7,5,4,3,7,0,1,1,1,34
0180,Adams-Arapahoe 28J,1470,Century Elementary School,050 (5th),0,0,0,0,3,8,5,3,5,5,0,0,0,2,31
0180,Adams-Arapahoe 28J,1470,Century Elementary School,,1,0,7,10,28,36,45,44,27,29,2,3,10,12,254
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,004 (PK),0,0,0,2,1,2,9,9,3,1,0,0,2,0,29
0180,Adams-Arapahoe 28J,1720,Clyde Miller K-8,007 (Full Day K),0,0,0,2,2,0,15,12,3,3,0,0,0,1,38
