year,mergecode,schoolcode,districtcode,droprate,black,white,hispanic,totalenroll
18,10-187,187,10,1.9,2.7,21.97,70.62,851
18,10-212,212,10,2.2,1.43,19.35,70.97,279
18,10-263,263,10,4.3,0.71,6.05,90.75,281
18,10-309,309,10,2.4,3.2,12.0,78.6,500
18,10-501,501,10,1.6,0.8,8.8,86.4,125
18,10-502,502,10,0.0,1.72,21.55,70.69,116
18,10-503,503,10,0.9,0.9,11.74,80.36,443
18,10-505,505,10,0.8,1.59,10.32,81.75,126
18,10-509,509,10,0.0,0.0,16.36,78.18,110
18,10-695,695,10,4.7,0.0,17.71,73.96,192
18,10-1796,1796,10,5.3,3.14,65.64,21.91,2488
18,10-3590,3590,10,0.0,1.55,5.43,91.47,129
18,10-6315,6315,10,30.1,0.88,14.16,81.42,113
18,10-9036,9036,10,0.7,0.0,12.41,85.4,137
18,20-57,57,20,0.1,1.59,69.57,19.92,1009
18,20-210,210,20,5.8,1.63,34.77,59.73,673
18,20-1480,1480,20,0.0,1.98,60.63,28.93,757
18,20-1519,1519,20,0.0,0.95,63.67,10.11,633
18,20-4108,4108,20,0.6,1.81,62.51,27.36,2270
18,20-4172,4172,20,0.0,0.71,66.67,11.35,141
18,20-4187,4187,20,0.1,2.58,38.09,50.22,890
18,20-5043,5043,20,0.9,1.31,67.93,21.09,2594
18,20-5814,5814,20,0.1,4.49,13.34,77.68,802
18,20-5816,5816,20,3.0,3.85,21.94,67.45,2129
18,20-6060,6060,20,2.5,2.4,56.25,34.48,2329
18,20-6342,6342,20,0.0,1.65,46.57,41.62,728
18,20-6398,6398,20,0.0,1.91,24.52,68.58,681
18,20-6402,6402,20,1.1,2.34,26.63,64.73,2475
18,20-6802,6802,20,0.4,0.8,78.74,10.56,748
18,20-6956,6956,20,15.3,3.63,40.55,52.47,688
18,20-8275,8275,20,0.0,0.0,66.98,21.7,106
18,20-8310,8310,20,0.0,1.95,20.61,72.98,359
18,20-9431,9431,20,0.0,0.49,69.27,21.95,205
18,20-9444,9444,20,0.0,1.63,63.91,25.03,859
18,30-20,20,30,0.6,2.48,11.15,82.97,646
18,30-22,22,30,31.7,2.55,12.75,81.87,353
18,30-24,24,30,5.7,2.0,10.45,85.64,2201
18,30-4516,4516,30,1.6,3.57,10.09,84.94,644
18,40-700,700,40,0.6,2.45,36.2,53.99,163
18,40-1021,1021,40,16.8,1.14,38.07,56.25,352
18,40-1022,1022,40,1.8,1.2,43.91,50.65,2166
18,40-1052,1052,40,0.0,0.64,57.69,38.78,312
18,40-1560,1560,40,2.2,1.09,48.91,43.48,92
18,40-2399,2399,40,0.2,1.93,52.98,41.05,570
18,40-2945,2945,40,0.0,1.59,62.96,33.33,189
18,40-4950,4950,40,0.6,5.62,53.37,33.15,178
18,40-6638,6638,40,0.0,1.53,34.57,58.42,457
18,40-6702,6702,40,0.0,4.51,45.26,43.86,643
18,40-7129,7129,40,1.2,3.78,43.83,43.94,2592
18,40-7131,7131,40,0.1,1.47,44.13,46.77,682
18,40-9230,9230,40,0.4,1.24,31.2,65.7,484
18,50-774,774,50,0.0,0.56,67.22,26.67,180
18,50-775,775,50,1.0,0.74,72.46,24.57,403
18,60-7133,7133,60,26.7,0.0,66.67,33.33,15
18,60-8332,8332,60,0.0,0.0,76.39,18.75,144
18,60-8334,8334,60,0.6,1.17,79.01,16.91,343
18,70-3931,3931,70,16.6,1.35,17.43,78.0,591
18,70-4334,4334,70,0.0,0.71,40.71,51.43,140
18,70-5388,5388,70,0.7,2.11,11.03,80.75,426
18,70-7305,7305,70,1.0,1.18,8.97,84.6,591
18,70-7812,7812,70,0.2,2.62,21.93,65.19,497
18,70-9236,9236,70,0.0,0.0,25.93,70.37,27
18,70-9466,9466,70,2.0,1.23,14.35,76.94,2919
18,100-114,114,100,0.8,0.77,32.56,62.31,390
18,100-118,118,100,1.9,1.17,32.8,61.08,686
18,100-368,368,100,13.4,4.2,15.13,73.11,119
18,110-7630,7630,110,0.7,2.67,61.33,32.0,150
18,120-206,206,120,14.4,1.49,62.03,31.02,403
18,120-2746,2746,120,5.4,5.2,45.98,43.78,635
18,120-2750,2750,120,0.0,0.0,77.27,15.91,44
18,120-2752,2752,120,0.0,2.6,45.95,45.95,346
18,123-7837,7837,123,0.0,2.64,12.33,77.97,227
18,123-7842,7842,123,0.7,6.6,12.5,75.94,424
18,123-8123,8123,123,9.8,6.06,15.91,75.0,132
18,130-18,18,130,1.1,10.34,56.32,14.83,870
18,130-141,141,130,0.0,12.29,48.5,20.43,602
18,130-1510,1510,130,0.0,12.24,44.9,10.88,147
18,130-1551,1551,130,0.9,10.67,56.96,16.28,3169
18,130-1566,1566,130,0.5,4.28,61.9,11.43,1076
18,130-1568,1568,130,0.0,1.4,71.43,15.9,931
18,130-1570,1570,130,0.7,3.36,66.34,12.45,3928
18,130-1571,1571,130,0.8,6.77,64.66,6.02,133
18,130-2357,2357,130,1.1,13.88,49.84,22.25,3106
18,130-2653,2653,130,15.6,15.35,44.88,32.09,430
18,130-2897,2897,130,0.1,8.49,57.69,17.13,683
18,130-3030,3030,130,0.1,7.69,66.28,12.97,1118
18,130-3589,3589,130,0.8,8.75,56.41,17.27,3005
18,130-4100,4100,130,1.0,18.82,40.59,29.78,712
18,130-4975,4975,130,0.6,15.19,46.91,23.09,810
18,130-6367,6367,130,0.0,1.54,80.38,10.38,260
18,130-6625,6625,130,2.5,28.17,21.56,37.59,2751
18,130-7158,7158,130,1.6,27.69,21.51,39.1,1376
18,130-8020,8020,130,1.2,18.93,43.14,23.52,2309
18,130-8848,8848,130,0.1,11.6,54.55,17.66,957
18,140-298,298,140,0.7,1.26,80.99,8.94,2383
18,140-2804,2804,140,0.0,1.61,72.04,19.35,558
18,140-3472,3472,140,0.0,2.35,55.78,34.51,597
18,140-3930,3930,140,0.9,0.81,77.31,14.44,1842
18,140-4316,4316,140,0.0,2.77,78.29,10.39,433
18,140-4447,4447,140,0.0,1.02,79.94,9.59,688
18,140-5224,5224,140,3.1,2.14,58.83,31.48,1404
18,140-5229,5229,140,0.0,2.65,69.91,11.5,113
18,140-5233,5233,140,0.0,1.61,65.32,27.42,124
18,170-2140,2140,170,1.9,0.0,69.52,28.57,105
18,180-213,213,180,0.0,23.62,23.62,45.67,127
18,180-219,219,180,19.3,18.92,21.24,51.74,259
18,180-458,458,180,1.0,29.59,27.55,35.71,98
18,180-464,464,180,0.1,24.32,10.27,52.43,740
18,180-465,465,180,0.0,17.47,27.11,27.71,166
18,180-914,914,180,0.0,20.79,1.98,65.35,101
18,180-1458,1458,180,5.7,17.84,5.07,65.56,2898
18,180-1720,1720,180,0.6,15.0,10.0,66.25,160
18,180-1800,1800,180,0.0,19.47,26.06,40.82,637
18,180-2384,2384,180,0.1,12.3,6.27,71.77,797
18,180-2673,2673,180,0.0,17.27,12.73,59.55,220
18,180-3354,3354,180,4.1,24.52,13.06,52.52,2243
18,180-3471,3471,180,0.0,14.87,10.26,69.23,195
18,180-4024,4024,180,4.4,14.66,6.72,69.93,2647
18,180-5298,5298,180,1.1,34.89,17.72,42.16,536
18,180-6160,6160,180,0.0,20.99,18.31,49.3,710
18,180-6189,6189,180,0.0,24.84,24.18,35.29,153
18,180-6310,6310,180,0.0,13.88,5.88,72.7,663
18,180-6546,6546,180,0.0,2.46,78.12,14.06,448
18,180-7232,7232,180,0.0,8.99,48.15,23.81,189
18,180-7250,7250,180,2.3,22.06,24.69,40.85,2661
18,180-8078,8078,180,0.0,19.97,6.02,62.26,681
18,180-8356,8356,180,0.5,11.35,18.65,63.24,370
18,180-9056,9056,180,0.0,20.18,14.68,63.3,109
18,180-9083,9083,180,0.0,15.54,23.9,49.0,251
18,180-9125,9125,180,1.8,16.62,23.66,46.74,1703
18,180-9189,9189,180,0.8,27.56,22.05,45.14,381
