Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female,Asian male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0010,MAPLETON 1,0000,Not a school,120 (12th),1,0,0,1,0,0,4,9,3,3,0,0,0,0,21
0010,MAPLETON 1,0000,Not a school,ALL GRADE LEVELS,1,0,0,1,0,0,4,9,3,3,0,0,0,0,21
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,070 (7th),1,2,1,0,4,1,43,42,14,10,0,0,0,1,119
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,080 (8th),2,0,1,0,1,0,42,45,16,15,0,0,3,0,125
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,090 (9th),2,1,1,0,2,0,58,35,18,12,0,0,1,2,132
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,100 (10th),0,1,1,0,0,1,42,58,15,9,0,0,0,1,128
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,110 (11th),1,0,1,1,1,1,37,39,4,15,0,1,2,2,105
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,120 (12th),0,1,0,0,4,2,27,16,12,5,0,0,1,0,68
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,ALL GRADE LEVELS,6,5,5,1,12,5,249,235,79,66,0,1,7,6,677
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,090 (9th),0,1,1,2,0,0,27,23,6,2,0,0,0,0,62
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,100 (10th),0,0,0,3,2,0,21,22,7,8,0,1,0,0,64
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,110 (11th),1,1,0,0,0,0,21,19,9,5,0,0,1,5,62
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,120 (12th),0,1,0,0,0,1,23,22,6,5,0,0,1,2,61
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,ALL GRADE LEVELS,1,3,1,5,2,1,92,86,28,20,0,1,2,7,249
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,090 (9th),0,0,0,1,2,0,34,32,3,3,0,0,0,0,75
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,100 (10th),0,0,0,1,0,0,32,38,1,2,0,0,1,0,75
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,110 (11th),0,0,0,0,0,0,21,21,1,2,0,0,0,0,45
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,120 (12th),0,0,1,0,0,0,14,16,0,0,0,0,0,0,31
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,ALL GRADE LEVELS,0,0,1,2,2,0,101,107,5,7,0,0,1,0,226
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,090 (9th),0,0,3,0,1,3,55,51,3,5,0,0,1,2,124
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,100 (10th),1,1,0,1,2,1,45,61,2,7,0,0,2,1,124
