year,mergecode,lowincome
18,10-187,69.9
18,10-212,66.7
18,10-263,83.6
18,10-309,65.8
18,10-501,82.2
18,10-502,74.7
18,10-503,72.2
18,10-504,76.6
18,10-505,74.2
18,10-506,70.1
18,10-507,85.8
18,10-509,74.1
18,10-695,75.3
18,10-1796,24.2
18,10-3590,87.6
18,10-3623,87.0
18,10-6315,50.9
18,10-9036,76.4
18,20-0,46.0
18,20-14,32.5
18,20-57,11.6
18,20-59,5.1
18,20-210,59.5
18,20-301,42.6
18,20-1388,70.7
18,20-1480,33.8
18,20-1519,3.1
18,20-1878,82.7
18,20-1914,26.6
18,20-1937,4.8
18,20-2361,23.0
18,20-2410,26.5
18,20-2576,55.1
18,20-2578,41.2
18,20-2580,26.9
18,20-2582,85.3
18,20-2584,55.8
18,20-2918,89.7
18,20-4000,84.5
18,20-4108,21.8
18,20-4172,10.0
18,20-4187,60.2
18,20-5043,19.1
18,20-5058,69.2
18,20-5418,71.7
18,20-5706,82.7
18,20-5814,83.9
18,20-5816,39.9
18,20-6060,34.8
18,20-6150,26.2
18,20-6342,45.3
18,20-6355,80.2
18,20-6376,85.8
18,20-6398,83.4
18,20-6402,52.4
18,20-6956,48.8
18,20-7155,13.6
18,20-7795,11.8
18,20-8211,44.2
18,20-8225,46.5
18,20-8275,19.0
18,20-8310,74.0
18,20-8361,82.9
18,20-8842,75.7
18,20-9431,16.1
18,20-9444,24.9
18,20-9494,60.4
18,20-9682,56.4
18,30-20,87.6
18,30-22,83.7
18,30-24,85.9
18,30-186,87.5
18,30-1426,88.5
18,30-2308,88.5
18,30-4516,88.5
18,30-4536,88.4
18,30-5982,84.7
18,30-6534,86.4
18,30-7500,91.7
18,40-700,44.3
18,40-1013,14.0
18,40-1021,44.9
18,40-1022,38.4
18,40-1052,22.2
18,40-2399,25.8
18,40-2945,19.4
18,40-3900,54.2
18,40-4950,15.7
18,40-5615,46.0
18,40-6294,78.1
18,40-6395,63.2
18,40-6638,58.0
18,40-6702,37.8
18,40-7129,34.7
18,40-7131,38.1
18,40-7318,17.4
18,40-7714,39.5
18,40-8032,43.9
18,40-8060,74.9
18,40-8130,54.7
18,40-8820,28.1
18,40-9230,64.9
18,40-9426,20.9
18,50-770,34.4
18,50-774,37.7
18,50-775,18.7
18,60-8328,30.3
18,60-8332,23.6
18,60-8334,17.8
18,70-1622,85.7
18,70-2876,89.9
18,70-3144,88.7
18,70-3792,80.3
18,70-3931,71.9
18,70-4334,50.9
18,70-4465,88.2
18,70-5388,91.6
18,70-5834,79.5
18,70-7305,89.1
18,70-7810,77.5
18,70-7812,81.4
18,70-7860,83.1
18,70-7952,88.9
18,70-8406,78.0
18,70-8798,86.2
18,70-9236,84.6
18,70-9466,78.3
18,100-114,45.0
18,100-115,48.5
18,100-118,29.7
18,100-368,71.9
18,110-7626,58.0
18,110-7630,57.5
18,120-206,45.1
18,120-1514,53.1
18,120-1556,65.1
18,120-1652,76.6
18,120-2746,66.9
18,120-2750,33.8
18,120-2752,76.9
18,120-9620,81.1
18,123-3054,91.2
18,123-7837,91.9
18,123-7842,92.8
18,123-8123,70.2
18,130-16,17.8
18,130-18,24.8
18,130-141,23.8
18,130-242,19.6
18,130-243,10.5
18,130-348,47.9
18,130-442,23.4
18,130-714,15.8
18,130-1155,19.6
18,130-1273,26.7
18,130-1510,12.0
18,130-1551,14.7
18,130-1566,14.6
18,130-1568,14.3
18,130-1570,12.9
18,130-1571,6.6
18,130-1572,17.1
18,130-1574,3.0
18,130-1614,55.7
18,130-1916,4.1
18,130-1970,16.0
18,130-2094,18.5
18,130-2292,17.1
18,130-2357,31.5
18,130-2428,75.4
18,130-2653,44.6
18,130-2897,26.7
18,130-3030,10.0
18,130-3589,22.9
18,130-3648,4.9
18,130-3926,13.0
18,130-3988,84.8
18,130-4062,72.7
18,130-4078,7.6
18,130-4100,54.3
18,130-4189,13.1
18,130-4276,62.7
18,130-4280,12.1
18,130-4448,5.0
18,130-4975,41.4
18,130-5744,55.5
