,elapass_hispanic_virtualper_inf
0,-0.0005880645723924882
1,-8.400535261332941e-05
2,0.0003324585489239087
3,0.0008136342242069706
4,-0.00045650872307304626
5,0.00014544950239217902
6,-0.0001332478726821234
7,-2.6885294149159705e-05
8,0.00022916630211651035
9,3.193479679014459e-05
10,1.6887522968454413e-05
11,0.0002760928427016862
12,0.0010736873964889153
13,0.00012927063414219206
14,-0.00029890788240186626
15,-0.0010374734733360669
16,0.00014322366460679963
17,0.0007770736177107659
18,-0.0004415159034250059
19,0.004185291125428441
20,0.004885657674858083
21,0.0009609110065720263
22,0.005411239555674468
23,0.0391736766828539
24,-0.0015938196617090595
25,0.002894708455625547
26,1.8337555807488332e-05
27,0.009764191089589409
28,-0.00012997189323380208
29,8.979283150614749e-05
30,0.00043302963838163844
31,-0.000617518590024715
32,-5.587526416145271e-05
33,0.0004415716222317879
34,3.90985106293181e-05
35,-0.00024945144373181505
36,0.00034731669490644567
37,-7.202008044430436e-07
38,7.68683064385793e-05
39,0.0002688596586874381
40,0.00016100221111999208
41,0.00040646598503092375
42,0.00019248626122533378
43,0.0005181969939157971
44,-0.0006363431867557282
45,-0.00015994027999194924
46,9.259969996752524e-05
47,-0.0003166475567270287
48,0.0002428508155714429
49,-0.0005928222857827289
50,0.0019518347126781627
51,-0.00018764762916724103
52,0.00014924858947555357
53,2.1219565896724318e-05
54,0.00040072917888454406
55,-7.884548207230262e-05
56,-0.0029690417195041437
57,0.0015831847733375108
58,0.00023133252339158504
59,-0.0004192826785583316
60,0.0010368734501497465
61,0.00043048782454823905
62,-0.0026336257979668763
63,-0.004708104582334943
64,-0.00023308815667970472
65,0.00158527157716549
66,-0.0003905838483111393
67,0.001450662313836409
68,-0.0013458023525268871
69,-0.0003971829550829767
70,0.000654420917926729
71,-0.0031824747686767588
72,-6.21260412238542e-05
73,-0.00043007953124532967
74,0.0001951418590497993
75,-0.000352703045485221
76,-0.0007486962228358716
77,0.0001396916841972071
78,0.0008600456267495526
79,0.0017201147230912082
80,0.0009381036899365827
81,0.0003763022247963278
82,-0.00021931097649738421
83,0.0005147071598941575
84,0.0006535080045897174
85,-0.0017378049573227134
86,0.0003820034082758183
87,-0.0005495459042662044
88,-1.890287971451366e-06
89,0.00034043801240092185
90,3.632242630216794e-06
91,0.00017122585749412746
92,-0.00011058086130145029
93,1.5350951913598057e-05
94,0.001545102417961888
