,drop_ed_hybrid
0,0.0005029891332867611
1,0.0015674836391761913
2,5.462374224752363e-05
3,0.005695895750469491
4,-0.0007327055099898209
5,-0.0005153173716632194
6,0.0010918408944101065
7,-0.0003578510554760853
8,0.00035670338621538697
9,-1.9342165565457075e-05
10,0.0007227054513752751
11,0.003244284834002685
12,5.918538724298594e-05
13,-0.00027003549088550793
14,0.00013508604363475426
15,-0.00020972370602591935
16,5.066947127780298e-05
17,7.743367405344098e-05
18,0.0012904432314375
19,0.0047415957110268905
20,-0.00014063476200494796
21,6.56131353514135e-05
22,0.00010651372134570317
23,0.0006439279427090599
24,0.00026574210932568324
25,0.0003101577339528756
26,-6.632550689873193e-05
27,0.0020275041805692573
28,2.7244341837153275e-05
29,-6.087460355659011e-05
30,-0.0003001394865800979
31,-0.0007649735444444588
32,0.0005772211565826885
33,0.0004976048835812981
34,-0.0003975585881511668
35,0.003656672004642309
36,0.00014751025718541056
37,5.509163214825403e-05
38,2.2402542658425753e-05
39,0.0009413748971045603
40,-0.0014049511057959792
41,0.00252419408789273
42,1.2554291346323925e-05
43,0.003290166895524017
44,0.00031977301493465104
45,0.0005197362967875662
46,0.0015168093409613612
47,0.01088649075308125
48,-9.769472497739384e-06
49,-9.010773276552714e-05
50,0.0006439167394873804
51,0.0013448720010523355
52,-1.765179872790083e-05
53,2.1989595419868543e-05
54,8.218476583370071e-05
55,-1.2110320290390902e-05
56,0.0005088527365385129
57,0.00041417312851210926
58,0.00019834491006154542
59,0.003768698342517428
60,0.0012057130141052011
61,-0.00023020457718694266
62,0.002379459531120574
63,0.010943433785277745
64,3.7100135628691967e-05
65,3.1970272710466026e-05
66,1.5726756417415532e-06
67,0.0003053698817701717
68,0.00369042361131555
69,-0.003666234317096958
70,0.0006290174386940535
71,0.007110426032781792
72,0.0005600396502574656
73,0.0007678132508670817
74,0.0008765232473599704
75,0.007272356176272009
76,0.007401190147904722
77,0.0038966966056218403
78,-0.001468321757849027
79,0.03555640012843763
80,0.005830804781229765
81,-0.003511246514860571
82,-0.007759967059596363
83,-0.017743634325488825
84,0.00043578587187034654
85,0.0017875243381611857
86,0.00028341041143349746
87,0.007495244200253002
88,0.0002510789576416349
89,0.0006215129873036095
90,-0.0002586653421985722
91,0.002695175621830592
92,-0.0016938199139826691
93,0.002626612382196633
94,0.0013891432629991878
95,0.007661852761171227
96,0.0026927603860451114
97,0.0006170188170381428
98,-0.005451757612297393
99,-0.003661989013935261
100,-6.62717841031127e-06
101,-2.9034081246477166e-07
102,-7.899236457463465e-05
103,8.53157074540134e-06
104,-0.0007233175853511325
105,0.0012350437561667363
106,-0.00340090191510342
107,-0.010442150561570348
108,6.232661417314669e-06
109,0.0003416413001918434
110,-9.45448601075382e-05
111,0.0005030458170850688
112,-0.002689004607928707
113,-0.003613542588537097
114,0.00574399067261567
115,-0.0008892489511604489
116,-0.006292484705132828
117,0.0010940688992587273
118,0.0047188191531488625
119,-0.0009294997020257627
120,-0.0015580684347212403
121,-0.0013687494089105183
122,0.001538644842553907
123,-0.004594727853178931
124,0.006601199383245049
125,-0.0012189439772657775
126,-0.0036868582286874456
127,0.010006147660120309
128,-9.147286583876484e-05
129,-0.0005941328205688154
130,-0.0012509334906984193
131,-0.004715543628277014
132,0.002622107961360285
133,-0.003344517681640826
134,0.0025637273620479446
135,0.006698213943625769
136,-0.0013227576262755311
137,-7.497271643689915e-05
138,0.00014479593707418853
139,-0.00415575380697591
140,0.0011178340127490959
141,0.0009894921244689376
142,-0.0017605255253659406
143,0.0006613076405391817
144,-0.0006832884806984588
145,-0.0011435645222037224
146,-0.0014263915529529856
147,-0.008345514243509052
148,0.0016456178022813178
149,-0.002242167470058527
150,-0.008098785767614143
151,-0.02763853843870369
152,-0.0001366243692986887
153,1.0965897847849742e-05
154,0.0003594692854924653
155,0.00028940442397919653
156,-0.0005061684287390601
157,-6.299587867420664e-05
158,1.94522263440679e-06
159,-0.0006529960255749416
160,0.0013584050745521076
161,-0.003866496231312242
162,0.0021698987850855907
163,-0.0012424618068536159
164,0.004109816205058435
165,0.0005513301594626047
166,-0.00014782672877455117
167,0.013573997328411086
168,0.001620300302455642
169,-0.011309522851028667
170,0.002521142366485537
171,-0.02117976693673793
172,-7.11955401226214e-05
173,-3.04110627527052e-05
174,-0.0005559194615535443
175,-0.0007092210628036106
176,-0.0003622154363126498
177,7.573297184916019e-05
178,-0.00014447926079188343
179,0.0007332199447177198
180,-0.00013622298250034584
181,-3.2512009392224875e-05
182,-0.0011400791877560807
183,0.0004656748066934907
184,0.00017104330675669568
185,7.53950542415021e-05
186,-0.0008031370767234957
187,-0.0013576595601452904
188,-4.686080648052937e-05
189,1.2014329072083848e-05
190,-0.00013126538528840788
191,-0.0008254035888831272
192,-0.003079097809200188
193,-0.0007623175457003532
194,-0.0006082885087055482
195,-0.013013089062614148
196,0.00024493866528834513
197,-0.0004177057500795162
198,-0.0017104454993406143
199,-0.005682921094691379
200,-3.071699525091605e-05
201,1.4388281298078474e-05
202,-0.0007021032215559988
203,-0.0002938339293145671
204,0.000505572557493954
205,0.000755984256565814
206,-0.00307789829896905
207,-0.0047559529206150685
208,0.00020629442737533842
209,-0.0023352706253562906
210,0.001132616584195991
211,-0.0027611288486704823
212,-0.001400041912991548
213,-0.0011493913380141532
214,-0.00020071248738075102
215,-0.00916066036806726
216,-0.0008184365146296822
217,-0.0013514736543246279
218,-0.0013994770843559282
219,-0.011176030742991859
220,0.0007923744281860894
221,0.00021940932497675896
222,-0.0005202690622557333
223,0.0006623114340254538
224,0.0010045414031019956
225,0.0017678408473201675
226,0.00038229204044595854
227,0.009572476054457551
228,0.0055724881748369075
229,-0.002495745090541294
230,-0.0007640525632013384
231,0.007265502072101074
232,2.6099744284944544e-05
233,0.0016668910985691593
234,0.0067544154431561
235,0.01996818741538068
236,0.002174845048840898
237,-0.0019228229588214567
238,0.01357745417585411
239,0.04143412882608321
240,-0.0007371488159703628
241,0.00013614430447364477
242,-0.0004462134340135962
243,-0.0027669405799131304
244,0.002169020379482717
245,-0.0020496348028658505
246,0.0001305315436736092
247,0.00042443961420958134
248,-0.0010373771211095383
249,0.0016343078345582862
250,0.0003110079322240301
251,0.0022032521749858753
252,-0.0001049178961141509
253,-0.00020479077520257802
254,-0.0002816450363837226
255,-0.0015696242676026956
256,0.01605617377808004
257,0.006480000519155176
258,-0.005918756241335795
259,0.05847310049453873
260,-0.0009078489722620348
261,0.0004910325151484683
262,0.0018235638364576066
263,0.005323115254190868
264,-0.005781385992352536
265,-0.008865515040556403
266,0.0063962380017209145
267,-0.024730022274523412
268,-0.00031418262629428226
269,-0.00013497792709451836
270,0.0007258111716275965
271,0.0006957325812408469
272,-0.0002729784821445698
273,-1.6567326698917582e-05
274,-1.2242671652167778e-05
275,-0.0006098849126639452
276,0.0009455416358429076
277,0.00031805066407665614
278,-0.004012473280943212
279,-0.009296136496445447
280,2.7978595571829842e-05
281,-0.003209870008952055
282,0.0009382327925112568
283,-0.0071780894936695995
284,-0.0004812443532341534
285,0.0014282878127501852
286,-0.00026344587854053536
287,-0.00039735883771947316
288,3.4327811631514694e-05
289,0.0005692539734409277
290,0.0011574598306126995
291,0.00495371336753998
292,-0.0019067092942712835
293,0.00022189607759402218
294,-0.00030348680096816896
295,-0.006045692421067107
296,0.009196694407803718
297,0.008119720698764864
298,0.007436753859144242
299,0.07379122303078967
300,-9.793953600631933e-06
301,-0.00014005366140022862
302,0.00013227168636307864
303,0.000173923756280517
304,-0.00023704088387461761
305,-0.000442932047367141
306,0.0010969070958303238
307,0.0019189040005514583
308,-0.00043560968994345116
309,0.0009491275243863135
310,0.001010031173160198
311,0.00463018208789815
312,0.0006739512808635218
313,0.00047612943859222015
314,-8.358556758574168e-05
315,0.0033735952524433246
316,5.761502945100935e-05
317,-0.0006339788458625891
318,-0.0011153498290220171
319,-0.006266094770591858
320,0.0007791869842571945
321,-0.00029682813125040135
322,-0.0002625662092963976
323,0.0004012082390972457
324,-7.151360795020101e-05
325,-0.0010095967860503548
326,0.0008967991972270672
327,-0.00017903810643874
328,-0.0001081607030452055
329,-1.407176729749176e-05
330,7.354710927107729e-05
331,-0.00010531877802726399
332,-2.5498877830983543e-06
333,-2.146922951096204e-06
334,-8.893078188167214e-05
335,-0.00012257638305760633
336,-4.5828606614872905e-05
337,1.1033774571216082e-05
338,9.948355894378725e-05
339,0.00016988213011659583
340,1.750850888436052e-05
341,-0.0010226150085422454
342,0.00023090866711913702
343,-0.002636581281635706
344,0.00020890438349391673
345,0.000782306041016819
346,-0.00024566390719783836
347,0.0023781404247232504
348,-0.0004247792883281132
349,-0.00033527204335822924
350,0.0011608693900902213
351,0.000774162305363828
352,0.00027267673890704435
353,-0.0002028233110419079
354,0.0003951515819806502
355,-0.0003255329300466747
356,4.103826992309417e-05
357,-0.0007456508673476794
358,0.0006372279931052655
359,-0.0008345234629711604
360,0.0007436880422428674
361,0.0003040709801820622
362,-0.00027787173661853284
363,0.0021411013923113807
364,-0.005519171967255768
365,0.0005289069219239333
366,0.0031588609791992745
367,-0.007414034318864555
368,-0.0012679827467901711
369,-0.002049258460934071
370,-0.00042840556816561533
371,-0.011712887892365654
372,-0.004428191645791991
373,0.0018126623214657727
374,0.0004683132892281754
375,-0.008520734277868803
376,-0.002163628239029286
377,-0.0004391074295879932
378,-0.0013174874972824964
379,-0.011485309881180577
380,-0.00015621842912682434
381,0.0002484709693319735
382,-0.0003595087603803714
383,-0.0010654488096172832
384,7.380768060261406e-05
385,0.00098819666936679
386,-0.0015202073565110054
387,-0.0021680628319337455
388,-0.014615117011393126
389,-0.004214552608126695
390,0.010580202685392004
391,-0.03140557738657455
392,-0.00021074978524991353
393,1.2572739136559054e-05
394,-0.0010625025068046552
395,-0.004893265555575467
396,-0.0010024072765542568
397,0.0002293829211978186
398,-0.003311542476445556
399,-0.011176010111269539
400,0.0010638510900035454
401,0.00021071748996561614
402,0.0005901957226277455
403,-0.0010825679646158804
404,0.0017612605720559059
405,-0.0003179704946914563
406,-5.006682686782857e-05
407,0.0038041705640911683
408,-0.0013607495684822956
409,0.001540180386866421
410,0.004733384993229815
411,0.016617417455142995
412,0.00018629462211118637
413,-2.8515428282887017e-05
414,-0.000510858091508167
415,-0.0009138268405033658
416,0.006225014401385265
417,0.002314470868791961
418,0.00011521860406070791
419,0.02632106891362902
420,-0.0020817648388958714
421,0.0018021854309255851
422,-0.0012589115265226275
423,-0.004618692839330583
424,-0.004683261916784392
425,-0.0038082503934634884
426,-0.0024953907286105735
427,-0.03383199241687446
428,0.0003734276805332401
429,-0.0003854997995297796
430,-0.0002035678894487458
431,-0.0008737323139314032
432,-0.001483546553167719
433,0.0012380439804964478
434,0.00458415928877874
435,0.01514119147117298
436,0.00028275530076388145
437,0.0004649419838623458
438,0.0010069175087581792
439,0.0058967718244037895
440,-0.0002598295734244593
441,0.0015112454210013781
442,-0.00041661886847938075
443,0.0025854995918430947
444,-0.00019656930462306433
445,0.0012937430511292599
446,8.434519527081957e-05
447,0.003883286703619349
448,0.0001403663449470063
449,-9.718868885378191e-05
450,-1.5894614620598747e-05
451,-0.00016175963122437215
452,0.0001651615167037474
453,0.0008451515840230764
454,-0.0007622203394890641
455,0.0011515477797153612
456,1.885160125330817e-05
457,0.00014761655857174644
458,-2.5124361244849044e-06
459,0.00012851694532832003
460,-0.0006174406714221845
461,0.0001022397445413491
462,0.0005218431614807686
463,0.0005688015657013081
464,7.61324708582309e-05
465,0.0002262808170644818
466,0.000330681915787655
467,0.0017468823221656732
468,-0.0014048895755372154
469,7.482629130062023e-05
470,-0.000568284701757429
471,-0.0050830451030534195
472,0.00011449880812771474
473,1.811621889500938e-05
474,-0.00033598097593302736
475,-0.000992642324373728
476,0.000272230466908551
477,-0.0007677625148414972
478,-0.0010398796885221489
479,-0.004630059443125228
480,-0.00046717023148099544
481,9.34826424381334e-05
482,-0.00042046753550602976
483,-0.002445896791393862
484,-0.0002330123803165612
485,7.629728026312665e-05
486,-0.0002660839548516545
487,-0.001279343583847569
488,0.00021230045726641946
489,-0.00266469447535851
490,0.0012423457377924458
491,-0.005134905762272163
492,-0.003924354028043935
493,0.002411968070759013
494,0.003897375575604963
495,0.006275458185918173
496,0.0007923417583488964
497,-0.001302175085419916
498,-0.0006931690999151728
499,-0.0036686298033200226
500,0.00021443463366028044
501,-0.0009751298096992191
502,-0.0020571698519569704
503,-0.007579150247504371
504,0.0018125487900878066
505,-0.0007914908378119244
506,-0.0005409953752917943
507,0.0011426214883119277
508,0.01742161871316718
509,0.015430181581163953
510,0.0016308972805714533
511,0.1104146577291597
512,0.0031049354702063258
513,0.011453735297165158
514,-0.011049625163406147
515,0.010271063515661719
516,0.0037538695138194405
517,0.001735007967009147
518,-0.002361827957172396
519,0.008489465134034826
520,0.0013163840041165269
521,-0.0006682912856439014
522,-2.9644222437810057e-06
523,0.0018895298172803613
524,0.0002966169311131113
