,drop_his_virtual
0,-5.4847079581601913e-05
1,-0.00024179980754992833
2,-1.0575199267909927e-05
3,-0.0009307841219303551
4,0.0012419518129810252
5,0.001122655833371058
6,-0.0022730888301017004
7,0.0007047047549548299
8,-0.00020799964685156436
9,1.5219553480665404e-05
10,-0.0005606788821286611
11,-0.0023913443733485497
12,2.8249442120634692e-05
13,-0.00012140474849825856
14,4.9199540168107646e-05
15,-9.109796440826433e-05
16,1.4136369099308422e-05
17,1.6783654644901352e-05
18,0.00031169336645765213
19,0.0011660397971004965
20,-0.00013817347745929108
21,0.0002472815248087066
22,0.0008020363203912501
23,0.0019135127943683992
24,0.00040162028107935537
25,0.0003109928261500991
26,-7.76561133993394e-05
27,0.0024401796823238734
28,0.0006914002215931938
29,-0.0015301469482246197
30,-0.0010484904317378276
31,-0.006777198334843251
32,0.0007142090681628686
33,0.0004974597587224148
34,-0.0002103566464040823
35,0.003294090311335084
36,-0.005825268981620568
37,-0.0014235182659360951
38,-0.0004080684387371417
39,-0.023334092005436725
40,0.0010968157152140019
41,-0.0020301853465651723
42,-2.2323035620201134e-05
43,-0.00337653151152356
44,0.0015532054705721871
45,0.00014606566156244184
46,7.860584724129471e-05
47,0.005546217858526608
48,1.12541826661441e-05
49,0.00011172137376610603
50,-0.0006808198933368568
51,-0.0015248140882220278
52,-3.406755377025245e-05
53,0.0003014388292032586
54,-0.0005585212885036418
55,-0.00040854258732024964
56,0.0006703204350980049
57,0.0005917169396269197
58,0.000649066207030922
59,0.006704293042607572
60,0.0007963258659715701
61,-7.864416069621067e-05
62,0.0009275044804204488
63,0.004736911656771104
64,0.0011953538349477888
65,0.0005362127368247602
66,0.0016646579938313611
67,0.01059143780501135
68,-0.0015047358789302746
69,0.001412297268660111
70,-0.0003793798681837226
71,-0.0032592715955317825
72,0.0022666198557301726
73,0.004221091900951346
74,0.0038760634326171686
75,0.03352332049694336
76,-0.0018102814354336878
77,-0.0011430663956886627
78,0.00040620513360363204
79,-0.009674421059983663
80,-0.0010241193727999402
81,0.0004882107880162259
82,0.0007741442305819991
83,0.0024343379078133076
84,0.00014181041418693833
85,0.0005739579530522555
86,9.05911804599673e-05
87,0.002413425009548429
88,-0.00047171241418780444
89,-0.0007235970588474611
90,0.00020456941669137264
91,-0.0032706064301802683
92,-0.00034397649560144987
93,0.0006290114476987814
94,0.0002273639421991032
95,0.0015440823343391855
96,-0.0015835743731650912
97,-0.0003382778281482796
98,0.0025132058554798143
99,0.0019261976432342943
100,-0.00026053030862801277
101,-5.56492870452227e-05
102,0.00031514622722207024
103,-0.0001174399104639259
104,0.0003259446597083487
105,-0.0006283180124210604
106,0.0014149859855566783
107,0.004801944641251232
108,3.1613703082242023e-07
109,-3.8794477196037413e-05
110,-1.4640785204970936e-05
111,3.998853022944086e-06
112,-0.01123687373249127
113,-0.015258490634326119
114,0.02532849917102004
115,-0.0037971448884646705
116,-0.026421307287683105
117,0.004650717416946138
118,0.020225054321046557
119,-0.003945684640776211
120,-0.006502562929574965
121,-0.005793750972934162
122,0.006574975249118039
123,-0.019433237932606116
124,-0.0004498343450870858
125,0.00010757526772005648
126,0.001140136093448557
127,-0.0015797662787104744
128,-0.0001657667936372281
129,-0.0003388746391345238
130,-0.0006687972704107645
131,-0.0032162875280229096
132,0.0005234273243862351
133,-0.00015325157938824306
134,0.0003505772645392804
135,0.0008285861134879407
136,-0.0036912101920783956
137,-0.0001917101748496002
