,hispanic_elapass_hybridper_inf
0,-0.001217815774420521
1,0.00010780212984720841
2,0.00021658477591128574
3,-0.0010001391357908108
4,-0.0004950554778202954
5,0.00031784212977966486
6,-0.0002442629316691438
7,-3.986502914960491e-05
8,0.00037108024403267203
9,-0.00022877597998373838
10,2.5705313005158534e-05
11,0.00018869151172169356
12,0.0018247831220849365
13,-4.8431984976452584e-05
14,-0.00010986782779786808
15,0.0018502226696625972
16,0.0005689805005728237
17,0.00107226635717683
18,0.0011007705864566524
19,0.011601251413428637
20,0.0006772623646525006
21,-4.104535154335699e-05
22,-0.0016076689537379346
23,-0.0016571165035756457
24,-0.00031439455924753566
25,0.00020268518706356847
26,-0.00039004630669209426
27,0.0005593353183733765
28,-0.000957494221619596
29,0.00010591291687191231
30,0.0010357401053152123
31,-0.0013048285784559958
32,-0.00031932844118548535
33,0.0002630914822259015
34,-2.7331776409155212e-05
35,-0.00038873490632268927
36,0.0005346228950495677
37,-1.2103692635631252e-06
38,3.2151026445104764e-05
39,0.0006825080377441566
40,0.0006753429343961203
41,-0.00028988436286181673
42,2.476009878509527e-05
43,-0.0013137291181921948
44,-0.00031855213962068724
45,4.779767655271425e-05
46,1.5838771911248384e-05
47,-7.329731929300577e-05
48,0.0015254748488794073
49,0.0003800761682722621
50,-0.00022750509260733085
51,0.00023037061304052655
52,0.0004941738040036522
53,0.00016718777197114338
54,0.00015238610416533748
55,0.0003085805048325893
56,-0.002988382568794829
57,0.0006874877169871693
58,-0.0003998143611954935
59,-0.00014529669415063134
60,0.00016045799506137452
61,6.708522131111349e-06
62,0.0003132618089852117
63,-0.00013075922349339253
64,0.00015645372282324923
65,-0.0004001170548532683
66,0.00015115918156948543
67,-0.0006053055223437222
68,0.00039262828228252153
69,2.7622860424646918e-06
70,-0.00013124548589903162
71,0.00049433313498653
72,-0.00010060329835795673
73,-1.0121160927732186e-05
74,0.00017452358143522275
75,-1.3677087503087937e-05
76,0.0003094246792976516
77,-0.00024087498896087275
78,-0.0014587517583316638
79,-0.0019708599148128094
80,0.0013381942502516879
81,0.0007383061613901508
82,-0.0006937758429492587
83,0.0009019486240921798
84,0.0006547184574375787
85,-0.0010906168519113442
86,0.00042577505110326727
87,-0.00047803946794695786
88,-5.1458511718633885e-06
89,-0.0012237426532908347
90,-1.6996848269365674e-05
91,-0.004243770294558611
92,-1.2407451097573544e-05
93,4.541546106960179e-06
94,0.0007283100121041451
95,0.0014452774063762202
96,0.00040523171490480987
97,-0.0001788006638111072
98,-0.0005501234920987592
99,0.00012713799624617582
100,-0.00010125948888662079
101,3.9883192464265897e-05
102,9.174194731124066e-06
103,-2.552063512616426e-05
104,1.8614946216501774e-06
105,0.000308227099790686
106,-0.0005128797918772649
107,-0.0010906009752917945
108,0.0006789681580862814
109,0.0009761756947475386
110,-0.01062472019487152
111,-0.012452346568681574
112,-0.00014148072479226896
113,-0.00043386837887142367
114,7.678098182733874e-05
115,-0.0011886080073077103
116,-5.8752205703308095e-05
117,-0.00027578556612384714
118,-4.979965961344122e-05
119,-0.0011778113463543488
120,-0.00048735580812768887
121,3.9781848620805345e-05
122,0.00012337360372822925
123,-0.0013506601205612143
124,0.00012175380891265805
125,-4.450380024977424e-05
126,-0.0004621280323086411
127,-7.498891398634534e-05
128,0.00020019613016500028
129,-2.815907967061489e-05
130,9.516602560902462e-05
131,0.0003700766114680634
132,-7.8133192801136e-05
133,-0.00011388117142335755
134,0.00023294721040015133
135,0.001190867579908217
136,0.0001418623844724007
137,-0.0003304643616799037
138,-0.00018141476229858027
139,-8.071768900764466e-06
140,-0.00015688473210626522
141,4.093260743547866e-05
142,-3.318470373226145e-05
143,0.0001297634733320578
144,-0.0015873691592635647
145,0.00017863329116629714
146,-0.0004531245576567328
147,3.34085552695612e-05
148,7.245691316369638e-05
149,-2.518694700384616e-05
150,7.530662472302273e-06
151,0.000290796549739695
152,-9.559035271967382e-05
153,0.0008875745549708708
154,-0.00033915970963338543
155,0.0006328035064481661
156,-8.770514459650811e-05
157,-3.8602961455389e-05
158,1.067338642996025e-06
159,-2.684549967853681e-05
160,7.830097796875365e-05
161,-0.00014121258015291192
162,1.5248414862710856e-05
163,-4.208286563660308e-05
164,-0.001274582523091245
165,-0.0002843334231030132
166,-9.793284000784567e-05
167,-0.002480125890865499
168,0.0012338167584578284
169,-2.3990095803261634e-05
170,-0.0003327656093156921
171,0.0007279600704650183
172,0.00017998873690830663
173,-4.073750827643199e-05
174,8.992209668960596e-05
175,-0.00026844700704872526
176,0.0005884237507608176
177,0.00020232545133222138
178,-2.3451158721363336e-05
179,0.0012040245985784107
180,0.00028632908862981463
181,0.00039502959327350934
182,-0.00021278409282231606
183,0.000780701519973313
184,0.0004807455714214782
185,-0.00023389480782995658
186,-9.024608643081039e-06
187,5.568182866934446e-05
188,0.0006886400397918302
189,-0.0002835228464401461
190,0.00018751776343540617
191,0.0018215983495703852
192,0.00014176076796177552
193,3.242332126635521e-05
194,0.00013748089704130665
195,0.00016065851037645198
196,-2.9017673412320536e-05
197,-0.0003433059726484542
198,2.5337045844360438e-05
199,5.2144360951581274e-05
200,0.0006869637558187183
201,-6.361660309223901e-05
202,-0.00012137811832960504
203,0.0009572360378691205
204,1.0734553336803793e-05
205,0.00029903604814273093
206,2.9241111600574427e-05
207,0.0016378628002834835
208,-2.247610096655713e-05
209,-0.0001422442551375425
210,-9.208477975522065e-05
211,-5.692749204053927e-05
212,7.359086119918429e-05
213,2.182814075322195e-05
214,-0.00016908480987251278
215,-0.00032800126866429135
216,7.525946081958092e-05
217,6.59446329029157e-05
218,-1.0648902104063823e-05
219,5.18193848431696e-05
220,-0.0001757903233920916
221,0.00017010744197620047
