,wi_elapass_hybridper_inf
0,0.0008593473108827027
1,-7.196848456919884e-05
2,3.143346385561883e-06
3,0.0012367446550249337
4,0.00043135631504254135
5,6.68542293164655e-05
6,-9.172166190630158e-05
7,2.2290826433191743e-05
8,-0.0001509984875950013
9,-0.0005332785572392572
10,8.361864934107867e-05
11,-0.0007650305689535327
12,-0.0013024370718904416
13,2.977938710381155e-05
14,-9.887064453025072e-05
15,-0.0020830691007075646
16,0.00023532309667530823
17,-0.00013874888131550707
18,0.0016122613563775495
19,0.003959660126804248
20,-0.0012061867033584047
21,-0.00040624291618728627
22,0.0001860323215183019
23,-0.009474982351658733
24,0.0009318272358299057
25,-0.0014836831037452962
26,0.0011822540552445424
27,-0.002939630988888431
28,0.0006519590056164279
29,-0.00011199726529877369
30,0.0004406056797754407
31,0.0004212987961241001
32,-5.819720493215035e-05
33,-0.000411886715807905
34,-0.000255905086122122
35,-7.73511712049004e-05
36,-0.0005093790355899357
37,1.1019242921787674e-06
38,6.77144260507946e-05
39,-0.0009041367726228035
40,0.00019834485879404639
41,0.00010960476585929065
42,1.0453870320400427e-05
43,-0.00020617990716210842
44,-0.00016631230932655268
45,5.41407310797002e-05
46,8.617460454745142e-05
47,-4.001879585863086e-05
48,0.00042958166350240813
49,0.0006824786202154192
50,-0.0013142781355021378
51,0.00022949709086133164
52,0.0002311159619393654
53,2.9872267271341924e-05
54,-5.864493963440066e-05
55,0.00016505307369004272
56,-0.0007778963530725035
57,0.0002986996225545143
58,-0.00012861252165570348
59,-4.1279950531620085e-05
60,0.00018974237970555233
61,-4.46364979004589e-05
62,5.311269412351239e-05
63,-0.0001479106383980239
64,-3.9419935222868145e-05
65,-0.0004774925708565511
66,-3.6895548794619515e-05
67,-4.888032530473796e-05
68,-1.6535959328694368e-05
69,4.626387394017336e-05
70,3.2593763746864975e-06
71,0.0001233817106586712
72,0.00010693068414343954
73,6.774169361363428e-05
74,3.1888977838411876e-05
75,-0.0002630303597159475
76,0.0007684233139842549
77,-0.00021541090316538626
78,-0.0013708474765055068
79,-0.0022958121539028466
80,0.0005805087896044084
81,0.0005546530143144293
82,-0.0007675661092167779
83,0.0005916883762020483
84,0.0003786784186287671
85,-0.0004664647439699565
86,0.0005467444656980421
87,-0.000335001000429609
88,-6.559474267916366e-07
89,-0.0017113269442385157
90,-1.032469251494914e-05
91,-0.0031270245049361363
92,8.927993428072394e-06
93,7.720344975408326e-06
94,0.0005543316030465207
95,0.0012002014897361396
96,-0.0003510269317052534
97,-0.00027459199068234614
98,8.51207852060392e-05
99,-0.00013805600347707462
100,0.0004253134566277995
101,-5.936541984553541e-05
102,-0.00014307386497722845
103,0.00011084885144669701
104,-9.722501368998059e-05
105,-0.00011319048444849882
106,0.000359996606243803
107,0.0012564286584665404
108,3.33121322738989e-05
109,0.0001976806578466116
110,-0.0018068687623140642
111,-0.0019689013754994942
112,5.756607227707393e-05
113,0.0003698617543394806
114,-0.00021813141814353977
115,0.0013265389619233879
116,1.9854013435840324e-05
117,-0.0002001408494731293
