,elapass_ed_virtualper_inf
0,0.0010072648332015816
1,4.2070093516107925e-05
2,-0.0002956725396752952
3,-6.188823346664185e-05
4,0.0005431059284914463
5,-5.423552467622196e-05
6,0.00020346877451459116
7,1.0142613695543479e-05
8,-0.000794174513967051
9,-0.0006947497953900029
10,0.0003791188509864488
11,-0.0019968807926979554
12,-0.0018596485390906976
13,-3.6729553172044425e-07
14,4.2293234846719453e-05
15,-0.0018590848173362145
16,5.128398235713588e-05
17,-0.00035885035971617164
18,0.0013347676301749814
19,0.001000420211704794
20,-0.0032615526059629795
21,-0.0006269781305346356
22,-0.0011549644974326132
23,-0.021363863244337714
24,0.002914075543732102
25,-0.0064017856638704925
26,-0.002340689194943814
27,-0.024274989813692756
28,2.8320011146027033e-05
29,-3.378350696399562e-05
30,0.0008206173590752834
31,-0.00030462367116360946
32,5.863341593520353e-05
33,-0.00025561019666355943
34,-0.0004005821977264463
35,-0.0002496671066150469
36,-0.0004886609259909507
37,7.370496361287765e-07
38,-3.211742022947115e-05
39,-0.0004999891198037324
40,0.000347347234911168
41,-0.000418483824990729
42,-0.0004006016161032986
43,-0.0018221936667639118
44,-0.00017073299808747502
45,7.52644053056327e-05
46,-0.00028738348203197477
47,6.475738143770459e-05
48,-8.130448912466353e-05
49,0.0007538046404590275
50,-0.00137999569382925
51,0.00019010833808691692
52,0.00020918881185841976
53,0.00015471993444378967
54,-0.00035893846203310524
55,0.00037109431119151405
56,0.0020269413861133466
57,-0.0005534560516867596
58,0.00010849130582746631
59,0.00015634890240120815
60,-0.000296677632299259
61,-0.00023963596122519374
62,0.0010476772728166093
63,0.0019056385534280643
64,0.00012150449330202332
65,-0.0011558251868822181
66,0.0002703756423383174
67,-0.000953634154388479
68,0.0011514470955794128
69,0.00040426053220535453
70,-0.0006862220558783167
71,0.0031107580538011197
72,3.055766040410577e-05
73,0.0005949782607548758
74,-0.00025886344540320907
75,0.0006034257109938659
76,0.0007296411611908434
77,-8.701808277613359e-05
78,-0.00041673371081829585
79,-0.0012578277773725199
80,-0.003918202843310563
81,-0.0028673073963936166
82,0.00537783494283456
83,-0.003685058428419683
84,-0.00039170099396792433
85,0.0008939964863859739
86,-0.00028892580445377284
87,0.0003262431911854423
88,1.6732540700226626e-06
89,-0.0007303598847923392
90,5.531040398709693e-06
91,-6.560620339327697e-05
92,6.24772739632418e-05
93,-3.810337630835694e-06
94,-0.000955117655906772
95,-0.0024740020090457324
96,-0.0003121638733093761
97,0.00013033756431131904
98,0.00019539016948355735
99,-7.085079550392319e-05
100,5.15555927083306e-05
101,9.380985599118417e-05
102,3.843687469413469e-05
103,-2.6228915907793815e-05
104,-4.928235854336068e-05
105,-0.0001129749902373488
106,0.0001502293089297249
107,0.0007392080876984751
108,0.00036138581059908355
109,0.0002186028178179515
110,0.0029788609237899593
111,-0.0002040375270318709
112,0.00036228428455770004
113,0.0010229435795914416
114,-0.0003699132203604119
115,0.003527195091954428
116,-0.0001179091703520599
117,-0.00048619965484457276
118,-0.00020268023315974252
119,-0.002702187169438973
120,-1.1409229208120546e-05
121,-0.0004183888653571028
122,-0.0007441158824908421
123,-0.0033631788230274536
124,-0.0015476806302395906
125,0.0008311214854915311
126,-0.0027522845764456467
127,-0.014794542798308821
128,0.00020183848527459118
129,-0.00034821196138109286
130,0.00023671759653302367
131,0.0010444206503889362
132,-8.23754736416932e-05
133,0.002867947586578639
134,0.001299448813527713
135,0.008644547389221892
136,-9.147351786982996e-05
137,0.0006258517159455326
138,0.0001470526730238756
139,1.851592282405315e-05
140,-0.00014740659373824723
141,-2.5451980472152345e-05
142,7.242427788295865e-05
143,0.00015753555297690996
144,0.000981914115322313
145,6.551626513125477e-06
146,-0.0002759344272552145
147,-3.606523767518427e-05
148,-3.5167738128156284e-05
149,0.00040651483996406826
150,-1.519254040174486e-05
151,0.000868848387896182
152,-0.0006624936017715689
153,0.003227079426163364
154,-0.0016559471926603823
155,0.0030052225302885133
156,4.651354720676467e-05
157,0.00019420076946896026
158,-6.962794903790484e-05
159,-0.00010506106965572508
160,5.3662689422115996e-05
161,0.00044029525159835597
162,-2.645370256838406e-05
163,6.331570976302448e-05
164,-0.000510221614042937
165,0.00034641261446237615
166,-0.0002806488776838621
167,0.002132347170714523
168,-0.0006101496811125064
169,-1.7090432935544345e-05
170,6.289182448029575e-05
171,-0.0001475304429812957
172,-0.0001517678978763452
173,1.259794059295141e-05
174,-0.00037120421728289977
175,-3.065589622953836e-05
176,-0.0004469113960837648
177,8.080390659730094e-05
178,-0.00010665107463469363
179,0.0001245865936919485
180,0.0002703477516285055
181,0.0014832017203882284
182,-0.0015626452265455266
183,0.002431973949907943
184,0.0003712454883646749
185,-0.00018304684546373106
186,-0.0006932685783688003
187,9.946061086711193e-05
188,0.000872212323809695
189,-0.0004411871134273468
190,0.00040424986771481853
191,0.002974222762495756
192,-0.00011021176733737664
193,2.713095730801706e-05
194,-0.0004288265992956118
195,-3.35976181181284e-07
196,0.00012262729333586844
197,0.0011932838430427067
198,-0.0003378027780596831
199,-0.00021558300474125582
200,-0.0011429954738985443
201,0.00025162526799311284
202,-0.0002389811564338274
203,6.669696686308097e-05
204,8.316879777339157e-06
205,0.0015477646380692414
206,0.0001830900014289992
207,0.004802392722701389
208,0.00010815216694160563
209,5.747967329177861e-05
210,0.00011200403417912902
211,0.00019361235290472575
212,-4.96228326382069e-05
213,-8.055370798507757e-06
214,2.815667804943687e-05
215,0.00015323198099553544
216,-0.00013738171948890983
217,1.9018514228284787e-05
218,-0.0003146985385398271
219,2.1364974581912518e-05
220,5.72690775292656e-07
221,0.00031173496161344494
222,-8.979345945834436e-05
223,0.00042183643731243835
