,elapass_hybridper_inf
0,0.0018709526822260425
1,-0.0005801435793988301
2,0.0006071549140303257
3,0.00634671844811067
4,0.0010560238012565278
5,-0.000571713812116637
6,-0.0006237600936541204
7,0.00020390824089574548
8,-0.0014198698255121819
9,-0.0016243329372174705
10,0.0013931609847646152
11,-0.00473903880150027
12,-0.004279391151059527
13,0.0007543555159255359
14,-0.0011537504962575063
15,-0.0150371620431217
16,0.0009091175422488453
17,0.0013338674626229665
18,0.0030553011604502345
19,0.018993016402742452
20,-0.00010625125087534648
21,4.359829421104863e-05
22,-0.00022373032544022452
23,-4.554025695990058e-05
24,0.0010448962687879283
25,-0.002953133044278294
26,-0.00226156145509012
27,-0.012623932581854748
28,-0.005436288057687129
29,0.0005026401287405559
30,0.0031216168419077954
31,-0.005552875437020029
32,-0.0009927303390171252
33,0.001161169663907951
34,-0.0005891322296677812
35,-0.0019557261586119526
36,-0.0021493876838209387
37,5.197659229015344e-06
38,0.0005686600039635586
39,-0.004764563076528876
40,-0.0011398909737653723
41,0.001447493124090056
42,0.0005804124181921792
43,0.004433308583264776
44,-0.000820907576613298
45,-0.0005671639085420304
46,0.001083083106852471
47,-0.0008681885239857974
48,-0.002495349625026262
49,-0.0019177574444489136
50,0.004266939348220172
51,-0.0008186094191508851
52,-0.0007132223952211472
53,-0.0004012014976153786
54,0.0006550791413131062
55,-0.0009325578127948182
56,-0.002623860163131691
57,0.0020701836683049146
58,0.0007391050972137498
59,-0.0005957256111987651
60,0.0006123706257249821
61,0.000284594999640083
62,-0.0020506684003314232
63,-0.003154372414476074
64,-0.0003201585652517804
65,0.0014761933516613597
66,-0.00047489867965834227
67,0.00167309165735067
68,-0.0024899732769090893
69,-0.0005992793804653683
70,0.0012447268910050786
71,-0.005528378515785605
72,0.000346529492580023
73,-0.0016888147578603425
74,0.0004988582443129637
75,-0.002405475256137483
76,0.000848639436954179
77,-0.0002798469806353598
78,-0.0014430142100125695
79,-0.0026162684621615197
80,-0.0008944709804621235
81,-0.0007665791455906725
82,0.001291191277286214
83,-0.0009008259505309896
84,0.0007029846145636773
85,-0.001848697615582511
86,0.0007729239731494493
87,-0.000684525226401348
88,-8.507910937447183e-06
89,-0.0018034190094965705
90,-3.3127510278299754e-05
91,-0.007100002931406828
92,-5.431472648730637e-05
93,6.665460415854826e-06
94,0.0006791455530989839
95,0.002310532415556325
96,-0.0007489408955694572
97,-0.000955280395518341
98,0.0018020911710063656
99,-0.0005620098814215069
100,0.0009096107256459376
101,-0.0003942739404285572
102,-0.0003550187550714881
103,0.0003143591449694835
104,-0.00019636572551562882
105,-0.0007560224166377147
106,0.0022863586031505218
107,0.004881545451654905
108,-0.001011152603309746
109,-0.0009831890736749936
110,0.005969898660543517
111,0.010727741082306931
112,-0.00040096497007396047
113,-0.0012540264209228093
114,0.0003553989426500823
115,-0.0038583691812988322
116,0.00012436388511632662
117,0.0004168506159038617
118,0.0001415662894727921
119,0.002321910274908494
120,0.000633388935784878
121,0.0005231763399902652
122,0.0010060503436484546
123,0.006643333391500055
124,0.0011091423590278008
125,-0.00048278962944916446
126,0.0023226381492377694
127,0.010285073112081902
128,-0.0005968899996675092
129,0.000484835693215969
130,-0.00046964178076697784
131,-0.001958232640924643
132,0.0004978383464836471
133,-0.003523947557173452
134,-0.002051239014691072
135,-0.015706696066906486
136,0.0006251051799540452
137,-0.0014018370468863136
138,0.0006092059320454905
139,-0.00014763518819614426
140,-0.00041822998638549005
141,0.0004811884911416107
142,0.0004089014594695404
143,0.0010690568797863632
144,-0.0017017891144935503
145,-0.0010622531043869752
146,0.0031124220008063616
147,0.0001582639569491118
148,-0.00019492743253212488
149,-0.0018282615828782217
150,4.7900884213235154e-05
151,-0.006228497014861311
152,0.00014592200786317156
153,-0.0007981102961700029
154,0.00038768624807287457
155,-0.0007044111206737825
156,0.00048243027734369543
157,-0.0007472762777706972
158,0.0004962309642071277
159,0.0008835730333271885
160,0.0011216965445080163
161,-0.0019920222307820428
162,0.00048075776766067353
163,-0.0007347334685381128
164,-0.0038146326052697905
165,-0.0006242545302484352
166,0.0020148455111974684
167,-0.010575897019388377
168,-0.003963402368836069
169,0.00026062838175925615
170,0.0024639169287428157
171,-0.004106562946711799
172,-0.0007414139593483372
173,0.00019189736379038257
174,0.0011970962051394576
175,0.0021579497625257614
176,-0.0015980310677510612
177,-0.0006567155822480855
178,0.000561384593135145
179,-0.0051041447845448455
180,-0.0004162997870902795
181,-0.0010381409788675034
182,0.000967599796855988
183,-0.0019075573479841266
184,-0.0011402319973193562
185,0.00044443681132783444
186,0.0007828948461465219
187,-0.00017882407969400737
188,-0.00207953608324663
189,0.0008714829549130524
190,-0.0006789247818447037
191,-0.00585613756216975
192,-0.00026270959238213447
193,-0.001316715885531219
194,0.001270503958155824
195,-0.0012000373069614874
196,0.0008356285926295079
197,-0.0032761633886995278
198,0.00272911292820081
199,0.0016660096656502365
200,-0.0036549089602994312
201,-0.0016398883569576047
202,0.0016451436916550405
203,-0.013348147630111369
204,-1.708194903605279e-05
205,-0.001392698964390886
206,-0.00014840506424996136
207,-0.004949053081589329
