,drop_ga_virtual
0,3.912461496744218e-05
1,1.817961007720923e-05
2,-3.890114652234716e-06
3,-7.840291359706187e-05
4,-0.001618796364558658
5,-0.001723575208614029
6,0.0035382811843948777
7,-0.0010358758377455458
8,0.0013453277295606037
9,-3.731935018148741e-05
10,0.0010003085613817465
11,0.006824300830729043
12,0.0001527414966636467
13,-0.0006857262567885296
14,0.00040222263357299315
15,-0.0005628492738253631
16,0.00012016363367020301
17,0.00019561759599538454
18,0.00281624515591725
19,0.011182458864800434
20,0.00032726859933367717
21,-0.00017138967163067285
22,-0.0002594821342053911
23,-0.001552211822282045
24,-0.0003685196109609929
25,-0.00033883021577272893
26,8.793318131047652e-05
27,-0.00257473053053913
28,1.7911100108645374e-05
29,-0.00011565769630261459
30,0.0002767859679854097
31,0.0002902705449535294
32,-0.0005803416261721603
33,-0.0004539038052024602
34,0.00036386447360857167
35,-0.003449890646811525
36,1.263605047959741e-05
37,-8.750155410165327e-05
38,-3.7237751008835635e-05
39,-0.0012130645783708957
40,0.0006633699525717523
41,-0.0010860786956634495
42,-2.562335301354172e-06
43,-0.001290537236885949
44,0.00028685389536849343
45,-0.000209138924864164
46,-0.0013698966891775067
47,-0.006073211542864012
48,1.1211092921189684e-05
49,5.649515787069684e-05
50,-0.0006976635110351615
51,-0.0013327804609580655
52,7.81756632004051e-05
53,-0.00018560863915594708
54,0.0002895897616619644
55,0.00034873769123370765
56,-0.0014399823382610318
57,-0.0012695006413925482
58,-0.0010101536959110657
59,-0.012816974218977602
60,-0.0014181992102736826
61,0.0002306702250818413
62,-0.0027540321880103833
63,-0.012023513442251227
64,-0.000232588917879235
65,-7.361265276741689e-05
66,-5.979584565904379e-05
67,-0.0013013833354694547
68,-0.002148271285137682
69,0.001672641878135215
70,-0.00026808068938061306
71,-0.0034500155525107497
72,3.809504228266289e-05
73,0.0005335687234566773
74,0.00029999420847039886
75,0.0025494666875325468
76,-3.552577719012322e-05
77,-0.00030084591746004993
78,6.674509880943649e-05
79,-0.001535941593606307
80,-0.00017312046376707828
81,0.0001688688844790597
82,9.580984814795992e-05
83,0.0005345677542929934
84,1.0384723258288642e-05
85,1.7696714981230398e-05
86,2.4817033671349908e-05
87,0.000299561071345096
88,-4.399469694613933e-06
89,-0.00023461518298133178
90,0.00013363462671385932
91,-0.0008996203245235461
92,-0.00012056964114054874
93,0.0002589956619629563
94,0.00017816998687965
95,0.0007642024767397193
96,-4.780891275971171e-06
97,2.3669780962707175e-05
98,0.0011921293982028547
99,0.0002719764388035295
100,-3.869977203062482e-05
101,-8.363301198595315e-06
102,0.000268520713135265
103,-4.437710799183218e-05
104,0.000253911433169755
105,-0.00043783967979467447
106,0.001123807277312651
107,0.0036135947468305236
108,-1.2316344655342205e-06
109,-0.00022024785027100716
110,4.557591129481187e-05
111,-0.00023818929974462138
112,-0.0016726530826913844
113,-0.002284625058289868
114,0.003713608515659554
115,-0.0005635200171139471
116,-0.003909146691502636
117,0.0006928607741980991
118,0.0030393254990662318
119,-0.000588239557521812
120,-0.0009635408453553293
121,-0.0008653726458785817
122,0.000991910081590327
123,-0.0029063107037985616
124,0.00049634488466373
125,-4.097478583809911e-07
126,0.0008352331474186425
127,-0.000546520681749307
128,-0.0001252330263520355
129,-7.417217387718226e-05
130,-7.078723025581456e-05
131,-0.0010454809657030244
132,0.0002230823582457116
133,0.00016991888512502364
134,0.00013577747637368059
135,0.00017208388493718908
136,0.0005282621332642976
137,1.7785338757162184e-05
138,-2.5482280174036187e-05
139,0.0010836516012844124
140,-0.00025685666722114625
141,-0.00026181540721033044
