,mathpass_hispanic_virtualper_inf
0,-0.0006959510136136193
1,0.000108473927192497
2,-0.00143688142390447
3,0.0001910128116514839
4,-0.0006075900207647755
5,-0.0001973371118952188
6,-4.891276825709131e-05
7,-0.0007681762564550471
8,0.0008974552214966169
9,4.714352914191589e-05
10,1.7423475508896234e-05
11,0.0010089754276736474
12,0.0025838398960114305
13,0.0002893190092254477
14,-0.0004933472854206705
15,-0.00225497298585617
16,7.002537484045111e-05
17,0.006366553492797087
18,-0.00012283226245687483
19,0.008975224905543824
20,0.001281061018519118
21,-0.0005401568191559239
22,0.0016523147513339245
23,0.00899619179838854
24,0.001804571946104042
25,0.00044454657261011084
26,4.827144700816961e-07
27,0.005444657217952011
28,9.789649519984849e-05
29,-9.972115419486814e-06
30,-0.0001330532722627348
31,0.0010046063477604594
32,2.6245528072750035e-05
33,-4.1367324452179125e-05
34,-0.00014774694047974387
35,0.0013303150878780908
36,0.0004449541819997195
37,0.00024016052953773897
38,0.00016504512827469415
39,0.0005487268756256856
40,-2.3089358284143295e-06
41,0.00010645733520520208
42,-0.0003676791348055799
43,-0.0003253432149248068
44,-0.0012043539502968861
45,-0.0008758947271974887
46,0.00020239896021538294
47,-0.0024985959819839435
48,0.0004681888798292376
49,0.0005055099477729424
50,0.003035501117636876
51,0.002563485187402734
52,-7.261123703816358e-06
53,9.22294615505831e-05
54,-9.839420186778554e-05
55,-0.0005611513770303455
56,-8.184810632186476e-05
57,0.0007336024777224933
58,0.00023773836138830985
59,0.003389410819529223
60,0.0006193945951821971
61,-0.002015524299627154
62,0.0022341135096581553
63,0.003244007856982453
64,-2.699562069476539e-06
65,0.0013034985781072788
66,-0.0007651262000781665
67,0.0005943193672677206
68,0.000785196249303823
69,0.0009838629495196283
70,-0.0013460369591286909
71,0.000748868413980285
72,-9.007131655489022e-05
73,-0.00028761166023504893
74,-0.00017821214146857467
75,-0.0004974126093643798
76,-0.0008776347000949749
77,0.00025504534709611104
78,0.0009896535811689724
79,0.0023593881916501437
80,0.0006317312125078197
81,0.0006092888389738376
82,-6.862977835193394e-05
83,0.0024250192891280445
84,-0.00015849366431325596
85,-0.0007418817920743121
86,0.0002371702545422656
87,-0.0010120074155613914
88,-0.0004251728098975191
89,-1.6901083807058755e-05
90,-0.00015198332404804275
91,2.9403538170449735e-05
92,-0.0009311745114403525
93,0.0007150488791386156
94,0.002181753033550137
95,0.007241066153500138
96,0.0021039302313422383
97,-2.3522827727976862e-07
98,-0.00015437413131296908
99,0.001611092030579113
100,-3.32828477213597e-06
101,0.00023133063430784827
102,-0.00010810116557552057
103,-1.9107188670260006e-05
104,-0.00048251294353437573
105,0.00017999888311762808
106,0.00029381104854902976
107,-0.000467164673617956
108,-0.0009988824201459664
109,0.00026347685260864645
110,-0.0015615375351745204
111,0.002718307395856014
112,-0.0001308375705269345
113,-0.0012326288603217166
114,0.0005002999161959692
115,-0.00231040590225734
116,0.0004237528353359497
117,0.001785615801649239
118,-0.000669934930444094
119,0.004969316335055968
120,0.001625257147988603
121,0.0004529416117968
122,-0.0018380508775905384
123,0.005800662482626129
124,-0.0002467314165080081
125,0.0022290429323821577
126,0.0016151680454651728
127,0.010522883492621529
128,-4.0108457889802534e-05
129,0.00034747435182322866
130,-0.0004929467520669762
131,-0.0011130824966680787
132,3.91868495629324e-05
133,-0.0017346782672031252
134,-0.0010509778903467454
135,-0.00773717388973922
136,2.2967682029445536e-05
137,-0.0003090351609622433
138,-0.000320618801321833
139,1.7139186420231136e-05
140,-3.765166947018676e-05
141,-0.00020078230362422157
142,0.00031751355440269786
143,-0.00016697054256031691
144,0.0003246689891380964
145,5.549843986517666e-05
146,2.1575037817198438e-05
147,-2.1165511814707828e-05
148,1.0027804356541033e-05
149,-7.829673030546576e-05
150,-0.00025090701632849186
151,-0.0007443424826860146
152,0.0003975696044055956
153,-0.0009220749692931956
154,0.004621228274895338
155,0.014320405914872974
156,1.182316903933449e-05
157,-0.0003321512587903866
158,0.0001797317441199543
159,-0.0005859543206863112
160,-9.952885110843651e-05
161,-6.758757483028955e-06
162,-6.089332027654291e-05
163,-0.00014959897760864188
164,0.0003731674296788346
165,0.00015847772453461397
166,4.331356958333058e-05
167,2.91296765360795e-06
168,-0.0003324718948667584
169,-2.2787335750309733e-06
170,-2.638054008544886e-07
171,-0.0004459985186870268
172,0.00019713749949562502
173,-7.733869998998394e-05
174,7.295261731375701e-05
175,-5.210272712971244e-05
176,0.00060573722913965
177,-0.00013281711290068026
178,0.00041647421509436415
179,-0.00012031202419846162
180,-0.000687309750905275
181,-0.0013147901441777168
182,0.002324197968112027
183,-0.0007547490300502939
184,-0.0004844596263793571
185,0.0007525408813799356
186,-3.177780315597328e-05
187,0.0006650334850690187
188,-0.00026787153876516316
189,0.0014407345754564593
190,-0.00020726221294689148
191,0.0025015571735467214
192,-0.00011405132330178227
193,-4.6999869096423905e-05
194,9.059745468752087e-05
195,5.607449190051354e-05
196,0.00027062766910219684
197,-2.352153132971769e-05
198,-9.593702567427282e-05
199,4.260556719687516e-05
200,0.0008594791704006044
201,-6.0952042108899275e-05
202,2.77412414722086e-05
203,0.0017798091461848629
204,8.724934307526278e-05
205,-0.007724400404423903
206,-0.0008155124178176505
207,-0.02399594073178224
208,-3.3315397230733314e-05
209,4.0000411743292845e-05
210,3.356468017117963e-05
211,0.00028986196278773515
212,0.0003352237030776037
213,-3.6052331967846156e-05
214,-6.832830708697986e-05
215,0.0003570339931955224
216,-9.853293015552549e-05
217,-4.872959800547192e-07
218,6.446347564918931e-06
219,-7.982502027131997e-05
220,-0.0003184124793446279
221,-0.0010466121590632896
222,0.0006712356422357182
223,-0.0037485943698438236
224,-6.38908176077978e-05
225,-3.161567685097358e-05
226,3.6163917167507515e-05
227,-1.4297459618231175e-05
228,-0.00036164092374015835
229,-0.0006464427737443331
230,-2.7460992725131552e-05
231,8.359620158551176e-06
232,0.0003569148253282401
233,-0.0006781866702243617
234,1.0722314459020506e-06
235,-0.0007126213859504985
236,0.00010982942554951461
237,3.0106489287898896e-06
238,0.00010630867118775067
239,0.00019572220931439856
240,0.00013689864442881268
241,7.71784512300149e-05
242,6.864882180967121e-05
243,5.002518618947717e-05
244,-1.6115538750354506e-05
245,1.7474253316106317e-05
246,-0.00039127888294950773
247,0.00014096780821654456
248,9.308193627315693e-05
249,-2.482532086369764e-05
250,-4.775742317887495e-05
251,0.0003351893939990346
252,-0.00017717893629611562
253,0.00267554270482149
254,-0.0008743363334224272
255,0.0021261725769184756
256,0.0001269261006690963
257,0.0008452608213466323
258,-0.0018773353273711599
259,0.0021714863671137203
260,0.00023043304735782013
261,-0.0005478250379567696
262,0.0005527091772835503
263,0.002181115007959584
264,0.0009722828305380074
265,0.00028445276531360457
266,-0.00033562716671179017
267,0.001743735285870182
268,-0.0004459466902419299
269,-8.854407410275384e-05
270,-0.00029598674477386984
271,-0.003090609662809491
272,-0.00026947024920978725
273,2.7368483578635134e-06
274,-0.00010767578132965632
275,-0.00061368598834923
276,0.003127402583764254
277,0.0010391907435384161
278,-0.007761936581596052
279,-0.01035089826588202
280,-0.0012913918230741844
281,0.004324233815649378
282,-0.004737254688000029
283,-0.005465506891192922
284,0.00014397858151196484
285,-0.000300370421838251
286,-3.3040135442715914e-06
287,-0.000531009202920199
288,-5.736387550534993e-05
289,-0.00012228724349374327
290,7.530101444952475e-05
291,-6.145577358534854e-05
292,0.0007322519079365934
293,-0.0002766381680315144
294,-0.0001632374526037545
295,-0.00037901637683991645
296,0.00020116747501254263
297,-6.0641341525956486e-05
298,-7.849955637082542e-05
299,-7.04754364058535e-05
300,-0.001070162637141904
301,0.0014815490934171713
302,-0.0009070241852998563
303,-0.0017993218000458317
304,7.374265767937101e-06
305,0.00034614405117872505
306,-0.00013002231569393853
307,0.0003847544621790571
308,5.101862566521776e-05
309,-0.00016566845386726013
310,-0.00028933600382935937
311,-0.00030757692435321577
312,-0.00031835333619907146
313,-0.0007516618177424014
314,0.0013598517861729202
315,0.0010123765069744589
316,-0.0005345423620376119
317,-4.5538467062121946e-05
318,0.0002051487089227843
319,-0.00016806119528747798
320,-0.0003412910870542321
321,8.924990794623066e-06
322,-0.0003880522762513404
323,0.0005738013922693126
324,0.00023770274540663088
325,-0.00010851300056780602
326,-4.921404478335777e-05
327,0.000325466185775445
328,0.0004189571521507243
329,-0.0005701751836129426
330,2.112096531930932e-07
331,8.903655693740775e-05
332,-0.00028619323246946074
333,-0.0003661653561786063
334,-0.0010338781925197658
335,-5.406526363102172e-06
336,-2.219720845305701e-05
337,-1.933199729938858e-06
338,0.00040081808640268947
339,0.0007577224216629673
340,-0.0007466569660664449
341,-3.209927932675819e-05
342,0.0001411553262803293
343,0.0009861608356010153
344,8.254038674502653e-06
345,0.00017691503036491917
346,3.9672131940556e-05
347,-0.0003174024086099726
348,-0.00026765635317501437
349,0.001054384194545917
350,-0.0005854833188284831
351,0.0009285092211817477
352,9.032229849584023e-05
353,2.183544230091387e-05
354,2.0566053453183455e-07
355,0.0002743301451745435
356,0.0005359344230262632
357,-0.00012908062218813327
358,-0.001493290241889724
359,0.0016716391964446667
360,0.0010234545889893352
361,0.003067027598102914
362,-0.000643257000148598
363,0.006404647214212199
364,-0.00028912689689284234
365,-0.0003082288664280223
366,0.0008700202035926186
367,0.0008066396185271093
368,0.0009653308304926981
369,-0.0001589806774132334
370,0.00023805417989050144
371,7.94536361331312e-05
372,0.00015657230822084973
373,-0.00021976964538889917
374,-0.0002985004901809495
375,-5.9164094275945074e-05
376,0.005445647834748156
377,-0.0003713331451461864
378,0.0004756977129409367
379,0.016816118108221787
380,0.0023733267575542353
381,0.00047145439233777815
382,-0.002677158122725985
383,0.0020183362188052525
384,-8.344692592448045e-05
385,7.84502730106888e-05
386,-0.00048239827306238313
387,5.8957573776325624e-05
388,0.00011686877986791612
389,0.0006140730082510236
390,-0.00012359985399676226
391,0.001936518770757915
392,0.0001895269578870703
393,-0.000792274883474508
394,-0.0004918999674316167
395,-0.000943078169210806
396,-2.000822537232089e-05
397,0.0002844891370496421
398,7.819331841151413e-06
399,-0.00039706669124879774
400,0.0006179199937558791
401,0.0002048551605862603
402,3.366873205926928e-05
403,0.0013341424733502808
404,0.0022204155066955335
405,-0.0006842403535330894
406,0.0014111245822420267
407,0.008913621060523621
408,9.563852990135486e-05
409,0.00037284361475995375
410,0.0004469930064060203
411,0.0011383790806197684
412,-5.4395949419199377e-05
413,-5.579639368969154e-05
414,3.1989617331033056e-06
415,-2.6326855326649705e-05
