,mathpass_virtualper_inf
0,0.0004027189757477941
1,0.00031427201029583015
2,-0.0013126679592211892
3,0.0005512908198425847
4,0.0007559736737293554
5,0.0006081384992011344
6,-0.00019534667618733876
7,0.004385372259147836
8,0.0004880925578242113
9,8.70250473802718e-05
10,0.00020297473319027536
11,2.4320963476685377e-05
12,-0.0018949655437961556
13,0.0005181227891217621
14,-0.0005049049776922094
15,-0.00850980796411198
16,-0.0001881765705948376
17,-0.0047140098493415935
18,-0.0005649048160108313
19,-0.01993045727448446
20,-0.0008425095600248596
21,0.00034992453307054137
22,-0.0023961081073922016
23,-0.007695099915373955
24,0.0010829352896311456
25,0.0004327671280008175
26,0.000109057322610907
27,0.005738482482453131
28,-0.0008275577862442393
29,1.584201072223878e-05
30,0.0007035982732916142
31,-0.0035684964307388057
32,-0.00017373541728157364
33,4.520058884283182e-05
34,-0.002839389581160536
35,-0.00670879150759868
36,-0.0013294090263051596
37,-0.0009763145400280365
38,0.0006843487055935615
39,-0.005202757740779962
40,1.4301840515786468e-05
41,0.0002545139448208715
42,-0.0013062361472789032
43,-0.0024557425597230035
44,0.0005713857922342053
45,-0.001322450431803455
46,0.0016445348875971683
47,-0.0021633246569567614
48,-0.002668551037824234
49,0.0011149022393403018
50,0.0028985125800273727
51,0.006207650624566266
52,2.930067634842309e-05
53,-0.0019029798721519593
54,-9.901528782102222e-05
55,-0.0055292378352749735
56,1.3223174622099341e-05
57,-0.00041521608926318304
58,-0.00034040988065446793
59,-0.001741910964545473
60,-0.000489161217242961
61,0.0008513145042578248
62,-0.0015174403272186442
63,-0.0020769887913862158
64,2.0911374085178e-07
65,0.0001433773685373433
66,-6.486239969026915e-05
67,2.8515234235559457e-05
68,0.0006121319938809424
69,0.0007987617331389483
70,-0.0013059856400422245
71,0.000637741485763826
72,0.0003051947340378329
73,-0.0008395212409706782
74,-0.0003642420196992442
75,-0.002410091248038365
76,0.0006545159581269229
77,-0.00047900888789617423
78,-0.0016647028724315611
79,-0.003112257362711886
80,0.0024417064168935853
81,0.004823766913816052
82,-0.0018193988933018984
83,0.017682675130121006
84,3.407785408796388e-05
85,0.00021789100543939753
86,5.7494619276974e-06
87,0.00020526766405439545
88,-0.001055510501266163
