,drop_co_hybrid
0,-0.0003221309282256649
1,-0.0006379042062494186
2,-2.307395293123296e-05
3,-0.0026392453924794406
4,0.00035911458983385326
5,0.00015705522332812614
6,1.0820019401256685e-05
7,9.534134968432751e-05
8,-0.000267687568388158
9,7.134437087712682e-06
10,4.289744946749256e-06
11,-0.0009504443091686524
12,-2.7967552338184373e-06
13,0.0001340460056568613
14,-4.140248083082388e-05
15,5.8325626396086715e-05
16,6.874491912917766e-07
17,-2.0573747291366646e-06
18,-0.0001984767088953594
19,-0.0002662681782983672
20,0.00023101250141771172
21,8.637193881907014e-05
22,0.0008057947151326949
23,0.0006132852023233108
24,0.00016882605556460634
25,0.00014337633115490983
26,-2.5810704303740212e-05
27,0.0009568506538529698
28,0.00012191725159880854
29,-0.00023516950645498732
30,-0.00016746712727167646
31,-0.0011078966107533673
32,8.107368157713347e-05
33,0.00013914085504654274
34,-0.00023280297001643726
35,0.0012756355636644276
36,-0.00013058246189873743
37,-0.0003283310335359051
38,-0.00011854901680373345
39,-0.004337009872721064
40,-0.0008943939048006416
41,0.0017392530102791196
42,-1.7789997259389722e-06
43,0.0015553906839929107
44,-0.0018544433632946894
45,0.0003060114051514162
46,0.0003335217133904528
47,-0.000854269120983019
48,6.222532271679371e-06
49,-0.00010658267606037773
50,-9.715690634529339e-05
51,2.83870146318842e-05
52,-5.432614190368233e-05
53,0.00018873593063522542
54,-6.742426729109701e-06
55,-0.0001870620472991388
56,0.0011094003613875843
57,0.0008867888301397939
58,0.00036515563105466364
59,0.007888982299412633
60,-0.00024485842192402353
61,-0.0001480223397177395
62,-0.0007474261229312593
63,0.001094973516550453
64,0.0002738885267168375
65,0.00013031027573070115
66,0.0003897672099268946
67,0.0024877547310006858
68,-0.00420063824263187
69,-0.0015905416206312762
70,0.0002244173492084377
71,-0.00046695617013501066
72,-4.6097003458513074e-05
73,0.00114759373725824
74,0.0009493932952349027
75,0.005785605854146048
76,-0.0030418197875661684
77,-0.0012801280652773497
78,0.0003861419772131367
79,-0.011789941393208195
80,-0.0013460976700770241
81,0.0008533806317400375
82,0.0012881533998290791
83,0.003778961085915776
84,0.0004093811565630689
85,0.0019436150081068638
86,0.0003251660434770948
87,0.007944229570764334
88,-0.000774921537887973
89,-0.0014390424014270326
90,0.000415101869371221
91,-0.006063797866128216
92,-0.001342975242969037
93,0.0023021565751005766
94,0.0011290077147845749
95,0.0063373276545075465
96,-0.0013213389748489594
97,-0.00030905138581466767
98,0.00317572440698318
99,0.0019401067902665831
100,-0.0009264587538626628
101,-0.00016247979960904438
102,0.0012838194647927577
103,-0.0004064529142693306
104,3.349613067613426e-05
105,5.3098264710194417e-05
106,0.0006445222425512415
107,0.0006162507273222167
108,-2.5471196309043042e-06
109,-7.451583533045888e-07
110,2.6142651499224826e-06
111,-6.210232565583097e-05
112,0.0006700079559724519
113,0.0010222573869544459
114,-0.0019750814418005294
115,0.00025987436676653267
116,0.0015692063238999434
117,-0.000316442982540512
118,-0.001521441413820668
119,0.00026668156302145737
120,0.0003716931648083048
121,0.0003890596938416377
122,-0.0004960919101448594
123,0.0013057149878839473
124,-0.0021502602429794336
125,0.0004802024551080953
126,0.00020898121308577557
127,-0.002576933318765177
128,-2.9840495137460294e-05
129,-0.0004935693960629945
130,-0.000833675347539713
131,-0.0033126523782975766
132,-0.0008573826149547661
133,0.0015740512428807708
134,-0.000724186450291328
135,-0.002438318783254898
136,-0.002684078433694536
137,-0.00015198828617587633
138,0.00031588019313058216
139,-0.008680507134004605
140,0.0009635717404524741
141,0.000765549742934603
142,-0.001525607912155777
143,0.0005512981740567787
144,-0.0006763902007333189
145,-0.001243795835949201
146,-0.0016537227719824103
147,-0.00908103267410332
148,-0.0003536452293278139
149,0.00047035831361393694
150,0.00237545976109861
151,0.006627234643489874
152,-0.0008515279650741134
153,5.118253800181175e-05
154,0.0005623270666310057
155,0.001056783037435624
156,0.0015099974573777432
157,0.0004664189588383832
158,-0.00011743662196946513
159,0.0035527997879704464
160,-0.0009219929020516253
161,0.003584662915490377
162,-0.002380736594192107
163,0.0011124840692707007
164,-0.001272081442785471
165,-0.0001565058762237148
166,2.777885722272998e-05
167,-0.003543830828932176
168,-0.00011101927439303466
169,0.0016516665858888231
170,-0.00020705759407830794
171,0.0020990837199952317
172,0.0003565356516128845
173,-0.00010551909395937949
174,-0.0005126839876249578
175,-0.0024678035996035298
176,0.000245794952979084
177,-0.0003341106933416539
178,-0.0013933349592140018
179,-0.0028160260997153286
180,4.6875938222193744e-05
181,4.846283451552077e-05
182,-0.003088947078794802
183,-0.0045232939079976
184,-2.281427788202467e-05
185,0.00016066892997324198
186,-0.0011862715385393303
187,-0.0014351123009386626
188,8.217616188017701e-05
189,-1.530074521403224e-05
190,-0.000413515337274049
191,0.0006325030366225318
192,0.0002139698036827053
193,2.2867128036593097e-05
194,8.967829472995065e-06
195,0.0004727276636422395
196,8.476950033762955e-05
197,1.7811132207011568e-06
198,0.00021012103367446102
199,-0.0004225147407347023
200,0.00028931778428272934
201,-0.00013230476054850978
202,-0.0013845271250178353
203,5.28383908534527e-05
204,-1.3655549720399139e-05
205,1.006725707980637e-05
206,-0.0025895910348029696
207,-0.0014252599326715582
208,0.00011780251360520543
209,-0.0014813160424613245
210,0.0007435937621813255
211,-0.0017106897286053972
212,-0.0007928514679043842
213,-0.0004642970821401255
214,-8.626654423257595e-05
215,-0.004205404882515194
216,-0.0007953940830966666
217,-0.0012360090983520146
218,-0.001332215595183928
219,-0.010571030815484116
220,0.0013867574558451036
221,0.00038308167616339195
222,0.00011716877928726863
223,0.0007634296871063872
224,0.000617423934104435
225,0.001232395697637513
226,0.0003079200926259553
227,0.006729315200401705
228,0.004331488284524006
229,-0.0018214796184236207
230,-0.000608120662585207
231,0.005576836565947287
232,2.120707542232275e-05
233,0.0013996337106377947
234,0.005824600362533361
235,0.01680897848990374
236,0.0014402449768699881
237,-0.0013981345149537729
238,0.01556988538518264
239,0.034925266405392154
240,0.0009898351777411234
241,-0.0003506380870020665
242,0.0008610472927355817
243,0.005130663817085449
244,0.0015752986349672317
245,-0.0016247018660848044
246,0.00010549138774580887
247,0.00032889718376691475
248,-0.0009212417798486184
