,drop_black_hybrid
0,-0.00012516065510129968
1,-0.0004254133122018103
2,-1.554076005034392e-05
3,-0.0015542501991824182
4,0.000585106788978319
5,0.0004602268499081296
6,-0.0009226039351603776
7,0.00030142965884170686
8,-0.0002655589553195614
9,1.241319703596344e-05
10,-0.00044624700514871954
11,-0.0021220327626454115
12,-3.28972820983177e-05
13,0.00015047220820078855
14,-7.580523977002619e-05
15,0.00011700242435931506
16,-1.476290890850826e-05
17,-2.184295239404784e-05
18,-0.0003858816494555793
19,-0.0013793700933061447
20,6.764476226830378e-05
21,-3.2673853979779785e-05
22,-7.175866031747088e-05
23,-0.00033859575681723835
24,3.061853546303247e-05
25,6.909086558940267e-08
26,1.5749304846968923e-06
27,3.5950830954133545e-05
28,1.768100669499952e-05
29,-4.942240365656353e-05
30,9.215754987737945e-05
31,3.919399841754077e-05
32,1.0078617314079246e-05
33,1.0892960047344716e-05
34,5.8756639721937605e-05
35,-0.00015678896135026815
36,-8.014451313632595e-05
37,-2.559895795515022e-05
38,-1.0254392074440738e-05
39,-0.0004490568119103276
40,0.0006475754603427556
41,-0.0011539482270865598
42,-5.217394196512103e-06
43,-0.0014763171048381653
44,0.0003122225804505607
45,-0.00011838112967650355
46,-0.00045431264819406484
47,-0.001888234280254397
48,3.7811460376686848e-06
49,3.4103374671211e-05
50,-0.00025624596947370926
51,-0.0005238570084750881
52,-2.5319929343233566e-06
53,5.3528174405166985e-05
54,-0.00010142400253773516
55,-6.613193460802425e-05
56,-0.00016349513842875242
57,-0.00010953357191571434
58,-2.459720306606183e-05
59,-0.0009760427063910733
60,0.0009097637153859698
61,-6.919745896892707e-05
62,0.00098590858134297
63,0.004890246283591432
64,-1.0298426999156797e-05
65,-4.489392437728393e-06
66,3.630995938036917e-05
67,2.1532985150751645e-05
68,-0.0012174094056366174
69,0.0014185176943797067
70,-0.0002341498373006462
71,-0.0025965801827514947
72,-0.0001817980782031261
73,-0.00023164035100373443
74,-0.00028965464202413907
75,-0.0023261358208746356
76,-0.0013133067308606263
77,-0.0007940266411611177
78,0.0002925959105258624
79,-0.006893545426231043
80,-0.0013106068577455963
81,0.0007997902322715937
82,0.0017274601951695855
83,0.003993616653225692
84,-0.0001054843357325968
85,-0.00045812379808581706
86,-6.877025671493878e-05
87,-0.0018531788948881712
88,-0.0003383065137697986
89,-0.0007261959518835425
90,0.0002723057065169244
91,-0.0031593437169037666
92,0.00041496254259838327
93,-0.0006564876194985669
94,-0.0003369732799328307
95,-0.0018831775629204494
96,-0.0010787481771798043
97,-0.0002445185254708579
98,0.0022359332837410435
99,0.001475784472697691
100,-0.00011520082212394699
101,-1.5204697605135308e-05
102,0.0001610448869004109
103,-4.634548762065348e-05
104,0.0003592841592861674
105,-0.0006276127589660013
106,0.0017179576308793707
107,0.0052533232233173185
108,1.6570710871053233e-06
109,-9.6356681328497e-06
110,-1.9471331332309656e-05
111,6.042409772628669e-05
112,0.0010120458214581134
113,0.0013566358458671883
114,-0.002152237124348773
115,0.0003338983353168271
116,0.0023695732021793464
117,-0.00041079198464771675
118,-0.0017662388914024814
119,0.00034897549906928694
120,0.000587026260010728
121,0.0005139691382503686
122,-0.0005756829657587432
123,0.001724851036749396
124,0.00044255126258871733
125,-4.676235515716252e-05
126,0.00036756005224936083
127,-2.210843840091258e-06
128,-9.391926011132379e-05
129,-4.465610783905332e-05
130,-8.066548845356865e-05
131,-0.0007945159983304508
132,-0.0012505028204410065
133,0.0015759064929327215
134,-0.0012145587069295294
135,-0.0031737183194547294
136,0.0006220952983607564
137,3.4210652475117975e-05
138,-6.665380841541413e-05
139,0.0019200299299732295
140,-0.00040301658658510847
141,-0.0003586736977606578
142,0.0006209886585035051
143,-0.00023717244889896497
144,0.00036535324236252725
145,0.0006096694723081777
146,0.000757567048906497
147,0.004446313294724395
148,-0.0007103367917611443
149,0.0009612082297104157
150,0.0034161336594485297
151,0.011811949879937618
152,0.00032035542235224197
153,-2.0829933026056918e-05
154,-0.0005020762969410698
155,-0.0005152586883127774
156,0.0002864947432239937
157,5.05163965423049e-05
158,-6.738886988697922e-06
159,0.00045277908674135417
160,-0.0007648483727095642
161,0.002312567937100593
162,-0.0013209967721604082
163,0.0007322251606831789
164,-0.0018468878819755952
165,-0.000248782774842417
166,6.703508302589731e-05
167,-0.006126395877925734
168,-0.000627168222433291
169,0.0045016494188867915
170,-0.0010038247375267833
171,0.008354368464776695
172,5.247898459126726e-05
173,1.0642730424295315e-05
174,0.00021026830778191356
175,0.00020016814293127467
176,7.014126461445458e-05
177,8.776199673220436e-06
178,0.000251622866562616
179,0.00013767162867578305
180,7.769991735972889e-05
181,2.0502308464546316e-05
182,0.0005456504052735679
183,-0.00041393791476798653
184,-3.0376924263545252e-06
185,1.8240700259918284e-05
186,0.00014416850713325614
187,4.5600513408285785e-05
188,3.563901436748341e-05
189,-1.4710668799034062e-05
190,0.00018724100744307675
191,0.0008193990939115027
192,0.0012827033741175675
193,0.0003142808026637839
194,0.0002520773844082226
195,0.005392758026042101
196,-0.00012162677781054082
197,0.00020513319113644213
198,0.0008480442126888738
199,0.002810351970004188
200,-9.194510358740362e-05
201,0.0004419696408694836
202,-0.0002102525763450024
203,-0.00039305396241624493
204,3.51980964448248e-05
205,7.544561389526209e-05
206,-6.270635059317361e-05
207,-0.00028794672928410275
208,-7.031541866848819e-05
209,0.0007854990950066927
210,-0.000368292120998385
211,0.0009230911759982644
212,0.0003862164851767428
213,0.0003510496055011743
214,5.98035053524069e-05
215,0.0026972122589879024
216,0.00025140164194267746
217,0.00041785292153264785
218,0.00043060092283537626
219,0.0034424572499913877
220,-0.0004345149073010113
221,-0.00012514305641787084
222,0.00026464066140002775
223,-0.000360288683679435
224,-0.00042235038668052266
225,-0.0007437732764153251
226,-0.00016131115099557789
227,-0.004030197384894495
228,-0.003908203080718962
229,0.001743838744404936
230,0.0005379840285809675
231,-0.005095963527592815
232,-9.770966317740206e-06
233,-0.0006148064231546196
234,-0.002472076440117441
235,-0.0073708791295237575
236,-0.0012846670665192371
237,0.0011488670008360155
238,-0.00822651318638812
239,-0.024773628896407825
240,8.612844938605632e-05
241,9.907524690196247e-06
242,-1.4984237291162452e-05
243,5.597563131916719e-05
244,-0.0009110695122382386
245,0.0008621891426832973
246,-5.4817456385947663e-05
247,-0.0001783523721792964
248,0.0004314123249505655
249,-0.0006893360205189108
250,-0.00012938408950172322
251,-0.0009209004547150263
252,4.2598788658992226e-07
253,2.513096831698447e-05
254,5.054779348907786e-05
255,0.00016903919848868993
256,-0.005923156105245237
257,-0.002379412908774023
258,0.002162720297287725
259,-0.021471522413069506
260,0.00033755182333452757
261,-0.00018177486246338763
262,-0.000671925526731764
263,-0.001970804868192513
264,0.0021783716939213563
265,0.0033306385288430617
266,-0.0023950897639285805
267,0.009287820846405087
268,0.00018805240607776836
269,8.04532439552423e-05
270,-0.000430666441499432
271,-0.00041459679169459046
272,0.00022655114535035498
273,2.320951184924924e-05
274,1.4932242205624262e-05
275,0.0006450022839204757
276,-0.0005814852239190208
277,-0.00019728636760784441
278,0.0025691452624817305
279,0.005807709696349849
280,-1.3570489495635432e-05
281,0.0015540089522275418
282,-0.0004555055459856962
283,0.0034805648278703433
284,0.0003073009847892631
285,-0.0007771115551476153
286,0.00016551286954435813
287,0.0002346575089658896
288,-3.387729797073697e-06
289,-4.7115748871921125e-05
290,-7.672240243282616e-06
291,-0.0003229230855203198
292,0.000563121374335547
293,-6.181486777845649e-05
294,8.785094339716451e-05
295,0.0017421706671871897
296,-0.001972150863136654
297,-0.0017696150625640522
298,-0.0014481361279982353
299,-0.015455698974450987
300,5.881693267061361e-05
301,-0.000160531355738021
302,0.0003861366968261418
303,0.0006456274786203178
304,1.978835667127889e-05
305,4.523503785145746e-05
306,-5.93609707928289e-05
307,-0.00015561737066756683
308,1.9522707546038395e-05
309,-0.00010080271257320379
310,-8.126999083657321e-05
311,-0.00036074992903227916
312,-4.524205673964036e-05
313,-2.8818035218735244e-06
314,1.8500044364204903e-06
315,-0.00011348152035754016
316,-1.1566809428228849e-05
317,0.00011748424332027253
318,0.00013161019510709283
319,0.0010784105179200323
320,-0.00019120899217018203
321,7.100689734212596e-05
322,5.421945672039946e-05
323,-9.284080859407715e-05
324,4.488557865618208e-06
325,3.8937948303794035e-05
326,2.527135380851853e-05
327,4.50076078914899e-06
328,1.2203230111175445e-05
329,1.3952047357088114e-07
330,-4.688484085150336e-06
331,6.9812717774176635e-06
332,-1.4323260024228376e-05
333,3.1483490768501332e-06
334,0.00011801087203090917
335,0.00023807140449077092
336,-0.00016175874200244404
337,-8.308443311259488e-05
338,-0.00032957778341560307
339,-0.0022495993066041923
340,-7.4871796535079545e-06
341,0.00044168171858391847
342,-0.00010019757634437927
343,0.001136952527813019
344,-0.00021511302703076826
345,-0.0008223750705011353
346,0.000285053158155177
347,-0.002558831892084195
