,drop_virtual
0,4.813140900944432e-05
1,0.00014549821426780736
2,1.0895737901580511e-05
3,0.000820211133358246
4,0.0014032539475169372
5,0.0016146046201425874
6,-0.003629616966957787
7,0.00098498769567315
8,-0.001430186518933207
9,3.9448290258819136e-05
10,-0.001129957320698501
11,-0.007369232109641138
12,-0.0002100158853173767
13,0.0008891585930506301
14,-0.0005248650552390243
15,0.0007466538997834965
16,-0.00017000855728569052
17,-0.00027328932745020065
18,-0.003974123113597085
19,-0.01573847035229223
20,-0.0005802085444173885
21,0.0002733033283050726
22,0.00010303376515910821
23,0.0022266649174424195
24,0.00011801900923153743
25,6.282193171254735e-05
26,-3.8769528013775655e-05
27,0.000879808629868637
28,-0.000244813186397387
29,0.000684622932012399
30,4.904269601692053e-05
31,0.0020023391750021626
32,0.00011773960380073901
33,5.5243886444542464e-05
34,-9.655234848107362e-05
35,0.0006957608804579949
36,0.000559784174386442
37,0.0003834587442824148
38,0.00013394757546016897
39,0.005493387601459466
40,-0.0006340859417018892
41,0.0008869681019234278
42,1.245285374672936e-05
43,0.0017775321845442825
44,-0.0004064293551514357
45,-6.826993777590274e-05
46,0.0014150871301989263
47,0.003496229466672431
48,-1.9957378648802145e-05
49,-7.042714226931368e-05
50,0.001136840986591514
51,0.0021678496748428764
52,-6.614227123999693e-05
53,-6.3530446923173476e-06
54,-0.00021330882973120293
55,-0.000220545974701666
56,0.001078815986088586
57,0.0009762411702285458
58,0.0009244241504402518
59,0.010370713390367787
60,0.0006072656989815814
61,-5.546408017925501e-05
62,0.0016715535423219808
63,0.005134160159227712
64,3.1691988952526195e-06
65,-6.111770257943914e-05
66,-0.000431714514950553
67,-0.0012934098432815608
68,0.004290045076385019
69,-0.001559536124643003
70,0.0003796199966085983
71,0.004997296688648762
72,-0.00061565772737582
73,-0.0022207011971646646
74,-0.001888518345674892
75,-0.014563663550280744
76,0.0009047830590647509
77,0.0006596477426420873
78,-0.00015411800759165616
79,0.004688658915883924
80,0.0007287239267664195
81,-0.0004516245852935598
82,-0.00043096853700408426
83,-0.0018203602593648764
84,-8.33140917984388e-05
85,-0.0004368847609592424
86,-9.279939695155163e-05
87,-0.0019098415610562163
88,0.0002491912053934527
89,0.0006531987859199695
90,-0.0002325777983277575
91,0.0026321193137041317
92,0.00035396323348901247
93,-0.0008805887895883303
94,-0.00043547677265970473
95,-0.002193171303135521
96,0.00041276409717179706
97,5.836374021043269e-05
98,-0.0019997563948975002
99,-0.0008009434933500088
100,0.00020585353222390894
101,5.029206511452039e-05
102,-0.0006410969097788605
103,0.00014579365444749087
104,-0.00035095436891454236
105,0.0006993870634558137
106,-0.002084900618612074
107,-0.005750030047865544
108,-1.0236253856638692e-06
109,0.00016140114190188977
110,-2.1940934988936216e-05
111,0.00011378187383409452
112,0.004071876458041174
113,0.0054775282542011815
114,-0.008732903634718967
115,0.0013488322539929466
116,0.009530293403520374
117,-0.0016590502141787726
118,-0.007163162251190787
119,0.001409413823064005
120,0.0023587246240098854
