,elapass_black_virtualper_inf
0,-0.00025827675068649343
1,-0.00010070721223332884
2,0.00027672206209638904
3,0.00104888295251019
4,-0.00037829894038803546
5,8.625383745882599e-05
6,-3.171433442051338e-05
7,-2.6684818722018316e-05
8,-6.43305410591541e-05
9,-2.637401275560074e-05
10,4.871479828373088e-05
11,-0.0001545036669297046
12,0.00029326666076717024
13,0.00013934254718441205
14,-0.00027689993388326173
15,-0.0018682658924837848
16,0.00020182039951976343
17,0.0008192509804390798
18,0.00040616388995175126
19,0.006388455594814809
20,0.004629510963902525
21,0.0009635175931630139
22,0.006416978637440777
23,0.04033777123920634
24,-0.0024162799817927113
25,0.004153076878631635
26,0.0010925236218758672
27,0.016636251556178035
28,-0.0014901122401825492
29,0.00021071216668497737
30,0.0017035791812171832
31,-0.002252183777354182
32,-0.0001750127006880776
33,0.0005482521524960382
34,-0.00020760977451927555
35,-0.0006566612648924423
36,0.00019157776341827766
37,-4.7406706909288734e-07
38,2.8207981430041615e-05
39,0.00021146710183609144
40,-0.0002455466252770073
41,0.0003046059966148185
42,1.0849321622654596e-05
43,0.0006978766804530726
44,-0.0005745070304126778
45,-0.00016144544431170404
46,3.1109956390276238e-06
47,-0.0002761143310311853
48,-0.0004720230829518575
49,-0.0007226251070817462
50,0.0023677309828603124
51,-0.00030904255461503704
52,-0.00015061600599684696
53,2.049473629000593e-05
54,0.00028762579508845684
55,-0.00018517891592448077
56,-0.0031593965589991543
57,0.0022357954072069726
58,0.0006238283454476614
59,-0.0006122916202759254
60,0.0011216531012979507
61,0.00044740824832485606
62,-0.003187735134474472
63,-0.0052152779560866195
64,-0.0002750102720036748
65,0.0015796334961341878
66,-0.0004226142220181448
67,0.0015632442012123336
68,-0.001436179804085175
69,-0.0003836762884071647
70,0.0007034897039050229
71,-0.0032820619728354
72,-2.7316352920353952e-05
73,-0.0002706707637907416
74,0.00011451228063034442
75,-0.00023814764013058864
76,-0.00075754696050045
77,0.0001990542990470208
78,0.0010941248215986603
79,0.0020580245894824237
80,5.921528514682576e-05
81,-0.00025456093149480797
82,0.0007176130324927915
83,-0.00024577379852165263
84,0.0005214777899066912
85,-0.0015089864418700544
86,0.000264172119420604
87,-0.00044351595717273773
88,-6.731271539655899e-07
89,0.0005119498889303394
90,6.8862359303669575e-06
91,0.0009681769328644638
92,-0.0001168533598548201
93,1.665553186477482e-05
94,0.0015331444923500994
95,0.005273653853490166
96,0.00040637327181810895
97,0.0001675777994010481
98,-0.00017678947332597363
99,0.00014274380640833892
100,0.0001175829685420922
101,-6.842827134675895e-05
102,-3.6306293334626704e-05
103,4.209381368211028e-05
104,4.02025526321676e-05
105,0.00017458655966545361
106,-0.00037930860674927834
107,-0.0009789566516080288
108,0.0002401008732253287
109,0.00024107513854781652
110,-0.0015422909676762351
111,-0.0026526190063860693
112,-0.0002773493709934125
113,-0.0011444454676430914
114,0.0003128240855794504
115,-0.0032026215854489056
116,0.00019412682291637692
117,0.0006196658801164949
118,0.00020932016027548335
