,elapass_wi_virtualper_inf
0,-0.00021373357551007747
1,-4.954242439488396e-05
2,0.00018850652502107063
3,0.0006023279300855028
4,-0.00028471867884088205
5,0.00010861767374018317
6,-7.333598771507335e-05
7,-2.0409457379407278e-05
8,-0.00022732828623953053
9,-0.00036788959138286226
10,8.77454707124206e-05
11,-0.0007047700471861805
12,-0.0005917149539808787
13,8.016148126783452e-05
14,-0.0001809828213962348
15,-0.0020108275011434494
16,-9.159897043561888e-06
17,0.0001475635956910736
18,0.000918575137457295
19,0.0023868398205754734
20,0.002409376537947275
21,0.0004164699531204351
22,0.004274358934788432
23,0.021406592201438455
24,-0.000910521829682764
25,0.00016048418482154649
26,0.0006042094945571284
27,0.004540170056695799
28,0.0002577678893092672
29,-9.387087024473731e-06
30,0.0013281977725430531
31,-0.0005855524275877944
32,-9.709517691244649e-05
33,-7.903042956421019e-05
34,-0.0002462744278083977
35,-0.0002848845412060264
36,-6.589734710703815e-05
37,3.481850584892498e-07
38,-2.1469958900914923e-05
39,-9.875830877817549e-05
40,-0.0008094051995675743
41,-6.840423531958023e-05
42,-0.00015965341514253637
43,0.0009203965373448473
44,6.295469227881475e-05
45,-1.0721165454832358e-05
46,7.159050614796642e-05
47,-4.954895021627626e-06
48,-0.0006955623018223894
49,-0.00036004791100666784
50,0.0013045066657767115
51,-0.00021078176522649223
52,-0.00047740150350448194
53,2.165997359462873e-05
54,-4.477979835873317e-05
55,-0.00021057598380973963
56,-0.00216055936777087
57,0.0014048616934057951
58,0.0002293881432868165
59,-0.0003469631741391816
60,0.0005199116221478692
61,0.00017169972869306009
62,-0.0017892086315207177
63,-0.002465306069400229
64,-0.0001543720309023667
65,0.00046445213767575206
66,-0.00026532469400010646
67,0.0007666986490938878
68,-0.0005416641879390112
69,-0.0001839767594489547
70,0.0004481214849179239
71,-0.0016353776347985975
72,4.386769196677493e-05
73,8.6925695482692e-05
74,7.398462469683121e-05
75,-0.00016318041783958755
76,-0.0003953823100003786
77,8.405792159682735e-05
78,-4.879607889795437e-05
79,0.0006164251476696928
80,-7.410103374330791e-05
81,-0.0003017935699073581
82,0.00036325215074750806
83,-0.00022888153624769667
84,0.0003859942583965832
85,-0.0007279476987531772
86,0.00036450385173898556
87,-0.0003229073557535822
88,1.7314838851499165e-06
89,-4.9129698571485655e-05
90,-1.1596847264752884e-06
91,0.00033734604213709306
92,-4.273187778053459e-05
93,1.0486826765580106e-05
94,0.0011546410372182145
95,0.003002037245182907
96,1.3852999518746377e-05
97,7.408002353575212e-05
98,-0.00021370651796528124
99,4.289333589859022e-05
100,0.000283374904653591
101,-3.731257786312431e-05
102,-8.235852205679433e-05
103,6.968153325458425e-05
104,-1.5291792104604625e-05
105,-8.669100627184743e-06
106,8.269756014981608e-05
107,0.0001961000874890353
108,-0.00023692295415891302
109,-3.922082083304965e-05
110,-0.001852686067203072
111,-0.00020311053913494125
112,-0.0001272308483431335
113,-1.989011480038317e-06
114,5.079246743356745e-05
115,-0.000574792527022618
116,0.00011177299778283437
117,0.00017449694810483247
118,9.912810533122085e-05
119,0.0015512950682245838
120,8.428204790429668e-05
121,0.00022917343214010234
122,0.0005707479590076557
123,0.002495513508767743
124,0.0010234065874123886
125,-0.0002219821883365122
126,0.0018760636072879368
127,0.007336354233450053
128,-0.0002252746213642134
129,0.0001513564347861191
130,-0.00021754458594496184
131,-0.0007494869329997985
132,0.00012726192399178476
133,-0.0006241018341897557
134,-0.00043471973347424756
135,-0.0033512045377919546
136,-2.1209422140774203e-05
137,0.00020209942446867783
138,3.306375777573521e-05
139,6.5510588038667735e-06
140,5.421318588448781e-05
141,-0.00010719442860782801
142,-0.00011102281578829573
143,-0.00022408421861336376
144,-0.0005221460084587218
145,6.088693442474214e-05
146,-7.98963109177278e-05
147,1.2137029586099366e-05
148,-1.442739367821549e-05
149,-0.00036784904322028603
150,1.1266712857870025e-05
151,-0.001099272209552573
152,0.00036830273916584543
153,-0.0017443914924792382
154,0.0009185283630867668
155,-0.0016528241693141224
156,3.8628664060218906e-05
157,-3.854895024387864e-05
158,9.961490064640798e-06
159,4.253844323536144e-05
160,-1.089206717323268e-05
161,1.3369837750140286e-05
162,-2.6202760880870443e-06
163,5.260020530250179e-06
164,-0.0011536858711496173
165,-6.248455711108965e-05
166,-0.00032478930209276635
167,-0.0006626458816402235
168,0.00024637445129595687
169,2.132531053020004e-05
170,8.887893236410707e-05
171,-8.198052386760083e-05
172,0.00012328421734034132
173,-1.4546957092403575e-05
174,-4.6870650676772686e-05
175,-0.00020540578472718674
176,-0.00015909675688170597
177,-6.426245992563404e-05
178,4.682663791150303e-05
179,-0.00047708535205400127
180,-0.0004304645544203269
181,-0.0007632933861258354
182,0.0006240263876579531
183,-0.0015018041202233695
184,-0.0005343704618333647
185,0.00018278699342396776
186,0.000338515983469252
187,-7.78994010879793e-05
188,-0.0007445066887940313
189,0.00022933614557533408
190,-0.000202325429016766
191,-0.0017849026813581909
192,8.501215054175408e-05
193,8.958927159204745e-05
194,-0.00010729105056420484
195,0.00018192041240346402
196,-9.97534599871953e-05
197,0.0004653497875395621
198,9.48938202432034e-05
199,-0.00013237661980029623
200,0.0004188400826872768
201,0.0001898702487214609
202,2.6785060051608636e-05
203,0.0009187996444538541
204,-1.504415963489378e-05
205,-0.000995283415527433
206,-0.00011286821534527487
207,-0.0038621740861253494
208,-1.7202737865331598e-05
209,-0.0002289244935519934
210,-7.153260624396016e-05
211,-0.00012720218943648205
212,4.1154037919847424e-05
213,1.9842197181035673e-06
214,-2.354936654125092e-05
215,-0.00011176146881078528
216,-3.369496936801211e-05
217,-0.0001265747323907987
218,0.00014715714872208044
219,-8.466619759477026e-05
220,0.0003190793096524023
221,-0.0005565893354850022
222,6.46833007954717e-05
223,-0.0007522504990064357
224,6.6007166599684955e-06
225,8.294532681818138e-05
226,0.00031542981788733505
227,-2.7924599345044e-05
228,0.0003220416513379259
229,0.00010347156824370963
230,-0.000386249912765221
231,-0.0002254681063366499
232,-7.886442284800353e-07
233,-1.692818493626262e-06
234,-8.655492699895573e-07
235,-1.0867885840512017e-05
236,-1.8541447094709814e-05
237,-7.689872054013843e-05
238,-0.00021492518376536881
239,2.053016820395746e-07
240,0.00024308282327032676
241,-2.5417560648037518e-05
242,-6.709919028824573e-06
243,0.0003520352746874256
244,-0.000678296481071392
245,0.00031726555450192436
246,0.00038758536499381775
247,0.0017051468677276322
248,7.345194251553868e-05
249,6.331216410516075e-05
250,-9.872842469455179e-05
251,7.389767156765095e-05
252,-0.00014050121766483986
253,0.0005936141025428088
254,-0.0008230427176441333
255,-0.0010721827134025765
256,-1.0990903870919332e-05
257,-2.236489819156182e-05
258,0.0007628953694518657
259,0.0017037178990976446
260,-0.0014891100558008003
261,-0.0004985242517575068
262,0.0004679843947737347
263,-0.003939281082787835
264,0.00042933294465720943
265,-6.860020833894005e-05
266,-0.00013162572009421317
267,0.00041582162308249025
268,0.00036274517281473066
269,0.0006072081572704166
270,-0.0004640323940664483
271,0.0061056864318518355
272,-7.994658015501704e-06
273,0.0001655365792043087
274,-8.632715902392191e-05
275,0.0002797467597663448
276,0.0029819904047662707
277,0.0009553875609101827
278,-0.0026133994500488877
279,0.005910249204959668
280,-0.0007258689305865122
281,0.00026950338202842955
282,0.0005029035065293744
283,0.0003265159177514847
284,2.054624488339244e-06
285,-2.5898686927108266e-05
286,-5.1181113847816343e-05
287,-0.0004892565096301598
288,7.70648978817529e-05
289,0.0001173955735399029
290,5.434290698480123e-05
291,0.00013522280617766868
292,0.0001220963487426907
293,-0.0002190131544156096
294,-8.064417884398354e-05
295,-0.0011757470206360183
296,2.528523771043166e-05
297,-0.0004546649872164213
298,0.00030571336071681703
299,0.000268560652868818
300,0.00046924340578455477
301,-0.0005046324640188451
302,-0.0005533120669162482
303,-0.0010096585910306566
304,-3.915390376678603e-06
305,5.8679181920984114e-05
306,-6.860828179513442e-07
307,-4.0240587467254524e-05
308,0.0002401863606855842
309,0.00010827925333771232
310,-0.0003031812330115485
311,0.0003748557673370168
312,-0.000660575736900968
313,-0.00015533724768406357
314,0.000737202531931691
315,-0.0005948504103380141
316,-4.7972575291575494e-05
317,-5.635796604074828e-05
318,-5.793436099336289e-05
319,3.2491150358574534e-05
320,1.0691503827704478e-05
321,6.807393434112148e-05
322,4.1865106065889124e-05
323,0.00019496188224221378
324,-6.826319325480842e-05
325,0.00032772074433512564
326,7.968314170804352e-05
327,0.0002817879483448907
328,0.0003301180572780565
329,9.888612120658463e-06
330,2.388636994110717e-06
331,0.0004913543819987573
332,-6.399935820006607e-05
333,2.5404436947489907e-06
334,0.0006077230905360293
335,-0.00025070338182308423
336,0.00015706068562159936
337,-1.575403799740628e-05
338,-0.00011344324730036213
339,0.00013945021324997107
340,9.091311521624247e-06
341,9.93403252760315e-06
342,-3.0113647655145942e-05
343,0.00017423302306107728
344,-1.4935311172164331e-05
345,5.534622353473514e-05
346,8.81761279354868e-05
347,0.00039339255150396647
348,-0.0002303943256655853
349,0.0002758401944067481
350,4.31481464208556e-05
351,0.0003856430479639403
352,-0.00020093011041940532
353,0.00016502075697223743
354,0.0002558507239514718
355,0.000871857904452471
356,-1.7525991488527713e-08
357,-3.895344788722865e-05
358,2.919093726814544e-05
359,5.135331952354872e-05
360,7.958997777451061e-05
361,-0.00018184602465181062
362,0.00048123092242103287
363,-0.0002036269746634324
364,-0.000340608183712304
365,0.0006280241522922833
366,0.00045112275683075305
367,0.0015191520726466107
368,0.0004963599985834317
369,0.0003721392758205135
370,-0.0007680677277818139
371,0.00039109505752585387
372,0.0005773055172272136
373,-0.0002740185197887323
374,5.2957405017068035e-05
375,0.000659694058601796
376,0.0016498030781603582
377,0.0002783623139758772
378,-0.0018651908571901785
379,0.0003374952244597928
380,0.001695404074915656
381,-0.00042666121130831037
382,-0.0011829754795254445
383,-0.0009332093732672619
384,0.00025208468815546243
385,2.4816544754085836e-05
386,0.00023609564114525933
387,1.3087299286658069e-05
388,1.7582467428640653e-05
389,9.811706005372009e-05
390,0.00014040332616418693
391,4.203789980309403e-05
392,-5.336331627584617e-05
393,0.0002419047437235402
394,-4.835509554352712e-05
395,1.0308760729503603e-05
396,8.265550331544141e-05
397,-4.1896169799325506e-05
398,4.548320136300975e-05
399,2.45414620952497e-05
400,-2.7403834904853305e-06
401,4.354095139175093e-05
402,-1.2688240392705655e-05
403,4.191971800871143e-05
404,0.0011233864157259156
405,0.00020432991272002944
406,-0.0003970921157899868
407,0.002917307811593654
408,1.773451848255399e-05
409,-5.241676722750051e-06
410,-2.4588289523528476e-05
411,-6.628851507558068e-05
412,-1.4686631728276376e-05
413,-3.108712423940843e-05
414,3.727787292192409e-05
415,0.00017875712183039932
416,-0.00028533658169127937
417,0.00013131457428270342
418,1.9964077801291386e-06
419,-0.00010598385378168667
420,1.5325695592889904e-05
421,0.00011300464436905222
422,3.583800489115033e-05
423,0.0008742062010781735
424,2.703410461528484e-05
425,-0.00017325636999661835
426,-1.2743114695444341e-05
427,-0.00028935050971457026
428,-0.00011332313270440772
429,0.00036391525455747447
430,7.352390829250666e-05
431,-4.476065570867227e-06
432,0.000133250520665864
