,mathpass_in_virtualper_inf
0,-0.0008803749309396116
1,-7.379179439049543e-05
2,-0.00046541021147590203
3,-0.00015771361570520505
4,1.861093332477166e-05
5,-3.4580924806701106e-05
6,-0.0001202637266251624
7,0.0010275129938994915
8,0.005264332693553724
9,0.0016217219325800024
10,-0.0011483362153546755
11,0.013486289107091739
12,0.00585967272763909
13,-0.0005375744957572312
14,0.0004878894390051576
15,0.012652313720979611
16,8.307931079308336e-05
17,0.0023838839935065785
18,-8.196277888185201e-05
19,0.004594001127720605
20,-0.0027254776778345355
21,0.0011805678621894587
22,-0.005729326191818639
23,-0.022404093666137197
24,-0.00731577854151862
25,-0.0022724733573850106
26,-0.0007704616787443626
27,-0.03573631348666918
28,-0.00098901520133275
29,1.5033125936163736e-05
30,0.0004148949454000551
31,-0.002840898675983642
32,4.889958825593149e-05
33,-1.625533176840375e-06
34,-0.0009284079157392568
35,-0.0009024288509450267
36,0.00031284563510235847
37,0.00013442892606035833
38,0.00012599463601823186
39,0.00029441724287749616
40,-6.180663690852291e-06
41,7.371656546087392e-06
42,-0.0004304508551848665
43,0.00010905106720174903
44,1.8975281792763427e-05
45,0.00011408425200249125
46,0.0003297489055484911
47,-0.00021960155238102933
48,0.0018730256277891737
49,-0.00010079352027536571
50,-0.0006618911379769105
51,-0.001996369913884215
52,-1.5199490327104573e-05
53,-2.6146401586767695e-05
54,-3.9006555491961104e-05
55,0.0006344392074117296
56,0.00010187624360703348
57,-0.001678114458049027
58,-0.001568963065965972
59,-0.00847897319968974
60,-0.0006139603122546865
61,0.0018997673412735284
62,-0.0028617751333060845
63,-0.003454749959297592
64,2.441808507765237e-06
65,-0.0005611098092033482
66,0.0004899240384928148
67,-0.0003783397483046571
68,-0.00039926898693413027
69,-0.00022196404428760308
70,0.0005975850402821502
71,-0.00028517874830703854
72,1.6579826173124776e-06
73,-0.00027092086582082163
74,-0.00019480906103368621
75,-0.0007241721573778119
76,0.0008799647322900966
77,-0.0006447221050772926
78,-0.0021676452309869246
79,-0.0041322829673228235
80,0.0038954910873373874
81,0.007326836025397541
82,-0.0024456043201229708
83,0.02618369312941379
84,-5.338522614131669e-05
85,-8.143490213306669e-05
86,0.00010020377329844529
87,-0.0002628048598954468
88,-0.0010600285280254014
89,5.1255953485868646e-05
90,0.0008077524496459526
91,-0.000769578116997974
92,0.0005018720913287298
93,-0.00043327008119215877
94,-0.0007931938645488199
95,-0.0036213307027255373
96,-0.0001006287928600155
97,0.00011147509572626235
98,7.811473236823328e-05
99,-0.0011702250503134804
100,5.016063625719697e-06
101,9.693921948491675e-05
102,-0.00010390052642003875
103,-7.870146766910482e-06
104,0.000531404003628994
105,-2.5426419751958452e-05
106,-0.00018933347725013294
107,0.00025243614142896314
108,-0.002434858530493388
109,0.0006596426179792765
110,-0.0021088848038013116
111,0.007996998045276888
112,5.6798464170460424e-05
113,0.0004528883693723267
114,-0.00019155020922496328
115,0.0009025211735141078
116,-0.00022611323911334556
117,-0.0008662948032174395
118,0.0002217248068931781
119,-0.002277601285020948
120,-0.004423997042806938
121,-0.0002206962331332719
122,0.000986270439093144
123,-0.005320999162560812
124,0.0007832654912725926
125,-0.003777214410311381
126,-0.003984334738509649
127,-0.024270245061090562
128,2.8005620114594196e-05
129,-7.433465713254895e-05
130,0.00022522882608918797
131,0.0004453119232146621
132,-1.3284151657165718e-05
133,-0.00012846865953718183
134,5.5499481410624315e-06
135,0.0004049613989888506
136,-0.0001512812853006494
137,-0.0005152485191319637
138,7.936134064548906e-05
139,-0.0003044014537095598
140,9.28581115706072e-05
141,0.0008314551899887274
142,-0.0005538549983073265
143,0.00043147766265381516
144,0.0009628864568772674
145,-0.00015780788771440076
146,-7.291068124992642e-05
147,-0.00014278749080972052
148,-6.210792482447302e-05
149,2.8694360768833824e-05
150,-2.6955837246840103e-05
151,0.000474648283188898
152,-0.00011199548713733572
153,0.0003217949490375771
154,-0.0014486373801144016
155,-0.004532824199524326
156,8.659922112014716e-05
157,-7.099710122578387e-05
158,6.93660049219493e-05
159,-8.828274672792254e-05
160,0.0003167783780156808
161,-0.00035686207762493534
162,0.00017830691525606995
163,0.0007723342622214011
164,-0.0005850779811284061
165,0.0003386038464084655
166,0.00020484539065963173
167,0.000126620748895845
168,-4.6220190182191665e-05
