,drop_ed_virtual
0,6.396254512084057e-05
1,0.00029527763618397425
2,6.2984077565269835e-06
3,0.0008023191269765095
4,-0.0011498339349941585
5,-0.0013395977713576595
6,0.0035205977548742233
7,-0.0008709063257393183
8,0.0010752455958195322
9,-3.7698026411276e-05
10,0.0012383080161803154
11,0.006760420911004714
12,0.0001717076133488204
13,-0.0006860391479300396
14,0.0004269089463957458
15,-0.0005985240867873947
16,0.00013675768444659878
17,0.00022472725186594187
18,0.003299808674909506
19,0.012886326550333805
20,0.00030001872004291704
21,2.1095988994542464e-05
22,0.0002587069842261703
23,-0.00041150006311405367
24,0.0002874101777432802
25,0.00045743915424080055
26,-4.922075802307425e-05
27,0.002125301019281264
28,0.00029140692182856863
29,-0.0008867515144922467
30,-0.0003289108041793187
31,-0.0030142816092022127
32,0.0006864389222625409
33,0.0007071853054632965
34,-0.00042871006186469274
35,0.0044547577444610815
36,-7.967053496402226e-05
37,-0.00026393082614159383
38,-9.393377030330131e-05
39,-0.0034253685929569906
40,-0.001496416667941693
41,0.003078905153227447
42,1.4328745586114092e-05
43,0.003763129032874655
44,0.0005815628136891122
45,0.000549011693210343
46,-0.0007004452527801139
47,0.003765731056627717
48,8.695768460953524e-06
49,-6.638822174665591e-05
50,-0.000418924830229436
51,-0.0005168048241504143
52,4.0243586075502034e-05
53,0.00018103576755860063
54,0.00037023235530748234
55,0.00016345070790865196
56,0.00044253850506264576
57,0.0004969061511733811
58,-3.7005611181833004e-05
59,0.002845034816534811
60,6.74919964692791e-05
61,-0.00010441602443092249
62,-0.0001033138001197217
63,0.0019840643477614162
64,-8.715959028396987e-05
65,0.0001289605598663927
66,0.0005688368394975579
67,0.0017132466488608234
68,-0.000820348411873408
69,-0.0018956560192475475
70,0.00020035092379505704
71,0.0016548082505752665
72,0.0013107345876668306
73,0.0032779707765883247
74,0.003003739149996004
75,0.023962721425936633
76,-0.001296771144718595
77,-0.00043059822208989414
78,9.417794260079901e-05
79,-0.004077711495705908
80,-0.00067311010603989
81,0.0004068907944011573
82,0.0006442404010371157
83,0.0018551888777137437
84,2.205779441739502e-05
85,0.00024153892234227416
86,5.544348009005671e-05
87,0.0009601995714097213
88,-8.61431206098469e-05
89,-0.00039634519475682556
90,0.00013755643006321824
91,-0.0013938859682853491
92,-4.655300592656063e-05
93,0.0006048016146452623
94,0.000325435224935871
95,0.001263534462696661
96,-0.00020797548115529787
97,-3.680859491859149e-05
98,0.0010334477113376108
99,0.00042395548597936374
100,-6.424282715313966e-05
101,-2.2558323014921082e-05
102,0.0005396901839610234
103,-9.26184931773264e-05
104,-0.00017356603326922808
105,6.316874476310892e-05
106,0.00023903253288822345
107,-0.0008749891894411231
108,4.28793742352063e-06
109,-1.4620060276976948e-05
110,1.4630504785898947e-05
111,6.585886252968261e-05
112,0.007023107527070422
113,0.009649537132268626
114,-0.016640176670866952
115,0.002424234417259384
116,0.016577580299266675
117,-0.0029584101339827306
118,-0.012985184559830538
119,0.0025062989520373783
120,0.004055612384198391
121,0.003671648283092664
122,-0.0042116464062816
123,0.012305528579274343
124,0.00037986704072001247
125,-1.5030265513429858e-05
126,-0.000329209860336561
127,0.0005253128075078673
128,0.0001259336414358045
129,-0.0002532301001789613
130,-0.00032574400354513493
131,-0.0007694550669382005
132,-0.0004129109591380657
133,0.000631937537574377
134,-0.00011112207143021513
