,drop_co_virtual
0,-0.00010650941433501968
1,-0.0004541084754760709
2,-1.890375782267482e-05
3,-0.0017090702622013212
4,-0.0018982456854383708
5,-0.0019206062326252548
6,0.003984435507291874
7,-0.001175744727788245
8,0.00133407100329795
9,-3.627137267281345e-05
10,0.0009391303153571331
11,0.006622479467121939
12,0.00013095111920108024
13,-0.0005924809855514896
14,0.00033562080506223754
15,-0.0004795452194271652
16,0.0001052734987299011
17,0.0001708940698718065
18,0.0025597171849209748
19,0.009901850043070506
20,0.0005232988019627174
21,-0.0004415195133683715
22,-0.0006964988198431803
23,-0.0031929705703584144
24,-0.0006004904884007353
25,-0.0004994029264428064
26,0.00012197804149461131
27,-0.0037975863666448503
28,-0.00029925873798861764
29,0.0005132932724441417
30,0.000831317556980804
31,0.0034273256515563143
32,-0.0008896655776402221
33,-0.0007960527056845301
34,0.0005575749141974482
35,-0.005511472325619857
36,0.0025759553277639653
37,0.0005019469930047847
38,0.0001296741627225554
39,0.008599935411465826
40,0.0007851601747518822
41,-0.0013028661692620382
42,-9.835271897714364e-06
43,-0.0019587371820087526
44,0.000489187561416663
45,-0.00035729406627631335
46,-0.0020366384667956246
47,-0.00927535726019316
48,1.090726772291052e-05
49,7.73739190743873e-05
50,-0.0007101775538686567
51,-0.0014075822527291042
52,0.00011649188993727698
53,-0.00021879231663623317
54,0.00029939850563394756
55,0.00044488970306703207
56,-0.001935867418099506
57,-0.0017580222555669042
58,-0.0013355431368159195
59,-0.01729947992966703
60,-0.001741264369069675
61,0.0002754044721342421
62,-0.002911254406526337
63,-0.013827282671832752
64,-0.000723527241796722
65,-0.00033692427201313934
66,-0.0007044673909093951
67,-0.005810863468945713
68,-0.002208372445922577
69,0.002526341816783766
70,-0.0005610527377845375
71,-0.005143584716115137
72,-0.0014596553136002608
73,-0.0019159442054555043
74,-0.0017384280337450926
75,-0.017122341101106952
76,0.0002880235823705673
77,-0.00015613637099522353
78,2.40607018887324e-05
79,-0.0002421961355177144
80,-0.0001902668102258418
81,7.147575470853105e-05
82,-6.972847547866261e-05
83,0.00025253825389192556
84,-8.337437974704225e-06
85,-6.825825336720404e-05
86,8.760584167399867e-07
87,-0.00013856671681612218
88,8.89661497484889e-06
89,-9.743365576589017e-05
90,5.843535636192499e-05
91,-0.00035427609014862055
92,-2.6378422073359878e-06
93,0.00021839197971219515
94,0.00010569753732870639
95,0.00041283617153829824
96,0.00011490896377749986
97,6.020414711518508e-05
98,0.00026610568275429243
99,-8.732284110362038e-05
100,4.368599166044441e-05
101,-1.8450900879868707e-06
102,0.00016164476983385957
103,-1.6041238274368848e-05
104,0.00023018985372113152
105,-0.0005514920263767814
106,0.0011994738921383215
107,0.0038813380218206735
108,-3.2684798954356944e-06
109,-0.00031503693518809866
110,9.396004454954122e-05
111,-0.00041783327786634457
112,-0.0021521388648187054
113,-0.0029292832072156426
114,0.004750062515913731
115,-0.0007227327533789559
116,-0.00503738226045446
117,0.0008891532837317049
118,0.003871324201501149
119,-0.0007539492373546464
120,-0.0012423966183725537
121,-0.0011105211279017755
122,0.0012619863660210074
123,-0.003723187479502787
124,0.0005296783130016337
125,-4.325606238830753e-05
126,0.0009739613964482953
127,-0.0005362724048459911
128,-7.761557378371315e-05
129,-0.00010982779665552108
130,-0.00015551004166696473
131,-0.0010625925759057192
132,0.00029749476735804487
133,-3.160079372111643e-06
134,0.00023438929854116384
135,0.00044061183440889147
136,0.0013146383665882963
137,5.0365774036390196e-05
138,-7.937923306780009e-05
139,0.002982891861285446
140,-0.00030100925080434195
141,-0.0003237684018485347
142,0.0004845736223337091
143,-0.00019230918796301588
144,0.00026835925858743914
145,0.0004956906241356521
146,0.0006042510287021772
147,0.0034884799921958655
148,0.00010980610866214448
149,-0.0002494218503085256
150,-0.0013014601808181035
151,-0.0031182065933285778
152,0.00023305580828441265
153,-9.630979610693635e-06
154,-0.0002294788773369395
155,-0.0002799825609834778
156,-0.0013449942140910205
157,-0.0007896112853247835
158,0.00039375530349342595
159,-0.006391037158145975
160,0.0003934992459784183
161,-0.0016293230232650073
162,0.0012288689072968775
163,-0.0005245839925291767
164,0.0005828745945457194
165,7.982245955090522e-05
166,-2.400360008306623e-05
167,0.0020302339088429278
168,0.00014704937305241205
169,0.000284131699572532
170,-9.080094941098768e-06
171,-0.0004318446982913501
172,-0.001086030340228768
173,0.0002493892421090459
174,0.0024659220533969008
175,0.007614263206020747
176,-0.00174241800879536
177,0.0007450832389703136
178,0.003359807968032631
179,0.008438707796299069
180,-0.0004914281223515693
181,-0.00017058539034692263
182,0.00605357012853868
183,0.013281635209819702
184,-0.0005885270397259981
185,-0.00032701003066264135
186,0.00252798455098469
187,0.004755597073771566
188,0.00021016528975951722
189,-0.00011863755238863167
190,0.0013556127992306363
191,0.005651442313604091
192,0.001421319488294695
193,0.0003263408956846779
194,0.0002830703831753941
195,0.005889734674838152
196,-0.0003586278968076714
197,0.0007048761815799358
198,0.0028233622687015244
199,0.009090306697754357
200,-0.0006712596624944529
201,0.003391334942344205
202,-0.0040993903219177
203,-0.0038037139120962863
204,0.0006572421039015008
205,0.0010496185500231694
206,-0.003910447433458318
207,-0.0062542532046105615
208,-7.862966003583349e-06
209,3.123031712760134e-05
210,7.763534881885146e-05
211,-1.2161224090487876e-05
212,1.9256544591630943e-05
213,-1.3800845944109408e-05
214,-9.891053797740148e-06
215,-0.00016055835084505406
216,0.0005271104687078061
217,0.0008778196105974452
218,0.0008816204219526178
219,0.0071644401236331595
220,-0.0018875005956986181
221,-0.0006200306386028917
222,0.001350653353057072
223,-0.0017219913760506429
224,-0.0002408960834842106
225,-0.00036777876252563994
226,-8.25552443163285e-05
227,-0.0021214412667360585
228,-0.0014409754063277476
229,0.000788404390805808
230,0.00019729054331996002
231,-0.002017890680081859
232,-7.68886287618275e-06
233,-0.00042605828801059426
234,-0.0016104435337762515
235,-0.005168741583675254
236,-0.0006523802139934535
237,0.0005639799231679717
238,-0.0034329631804474424
239,-0.011696081345012056
240,-0.00027339876553525037
241,0.00013773739598825401
242,-0.00041094182905342255
243,-0.001964042875591271
244,-0.0004959947394673281
245,0.00045451119428406827
