,mathpass_hispanic_hybridper_inf
0,-0.0014295796149714495
1,-0.00013772156759258965
2,-0.0009297829898525145
3,-0.00023506782205684275
4,-0.0006556054676967073
5,-0.00043453827552190194
6,-8.894495626167426e-05
7,-0.0011465681992031632
8,0.00140792286571664
9,-0.0003107615641827633
10,3.039769674299324e-05
11,0.0006493554770274023
12,0.004310661936196225
13,-0.00010702799111771213
14,-0.0001828438363065984
15,0.00408277693525943
16,0.0002784998535709822
17,0.008797056131855472
18,0.00031509174460326954
19,0.02469107832029158
20,0.00017913457666205278
21,2.285410220494491e-05
22,-0.0004924832694803856
23,-0.0003705647679988783
24,0.00036118993253207477
25,3.275404841275359e-05
26,-3.144094392450931e-05
27,0.0003295247415395568
28,0.0006705295209914937
29,-1.1673116400711467e-05
30,-0.0003155343539234427
31,0.0021040731166834504
32,0.00014800739486504455
33,-2.4692104399107103e-05
34,0.00011392472409296658
35,0.002024232309162597
36,0.0006745749731086142
37,0.00040702016001370564
38,6.837749779191787e-05
39,0.0013878200433956036
40,-9.882591873443499e-06
41,-7.735584969842931e-05
42,-3.780918989032622e-05
43,0.0008232099386106848
44,-0.0005989627363156646
45,0.00023980306478581999
46,3.59417845645144e-05
47,-0.0005795190559068814
48,0.0030090013484277357
49,-0.0003205236388688615
50,-0.00036442718528748524
51,-0.003171535384437066
52,-2.3882613064063558e-05
53,0.0007620807976627625
54,-3.7345044470706125e-05
55,0.0021813735810562755
56,-8.306547441834248e-05
57,0.00031907076886006466
58,-0.0004160446706180098
59,0.001191605601147925
60,9.857284401434247e-05
61,-3.426440262232966e-05
62,-0.0002700213006548138
63,9.210528877973306e-05
64,1.806812846701592e-06
65,-0.00033117284454888516
66,0.00029677886309924635
67,-0.00024827226960663916
68,-0.00022981292021744592
69,-5.331055669946461e-06
70,0.00026978155432219863
71,-0.00011581279189028789
72,-0.00014441055706907032
73,-6.444090526296399e-06
74,-0.00015829141557272393
75,-2.0413889668734502e-05
76,0.00036537526606260644
77,-0.000444923764745296
78,-0.001691543906528399
79,-0.0027154100115561897
80,0.0008782507949156962
81,0.0011644069145089321
82,-0.0002016865325384197
83,0.004112879184350914
84,-0.00015935281328285363
85,-0.0004650861344360352
86,0.00026147373626788755
87,-0.0008787507203276044
88,-0.0011435635043902572
89,6.0053531627743e-05
90,0.0007122399604979308
91,-0.0008018902318402466
92,-0.00010520959448838117
93,0.00021195404306568284
94,0.0010297416875912353
95,0.002076687622297302
96,0.001670508110493578
97,4.151044213015123e-05
98,-0.0003243611960750094
99,0.0014037750039702064
100,1.6287729034442612e-05
101,-0.00012455597038040812
102,2.9108798773347643e-05
103,1.6371932593824356e-05
104,-3.61042552055855e-05
105,0.00022251244363228302
106,0.00031028290778713295
107,-0.0004091035998373957
108,0.002218116238441642
109,-0.0013088138522834487
110,-0.018861769382506614
111,-0.027208748709661477
112,-5.5281480198597325e-05
113,-0.00037760795639051525
114,0.00010618211370182527
115,-0.0007107544070863671
116,-0.0001398239488937719
117,-0.0008147792698544638
118,0.00015933841349023077
119,-0.0017320762063972085
120,-0.0032580835551030943
121,3.6721311551581764e-05
122,-0.0002556809111388127
123,-0.0016073413864585938
124,-2.312413803961886e-05
125,0.00012517681638758122
126,-0.0002439841078105166
127,-3.0082955706368988e-05
128,2.3349197918492646e-05
129,-2.019835756443307e-05
130,0.00015399069170239318
131,0.0002860470552180482
132,-1.1917448361873917e-05
133,-6.684033551604823e-05
134,0.0002074115562709149
135,0.0009045597815961808
136,-6.225183060119513e-05
137,-0.00024383176688312617
138,-0.00030435268903658303
139,-4.550826391163911e-05
140,4.248498764543412e-05
141,0.00011077530356962057
142,9.535566618381654e-05
143,8.129414697759455e-05
144,0.000942722324670528
145,0.00013690895228401798
146,5.045988691327207e-05
147,-6.806028443038309e-05
148,-5.594592570395606e-05
149,-3.137001016274585e-06
150,-0.00014204377189161877
151,0.00014329582834148738
152,-4.827073326214072e-05
153,0.00020191170023051285
154,-0.0007947429882039327
155,-0.00248166736735829
156,0.00018304577035949774
157,-5.153613217740482e-05
158,2.3642298073721663e-06
159,9.524258824269194e-05
160,6.282168086564463e-05
161,-6.406792708918027e-05
162,1.569658940995966e-05
163,0.00011901723675105956
164,-0.0003290275959620279
165,0.0002432752091674521
166,-3.797779593937273e-05
167,6.041695173923233e-05
168,-0.0005302549566093113
169,-9.983033376810788e-06
170,-3.060231656203087e-06
171,-0.001049646549297078
172,0.00021909532750015893
173,-8.686283625023809e-05
174,4.7387760267577e-05
175,-6.759785472821468e-05
176,0.0008919088582359362
177,-0.0004323589901754943
178,-9.636940704110386e-05
179,-0.0006236556631227601
180,0.0003531033866429365
181,0.000313583220954767
182,-0.0002997133257115119
183,0.00019715982402283432
184,0.0003432044088693529
185,-0.0006352032412223102
186,3.5752718308843124e-07
187,-0.00027717966868419554
188,0.00014205917353815958
189,-0.0006307366682571711
190,7.73033545980446e-05
191,-0.0011076656566490599
192,-0.00015348423808830911
193,3.190451976247454e-05
194,5.854943900565958e-05
195,0.0001516919580736031
196,6.886269870338828e-05
197,-1.6560703882050103e-05
198,1.0871422590521429e-05
199,-0.00011065092014773491
200,0.0005735893214628138
201,-7.549371055641949e-05
202,6.267279718520923e-05
203,0.0014403804158084554
204,-4.398387637014891e-05
205,0.0009717558128410225
206,0.00010019746354780923
207,0.005165170756592546
208,-1.137861605401527e-05
209,6.259039156186706e-05
210,-7.932267668628675e-05
211,6.120040139474407e-05
212,0.0002617574611181248
213,-1.8198381613523765e-05
214,-6.740782991133299e-05
215,0.0002626942876649046
216,-7.002588543466964e-05
217,8.26769636629974e-06
218,-1.377920819837771e-06
219,-0.0001427537929725262
220,0.000202851116609146
221,0.00016832128704497753
222,0.00025574326785332774
223,-3.8813784513188064e-05
224,2.0982086942995135e-05
225,-6.422687981139814e-05
226,3.855585941173762e-06
227,1.1881341837789515e-05
228,-0.00017492219371341856
229,-0.0003518577613785181
230,-0.0002547527470367763
231,-7.47225834851711e-05
232,0.00028582683903486517
233,-0.0005805389612563482
234,2.116941284207025e-06
235,-0.0005245309515351028
236,-1.3387247894613221e-06
237,2.753785040158205e-06
238,5.74436741944115e-05
239,-7.089405483707514e-05
240,0.0004322225029001764
241,-0.00015299653901834515
242,0.00013673082837964464
243,-0.00031540094184757993
244,-0.00021648859882651917
245,1.0047230108814194e-05
246,-0.001031605490025846
247,-7.986680837731686e-05
248,6.924148506392167e-05
249,-4.342891700882577e-05
250,-0.00024602450722767844
251,0.00018544510021910267
252,0.00018665005088440054
253,-0.0008280364367012738
254,0.00035745197745821084
255,-0.001040014612830043
256,0.0018841590330973077
257,0.002377467451790466
258,-0.007833506886926309
259,0.008768365538855771
260,1.6556861808997255e-05
261,-2.7143339184946684e-05
