,elapass_virtualper_inf
0,0.00034146787284147046
1,-0.0002471765071614462
2,0.00030515424525480477
3,0.0023567286409856636
4,0.000572386115381934
5,-0.0004461659244073246
6,-0.0005381109884497139
7,0.0001529196232718705
8,0.00012783819416990448
9,6.174482009635649e-05
10,0.00017970297394791178
11,9.459098896916458e-07
12,-0.0008064310581922779
13,0.00023343140814317126
14,-0.0003087905692889979
15,-0.0038656992200848954
16,-0.0003845621214818865
17,-0.0005721449185243265
18,-0.0019908916202667857
19,-0.009365772778301619
20,-0.00319206978020346
21,-0.0006191125947745916
22,-0.007798415805698313
23,-0.033372595227865266
24,-0.0009415752489782808
25,0.002790187262175336
26,0.0013217363770045842
27,0.010098091954514868
28,0.001182691907980353
29,-0.00014340160158621005
30,-0.0023108901995375917
31,0.0022141964926639226
32,0.00036724433878520765
33,-0.00047379780440810797
34,0.0007132550298335343
35,0.0012878456856739073
36,-0.0010512901753774292
37,2.9050463212297915e-06
38,0.00032249261378506196
39,-0.0025664934590840494
40,-0.0009621134829950313
41,0.0009528660371024603
42,0.0006831953195310435
43,0.003927970549283083
44,0.00031429698580200306
45,-0.00024947888515130634
46,0.0008864385313414221
47,-0.00027581093675748585
48,-0.001343110357168001
49,-0.0013249283325641006
50,0.001867855136797145
51,-0.0004542867529375087
52,-0.0006066047862794578
53,-0.0004176236075972752
54,0.00040636055669961423
55,-0.0007836288580762978
56,0.00047385026015836224
57,-0.0008875411081255727
58,-0.00032635715312010817
59,0.00021370505147632677
60,-0.0008116157054727833
61,-0.00018242527112351072
62,0.0017793113944688608
63,0.003003097842872087
64,1.841642336795904e-05
65,0.00017793595727068185
66,-3.3920157678840905e-05
67,7.12433448389038e-05
68,-0.0010463521145140278
69,-0.00032389391098491626
70,0.0006367365714479622
71,-0.0027149405969857537
72,0.0002115723340209436
73,-0.001264240720670164
74,0.00040001469532670227
75,-0.0017249882636137372
76,0.0005580109737884916
77,-0.00026025622711435775
78,-0.0014384645039631039
79,-0.0022642961988441576
80,0.003722519833827755
81,0.003047346157124016
82,-0.006156491044692703
83,0.0038690819140035615
84,-0.00014053070630541654
85,0.0005102301337284254
86,1.1985082721337682e-05
87,0.00011082310997746793
88,-4.762371215026976e-06
