,drop_hybrid
0,-0.0001858197130459569
1,-0.0007234560505459424
2,-2.1283305578537103e-05
3,-0.0023243905197616647
4,-0.0008223705229073888
5,-0.0005837034219901205
6,0.0011748553065486658
7,-0.0003971523418894665
8,0.0004143235165651195
9,-1.4889747625649038e-05
10,0.00033123510714378975
11,0.0023463376474655135
12,3.522872869401211e-05
13,-0.00023755029352401166
14,0.00010288590013219166
15,-0.0001556349183832
16,1.975602996573605e-05
17,3.358367455861851e-05
18,0.0007450216010680298
19,0.002217208072227252
20,-0.0002738571453841437
21,5.768965256307675e-05
22,-0.0003348190479250757
23,0.00040717084464976814
24,-7.479621666610145e-05
25,3.926708552361843e-05
26,-1.092101153948399e-06
27,-4.742007236733278e-05
28,2.768998557652764e-05
29,-0.0001827477108090651
30,-0.00013364840643175405
31,-0.0006357157698840288
32,0.00015956886486698108
33,6.0655526342376904e-05
34,4.7381097111352135e-05
35,0.0002993156673479222
36,-0.0018721470245968517
37,-0.00023595901506026035
38,-4.488319220934122e-05
39,-0.004554619256787272
40,0.0003811156468147647
41,-0.0006718558973313766
42,-2.4080782965133387e-06
43,-0.0008240020387884145
44,0.00123968925861222
45,-0.00024308672239745392
46,-0.0008440066961285271
47,-0.00202131242624237
48,-2.2306283542043814e-06
49,0.00010306076467152294
50,-8.68998706412336e-05
51,-0.0003583774447741854
52,5.685747071333526e-05
53,-6.074657228449521e-05
54,5.02580690118614e-05
55,0.00016133032587754218
56,-0.00040797772497889605
57,-0.00026720720303007863
58,-4.78640584854097e-05
59,-0.002360779736925072
60,-0.00063780143138452
61,0.00017387910820892
62,-0.0002148346666179243
63,-0.005052584579616223
64,0.0001412913558523423
65,0.00011886910407793674
66,0.0003788494628862619
67,0.0019712488799439568
68,0.002675099602679385
69,0.0015332429764854905
70,-0.00039439653332468003
71,-0.0009644155492015172
72,0.0006040659311410001
73,0.0002364911788881788
74,0.00045441036252151415
75,0.0047481211847269795
76,-0.0015085233155024142
77,-0.0007100119464844259
78,0.0003622940854673333
79,-0.007526216625330651
80,-0.0007005239645672075
81,0.0002817714912406467
82,0.0012164932744063094
83,0.0021090726394071926
84,-0.00046752401570493006
85,-0.002065187654344409
86,-0.0003525154815515283
87,-0.008680930341006811
88,0.0004911147061435832
89,0.000977047728346937
90,-0.00030428125744781
91,0.004105562283307803
92,0.0018451351161599338
93,-0.0027776291797505345
94,-0.0014464779125229774
95,-0.008140056055494112
96,-0.0012158892078055503
97,-0.00029016360302215073
98,0.0006531849666411138
99,0.0011991583378982013
100,0.0010213279885630125
101,0.00016308493951733784
102,-0.0012523788351212588
103,0.0004143455951488732
104,-5.6451593644297916e-05
105,-0.0001803513675703074
106,-4.7285726042928705e-05
107,0.0001723619064276394
108,-5.490057739595219e-06
109,-0.00027163963550838567
110,0.0001372288001231473
111,-0.0005048160166060536
112,-0.0015878421032825413
113,-0.0022026982491177905
114,0.0036153103764190882
115,-0.0005424939773159486
