,mathpass_wi_hybridper_inf
0,0.0010123651481192674
1,9.200211169372365e-05
2,-1.3463608511535062e-05
3,0.0002905034664150678
4,0.0005719327011887913
5,-9.188888945301493e-05
6,-3.315344954528744e-05
7,0.0006376856508666457
8,-0.0005812796920019783
9,-0.0007223160368553214
10,9.64485210324525e-05
11,-0.0026869558479675733
12,-0.0030842658628831418
13,6.515962978782235e-05
14,-0.0001611097785919717
15,-0.004616764044697959
16,0.0001159626165644647
17,-0.0010948428315784992
18,0.00045775149912353287
19,0.00843666249123387
20,-0.00031464171549442933
21,0.00022780854438266365
22,6.020133265104251e-05
23,-0.0021708314767858623
24,-0.0010640945372712022
25,-0.00022952965126125477
26,9.664712268927338e-05
27,-0.0016314742456817926
28,-0.0004479027976717993
29,1.2201235161845535e-05
30,-0.0001319257219704881
31,-0.0006704799827442738
32,2.921624421822097e-05
33,3.7593180498999296e-05
34,0.0010160500896026301
35,0.00040992917556867165
36,-0.0006456909654922897
37,-0.00037069444132483277
38,0.00014352336843319425
39,-0.0018376003110574057
40,-2.8820876688755886e-06
41,2.7366401413101992e-05
42,-1.710375279233464e-05
43,0.0001299511963154914
44,-0.0003120485792291798
45,0.00027935065972540266
46,0.0001596903376341178
47,-0.00031284087652240055
48,0.0008627384589557107
49,-0.0005782593834305341
50,-0.002054809908131507
51,-0.003151262193562845
52,-1.1150070669007377e-05
53,0.00013682704035451667
54,1.4521433296691155e-05
55,0.00116849525984702
56,-2.179707559254754e-05
57,0.00013968705768881975
58,-0.00013332031896138948
59,0.0003442363488147334
60,0.00011676224433287096
61,0.00021051325076327872
62,-4.4711560053661256e-05
63,0.00010479387611866874
64,-4.5126557242844596e-07
65,-0.0003886436114302925
66,-7.055688493850226e-05
67,-1.9965268925937593e-05
68,1.073787362685154e-05
69,-0.0001152870302872287
70,-5.749406386947789e-06
71,-2.9187998401900373e-05
72,0.00015420326878666128
73,4.405155862425842e-05
74,-2.9151006209003288e-05
75,-0.00036627646383309006
76,0.0009023867907653325
77,-0.00039761706223436557
78,-0.001588796017828961
79,-0.0031641259393135083
80,0.00037645194105948514
81,0.0008734834125045858
82,-0.00022475467868511697
83,0.0026829009528178994
84,-9.271951676261389e-05
85,-0.0002008621809384919
86,0.0003342605794303983
87,-0.0006166101054040145
88,-0.00013693428553671817
89,8.491664241641669e-05
90,0.00043234631219824036
91,-0.0005896221458569011
92,7.438519770117977e-05
93,0.0003607431440670391
94,0.0007843730250092864
95,0.0017286010185143875
96,-0.0014557765959164152
97,6.414238804124239e-05
98,5.146295696263453e-05
99,-0.001517954657744491
100,-6.847134921180563e-05
101,0.00018249816755009745
102,-0.00046149185946684916
103,-7.110044334663101e-05
104,0.0010644060392722527
105,-8.356337121875907e-05
106,-0.00021846926691431975
107,0.0004706562218825198
108,0.00011315679983708599
109,-0.0002634770755684854
110,-0.0032045006842525018
111,-0.0043009066788430965
112,2.1300729975213105e-05
113,0.0003160404422744732
114,-0.00030193417694004265
115,0.0007927493207032921
116,4.314760188213347e-05
117,-0.0005909368398189262
118,0.00016325325609595673
119,-0.0007510804734148383
120,0.0006082215951260569
121,-1.26900537407333e-07
122,-0.00031315988436774497
123,0.0008074817359474244
124,-0.00014604358977207707
125,-0.0007191729227664236
126,-0.00023811754685436654
127,-0.0004608536152942435
128,-1.3187773390296474e-05
129,-5.492144118892274e-05
130,-0.00011110518200867719
131,-7.80127823982097e-05
132,2.7979359830445104e-05
133,0.0005287119976243493
134,7.275527863861526e-05
135,-0.00014569705805440728
136,-9.59754986892797e-05
137,0.0001530609266207121
138,0.00030470180660353244
139,-0.00012333134298772965
140,7.939444761900732e-05
141,5.808084135089486e-05
142,-0.00014407292681087327
143,0.00018479068709835328
144,0.00042302717338298367
145,-5.423010676541851e-05
146,-7.410106704767886e-07
147,-5.126669995868653e-05
148,1.8074456160589228e-05
149,-8.30915411373347e-06
150,-0.00015372980363918798
151,-0.0003387937506106911
152,-4.8440039533632956e-05
153,0.00011771773420091642
154,-0.0005742481236546177
155,-0.0017865370310864415
156,-0.00023453284789939907
157,5.3573240230149314e-05
158,0.00010509371164342592
159,-0.00026144449972808747
160,0.000304176967808163
161,-8.582896230012222e-05
162,0.00012978407923821205
163,0.000465252767862144
164,-0.0008989123271266257
165,-1.0070578850123392e-06
166,-2.8846394620109445e-05
167,6.516927862437083e-05
168,0.0003235138846038761
169,1.7596347831799115e-05
170,3.376953886713975e-06
171,0.0009708539807982876
172,-0.00020476000289341886
173,7.29265516917074e-05
174,-5.1733295806886094e-05
175,5.77726454443264e-05
176,-0.0010367479279035686
177,0.00011471489701810481
178,0.00011409701133384977
179,0.0004626736679619509
180,-0.00033532895407676635
181,0.00019333123319439731
182,-0.0005699295054549401
183,2.439980048369995e-05
184,-0.000260070138104293
185,7.307230209666826e-05
186,1.8807764345598813e-06
187,8.33207508028469e-05
188,-4.567760256405692e-05
189,-0.00010412397979808444
190,2.951195206427653e-05
191,-6.214497846533247e-05
192,6.705311065742755e-05
193,-0.0001277053785279737
194,-6.110164063691375e-05
195,-7.73256042573192e-05
196,-0.0006818070001969097
197,1.549359563066192e-05
198,0.0001762594386646036
199,-0.0004027193136688749
200,-0.0012750453056830536
201,-0.00017568044401143225
202,-4.784092989694409e-06
203,-0.003260148727851817
204,4.2912692531153705e-05
205,0.00044483177626725086
