,black_elapass_hybridper_inf
0,-0.0003310884227939835
1,-2.137556713561348e-05
2,0.00019388142104946287
3,0.0003865178060826162
4,-0.00032009943709446047
5,0.00023900164831331134
6,-9.983204778241118e-05
7,-3.724043949680274e-05
8,0.0005028272201276465
9,9.061821878835059e-05
10,-0.00011178554945044223
11,0.0007942777500901039
12,0.0016689428873506915
13,-0.00010978469096763415
14,5.493274546682247e-05
15,0.002835672616004886
16,7.977902905611259e-05
17,0.0001641958260685895
18,-0.0006373080215494752
19,0.0002340864482203077
20,-0.0008928307725804472
21,-0.00030560260285517337
22,-0.00352772894736242
23,-0.013894088416166355
24,0.00034912820786612956
25,-0.00011262799845492908
26,-0.0003030408570776565
27,-0.00196491930088569
28,0.006009996959374021
29,-0.0005422194232795212
30,-0.0037904946653787705
31,0.006271082286478441
32,0.0003519303216037865
33,-0.0004430973596430811
34,0.00043249125063408425
35,0.0009547820253684512
36,0.0004969700827296222
37,-1.1611574032756694e-06
38,7.906532374695882e-06
39,0.0007061404598576889
40,0.0008263196955630444
41,-0.0001996039717482022
42,0.00012209594840571688
43,-0.0012683271577841131
44,-0.00010332763687761074
45,8.06581205195969e-05
46,6.185968780123937e-06
47,1.5500802951441577e-05
48,0.0016063134447821712
49,0.0006175380278756303
50,-0.0012677573395128664
51,0.0003413390579813698
52,0.000548746523566207
53,8.233625263327707e-05
54,0.00012078592872546752
55,0.0002893066860187975
56,-0.0024736261227681364
57,0.0006531164918443235
58,-0.00018294653020257783
59,-0.00017328400398145615
60,0.0002112817603307785
61,6.838652345645539e-05
62,6.447475922070131e-05
63,-0.0005655189742836427
64,0.00014142309588507208
65,-0.00041029502941996167
66,0.00015866574589984113
67,-0.0005915225581691474
68,0.0005133148571249813
69,7.677934208143236e-05
70,-0.00025344767259607005
71,0.0009929732046327388
72,-6.917248625265348e-05
73,-8.131636351701156e-05
74,0.00011900896497279615
75,-4.673871574228308e-05
76,0.000887145045696304
77,-0.00037621407023805733
78,-0.0019723723829569964
79,-0.0032848073064866623
80,0.0013679353851766768
81,0.0009876605220260775
82,-0.001280105310501733
83,0.0011455193997528586
