,mathpass_hybridper_inf
0,0.0022001255479373286
1,0.0007398419552183295
2,-0.002617796585604197
3,0.0014874220080697215
4,0.001395890769334783
5,0.0007803390762608263
6,-0.00022641541024836386
7,0.0058516064260416886
8,-0.005400091307438355
9,-0.002195121983663104
10,0.0015956866690555681
11,-0.01655931154855352
12,-0.010076301952565331
13,0.0016794778469978885
14,-0.001895346403139362
15,-0.03323797653536751
16,0.0004438348891950265
17,0.010946269453942446
18,0.0008688863353101954
19,0.040326247007772695
20,-2.9521374015297168e-05
21,-2.4052858500262385e-05
22,-7.034393806083303e-05
23,-1.9353917730938308e-05
24,-0.001192871972670148
25,-0.00045660106242957903
26,-0.000185266497615898
27,-0.007155162835200905
28,0.0037698748195066144
29,-5.516256891414535e-05
30,-0.000955796031424237
31,0.008932760337716835
32,0.0004607683582898834
33,-0.000108732553679326
34,0.002355898705600685
35,0.010154957549162779
36,-0.002716828993168526
37,-0.0017498638266287066
38,0.0012086501296998842
39,-0.009670820454172861
40,1.690484308053238e-05
41,0.00038226935729937213
42,-0.0011163092969414367
43,-0.002772941610587392
44,-0.0015864466756057296
45,-0.003050715507129917
46,0.0020592549354180732
47,-0.006834532745117184
48,-0.004958081381595386
49,0.0016195109628528359
50,0.0066226536637181786
51,0.01120190522450981
52,3.446245230339066e-05
53,-0.0018285744765206256
54,-0.00015977853989987946
55,-0.006581701185559519
56,-7.26284457677213e-05
57,0.0009611454241826681
58,0.0007659658260087475
59,0.004827704153481367
60,0.0003652968779107514
61,-0.0013284103188908475
62,0.001742183248363973
63,0.0021733878862477156
64,-3.7118985214055065e-06
65,0.0012153984356632196
66,-0.0009293805173916476
67,0.0006858440275702874
68,0.0014577703518822362
69,0.0014789576268366756
70,-0.002555771240831936
71,0.0012997106917143415
72,0.0004992863436099536
73,-0.001122991504050354
74,-0.00045471565897265586
75,-0.0033611353155709018
76,0.0009907851811509672
77,-0.0005140102795352159
78,-0.0016660489801591197
79,-0.003588153719883136
80,-0.0005839414640058868
81,-0.0012078708495512653
82,0.0003777370008430215
83,-0.004091728061584555
84,-0.00017004372579330657
85,-0.0007820395009518772
86,0.0004699742421340001
87,-0.0012487436812371317
88,-0.0018818587611231154
89,8.793241883969662e-05
90,0.0013889214743329436
91,-0.001336589255923211
92,-0.0004568908401620014
93,0.00030938853978388405
94,0.0009547900713382922
95,0.003301194601719946
96,-0.003104620179750422
97,0.00022263065357424532
98,0.0010646123408058657
99,-0.0061836904910825335
100,-0.00014566882853335903
101,0.0012286704458491472
102,-0.0011427282442364323
103,-0.00020130273640235822
104,0.002179709385473588
105,-0.0005512707298332872
106,-0.0013752614072886035
107,0.0018273714420186829
108,-0.0032425931602947967
109,0.0013081988367748302
110,0.01061048550413962
111,0.02334062980951324
112,-0.00015482846875111136
113,-0.0010785798205485524
114,0.0004892565347011513
115,-0.0022931462025003652
116,0.0002950361011381264
117,0.001237562220524105
118,-0.0004471622751501261
119,0.0034133105736088173
120,0.004259532116939025
121,0.0004684446721569192
122,-0.0020520945346741847
123,0.0078839513107617
124,-0.00018661094765078632
125,0.0012463113902931651
126,0.0011821587418165086
127,0.006983228243298122
128,-6.9617665628798e-05
129,0.0003636731621770059
130,-0.000763199161094199
131,-0.0015109228616259302
132,7.617443507863368e-05
133,-0.0020862824743104096
134,-0.0018277441924174878
135,-0.011967169611707584
136,-0.00027803494650101594
137,-0.0010486565966426737
138,0.0010485239186809412
139,-0.0008263427831758158
140,0.00011243284756492305
141,0.0013138464214949527
142,-0.0011383218439192605
143,0.0006679708838020733
144,0.001026147498741592
145,-0.0008557266380926506
146,-0.00036490220902682825
147,-0.0003213382843574906
148,0.00014968885278707076
149,-0.0002290579115542964
150,-0.0008984026620926039
151,-0.0031021447817918438
152,7.35187367013001e-05
153,-0.00018161566987249763
154,0.0009070709076721335
155,0.002762447645282787
