,elapass_in_virtualper_inf
0,-0.0007388654043093782
1,5.934193307086321e-05
2,0.00010691507657785079
3,-0.0006703025022725905
4,2.0119124514673567e-05
5,2.604394279209988e-05
6,-0.0003298761631614162
7,3.5868117028679156e-05
8,0.001376138975063559
9,0.0011999924666273266
10,-0.0010046560727952332
11,0.0038523986676407226
12,0.0024621375075695303
13,-0.00024297706091349987
14,0.00029899252938160836
15,0.00571314051279765
16,0.0001683516057163567
17,0.00028570634843977225
18,-0.00030102936546668927
19,0.0021127108431427725
20,-0.0103195477616554
21,-0.002093072570658176
22,-0.018631626693911843
23,-0.09709925110866806
24,0.006405393453336481
25,-0.01473327012561092
26,-0.009412992301769098
27,-0.06313615173714207
28,0.0014390246627594568
29,-0.00013967532556400647
30,-0.001361077769316903
31,0.0017825989506325215
32,-0.0001048378399777802
33,7.3815842098724935e-06
34,0.00023682280498154478
35,0.0001854787090568469
36,0.00023736243155576562
37,-4.0776188331634075e-07
38,5.799477340824635e-05
39,0.00014214446647391844
40,0.00042239964218916914
41,2.3589323840899945e-05
42,0.00022535566586355475
43,-0.0001791533680359821
44,2.073994197260696e-06
45,2.2890108104719627e-05
46,0.00017484028036761367
47,-2.9147784272470237e-05
48,0.0009334202047412932
49,0.0001201412224125213
50,-0.00041853685681289294
51,0.00014325225027783607
52,0.00031210391261414207
53,-3.315006593784592e-06
54,0.00015728284160899987
55,9.090853510313554e-05
56,0.003650637905679102
57,-0.0036113813373878575
58,-0.0015132436094480064
59,0.0010443008606732306
60,-0.0010206231036462492
61,-0.00040917141821076604
62,0.003368958114364015
63,0.0050079311803773955
64,0.00021010033518574633
65,-0.0006843740074629931
66,0.00025123719427350366
67,-0.000924063506329436
68,0.0006744781856921744
69,9.243320927863572e-05
70,-0.00029470139559569875
71,0.0012207309215461965
72,2.487674365600248e-06
73,-0.00040169042401182924
74,0.00021251649879182194
75,-0.0005154979706896249
76,0.0007561047374332995
77,-0.00034849361174449784
78,-0.0018661354326600975
79,-0.0030023314884686674
80,0.005926416780150857
81,0.004636151612074107
82,-0.00829838798983494
83,0.0057317123308590345
84,0.00022218714795533477
85,-0.00017400921155180034
86,0.00015444435573754912
87,-0.00013955739430489066
88,-4.8119460514223975e-06
89,-0.0010468546723164098
90,-1.907087212890012e-05
91,-0.004074394445189771
92,5.936002745991502e-05
93,-9.31251978914679e-06
94,-0.0005683487918777425
95,-0.0025318599878665165
96,-2.6044464533012473e-05
97,-0.0004760636744152992
98,0.00012811244461988675
99,-0.00010667870798295331
100,-2.5490275990109975e-05
101,-2.9781299362444988e-05
102,-3.1428836349090994e-05
103,1.2512511450353736e-05
104,-5.0071785553361606e-05
105,-3.21255248055619e-05
106,0.00031237720393019415
107,0.0006812132321279494
108,-0.0007651498802871606
109,-0.0004926008101807941
110,-0.0012384164223513683
111,0.003641242901817588
112,0.00014700663151279207
113,0.0005313992596150625
114,-0.00014114414663435448
115,0.0015308720078382467
116,-9.518545871540907e-05
117,-0.0002951383228235104
118,-7.070567870350074e-05
119,-0.0015547033714860413
120,-0.000656657883865798
121,-0.00024887059389575136
122,-0.000487363868953176
123,-0.004481537156145003
124,-0.00459213036587308
125,0.0014754684972558196
126,-0.007843300821685776
127,-0.035717258519263155
128,0.00023753607657894934
129,-0.0001013299790308104
130,0.0001401704883385319
131,0.0005779234497943832
132,-8.419380742319674e-05
133,-0.00020225400848050345
134,1.5639336353768097e-05
135,0.0005548311185474486
136,0.00034434039287784587
137,-0.0006865507924240004
138,4.183542558291262e-05
139,-5.4254487364675214e-05
140,-0.00034642768025680803
141,0.0003025695088257139
142,0.00019820664422301543
143,0.0006886489245488884
144,-0.0016200235332957454
145,-0.0001879624254453965
146,0.0005985009553511909
147,7.022718209607122e-05
148,7.943332016889436e-05
149,0.00023132413189888123
150,1.2620900091293695e-06
151,0.000954961729214779
152,-0.00022258505263240275
153,0.0014240831425622812
154,-0.000623813647171955
155,0.001162538243642959
156,-3.916227309722227e-05
157,-5.213109867865161e-05
158,3.392225292457179e-05
159,2.4460095488155377e-05
160,0.0004020528073915216
161,-0.0007820188240345708
162,0.00017593447193268722
163,-0.00027447392572603767
164,-0.0023012700502991635
165,-0.00039524317231295377
166,0.0005526297851805692
167,-0.005206105908303074
168,7.632029558995971e-05
169,2.8872509290660345e-05
170,0.00010513213390359402
171,-0.00018845578849331602
172,-0.00011370004697482351
173,3.703862580104473e-05
174,0.00043088602722015946
175,0.0005099326574399049
176,0.00011997659672395479
177,-2.0500448698440094e-05
178,6.570726637553694e-05
179,-0.0001444319476810821
180,0.00037902192657666614
181,0.0005092128786883742
182,-0.00035810405858507655
183,0.0010797732117521191
184,0.0004882059587748516
185,-0.00021177511250402417
186,-8.611002491521446e-05
187,5.921741458622189e-05
188,0.0007906931326258785
189,-0.0003179219858728975
190,0.0002175242100847653
191,0.0020797351615302515
192,3.507594738105267e-06
193,-0.0003285153645887881
194,0.0004885837013297814
195,-0.0002612545016896755
196,0.00024123779745624445
197,-0.0014184030424980885
198,0.0009039218604590681
199,0.0005931372267684719
200,-0.0006741529338561119
201,-0.00060622512659428
202,0.00039570131939712153
203,-0.003554464389070636
204,2.0735320134662e-05
205,0.0011619600430247512
206,0.00011264985180602995
207,0.004551617080215632
208,7.322676958906329e-05
209,0.0003897170538988935
210,-0.00029320226441325524
211,0.0007828325978671369
212,-7.158026385503414e-05
213,-5.3497884895914925e-05
214,0.00024349407850558408
215,0.00046741169606172696
216,-6.507181318958667e-05
217,-5.012678176372389e-05
218,0.00024441338485141296
219,-9.281394784622336e-05
220,-0.0006302985739075585
221,0.0012165713875960855
222,-9.950797648122526e-05
223,0.001442502006860518
224,-7.497675042370725e-05
225,-0.0009476257968871712
226,0.0006443017288319721
227,-0.00034588155756278314
228,-0.0007266309672508699
229,-0.0009068016286170274
230,0.0005641735601808641
231,0.000716921748251687
232,3.1977140812898086e-06
233,1.0492773844583558e-05
234,1.3645862968962856e-05
235,9.747546847824612e-05
236,-0.0003040797878457832
237,0.000408645450863037
238,-0.0006581660681183711
239,-0.002827891923405842
240,-2.775671220950582e-05
241,2.6003014522797907e-05
242,-2.7183285967439355e-05
243,-0.000502344303034535
244,-0.00027194403709549674
245,0.00022722595291358927
246,-0.0007588919947859048
247,8.190369290173629e-05
248,-6.078679542259108e-06
249,-0.00016565565587564138
250,-0.00020662196545686643
251,-0.001405198173491554
252,0.00035991973116635125
253,-0.0012381439948606259
254,0.001693506137543751
255,0.0023767411077006456
256,0.0010928182698749188
257,-0.0005041265653454246
258,0.0021655083386866248
259,0.009297955904371016
260,0.004316416121116519
261,0.0015805883957144176
262,-0.001990642776987198
263,0.013385858614347431
264,-0.00021100823363285202
265,0.00015738971707253567
266,-0.00020206129010982585
267,-0.001398979272877203
268,0.005082960530174257
269,0.0019710928368982103
270,-0.001766376284866989
271,0.02619578132239986
272,1.3673994842814554e-05
273,-0.00043614623500451226
274,-0.00026901564986280555
275,-0.0016417708569977903
276,-0.005998310204598908
277,-0.0019459319966893664
278,0.00496415940398317
279,-0.011702547797601267
280,0.0027682115178660547
281,-0.0010803821098670763
282,-0.0018974936309570742
283,-0.0012620044213826182
284,-0.0001070446677863304
285,-3.150746694795074e-05
286,-1.6052781857707857e-05
287,-0.0005429279495692615
288,-0.00036355361263997734
289,-0.0002206381966484677
290,4.011860077288939e-05
291,-0.0009513965775426649
292,8.799854209245656e-05
293,0.0001828446459539895
294,5.348051167883912e-05
295,0.00031726128849810924
296,0.0005747183580289822
297,-0.0008911377477683545
298,0.0006211804778446672
299,0.0007656275222572848
300,-0.0004614188317033281
301,0.0004846355924410868
302,0.00023153042239727886
303,0.0007531007916195806
304,-0.0005140560999613221
305,0.00028323980523052334
306,8.062763566286664e-06
307,-0.00040993251598456335
308,-0.0002132371517568659
309,1.7055611589850724e-06
310,-0.0001730228397658197
311,-3.2179547755873006e-05
312,0.0008277655905136963
313,0.0001228795414380009
314,-0.00035852550351402903
315,0.0004985989393575344
316,0.0001544078948426847
317,0.000268011252204869
318,-0.0007950828975271363
319,-0.00031556730934619715
320,0.00011838541129652443
321,-0.00022805281513957362
322,-0.0006900335901666621
323,-0.002017477573357353
324,4.774231672113134e-05
325,-0.0005366926586608006
326,0.00015969998145564269
327,-0.0007226293151011221
328,-0.0002851311658731984
329,8.051626130198013e-05
330,-0.0004902329364537797
331,-0.0022652257558726544
332,-0.0001646219423853994
333,-0.0003068637803421944
334,0.00023413928390311222
335,-0.0003497144260470802
336,-0.00019087468763391886
337,-0.00037150339326692594
338,-0.0004739193188912761
339,-0.0032970182313378144
340,1.894900012238559e-05
341,-0.00012211191530159986
342,-0.00030597964704049264
343,-0.0007831298118670439
344,8.329088898606713e-05
345,0.0006622200220756356
346,0.00018742895688467055
347,0.0025512422384004847
348,0.0003035637104019176
349,3.352657379780556e-05
350,2.7725359102228716e-05
351,-4.476116368453813e-05
352,-0.0006382750349606559
353,0.0006368684994647503
354,0.00020544120858872155
355,0.0018914905538439256
356,-1.976608249618401e-08
357,-2.4607955587013842e-05
358,-0.00020458227886098124
359,0.0001942116417971474
360,0.005230259643649857
361,0.012689145302383494
362,-0.01286626898441192
363,0.016252367587792572
364,0.0005540626273312604
365,-0.00032192552502759435
366,-0.0003553417565826444
367,-0.0013531214163491662
368,-0.003114756419190103
369,-0.0025708898377718816
370,0.005254446861463577
371,-0.002613173448685561
372,-0.0004390001263688082
373,0.00012268968573260952
374,-4.335981831788822e-05
375,-0.00044785263825882887
376,-0.010120773211379427
377,-0.002155134795910808
378,0.013028043517976292
379,-0.0023313039028364426
380,-0.012000304199079872
381,0.00553077765895745
382,0.012050946267598618
383,0.009041182006574328
384,-0.0005177756219539949
385,-0.0001932677234821828
386,0.00030549646798948933
387,-0.0012878005872659192
388,-3.1847910209197064e-05
389,-0.0009755344711621381
390,0.0008732077143173661
391,-0.0006099922382853346
392,0.0003750526382703458
393,-0.0008701935124771414
394,0.0005308588862160234
395,-6.131093397559231e-05
396,6.860810673149433e-05
397,-0.0001321066659588127
398,2.7948059248956694e-05
399,2.678969554802969e-05
400,2.6515406180628974e-06
401,-0.00013981818321751215
402,-0.0001433867475569279
403,-0.0005553753531070453
404,-0.0014346136783038822
405,-0.0003135457146772818
406,0.00027281195716066705
407,-0.00313571187476867
408,1.545000786100752e-05
409,4.579848255825388e-05
410,-0.0001889548285665726
411,-0.00017880447720245585
412,3.8534703071284914e-05
413,-3.432932529086827e-05
414,0.00011558975606440052
415,0.0004075116225287921
416,0.0008211502638667599
417,-0.00013049280043274627
418,4.67031595281399e-05
419,0.0001752452412919848
