,elapass_in_hybridper_inf
0,-0.001699743169424343
1,0.0004267421209363555
2,-0.00040627560412263305
3,-0.0048894199713383196
4,-4.9318465916601725e-05
5,-1.4256791298214533e-05
6,-8.936901744197928e-05
7,1.0038375052257954e-05
8,-2.214179618482238e-05
9,-0.00020517465955127695
10,0.00021888531766135424
11,-0.00046518895517188885
12,-0.0007246998856496668
13,0.00016775440897316024
14,-0.00025003484924240887
15,-0.0030643192327907973
16,-0.002543292064392539
17,-0.003473548286017278
18,-0.008806111553503443
19,-0.05229280748600427
20,-0.0030042016448058482
21,-0.0006241184137837441
22,-0.006142271201339236
23,-0.029830729798133605
24,-0.0008012631281729402
25,0.0024376526669707315
26,0.0015776773133560976
27,0.009620347918296523
28,0.01608673594958428
29,-0.001460327436227725
30,-0.009897446593382854
31,0.016685572446922866
32,0.005600782084973822
33,-0.005978662262585006
34,0.003507085397587011
35,0.010901558235303295
36,0.0002468514798700393
37,-4.032392369614474e-07
38,-3.576394284030676e-05
39,0.00040504997158052864
40,-0.00016967334050627954
41,0.00022597432879580754
42,0.00025957500490030147
43,0.0010495127699141002
44,0.0004299435015759045
45,8.6055590970464e-05
46,6.551815795101288e-05
47,0.00016858932873805218
48,0.0001567023944860378
49,-6.306380203144851e-05
50,-0.00038709896530274426
51,3.298587134761538e-05
52,2.5154403585557057e-05
53,-4.5342504417462586e-05
54,-4.439863854020556e-05
55,-6.392524713337272e-07
56,0.0029602457347253763
57,-0.0025363664785349647
58,-0.0009025843165536196
59,0.0007115372771314094
60,-0.0008802234378102091
61,-0.00030782480031989244
62,0.002444702372120007
63,0.003913730558985464
64,-6.567909896320218e-05
65,0.0003382763935504336
66,-0.00012722952408845435
67,0.00039277395624329436
68,-0.0006059748696023632
69,-0.00017925696302712731
70,0.00034734113169410943
71,-0.0015144513675828968
72,-3.917226054632524e-05
73,6.970256421985602e-05
74,3.752211268630004e-06
75,0.00012377769508806834
76,-0.002655225030391596
77,0.0008202530661831336
78,0.00418201756406725
79,0.007805405763016427
80,0.0032074001021421355
81,0.002608604108920801
82,-0.004990144313501805
83,0.0032554284655880515
84,-0.003743960599120541
85,0.009124138835100229
86,-0.004032551987327794
87,0.0035302444066875275
88,1.1496696256160185e-05
89,0.0029946984154365576
90,4.0651643261074846e-05
91,0.010009947589263244
92,0.00016235079598295318
93,-2.710986018710161e-05
94,-0.002315668455078101
95,-0.00791374332464698
96,-7.81835025933885e-05
97,-0.00016291883313255696
98,-4.32619581561786e-06
99,-4.600455483505369e-05
100,-0.00027380687547238916
101,7.611002726139606e-05
102,7.759227385775578e-05
103,-7.628996538274533e-05
104,-3.195656871320139e-06
105,-4.151732662090882e-05
106,0.00013837660318897794
107,0.00022017005288566796
108,0.0027189605704713146
109,0.002536741117280356
110,-0.016040657711127802
111,-0.02842981337906936
112,-0.00012824540462069207
113,-0.0001744010994513553
114,8.048155466460474e-05
115,-0.0008698982556990701
116,3.124108839569273e-05
117,0.00011378398739397971
118,6.0719805231945297e-05
119,0.0007179209687172613
120,0.00010366211307814663
121,0.0002020344745567147
122,0.0003989615077604689
123,0.0020728176908204336
124,0.002036504646762981
125,-0.0005985749503622352
126,0.0024311003252877454
127,0.01374588094732594
128,-0.00011894051843783014
129,0.0001058866655223136
130,-0.00011984622201887341
131,-0.00044110152541673535
132,-8.244190614001417e-05
133,-9.089881320644169e-05
134,-0.00010648336316605728
135,0.0003989596101170429
136,0.00014059680104677442
137,-0.00022390195502355824
138,6.247217679474155e-06
139,-1.9121920995426542e-05
140,0.0006874376446543033
141,-0.0006376725871783724
142,-0.0005776895377572253
143,-0.0015527217971120638
144,-0.0005476296067653612
145,-4.554532386122837e-05
146,0.00023721717842888174
147,2.3540829994925302e-05
148,-1.3319025687398615e-05
149,-0.00035821562197831846
150,1.5793313736854922e-05
151,-0.0012878562191706194
152,6.884572908456187e-05
153,-0.00024621518763500035
154,0.00016912194361366813
155,-0.0002806273522773927
156,5.643637837075269e-05
157,-0.00010838640935089947
158,8.723232725683111e-05
159,0.0001310587126516491
160,0.00010166912143908686
161,-0.0003279234998576339
162,7.10458150463159e-05
163,-0.00010087999427082474
164,-0.0009243168175066348
165,-0.00015039744991680426
166,0.00015142545583971356
167,-0.0019064054535758242
168,-0.0004391005957439996
169,4.141288019102598e-05
170,0.0002296488040741777
171,-0.0004979408272759006
172,-1.4016639280836778e-05
173,1.4885661103676647e-05
174,0.00016951224901009458
175,0.00017010437231777519
176,-8.674458114725966e-05
177,-0.00011850919989236979
178,5.5806897695466546e-05
179,-0.0005867542255695895
180,-6.521593707681173e-05
181,-0.0003772356754823358
182,0.00037612782215985286
183,-0.0005985478997019796
184,-0.00020965151029103563
185,6.936987500539847e-05
186,0.00023976698808587414
187,-3.8979054922217525e-05
188,-0.00043394671566211426
189,0.00016092396392336565
190,-0.00015297832199528643
191,-0.0012043140561261944
192,7.56787465411267e-06
193,-2.6727735580364228e-05
194,0.00017650232312788714
195,-5.717317091165904e-05
196,3.579381309219936e-05
197,-0.0005863378836426681
198,0.00039334899575211213
199,0.0002092209187350597
200,-3.3320423738034745e-05
201,-0.00020319392726492652
202,0.00016323633234786863
203,-0.0010592837592207764
204,1.7785712965042064e-06
205,3.784976888625063e-05
206,-1.0927965576637334e-05
207,6.763885223656067e-05
208,-1.0242993233715981e-05
209,7.610603581249679e-05
210,-0.00011639269724581876
211,0.00015506298991744207
212,-3.0256051151486407e-05
213,-2.4657784338116527e-05
214,8.536186794738241e-05
215,0.00019486633980599522
216,8.325123457994819e-05
217,7.888308885527434e-05
218,2.589410841533481e-05
219,5.117902642203169e-05
220,-0.000983682455627543
221,0.002079419437677888
222,-0.0002681910942265151
223,0.002694508340792126
224,-7.04506000372305e-06
225,-0.00019569333938788852
226,0.00029652815151587
227,-8.65814230220941e-05
228,-0.0004700465334872854
229,-0.0003855195225170412
230,0.00014090369221556457
231,0.000355227007424868
232,4.403239107908472e-07
233,-9.399098514223886e-07
234,5.181906752425644e-06
235,2.5477226386722953e-05
236,0.0006772152861064725
237,-0.0006917865277047254
238,0.0025642337306231474
239,0.006588748467712148
240,-1.5700192877467205e-06
241,8.146234138652676e-06
242,-1.2572104598840795e-05
243,-0.00019590409887603567
244,0.0018068645235294538
245,-0.0014718873687283001
246,-0.0030147755116894334
247,-0.007224247378960982
248,8.1117042176311e-05
249,-7.524205880513066e-05
250,-7.873425989583544e-05
251,-0.00039952251520710135
252,-0.00018938415175735507
253,0.000694823823654534
254,-0.0006475879299296038
255,-0.0011765842801296398
256,0.004570426016707759
257,-0.0013725539543458917
258,0.004098700928061519
259,0.02446204436379196
260,-0.0016050768177180434
261,-0.0005426845004870786
262,0.0005282938322553312
263,-0.004320687178376578
264,-8.870468309118318e-05
265,7.5208801915121e-05
266,-1.6446554212274246e-05
267,-0.00043898737800562973
268,-8.619956363948882e-06
269,0.0001371096778279988
270,-0.0002870284522076182
271,0.0024321380843962946
272,-8.072961751207207e-06
273,-0.0001934655398813064
274,-0.0001320602960015804
275,-0.0004784780201012155
276,0.001581347468178908
277,0.00034608920077007504
278,-0.0005822358352775965
279,0.0021621924251561246
280,0.0026435402920458764
281,-0.0010950008720155857
282,-0.0020582382021062644
283,-0.0012822392396062284
284,9.61547279093466e-05
285,5.642947333557014e-06
286,-6.3478197303786125e-06
287,0.0001883493475874297
288,0.00018119511079657245
289,0.00017212329977686166
290,-0.00012237712975282414
291,0.0008713512493492113
292,-0.00013134053966726636
293,0.00042706932665914795
294,4.2771187835098266e-05
295,0.001060170526527066
296,-0.0034324687682077302
297,0.005086396616052191
298,-0.003077220276596765
299,-0.0042329111215327056
300,-0.0002957430964461517
