year,mergecode,lowincome
18,7320-80290,80.0
18,7320-7322,80.0
18,90199-90200,72.0
18,90199-90770,72.0
18,4296-5461,95.0
18,90878-92197,87.0
18,79961-79094,63.0
18,92768-92769,88.0
18,7355-7356,57.0
18,4325-5496,90.0
18,79437-79438,70.0
18,79437-88180,67.0
18,80381-8327,99.0
18,4289-5454,60.0
18,4289-79799,46.0
18,4289-78926,28.0
18,4289-87903,22.0
18,4249-5187,87.0
18,79053-79123,98.0
18,4409-5831,82.0
18,4409-6292,87.0
18,4280-5381,62.0
18,4280-5382,91.0
18,4280-5384,93.0
18,4280-6030,97.0
18,4280-5385,89.0
18,4280-5386,94.0
18,4280-5387,94.0
18,4280-5388,95.0
18,4280-5383,91.0
18,4280-5389,96.0
18,4280-5391,93.0
18,4280-5390,94.0
18,4280-79203,91.0
18,4280-5392,92.0
18,79969-79970,77.0
18,4418-5859,76.0
18,4418-84336,94.0
18,79215-78788,76.0
18,80995-80996,84.0
18,79883-6346,82.0
18,79874-78813,77.0
18,79872-78901,54.0
18,79873-78900,73.0
18,79875-78817,75.0
18,80989-80990,90.0
18,88334-88335,84.0
18,79877-6347,78.0
18,79879-6348,96.0
18,9655-80313,90.0
18,4406-6055,80.0
18,4406-5805,90.0
18,4406-5808,25.0
18,4406-5802,22.0
18,4406-5799,41.0
18,4406-5796,94.0
18,4406-5794,80.0
18,4406-5795,95.0
18,4406-79378,13.0
18,4406-5797,90.0
18,4406-5804,82.0
18,4406-5806,33.0
18,4406-5798,58.0
18,4406-5792,50.0
18,4406-5800,42.0
18,4406-79282,17.0
18,4406-5807,16.0
18,4406-5803,57.0
18,4406-5801,85.0
18,4406-12976,17.0
18,4406-5793,19.0
18,4506-6188,82.0
18,4506-92739,54.5
18,4443-5925,47.0
18,4443-5923,61.0
18,4443-5922,64.0
18,4443-5920,77.0
18,4443-79631,60.0
18,79426-79432,98.0
18,6378-10755,74.5
18,79947-79950,67.0
18,79947-81187,62.0
18,79947-91805,89.0
18,79812-79813,40.0
18,85749-85750,13.0
18,6393-80462,77.0
18,6393-6396,84.0
18,4274-5354,78.0
18,4187-4797,80.0
18,4471-6101,56.0
18,80380-92289,95.0
18,92325-92326,54.0
18,89949-90271,70.0
18,91303-91304,57.0
18,4272-91985,83.0
18,4272-87619,62.0
18,4272-90028,43.0
18,4272-79670,64.0
18,4272-79792,55.0
18,4272-5348,90.0
18,4272-5349,81.0
18,4272-5347,91.0
18,4272-80181,68.0
18,4272-78924,60.0
18,4508-6192,92.0
18,4412-90822,90.0
18,4412-90821,80.0
18,4412-5847,89.0
18,4412-5846,87.0
18,4412-948673,98.0
18,4412-5844,99.0
18,90039-90544,80.0
18,4468-6088,45.0
18,4468-6089,45.0
18,79204-10729,39.0
18,4294-10730,45.0
18,4268-5319,93.0
18,4268-81141,99.0
18,4268-5320,99.0
18,4268-5321,83.0
18,4268-92301,42.0
18,549803-139682,67.0
18,4481-6116,66.0
18,79983-79507,64.0
18,79226-4799,37.0
18,79226-4794,48.0
18,79226-4793,52.0
18,79226-85879,64.5
18,4515-6203,82.0
18,4169-4754,65.0
18,4169-4752,73.0
18,4169-4753,69.0
18,9688-80426,95.0
18,91760-91761,99.0
18,4397-5645,53.0
18,4397-5648,41.0
18,4397-5647,55.0
18,4224-4896,52.0
18,4513-6201,74.5
18,4171-4758,90.0
18,4171-4759,90.0
18,4305-5470,80.0
18,81097-81098,97.0
18,4269-81110,76.0
18,4269-87473,98.0
18,4269-90341,55.0
18,4269-527220,46.0
18,4269-89572,75.0
18,4269-87471,55.0
18,4269-88398,55.0
18,4284-5424,64.0
18,4284-79376,33.0
18,4284-89573,60.0
18,4378-5587,89.0
18,4378-5583,99.0
18,4378-5584,99.0
18,4378-5585,72.0
18,4378-6048,66.0
18,4378-79655,79.0
18,90328-88290,75.0
18,90327-88289,30.0
18,90327-92235,39.0
18,79971-81102,87.0
18,79055-80463,43.0
18,79905-79906,86.0
18,4470-84659,64.5
18,4470-6098,63.0
18,4470-6100,44.0
18,4470-6099,65.0
18,4470-90137,64.5
18,4484-6119,82.0
18,79302-79303,99.0
18,79302-89565,90.0
18,4400-5652,92.0
18,4282-79283,91.0
18,4282-5414,67.0
18,4282-5398,92.0
18,4282-5405,67.0
18,4282-5406,86.0
18,4282-5411,84.0
18,4282-5407,87.0
18,4282-6032,88.0
18,4282-5399,96.0
18,4282-5409,92.0
18,4282-5402,89.0
18,4282-5400,92.0
18,4282-5401,92.0
18,4282-81109,87.0
18,4282-78980,86.0
18,4282-5412,92.0
18,4282-5413,88.0
18,4282-89955,94.0
18,4282-91270,67.0
18,4282-80352,86.0
18,4282-5404,85.0
18,4282-5403,88.0
18,4282-5415,72.0
18,91934-92498,98.0
18,80246-80247,98.0
18,4446-79692,61.0
18,4446-5934,91.0
18,4446-5935,81.0
18,4446-5929,99.0
18,4446-87948,61.0
18,4446-5930,95.0
18,4446-5936,66.0
18,4446-89578,63.0
18,4446-5937,94.0
18,4446-5932,99.0
18,4446-5933,99.0
18,4446-89579,63.0
18,4453-5948,58.0
18,4453-90084,64.0
18,4410-5835,15.0
18,4410-5839,13.0
18,4410-5837,12.0
18,4410-5833,10.0
18,4410-5834,10.0
18,4410-5832,12.0
18,4410-5838,14.0
18,4244-5134,11.0
18,4244-5137,6.0
18,4244-5136,16.0
18,4244-78912,5.0
18,4244-87477,7.0
18,4244-80056,9.0
18,4244-78911,7.0
18,4395-5638,98.0
18,4191-85876,98.0
18,4191-85877,61.0
18,4191-4801,47.0
18,4191-4802,98.0
18,4191-79039,86.0
18,6362-5555,21.0
18,4242-5117,15.0
18,4242-89591,10.0
18,4242-90302,8.0
18,4242-85838,5.0
18,4242-79247,18.0
18,4242-79633,12.0
18,4242-5125,26.0
18,4242-5127,43.0
18,4242-5119,20.0
18,4242-88404,4.0
18,4242-80102,11.0
18,4242-85837,8.0
18,4242-5122,30.0
18,4242-89926,9.0
18,4242-5126,59.0
18,4242-92892,11.0
18,4242-92891,18.0
18,4242-5116,80.0
18,4242-5113,90.0
18,4242-89925,8.0
18,4242-6015,19.0
18,4242-5114,96.0
18,4242-89590,7.0
18,4242-79653,21.0
18,4242-91794,6.0
