LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total,
ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,078546102,Reduced Lunch,*,*,*,28,*,*,*,39,
ASU Preparatory Academy,91303,,,           _,All Students,13,*,41,313,24,*,*,408,
ASU Preparatory Academy,91303,,,           _,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91303,,,           _,Free Lunch,*,*,23,204,*,*,*,241,
ASU Preparatory Academy,91303,,,           _,Students With Disabilities,*,*,*,29,*,*,*,38,
ASU Preparatory Academy,91303,,,           _,Reduced Lunch,*,*,*,24,*,*,*,41,
ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,078207001,All Students,13,*,41,313,24,*,*,408,
ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,078207001,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,078207001,Free Lunch,*,*,23,204,*,*,*,241,
ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,078207001,Students With Disabilities,*,*,*,29,*,*,*,38,
ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,078207001,Reduced Lunch,*,*,*,24,*,*,*,41,
ASU Preparatory Academy,91305,,,           _,All Students,12,*,22,63,119,*,12,235,
ASU Preparatory Academy,91305,,,           _,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,,,           _,Students With Disabilities,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,078208001,All Students,12,*,22,63,119,*,12,235,
ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,078208001,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,078208001,Free Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,078208001,Students With Disabilities,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,078208001,Reduced Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,Prestige School at Rite of Passage,90438,072107003,All Students,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,Prestige School at Rite of Passage,90438,072107003,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,Prestige School at Rite of Passage,90438,072107003,Free Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,Prestige School at Rite of Passage,90438,072107003,Students With Disabilities,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91305,Prestige School at Rite of Passage,90438,072107003,Reduced Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91307,,,           _,All Students,15,*,*,102,211,*,23,368,
ASU Preparatory Academy,91307,,,           _,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91307,,,           _,Free Lunch,*,*,*,*,15,*,*,25,
ASU Preparatory Academy,91307,,,           _,Students With Disabilities,*,*,*,13,23,*,*,43,
ASU Preparatory Academy,91307,,,           _,Reduced Lunch,*,*,*,11,13,*,*,29,
ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,078205001,All Students,15,*,*,102,211,*,23,368,
ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,078205001,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,078205001,Free Lunch,*,*,*,*,15,*,*,25,
ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,078205001,Students With Disabilities,*,*,*,13,23,*,*,43,
ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,078205001,Reduced Lunch,*,*,*,11,13,*,*,29,
ASU Preparatory Academy,92325,,,           _,All Students,*,*,37,266,38,*,*,359,
