LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total,
Apache Junction Unified District,4443,Cactus Canyon Junior High,5923,110243151,Free Lunch,*,*,*,171,282,*,18,492,
Apache Junction Unified District,4443,Cactus Canyon Junior High,5923,110243151,Students With Disabilities,*,*,*,41,72,*,*,120,
Apache Junction Unified District,4443,Cactus Canyon Junior High,5923,110243151,Reduced Lunch,*,*,*,31,73,*,*,110,
Apache Junction Unified District,4443,Desert Vista Elementary School,5922,110243104,All Students,*,*,*,228,501,*,26,777,
Apache Junction Unified District,4443,Desert Vista Elementary School,5922,110243104,English Learners,*,*,*,31,*,*,*,32,
Apache Junction Unified District,4443,Desert Vista Elementary School,5922,110243104,Free Lunch,*,*,*,197,334,*,29,580,
Apache Junction Unified District,4443,Desert Vista Elementary School,5922,110243104,Students With Disabilities,*,*,*,84,172,*,14,281,
Apache Junction Unified District,4443,Desert Vista Elementary School,5922,110243104,Reduced Lunch,*,*,*,35,92,*,*,132,
Apache Junction Unified District,4443,Four Peaks Elementary School,5920,110243102,All Students,*,*,13,274,412,*,*,716,
Apache Junction Unified District,4443,Four Peaks Elementary School,5920,110243102,English Learners,*,*,*,65,*,*,*,66,
Apache Junction Unified District,4443,Four Peaks Elementary School,5920,110243102,Free Lunch,*,*,*,272,394,*,11,693,
Apache Junction Unified District,4443,Four Peaks Elementary School,5920,110243102,Students With Disabilities,*,*,*,51,103,*,*,162,
Apache Junction Unified District,4443,Four Peaks Elementary School,5920,110243102,Reduced Lunch,*,*,*,32,58,*,*,92,
Apache Junction Unified District,4443,Lexington Life Academy Ellsworth,92718,072138001,All Students,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Lexington Life Academy Ellsworth,92718,072138001,English Learners,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Lexington Life Academy Ellsworth,92718,072138001,Free Lunch,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Lexington Life Academy Ellsworth,92718,072138001,Students With Disabilities,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Lexington Life Academy Ellsworth,92718,072138001,Reduced Lunch,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Peralta Trail Elementary School,79631,110243105,All Students,*,*,*,158,345,*,20,529,
Apache Junction Unified District,4443,Peralta Trail Elementary School,79631,110243105,English Learners,*,*,*,*,*,*,*,18,
Apache Junction Unified District,4443,Peralta Trail Elementary School,79631,110243105,Free Lunch,*,*,*,143,207,*,17,375,
Apache Junction Unified District,4443,Peralta Trail Elementary School,79631,110243105,Students With Disabilities,*,*,*,42,87,*,*,138,
Apache Junction Unified District,4443,Peralta Trail Elementary School,79631,110243105,Reduced Lunch,*,*,*,20,64,*,*,87,
Apache Junction Unified District,4443,Prestige School at Rite of Passage,90438,072107003,All Students,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Prestige School at Rite of Passage,90438,072107003,English Learners,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Prestige School at Rite of Passage,90438,072107003,Free Lunch,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Prestige School at Rite of Passage,90438,072107003,Students With Disabilities,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Prestige School at Rite of Passage,90438,072107003,Reduced Lunch,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,"St. Dominic Savio Academy, LLC",90472,072121001,All Students,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,"St. Dominic Savio Academy, LLC",90472,072121001,English Learners,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,"St. Dominic Savio Academy, LLC",90472,072121001,Free Lunch,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,"St. Dominic Savio Academy, LLC",90472,072121001,Students With Disabilities,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,"St. Dominic Savio Academy, LLC",90472,072121001,Reduced Lunch,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Superstition Mountain On-Line School,91810,110243202,All Students,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Superstition Mountain On-Line School,91810,110243202,English Learners,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Superstition Mountain On-Line School,91810,110243202,Free Lunch,*,*,*,*,23,*,*,27,
Apache Junction Unified District,4443,Superstition Mountain On-Line School,91810,110243202,Students With Disabilities,*,*,*,*,*,*,*,*,
Apache Junction Unified District,4443,Superstition Mountain On-Line School,91810,110243202,Reduced Lunch,*,*,*,*,*,*,*,*,
Aprender Tucson,79426,,,           _,All Students,*,*,*,225,*,*,*,232,
Aprender Tucson,79426,,,           _,English Learners,*,*,*,*,*,*,*,83,
Aprender Tucson,79426,,,           _,Free Lunch,*,*,*,234,*,*,*,239,
Aprender Tucson,79426,,,           _,Students With Disabilities,*,*,*,47,*,*,*,49,
Aprender Tucson,79426,,,           _,Reduced Lunch,*,*,*,*,*,*,*,18,
Aprender Tucson,79426,Southside Community School,79432,108785001,All Students,*,*,*,225,*,*,*,232,
Aprender Tucson,79426,Southside Community School,79432,108785001,English Learners,*,*,*,*,*,*,*,83,
Aprender Tucson,79426,Southside Community School,79432,108785001,Free Lunch,*,*,*,234,*,*,*,239,
Aprender Tucson,79426,Southside Community School,79432,108785001,Students With Disabilities,*,*,*,47,*,*,*,49,
Aprender Tucson,79426,Southside Community School,79432,108785001,Reduced Lunch,*,*,*,*,*,*,*,18,
Archway Classical Academy Arete,92312,,,           _,All Students,39,*,16,97,333,*,36,533,
Archway Classical Academy Arete,92312,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Arete,92312,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Arete,92312,,,           _,Students With Disabilities,*,*,*,*,23,*,*,41,
Archway Classical Academy Arete,92312,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Arete,92312,Great Hearts Academies - Archway Arete,92313,078247001,All Students,39,*,16,97,333,*,36,533,
Archway Classical Academy Arete,92312,Great Hearts Academies - Archway Arete,92313,078247001,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Arete,92312,Great Hearts Academies - Archway Arete,92313,078247001,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Arete,92312,Great Hearts Academies - Archway Arete,92313,078247001,Students With Disabilities,*,*,*,*,23,*,*,41,
Archway Classical Academy Arete,92312,Great Hearts Academies - Archway Arete,92313,078247001,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Chandler,90917,,,           _,All Students,72,*,17,84,290,19,50,532,
Archway Classical Academy Chandler,90917,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Chandler,90917,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Chandler,90917,,,           _,Students With Disabilities,*,*,*,*,*,*,*,23,
Archway Classical Academy Chandler,90917,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,078597301,All Students,72,*,17,84,290,19,50,532,
Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,078597301,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,078597301,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,078597301,Students With Disabilities,*,*,*,*,*,*,*,23,
Archway Classical Academy Chandler,90917,Great Hearts Academies - Archway Chandler,90999,078597301,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Cicero,92314,,,           _,All Students,27,*,12,60,391,*,17,516,
Archway Classical Academy Cicero,92314,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Cicero,92314,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Cicero,92314,,,           _,Students With Disabilities,*,*,*,*,25,*,*,29,
Archway Classical Academy Cicero,92314,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Cicero,92314,Great Hearts Academies - Archway Cicero,92315,078248001,All Students,27,*,12,60,391,*,17,516,
Archway Classical Academy Cicero,92314,Great Hearts Academies - Archway Cicero,92315,078248001,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Cicero,92314,Great Hearts Academies - Archway Cicero,92315,078248001,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Cicero,92314,Great Hearts Academies - Archway Cicero,92315,078248001,Students With Disabilities,*,*,*,*,25,*,*,29,
Archway Classical Academy Cicero,92314,Great Hearts Academies - Archway Cicero,92315,078248001,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Glendale,91878,,,           _,All Students,58,*,*,62,366,*,30,537,
Archway Classical Academy Glendale,91878,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Glendale,91878,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Glendale,91878,,,           _,Students With Disabilities,*,*,*,*,32,*,*,45,
Archway Classical Academy Glendale,91878,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,078406001,All Students,58,*,*,62,366,*,30,537,
Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,078406001,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,078406001,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,078406001,Students With Disabilities,*,*,*,*,32,*,*,45,
Archway Classical Academy Glendale,91878,Great Hearts Academies - Archway Glendale,91879,078406001,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,,,           _,All Students,85,*,*,76,261,25,45,511,
Archway Classical Academy Lincoln,92656,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,,,           _,Students With Disabilities,*,*,*,*,20,*,*,39,
Archway Classical Academy Lincoln,92656,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Autism Academy of Education and Development,91919,072128001,All Students,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Autism Academy of Education and Development,91919,072128001,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Autism Academy of Education and Development,91919,072128001,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Autism Academy of Education and Development,91919,072128001,Students With Disabilities,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Autism Academy of Education and Development,91919,072128001,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Great Hearts Academies - Archway Lincoln,92708,078234001,All Students,85,*,*,76,261,25,45,511,
Archway Classical Academy Lincoln,92656,Great Hearts Academies - Archway Lincoln,92708,078234001,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Great Hearts Academies - Archway Lincoln,92708,078234001,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Lincoln,92656,Great Hearts Academies - Archway Lincoln,92708,078234001,Students With Disabilities,*,*,*,*,20,*,*,38,
Archway Classical Academy Lincoln,92656,Great Hearts Academies - Archway Lincoln,92708,078234001,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy North Phoenix,91758,,,           _,All Students,30,*,15,66,364,*,27,511,
Archway Classical Academy North Phoenix,91758,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy North Phoenix,91758,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy North Phoenix,91758,,,           _,Students With Disabilities,*,*,*,*,28,*,*,35,
Archway Classical Academy North Phoenix,91758,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,078214002,All Students,30,*,15,66,364,*,27,511,
Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,078214002,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,078214002,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,078214002,Students With Disabilities,*,*,*,*,28,*,*,35,
Archway Classical Academy North Phoenix,91758,Great Hearts Academies - Archway North Phoenix,91785,078214002,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Scottsdale,90857,,,           _,All Students,51,*,*,34,294,13,*,405,
Archway Classical Academy Scottsdale,90857,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Scottsdale,90857,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Scottsdale,90857,,,           _,Students With Disabilities,*,*,*,*,18,*,*,26,
Archway Classical Academy Scottsdale,90857,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,078590301,All Students,51,*,*,34,294,13,*,405,
Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,078590301,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,078590301,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,078590301,Students With Disabilities,*,*,*,*,18,*,*,26,
Archway Classical Academy Scottsdale,90857,Great Hearts Academies - Archway Scottsdale,90994,078590301,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,,,           _,All Students,34,*,*,163,176,*,50,462,
Archway Classical Academy Trivium East,92704,,,           _,English Learners,*,*,*,*,*,*,*,11,
Archway Classical Academy Trivium East,92704,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,,,           _,Students With Disabilities,*,*,*,20,16,*,*,51,
Archway Classical Academy Trivium East,92704,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,ACES-Phoenix West,90771,072190003,All Students,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,ACES-Phoenix West,90771,072190003,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,ACES-Phoenix West,90771,072190003,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,ACES-Phoenix West,90771,072190003,Students With Disabilities,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,ACES-Phoenix West,90771,072190003,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,Great Hearts Academies - Archway Trivium East,92707,078266001,All Students,34,*,*,163,176,*,50,462,
Archway Classical Academy Trivium East,92704,Great Hearts Academies - Archway Trivium East,92707,078266001,English Learners,*,*,*,*,*,*,*,11,
Archway Classical Academy Trivium East,92704,Great Hearts Academies - Archway Trivium East,92707,078266001,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium East,92704,Great Hearts Academies - Archway Trivium East,92707,078266001,Students With Disabilities,*,*,*,19,16,*,*,50,
Archway Classical Academy Trivium East,92704,Great Hearts Academies - Archway Trivium East,92707,078266001,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium West,90915,,,           _,All Students,35,*,27,149,286,*,37,541,
Archway Classical Academy Trivium West,90915,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium West,90915,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium West,90915,,,           _,Students With Disabilities,*,*,*,12,22,*,*,40,
Archway Classical Academy Trivium West,90915,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,078595301,All Students,35,*,27,149,286,*,37,541,
Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,078595301,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,078595301,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,078595301,Students With Disabilities,*,*,*,12,22,*,*,40,
Archway Classical Academy Trivium West,90915,Great Hearts Academies - Archway Trivium West,91001,078595301,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Veritas,90916,,,           _,All Students,26,*,*,60,405,11,28,537,
Archway Classical Academy Veritas,90916,,,           _,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Veritas,90916,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Veritas,90916,,,           _,Students With Disabilities,*,*,*,*,32,*,*,34,
Archway Classical Academy Veritas,90916,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,078596301,All Students,26,*,*,60,405,11,28,537,
Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,078596301,English Learners,*,*,*,*,*,*,*,*,
Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,078596301,Free Lunch,*,*,*,*,*,*,*,*,
Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,078596301,Students With Disabilities,*,*,*,*,32,*,*,34,
Archway Classical Academy Veritas,90916,Great Hearts Academies - Archway Veritas,91000,078596301,Reduced Lunch,*,*,*,*,*,*,*,*,
Arete Preparatory Academy,89486,,,           _,All Students,24,*,22,96,364,*,17,531,
Arete Preparatory Academy,89486,,,           _,English Learners,*,*,*,*,*,*,*,*,
Arete Preparatory Academy,89486,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
Arete Preparatory Academy,89486,,,           _,Students With Disabilities,*,*,*,*,13,*,*,21,
Arete Preparatory Academy,89486,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
Arete Preparatory Academy,89486,Great Hearts Academies - Arete Prep,89487,078527001,All Students,24,*,22,96,364,*,17,531,
Arete Preparatory Academy,89486,Great Hearts Academies - Arete Prep,89487,078527001,English Learners,*,*,*,*,*,*,*,*,
Arete Preparatory Academy,89486,Great Hearts Academies - Arete Prep,89487,078527001,Free Lunch,*,*,*,*,*,*,*,*,
Arete Preparatory Academy,89486,Great Hearts Academies - Arete Prep,89487,078527001,Students With Disabilities,*,*,*,*,13,*,*,21,
Arete Preparatory Academy,89486,Great Hearts Academies - Arete Prep,89487,078527001,Reduced Lunch,*,*,*,*,*,*,*,*,
"Arizona Academy of Science And Technology, Inc.",6378,,,           _,All Students,*,*,*,31,*,*,*,49,
"Arizona Academy of Science And Technology, Inc.",6378,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Arizona Academy of Science And Technology, Inc.",6378,,,           _,Free Lunch,*,*,*,43,*,*,*,66,
"Arizona Academy of Science And Technology, Inc.",6378,,,           _,Students With Disabilities,*,*,*,*,*,*,*,*,
"Arizona Academy of Science And Technology, Inc.",6378,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"Arizona Academy of Science And Technology, Inc.",6378,Arizona Academy of Science and Technology,10755,078665001,All Students,*,*,*,31,*,*,*,49,
"Arizona Academy of Science And Technology, Inc.",6378,Arizona Academy of Science and Technology,10755,078665001,English Learners,*,*,*,*,*,*,*,*,
"Arizona Academy of Science And Technology, Inc.",6378,Arizona Academy of Science and Technology,10755,078665001,Free Lunch,*,*,*,43,*,*,*,66,
"Arizona Academy of Science And Technology, Inc.",6378,Arizona Academy of Science and Technology,10755,078665001,Students With Disabilities,*,*,*,*,*,*,*,*,
"Arizona Academy of Science And Technology, Inc.",6378,Arizona Academy of Science and Technology,10755,078665001,Reduced Lunch,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",4331,,,           _,All Students,16,*,14,49,297,*,*,383,
"Arizona Agribusiness & Equine Center, Inc.",4331,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",4331,,,           _,Free Lunch,*,*,*,*,11,*,*,20,
"Arizona Agribusiness & Equine Center, Inc.",4331,,,           _,Students With Disabilities,*,*,*,*,23,*,*,29,
"Arizona Agribusiness & Equine Center, Inc.",4331,,,           _,Reduced Lunch,*,*,*,*,*,*,*,15,
"Arizona Agribusiness & Equine Center, Inc.",4331,AAEC - Paradise Valley,6344,078707202,All Students,16,*,14,49,297,*,*,383,
"Arizona Agribusiness & Equine Center, Inc.",4331,AAEC - Paradise Valley,6344,078707202,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",4331,AAEC - Paradise Valley,6344,078707202,Free Lunch,*,*,*,*,11,*,*,20,
"Arizona Agribusiness & Equine Center, Inc.",4331,AAEC - Paradise Valley,6344,078707202,Students With Disabilities,*,*,*,*,23,*,*,29,
"Arizona Agribusiness & Equine Center, Inc.",4331,AAEC - Paradise Valley,6344,078707202,Reduced Lunch,*,*,*,*,*,*,*,15,
"Arizona Agribusiness & Equine Center, Inc.",85816,,,           _,All Students,*,*,32,341,40,*,*,419,
"Arizona Agribusiness & Equine Center, Inc.",85816,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",85816,,,           _,Free Lunch,*,*,18,234,15,*,*,270,
"Arizona Agribusiness & Equine Center, Inc.",85816,,,           _,Students With Disabilities,*,*,*,17,*,*,*,24,
"Arizona Agribusiness & Equine Center, Inc.",85816,,,           _,Reduced Lunch,*,*,*,23,*,*,*,26,
"Arizona Agribusiness & Equine Center, Inc.",85816,AAEC - SMCC Campus,5503,078993201,All Students,*,*,32,341,40,*,*,419,
"Arizona Agribusiness & Equine Center, Inc.",85816,AAEC - SMCC Campus,5503,078993201,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",85816,AAEC - SMCC Campus,5503,078993201,Free Lunch,*,*,18,234,15,*,*,270,
"Arizona Agribusiness & Equine Center, Inc.",85816,AAEC - SMCC Campus,5503,078993201,Students With Disabilities,*,*,*,17,*,*,*,24,
"Arizona Agribusiness & Equine Center, Inc.",85816,AAEC - SMCC Campus,5503,078993201,Reduced Lunch,*,*,*,23,*,*,*,26,
"Arizona Agribusiness & Equine Center, Inc.",87403,,,           _,All Students,*,*,*,23,137,*,*,170,
"Arizona Agribusiness & Equine Center, Inc.",87403,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",87403,,,           _,Free Lunch,*,*,*,11,15,*,*,32,
"Arizona Agribusiness & Equine Center, Inc.",87403,,,           _,Students With Disabilities,*,*,*,*,*,*,*,12,
"Arizona Agribusiness & Equine Center, Inc.",87403,,,           _,Reduced Lunch,*,*,*,*,20,*,*,24,
"Arizona Agribusiness & Equine Center, Inc.",87403,"Arizona Agribusiness & Equine Center, Inc. - Red Mountain",87404,078510201,All Students,*,*,*,23,137,*,*,170,
"Arizona Agribusiness & Equine Center, Inc.",87403,"Arizona Agribusiness & Equine Center, Inc. - Red Mountain",87404,078510201,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",87403,"Arizona Agribusiness & Equine Center, Inc. - Red Mountain",87404,078510201,Free Lunch,*,*,*,11,15,*,*,32,
"Arizona Agribusiness & Equine Center, Inc.",87403,"Arizona Agribusiness & Equine Center, Inc. - Red Mountain",87404,078510201,Students With Disabilities,*,*,*,*,*,*,*,12,
"Arizona Agribusiness & Equine Center, Inc.",87403,"Arizona Agribusiness & Equine Center, Inc. - Red Mountain",87404,078510201,Reduced Lunch,*,*,*,*,20,*,*,24,
"Arizona Agribusiness & Equine Center, Inc.",90779,,,           _,All Students,27,*,35,183,221,*,*,480,
"Arizona Agribusiness & Equine Center, Inc.",90779,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",90779,,,           _,Free Lunch,*,*,11,68,29,*,*,118,
"Arizona Agribusiness & Equine Center, Inc.",90779,,,           _,Students With Disabilities,*,*,*,*,*,*,*,13,
"Arizona Agribusiness & Equine Center, Inc.",90779,,,           _,Reduced Lunch,*,*,*,39,29,*,*,78,
"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,078587201,All Students,27,*,35,183,221,*,*,480,
"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,078587201,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,078587201,Free Lunch,*,*,11,68,29,*,*,118,
"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,078587201,Students With Disabilities,*,*,*,*,*,*,*,13,
"Arizona Agribusiness & Equine Center, Inc.",90779,Arizona Agribusiness & Equine Center - Estrella,90780,078587201,Reduced Lunch,*,*,*,39,29,*,*,78,
"Arizona Agribusiness & Equine Center, Inc.",91131,,,           _,All Students,*,*,*,14,190,*,*,210,
"Arizona Agribusiness & Equine Center, Inc.",91131,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",91131,,,           _,Free Lunch,*,*,*,*,50,*,*,56,
"Arizona Agribusiness & Equine Center, Inc.",91131,,,           _,Students With Disabilities,*,*,*,*,*,*,*,15,
"Arizona Agribusiness & Equine Center, Inc.",91131,,,           _,Reduced Lunch,*,*,*,*,29,*,*,32,
"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,138785201,All Students,*,*,*,14,190,*,*,210,
"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,138785201,English Learners,*,*,*,*,*,*,*,*,
"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,138785201,Free Lunch,*,*,*,*,50,*,*,56,
"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,138785201,Students With Disabilities,*,*,*,*,*,*,*,15,
"Arizona Agribusiness & Equine Center, Inc.",91131,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",91132,138785201,Reduced Lunch,*,*,*,*,29,*,*,32,
"Arizona Autism Charter Schools, Inc.",91958,,,           _,All Students,*,*,*,75,46,*,*,151,
"Arizona Autism Charter Schools, Inc.",91958,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Arizona Autism Charter Schools, Inc.",91958,,,           _,Free Lunch,*,*,*,40,*,*,*,60,
"Arizona Autism Charter Schools, Inc.",91958,,,           _,Students With Disabilities,*,*,*,80,48,*,*,159,
"Arizona Autism Charter Schools, Inc.",91958,,,           _,Reduced Lunch,*,*,*,29,17,*,*,59,
"Arizona Autism Charter Schools, Inc.",91958,Arizona Autism Charter School,92598,078226001,All Students,*,*,*,54,24,*,*,98,
"Arizona Autism Charter Schools, Inc.",91958,Arizona Autism Charter School,92598,078226001,English Learners,*,*,*,*,*,*,*,*,
