year,mergecode,droprate
18,90199-90770,0.7
18,85540-85541,6.21
18,4296-5461,3.33
18,90878-92197,0.0
18,79961-79094,0.0
18,92768-92769,1.04
18,78897-78898,0.0
18,78897-79986,1.22
18,79213-10795,16.59
18,6364-5891,3.06
18,4297-5462,1.57
18,4325-5496,0.92
18,79437-79438,0.0
18,4289-5454,1.0
18,4289-79799,0.89
18,4289-78926,0.93
18,4289-87903,0.67
18,4249-5187,0.0
18,90758-91184,13.76
18,90758-91246,22.22
18,79053-79123,18.2
18,449790-742847,5.56
18,4409-5831,4.94
18,4409-6292,2.21
18,4280-5381,0.0
18,4280-5382,1.13
18,4280-5384,0.8
18,4280-5385,0.28
18,4280-5386,0.77
18,4280-5387,1.58
18,4280-5389,0.25
18,4280-5391,1.16
18,4280-79203,1.57
18,4347-5521,1.35
18,4161-4743,9.09
18,4418-5859,8.02
18,80995-80996,3.5
18,79883-6346,17.65
18,79874-78813,23.04
18,79872-78901,18.09
18,79873-78900,25.82
18,79875-78817,20.54
18,80989-80990,21.96
18,88334-88335,1.05
18,79877-6347,34.98
18,79879-6348,18.81
18,6365-88201,2.08
18,6365-6366,0.58
18,4348-92885,2.75
18,4348-90769,2.29
18,4348-509281,1.83
18,79461-81178,43.04
18,4406-91755,16.36
18,4406-6055,5.89
18,4406-5805,5.86
18,4406-5808,1.82
18,4406-5799,0.27
18,4406-79378,1.66
18,4406-5804,5.07
18,4406-5806,1.37
18,4406-5807,0.2
18,4406-5803,2.27
18,4506-6188,1.32
18,4506-92739,5.88
18,90532-90635,0.0
18,4443-5925,4.17
18,4443-5923,1.94
18,4443-91810,43.24
18,79426-79432,1.18
18,89486-89487,0.19
18,134379-156568,0.0
18,4331-6344,0.25
18,85816-5503,0.0
18,90779-90780,0.2
18,91131-91132,0.0
18,87403-87404,1.07
18,91958-92984,2.56
18,4346-5520,34.06
18,79947-79950,0.0
18,79947-81187,0.0
18,79947-91805,1.82
18,87407-81179,5.26
18,85749-85750,2.33
18,4345-5519,0.57
18,4274-5354,0.0
18,4471-6103,7.14
18,4471-6102,0.0
18,92325-92326,0.0
18,631426-338609,6.67
18,91303-91304,0.0
18,91305-91306,0.32
18,92327-91323,0.0
18,92987-635758,0.0
18,522074-860177,10.47
18,4272-91985,0.7
18,4272-87619,0.0
18,4272-90028,1.43
18,4272-79670,1.4
18,4272-79792,0.0
18,4272-5347,0.0
18,4272-78924,0.0
18,79929-80006,10.24
18,89869-89870,4.33
18,4508-6192,23.98
18,4412-90822,10.14
18,4412-90821,12.5
18,4412-5847,9.77
18,4412-5846,3.18
18,4468-6089,0.5
18,79204-10729,0.0
18,4294-10730,0.0
18,90885-91791,0.0
18,4268-5319,3.42
18,91339-92030,0.0
18,90842-91056,0.0
18,90862-90863,0.0
18,92734-92735,0.0
18,91949-91997,0.0
18,90508-90509,0.0
18,90841-91055,0.17
18,91280-91343,0.0
18,92349-92350,0.0
18,92320-92321,0.0
18,81078-81079,0.0
18,91309-91766,0.12
18,4481-6116,0.0
18,79983-79507,0.0
18,4355-92270,0.38
18,79226-4799,0.21
18,79226-4794,0.47
18,79226-85879,17.31
18,79226-90775,18.52
18,4515-6203,0.72
18,4169-4754,5.67
18,4169-4753,2.73
18,89871-89872,2.11
18,4397-5648,6.32
18,4397-456092,0.0
18,4397-5647,1.49
18,81041-90158,31.03
18,81041-81042,29.94
18,81041-81182,30.77
18,4224-4896,0.0
18,4513-6201,0.0
18,4171-4758,0.0
18,4171-4759,8.57
18,4305-5470,0.0
18,81097-81098,1.56
18,4269-81110,0.78
18,4269-87473,0.44
18,4269-90341,3.44
18,4269-527220,2.09
18,4269-89572,0.0
18,4269-87471,0.0
18,4269-88398,0.0
18,4284-5424,1.19
18,4284-79376,1.37
18,4284-89573,0.62
18,4378-5587,1.1
18,4378-6048,1.87
18,90328-88290,0.0
18,90327-88289,1.16
18,79055-80463,0.0
18,78888-90325,0.0
18,79905-79906,0.0
18,4470-84659,10.34
18,4470-6100,4.49
18,4470-6099,1.32
18,4470-90137,21.43
18,89758-89759,0.0
18,4484-6119,0.0
18,81029-81030,26.71
18,81029-605648,14.0
18,78858-78859,0.0
18,4400-5652,37.25
18,79047-80430,41.86
18,79047-79129,12.11
18,79047-80025,21.84
18,79047-80050,0.0
18,80001-80002,0.8
18,80001-89656,8.33
18,4282-5398,4.12
18,4282-5405,0.0
18,4282-5406,3.07
18,4282-5411,2.77
18,4282-5407,1.94
18,4282-5399,0.0
18,4282-78980,2.54
18,4282-89955,1.37
18,4446-79692,2.26
18,4446-5934,4.62
18,4446-89579,3.74
18,4453-5948,6.79
18,4453-90084,6.53
18,4410-5839,0.47
18,4410-5837,0.22
18,4410-5834,1.42
18,4244-5137,0.7
18,4244-78911,0.58
18,4395-5638,0.0
18,4191-85876,0.0
18,4191-85877,3.0
18,4191-4801,6.78
18,4191-4802,0.95
18,88299-88300,0.0
18,4242-89591,1.04
18,4242-90302,1.44
18,4242-79633,1.36
18,4242-5125,0.26
18,4242-5127,1.82
18,4242-91282,1.49
18,4242-92892,1.54
18,4242-6015,1.66
18,4242-5123,1.03
18,4242-89613,0.65
18,4242-79634,0.48
18,4242-87519,1.38
18,4242-5110,2.3
18,4158-4737,11.83
18,4158-4731,6.74
18,4158-4734,2.96
18,4158-4735,0.92
18,4474-6110,2.01
18,4474-6109,0.22
18,90138-90139,0.9
18,90138-92636,0.0
18,5186-10801,2.75
18,5186-92637,2.8
18,92316-92317,0.22
18,85448-85451,0.49
18,85448-92561,0.0
18,85448-87441,3.51
18,4486-6122,0.81
18,81027-81028,3.27
18,4177-4785,0.0
18,10386-79010,0.0
18,10386-78915,0.93
18,10386-85842,26.15
18,10386-81127,22.64
18,91773-10733,1.68
18,4370-5567,6.15
18,4381-90858,30.82
18,4381-5592,1.94
18,4381-5593,2.6
18,79467-79468,31.58
18,90533-88388,3.81
18,4160-4742,0.0
18,4479-6114,0.0
18,4416-5855,0.0
18,4442-92608,21.53
18,4442-5916,3.67
18,4442-5914,8.3
18,79077-79099,1.79
18,79988-79989,0.58
18,4487-6124,0.8
18,4487-90934,0.0
18,4487-6125,1.61
18,79074-79102,0.56
18,90331-87412,28.26
18,80032-80033,22.57
18,4501-78935,0.24
18,4501-778305,6.9
18,4501-6172,0.78
18,4263-5289,0.0
18,4263-5283,3.05
18,4263-79285,5.94
18,4263-6023,3.62
18,4263-5284,5.14
18,4263-5285,1.86
18,4263-5287,3.29
18,4263-5288,1.91
18,4263-5286,2.31
18,89915-89916,0.0
18,89917-89918,0.0
18,79049-79127,0.0
18,89914-80974,0.47
18,90284-90285,0.41
18,90541-90639,0.0
18,79496-79506,0.23
18,4246-78922,0.0
18,4246-5162,1.69
18,4246-85850,1.39
18,4246-88399,0.0
18,4246-5161,2.15
18,4246-5142,0.13
18,4246-79414,1.12
18,4246-5159,0.0
18,4246-5150,0.13
18,4246-85851,0.0
18,4246-80318,0.0
18,4246-78921,0.0
18,4246-5155,0.0
