Fiscal Year,LEA ID,LEA Name,School Entity ID,School Name,Charter,Subgroup,Dropout Rate
2019,4212,Hayden-Winkelman Unified District,4873,Hayden High School,N,All,4.17
2019,4213,Young Elementary District,4874,Young Elementary School,N,All,0.00
2019,4213,Young Elementary District,4875,Young High School,N,All,0.00
2019,4214,Pine Strawberry Elementary District,4876,Pine Strawberry Elementary School,N,All,0.00
2019,4215,Tonto Basin Elementary District,4877,Tonto Basin Elementary,N,All,0.00
2019,4216,Liberty High School,4878,Liberty High School,Y,All,15.70
2019,4217,Graham County Special Services,4879,Dan Hinton Accommodation School,N,All,0.00
2019,4218,Safford Unified District,4883,Safford Middle School,N,All,3.62
2019,4218,Safford Unified District,4884,Safford High School,N,All,1.69
2019,4218,Safford Unified District,4885,Mt Graham High School,N,All,3.36
2019,4218,Safford Unified District,216045,Henry Dunkerson Pathways Academy,N,All,33.33
2019,4219,Thatcher Unified District,4888,Thatcher Middle School,N,All,0.61
2019,4219,Thatcher Unified District,4889,Thatcher High School,N,All,0.91
2019,4220,Pima Unified District,4891,Pima High School,N,All,2.37
2019,4220,Pima Unified District,81056,Pima Junior High School,N,All,1.67
2019,4220,Pima Unified District,92296,Gila Valley Learning Center,N,All,29.03
2019,4221,Fort Thomas Unified District,4893,Fort Thomas High School,N,All,2.79
2019,4221,Fort Thomas Unified District,90064,Mt. Turnbull Academy,N,All,28.26
2019,4222,Solomon Elementary District,4894,Solomon Elementary School,N,All,0.00
2019,4224,Bonita Elementary District,4896,Bonita Elementary School,N,All,0.00
2019,4225,Triumphant Learning Center,4897,Triumphant Learning Center,Y,All,6.25
2019,4228,Duncan Unified District,4902,Duncan Elementary,N,All,0.00
2019,4228,Duncan Unified District,4903,Duncan High School,N,All,0.78
2019,4230,Morenci Unified District,4906,Morenci High School,N,All,1.54
2019,4230,Morenci Unified District,92081,Fairbanks Middle School,N,All,0.42
2019,4234,Maricopa County Regional School District,6822,Mesa Transitional Learning Center,N,All,0.00
2019,4234,Maricopa County Regional School District,6823,Durango Transitional Learning Center,N,All,0.00
2019,4234,Maricopa County Regional School District,80410,Continued Hope High Schools,N,All,21.62
2019,4234,Maricopa County Regional School District,90797,Southwest Key Transitional Learning Center,N,All,0.00
2019,4234,Maricopa County Regional School District,549878,Esperanza Prep,N,All,0.00
2019,4234,Maricopa County Regional School District,969999,Hope College and Career Readiness Academy,N,All,15.71
2019,4235,Mesa Unified District,4967,Eagleridge Enrichment Program,N,All,1.82
2019,4235,Mesa Unified District,4969,Carson Junior  High School,N,All,2.59
2019,4235,Mesa Unified District,4970,Kino Junior High School,N,All,2.14
2019,4235,Mesa Unified District,4971,Fremont Junior High School,N,All,0.25
2019,4235,Mesa Unified District,4973,Poston Junior High School,N,All,2.16
2019,4235,Mesa Unified District,4974,Rhodes Junior High School,N,All,2.53
2019,4235,Mesa Unified District,4975,Taylor Junior High School,N,All,1.30
2019,4235,Mesa Unified District,4977,Shepherd Junior High School,N,All,1.05
2019,4235,Mesa Unified District,4979,Stapley Junior High School,N,All,0.39
2019,4235,Mesa Unified District,4980,Mesa High School,N,All,3.14
2019,4235,Mesa Unified District,4981,Westwood High School,N,All,4.13
2019,4235,Mesa Unified District,4982,Mountain View High School,N,All,2.04
2019,4235,Mesa Unified District,4983,Dobson High School,N,All,3.71
2019,4235,Mesa Unified District,4984,Red Mountain High School,N,All,1.19
2019,4235,Mesa Unified District,78917,Skyline High School,N,All,3.16
2019,4235,Mesa Unified District,78930,Mesa Distance Learning Program,N,All,7.62
2019,4235,Mesa Unified District,78932,East Valley Academy,N,All,32.30
2019,4235,Mesa Unified District,79489,Smith Junior High School,N,All,1.77
2019,4235,Mesa Unified District,89593,Mesa Academy for Advanced Studies,N,All,0.53
2019,4235,Mesa Unified District,90303,Franklin Junior High School,N,All,0.71
2019,4235,Mesa Unified District,90753,Summit Academy,N,All,0.36
2019,4236,Wickenburg Unified District,4986,Vulture Peak Middle School,N,All,0.54
2019,4236,Wickenburg Unified District,4987,Wickenburg High School,N,All,5.96
2019,4236,Wickenburg Unified District,89676,Festival Foothills Elementary School,N,All,1.28
2019,4236,Wickenburg Unified District,91264,Wickenburg Virtual Academy,N,All,16.55
2019,4237,Peoria Unified School District,4989,Peoria Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,4990,Ira A Murphy,N,All,0.00
2019,4237,Peoria Unified School District,4991,Kachina Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,4992,Heritage School,N,All,0.00
2019,4237,Peoria Unified School District,4993,Pioneer Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,4994,Alta Loma School,N,All,0.00
2019,4237,Peoria Unified School District,4995,Desert Palms Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,4996,Foothills Elementary School,N,All,0.54
2019,4237,Peoria Unified School District,4997,Copperwood School,N,All,0.00
2019,4237,Peoria Unified School District,4998,Sundance Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,4999,Cotton Boll School,N,All,0.00
2019,4237,Peoria Unified School District,5000,Oakwood Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5001,Desert Valley Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5002,Sahuaro Ranch Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5003,Oasis Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5004,Sun Valley Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5005,Sky View Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5006,Apache Elementary School,N,All,0.50
2019,4237,Peoria Unified School District,5007,Canyon Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5008,Marshall Ranch Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5009,Santa Fe Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5010,Paseo Verde Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5011,Desert Harbor Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5012,Cheyenne Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,5013,Peoria High School,N,All,0.48
2019,4237,Peoria Unified School District,5014,Cactus High School,N,All,0.60
2019,4237,Peoria Unified School District,5015,Ironwood High School,N,All,0.52
2019,4237,Peoria Unified School District,5016,Centennial High School,N,All,0.82
2019,4237,Peoria Unified School District,5017,Sunrise Mountain High School,N,All,0.14
2019,4237,Peoria Unified School District,6005,Frontier Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,6231,Peoria Flex Academy,N,All,10.05
2019,4237,Peoria Unified School District,79222,Coyote Hills Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,79223,Country Meadows Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,79645,Zuni Hills Elementary School,N,All,0.31
2019,4237,Peoria Unified School District,81144,Parkridge Elementary,N,All,0.00
2019,4237,Peoria Unified School District,81207,Peoria eCampus,N,All,0.00
2019,4237,Peoria Unified School District,85835,Raymond S. Kellis,N,All,0.60
2019,4237,Peoria Unified School District,87520,Liberty High School,N,All,0.08
2019,4237,Peoria Unified School District,88397,Vistancia Elementary School,N,All,0.33
2019,4237,Peoria Unified School District,90135,Lake Pleasant Elementary,N,All,0.00
2019,4237,Peoria Unified School District,91217,Peoria Traditional School,N,All,0.00
2019,4237,Peoria Unified School District,92638,Sunset Heights Elementary School,N,All,0.00
2019,4237,Peoria Unified School District,92645,Sunflower School,N,All,0.00
2019,4238,Gila Bend Unified District,5019,Gila Bend High School,N,All,3.52
2019,4239,Gilbert Unified District,5021,Mesquite Jr High School,N,All,0.97
2019,4239,Gilbert Unified District,5022,Greenfield Junior High School,N,All,1.35
2019,4239,Gilbert Unified District,5039,Gilbert High School,N,All,1.67
2019,4239,Gilbert Unified District,5040,Highland High School,N,All,0.87
2019,4239,Gilbert Unified District,6006,Highland Jr High School,N,All,0.48
2019,4239,Gilbert Unified District,6007,Mesquite High School,N,All,1.88
2019,4239,Gilbert Unified District,79629,Desert Ridge Jr. High,N,All,1.23
2019,4239,Gilbert Unified District,79823,Desert Ridge High,N,All,2.31
2019,4239,Gilbert Unified District,85847,South Valley Jr. High,N,All,0.74
2019,4239,Gilbert Unified District,89606,Gilbert Classical Academy 7-12,N,All,0.30
2019,4239,Gilbert Unified District,90124,Campo Verde High School,N,All,0.79
2019,4239,Gilbert Unified District,91209,Gilbert Global Academy 7-12,N,All,2.86
2019,4240,Scottsdale Unified District,5046,Echo Canyon K-8,N,All,0.00
2019,4240,Scottsdale Unified District,5047,Tonalea K-8,N,All,1.69
2019,4240,Scottsdale Unified District,5059,Cheyenne Traditional School,N,All,0.00
2019,4240,Scottsdale Unified District,5061,Desert Canyon Middle School,N,All,0.00
2019,4240,Scottsdale Unified District,5062,Ingleside Middle School,N,All,0.76
2019,4240,Scottsdale Unified District,5063,Mountainside Middle School,N,All,0.19
2019,4240,Scottsdale Unified District,5064,Mohave Middle School,N,All,0.15
2019,4240,Scottsdale Unified District,5065,Cocopah Middle School,N,All,0.90
2019,4240,Scottsdale Unified District,5066,Arcadia High School,N,All,2.79
2019,4240,Scottsdale Unified District,5067,Coronado High School,N,All,3.95
2019,4240,Scottsdale Unified District,5068,Saguaro High School,N,All,1.59
2019,4240,Scottsdale Unified District,5069,Chaparral High School,N,All,0.44
2019,4240,Scottsdale Unified District,5070,Desert Mountain High School,N,All,0.86
2019,4240,Scottsdale Unified District,79639,Copper Ridge School,N,All,1.01
2019,4240,Scottsdale Unified District,91286,Scottsdale Online Learning,N,All,1.26
2019,4241,Paradise Valley Unified District,5071,Roadrunner School,N,All,5.43
2019,4241,Paradise Valley Unified District,5099,Desert Shadows Middle School,N,All,0.10
2019,4241,Paradise Valley Unified District,5100,Vista Verde Middle School,N,All,0.25
2019,4241,Paradise Valley Unified District,5101,Greenway Middle School,N,All,1.28
2019,4241,Paradise Valley Unified District,5102,Explorer Middle School,N,All,0.92
2019,4241,Paradise Valley Unified District,5103,Sunrise Middle School,N,All,0.40
2019,4241,Paradise Valley Unified District,5104,Shea Middle School,N,All,1.08
2019,4241,Paradise Valley Unified District,5105,Paradise Valley High School,N,All,2.42
2019,4241,Paradise Valley Unified District,5106,Horizon High School,N,All,0.50
2019,4241,Paradise Valley Unified District,5107,North Canyon High School,N,All,1.45
2019,4241,Paradise Valley Unified District,5108,Shadow Mountain High School,N,All,0.82
2019,4241,Paradise Valley Unified District,79268,Pinnacle High School,N,All,0.21
2019,4241,Paradise Valley Unified District,79729,Mountain Trail Middle School,N,All,1.01
2019,4241,Paradise Valley Unified District,79781,Pinnacle Peak Preparatory,N,All,0.00
2019,4241,Paradise Valley Unified District,90782,pvONLINE,N,All,4.03
2019,4241,Paradise Valley Unified District,92611,Sweetwater Community School,N,All,8.40
2019,4242,Chandler Unified District #80,5110,Willis Junior High School,N,All,2.39
2019,4242,Chandler Unified District #80,5123,John M Andersen Jr High School,N,All,1.59
2019,4242,Chandler Unified District #80,5125,Bogle Junior High School,N,All,0.71
2019,4242,Chandler Unified District #80,5127,Chandler High School,N,All,1.86
2019,4242,Chandler Unified District #80,6015,Hamilton High School,N,All,2.67
2019,4242,Chandler Unified District #80,79633,Basha High School,N,All,1.04
2019,4242,Chandler Unified District #80,79634,Santan Junior High School,N,All,0.20
2019,4242,Chandler Unified District #80,87519,Willie & Coy Payne Jr. High,N,All,0.93
2019,4242,Chandler Unified District #80,89591,Arizona College Prep Erie Campus,N,All,0.11
2019,4242,Chandler Unified District #80,89613,Perry High School,N,All,0.68
2019,4242,Chandler Unified District #80,90302,Arizona College Prep Oakland Campus,N,All,2.26
2019,4242,Chandler Unified District #80,91282,Chandler Online Academy,N,All,0.97
2019,4242,Chandler Unified District #80,92892,Dr. Camille Casteel High School,N,All,1.76
2019,4243,Dysart Unified District,5128,Dysart Elementary School,N,All,0.00
2019,4243,Dysart Unified District,5129,El Mirage School,N,All,3.02
2019,4243,Dysart Unified District,5130,Luke Elementary School,N,All,0.48
2019,4243,Dysart Unified District,5131,Surprise Elementary School,N,All,0.96
2019,4243,Dysart Unified District,5132,Kingswood Elementary School,N,All,0.00
2019,4243,Dysart Unified District,5133,Dysart High School,N,All,1.98
2019,4243,Dysart Unified District,79632,West Point Elementary School,N,All,0.46
2019,4243,Dysart Unified District,80052,Countryside Elementary School,N,All,0.00
2019,4243,Dysart Unified District,81111,Ashton Ranch Elementary School,N,All,0.50
2019,4243,Dysart Unified District,81112,Cimarron Springs Elementary,N,All,0.00
2019,4243,Dysart Unified District,81113,Willow Canyon High School,N,All,1.33
2019,4243,Dysart Unified District,84683,Marley Park Elementary,N,All,0.34
2019,4243,Dysart Unified District,84684,Thompson Ranch Elementary,N,All,0.90
2019,4243,Dysart Unified District,87620,Sunset Hills Elementary,N,All,0.00
2019,4243,Dysart Unified District,87621,Rancho Gabriela,N,All,0.43
2019,4243,Dysart Unified District,88414,Sonoran Heights Elementary,N,All,0.00
2019,4243,Dysart Unified District,88415,Western Peaks Elementary,N,All,0.00
2019,4243,Dysart Unified District,88416,Parkview Elementary,N,All,0.56
2019,4243,Dysart Unified District,88417,Valley Vista High School,N,All,0.73
2019,4243,Dysart Unified District,89600,Canyon Ridge School,N,All,0.00
2019,4243,Dysart Unified District,89604,Mountain View,N,All,0.00
2019,4243,Dysart Unified District,89821,Riverview School,N,All,0.43
2019,4243,Dysart Unified District,90134,Shadow Ridge High School,N,All,0.38
2019,4243,Dysart Unified District,90875,Dysart iSchool,N,All,1.15
2019,4244,Cave Creek Unified District,5137,Cactus Shadows High School,N,All,0.58
2019,4244,Cave Creek Unified District,78911,Sonoran Trails Middle School,N,All,0.90
2019,4245,Queen Creek Unified District,5140,Queen Creek Middle School,N,All,5.29
2019,4245,Queen Creek Unified District,5141,Queen Creek High School,N,All,1.31
2019,4245,Queen Creek Unified District,89912,Newell Barney Middle School,N,All,0.85
2019,4245,Queen Creek Unified District,92628,Queen Creek Virtual Academy,N,All,2.38
2019,4246,Deer Valley Unified District,5142,Deer Valley Middle School,N,All,1.44
2019,4246,Deer Valley Unified District,5150,Desert Sky Middle School,N,All,0.00
2019,4246,Deer Valley Unified District,5155,Hillcrest Middle School,N,All,0.09
2019,4246,Deer Valley Unified District,5159,Desert Mountain School,N,All,0.00
2019,4246,Deer Valley Unified District,5161,Deer Valley High School,N,All,2.30
2019,4246,Deer Valley Unified District,5162,Barry Goldwater High School,N,All,1.52
2019,4246,Deer Valley Unified District,5163,Mountain Ridge High School,N,All,0.27
2019,4246,Deer Valley Unified District,6016,Paseo Hills School,N,All,0.00
2019,4246,Deer Valley Unified District,78921,Highland Lakes School,N,All,0.00
2019,4246,Deer Valley Unified District,78922,Anthem School,N,All,0.00
2019,4246,Deer Valley Unified District,79414,Deer Valley Online Learning Program,N,All,0.94
2019,4246,Deer Valley Unified District,79573,Stetson Hills School,N,All,0.00
2019,4246,Deer Valley Unified District,79574,Sierra Verde STEAM Academy,N,All,0.00
2019,4246,Deer Valley Unified District,80317,Sandra Day O'Connor High School,N,All,0.91
2019,4246,Deer Valley Unified District,80318,Gavilan Peak School,N,All,0.00
2019,4246,Deer Valley Unified District,81016,Terramar Academy of the Arts,N,All,0.00
2019,4246,Deer Valley Unified District,81017,Sunset Ridge School,N,All,0.91
2019,4246,Deer Valley Unified District,85850,Boulder Creek High School,N,All,0.94
2019,4246,Deer Valley Unified District,85851,Diamond Canyon School,N,All,0.00
2019,4246,Deer Valley Unified District,87528,West Wing School,N,All,0.00
2019,4246,Deer Valley Unified District,88399,Canyon Springs STEM Academy,N,All,0.00
2019,4246,Deer Valley Unified District,89953,Norterra Canyon School,N,All,0.00
2019,4246,Deer Valley Unified District,92525,Vista Peak,N,All,0.00
2019,4246,Deer Valley Unified District,92907,Sonoran Foothills School,N,All,0.00
2019,4247,Fountain Hills Unified District,5166,Fountain Hills Middle School,N,All,0.35
2019,4247,Fountain Hills Unified District,5167,Fountain Hills High School,N,All,1.62
2019,4247,Fountain Hills Unified District,90932,Fountain.Hills Online,N,All,23.53
2019,4248,Higley Unified School District,79374,Higley High School,N,All,0.32
2019,4248,Higley Unified School District,89581,Williams Field High School,N,All,0.84
2019,4248,Higley Unified School District,92259,Cooley Middle School,N,All,0.18
2019,4248,Higley Unified School District,92260,Sossaman Middle School,N,All,0.00
2019,4249,Aguila Elementary District,5187,Aguila Elementary School,N,All,0.00
2019,4251,Morristown Elementary District,5189,Morristown Elementary School,N,All,3.03
2019,4252,Nadaburg Unified School District,5190,Nadaburg Elementary School,N,All,3.66
2019,4252,Nadaburg Unified School District,89748,Desert Oasis Elementary School,N,All,0.00
2019,4254,Saddle Mountain Unified School District,5192,Ruth Fisher Elementary School,N,All,0.00
2019,4254,Saddle Mountain Unified School District,85819,Tonopah Valley High School,N,All,0.00
2019,4254,Saddle Mountain Unified School District,89596,Tartesso Elementary School,N,All,0.00
2019,4255,Paloma School District,5193,Kiser Elementary School,N,All,0.00
2019,4256,Phoenix Elementary District,5195,Mary Mcleod Bethune School,N,All,0.79
2019,4256,Phoenix Elementary District,5196,Capitol Elementary School,N,All,0.00
2019,4256,Phoenix Elementary District,5197,Paul Dunbar Lawrence School,N,All,1.05
2019,4256,Phoenix Elementary District,5198,Thomas A Edison School,N,All,2.21
2019,4256,Phoenix Elementary District,5199,Ralph Waldo Emerson Elementary School,N,All,0.00
2019,4256,Phoenix Elementary District,5200,Garfield School,N,All,0.00
2019,4256,Phoenix Elementary District,5201,Magnet Traditional School,N,All,0.00
2019,4256,Phoenix Elementary District,5203,Maie Bartlett Heard School,N,All,0.00
2019,4256,Phoenix Elementary District,5204,Silvestre S Herrera School,N,All,0.63
2019,4256,Phoenix Elementary District,5205,Kenilworth Elementary School,N,All,1.36
2019,4256,Phoenix Elementary District,5206,Lowell Elementary School,N,All,0.78
2019,4256,Phoenix Elementary District,5209,Whittier Elementary School,N,All,0.96
2019,4256,Phoenix Elementary District,79616,Augustus H. Shaw Montessori,N,All,0.00
2019,4257,Riverside Elementary District,84660,Kings Ridge School,N,All,2.51
2019,4257,Riverside Elementary District,92961,Maricopa Institute of Technology (MIT),N,All,0.00
2019,4258,Tempe School District,5216,Laird Elementary School,N,All,5.10
2019,4258,Tempe School District,5230,Gililland Middle School,N,All,0.57
2019,4258,Tempe School District,5231,Connolly Middle School,N,All,0.89
2019,4258,Tempe School District,5232,Fees College Preparatory Middle School,N,All,0.61
2019,4258,Tempe School District,81057,Ward Traditional Academy,N,All,0.00
2019,4258,Tempe School District,91913,Tempe Academy of International Studies McKemy Campus,N,All,0.00
2019,4259,Isaac Elementary District,5234,Isaac Middle School,N,All,4.96
2019,4259,Isaac Elementary District,5243,Pueblo Del Sol Middle School,N,All,9.89
2019,4259,Isaac Elementary District,78934,Morris K. Udall Escuela de Bellas Artes,N,All,7.71
2019,4260,Washington Elementary School District,5246,Arroyo Elementary School,N,All,2.15
2019,4260,Washington Elementary School District,5249,Cholla Middle School,N,All,1.48
2019,4260,Washington Elementary School District,5250,Desert Foothills Middle School,N,All,0.45
2019,4260,Washington Elementary School District,5257,Maryland Elementary School,N,All,1.94
2019,4260,Washington Elementary School District,5259,Mountain Sky Middle School,N,All,1.14
2019,4260,Washington Elementary School District,5260,Mountain View Elementary School,N,All,4.39
2019,4260,Washington Elementary School District,5262,Orangewood School,N,All,1.30
2019,4260,Washington Elementary School District,5263,Palo Verde Middle School,N,All,0.36
2019,4260,Washington Elementary School District,5266,Royal Palm Middle School,N,All,0.00
2019,4260,Washington Elementary School District,5270,Sweetwater School,N,All,0.00
2019,4260,Washington Elementary School District,5271,Sunnyslope Elementary School,N,All,0.89
2019,4260,Washington Elementary School District,5274,Abraham Lincoln Traditional School,N,All,3.97
2019,4261,Wilson Elementary District,5276,Wilson Elementary School,N,All,1.06
2019,4262,Osborn Elementary District,5280,Osborn Middle School,N,All,1.56
2019,4263,Creighton Elementary District,5283,Creighton Elementary School,N,All,0.85
2019,4263,Creighton Elementary District,5284,Larry C Kennedy School,N,All,3.30
2019,4263,Creighton Elementary District,5285,Loma Linda Elementary School,N,All,4.85
2019,4263,Creighton Elementary District,5286,William T Machan Elementary School,N,All,2.78
2019,4263,Creighton Elementary District,5287,Monte Vista Elementary School,N,All,3.26
2019,4263,Creighton Elementary District,5288,Papago School,N,All,1.29
2019,4263,Creighton Elementary District,5289,Biltmore Preparatory Academy,N,All,0.00
2019,4263,Creighton Elementary District,6023,Gateway School,N,All,2.50
2019,4263,Creighton Elementary District,79285,Excelencia School,N,All,5.50
2019,4264,Tolleson Elementary District,6240,Porfirio H. Gonzales Elementary School,N,All,0.26
2019,4264,Tolleson Elementary District,79402,Sheely Farms Elementary School,N,All,0.43
2019,4264,Tolleson Elementary District,87526,Desert Oasis Elementary School,N,All,0.42
2019,4265,Murphy Elementary District,5290,Arthur M Hamilton School,N,All,1.25
2019,4265,Murphy Elementary District,5291,Jack L Kuban Elementary School,N,All,0.00
