Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Multi_race_non_Hispanic,Total
2018,ACCEL,7355,ACCEL Winter's Well,492162,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ACCEL,7355,ACCEL Winter's Well,492162,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ACCEL,7355,ACCEL Winter's Well,492162,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,AIBT Non-Profit Charter High School - Phoenix,79053,,,All Students,*,*,22,114,*,*,*,*,151
2018,AIBT Non-Profit Charter High School - Phoenix,79053,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,AIBT Non-Profit Charter High School - Phoenix,79053,,,Free Lunch,*,*,21,104,*,*,*,*,140
2018,AIBT Non-Profit Charter High School - Phoenix,79053,,,Students with Disabilities,*,*,*,19,*,*,*,*,23
2018,AIBT Non-Profit Charter High School - Phoenix,79053,,,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,AIBT Non-Profit Charter High School - Phoenix,79053,,,Free and Reduced Lunch,*,*,22,108,*,*,*,*,145
2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,All Students,*,*,22,114,*,*,*,*,151
2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,English Language Learner,*,*,*,*,*,*,*,*,*
2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,Free Lunch,*,*,21,104,*,*,*,*,140
2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,Students with Disabilities,*,*,*,19,*,*,*,*,23
2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,Free and Reduced Lunch,*,*,22,108,*,*,*,*,145
2018,"AIBT Non-Profit Charter High School, Inc.",449790,,,All Students,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,,,Free Lunch,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,,,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,,,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,,,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,All Students,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,English Language Learner,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,Free Lunch,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,"AIBT Non-Profit Charter High School, Inc.",449790,RCB College Preparatory Academy,742847,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,,,All Students,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,,,Free Lunch,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,,,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,,,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,,,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89923,All Students,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89923,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89923,Free Lunch,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89923,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89923,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89922,ASCEND (Autism Spectrum Center for Educational and Neurological Development),89923,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,89949,,,All Students,*,*,44,268,29,*,*,15,364
2018,ASU Preparatory Academy,89949,,,English Language Learner,*,*,*,18,*,*,*,*,19
2018,ASU Preparatory Academy,89949,,,Free Lunch,*,*,24,143,*,*,*,*,184
2018,ASU Preparatory Academy,89949,,,Students with Disabilities,*,*,*,33,*,*,*,*,37
2018,ASU Preparatory Academy,89949,,,Reduced Lunch,*,*,*,32,*,*,*,*,44
2018,ASU Preparatory Academy,89949,,,Free and Reduced Lunch,*,*,30,174,14,*,*,*,227
2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,All Students,*,*,44,268,29,*,*,15,364
2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,English Language Learner,*,*,*,18,*,*,*,*,19
2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,Free Lunch,*,*,24,143,*,*,*,*,184
2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,Students with Disabilities,*,*,*,33,*,*,*,*,37
2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,Reduced Lunch,*,*,*,32,*,*,*,*,44
2018,ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,Free and Reduced Lunch,*,*,30,174,14,*,*,*,227
