LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total
A Center for Creative Education,79457,,_,_,All Students,*,*,*,*,50,*,*,70
A Center for Creative Education,79457,,_,_,English Language Learners,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,,_,_,Free and Reduced Lunch,*,*,*,*,28,*,*,41
A Center for Creative Education,79457,,_,_,Students With Disabilities,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,All Students,*,*,*,*,50,*,*,70
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,English Language Learners,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,Free and Reduced Lunch,*,*,*,*,28,*,*,41
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,Students With Disabilities,*,*,*,*,*,*,*,*
AIBT Non-Profit Charter High School - Phoenix,79053,,_,_,All Students,*,*,49,258,28,*,*,350
AIBT Non-Profit Charter High School - Phoenix,79053,,_,_,English Language Learners,*,*,*,*,*,*,*,*
AIBT Non-Profit Charter High School - Phoenix,79053,,_,_,Free and Reduced Lunch,*,*,38,206,23,*,*,278
AIBT Non-Profit Charter High School - Phoenix,79053,,_,_,Students With Disabilities,*,*,11,24,*,*,*,41
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,78793201,All Students,*,*,49,258,28,*,*,350
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,78793201,English Language Learners,*,*,*,*,*,*,*,*
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,78793201,Free and Reduced Lunch,*,*,38,206,23,*,*,278
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,78793201,Students With Disabilities,*,*,11,24,*,*,*,41
"AZ Compass Schools, Inc.",89869,,_,_,All Students,*,58,15,43,23,*,*,143
"AZ Compass Schools, Inc.",89869,,_,_,English Language Learners,*,*,*,*,*,*,*,*
"AZ Compass Schools, Inc.",89869,,_,_,Free and Reduced Lunch,*,58,15,43,23,*,*,143
"AZ Compass Schools, Inc.",89869,,_,_,Students With Disabilities,*,*,*,*,*,*,*,18
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,78542101,All Students,*,58,15,43,23,*,*,143
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,78542101,English Language Learners,*,*,*,*,*,*,*,*
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,78542101,Free and Reduced Lunch,*,58,15,43,23,*,*,143
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,78542101,Students With Disabilities,*,*,*,*,*,*,*,18
"Academy Del Sol, Inc.",90199,,_,_,All Students,*,18,13,532,103,*,*,676
"Academy Del Sol, Inc.",90199,,_,_,English Language Learners,*,*,*,*,*,*,*,*
"Academy Del Sol, Inc.",90199,,_,_,Free and Reduced Lunch,*,*,*,*,*,*,*,*
"Academy Del Sol, Inc.",90199,,_,_,Students With Disabilities,*,*,*,29,*,*,*,39
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,All Students,*,*,*,71,29,*,*,109
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,English Language Learners,*,*,*,*,*,*,*,*
