year,mergecode,districtcode,schoolcode,black,hispanic,white,totalenroll
15,79457-80003,79457,80003,0.0,0.0,0.0,13
15,79457-79458,79457,79458,0.0,0.0,77.59,58
15,79053-79123,79053,79123,12.02,78.77,5.63,391
15,89869-89870,89869,89870,12.14,33.57,17.86,140
15,90199-90200,90199,90200,14.12,69.41,0.0,85
15,90199-90770,90199,90770,2.34,76.26,16.73,556
15,4296-5461,4296,5461,46.83,39.68,0.0,126
15,4296-85863,4296,85863,0.0,54.17,0.0,24
15,85540-85541,85540,85541,0.0,0.0,65.42,107
15,90878-92197,90878,92197,15.58,70.56,9.52,231
15,79961-79094,79961,79094,5.58,63.83,19.17,412
15,78897-81130,78897,81130,0.0,22.26,66.78,283
15,78897-78898,78897,78898,0.0,23.38,66.23,154
15,78897-79986,78897,79986,5.77,20.38,63.08,260
15,79213-10795,79213,10795,0.0,45.71,42.14,140
15,6364-5891,6364,5891,0.0,52.02,38.12,223
15,4297-5462,4297,5462,0.0,10.1,87.88,198
15,78830-78832,78830,78832,0.0,37.1,54.84,62
15,4325-5496,4325,5496,0.0,97.98,0.0,396
15,79437-79438,79437,79438,0.0,22.89,70.77,284
15,79437-88180,79437,88180,0.0,31.71,61.79,123
15,4289-5454,4289,5454,12.7,62.14,19.77,1725
15,4289-79799,4289,79799,12.19,50.49,30.17,1747
15,4289-78926,4289,78926,9.66,36.3,41.38,2204
15,4289-87903,4289,87903,5.92,35.56,51.69,1859
15,4249-5187,4249,5187,0.0,94.27,0.0,157
15,4249-4987,4249,4987,0.0,96.3,0.0,54
15,90758-91246,90758,91246,0.0,42.31,0.0,26
15,85875-91184,85875,91184,0.0,28.0,50.67,75
15,85875-85881,85875,85881,42.7,28.65,19.66,178
15,4409-5831,4409,5831,0.0,67.83,13.38,314
15,4409-6292,4409,6292,0.0,67.54,0.0,114
15,5978-10797,5978,10797,0.0,0.0,0.0,181
15,78966-78967,78966,78967,0.0,0.0,0.0,165
15,4280-5381,4280,5381,7.71,68.22,18.88,752
15,4280-5382,4280,5382,5.81,86.24,4.29,1119
15,4280-5384,4280,5384,12.22,72.14,9.46,761
15,4280-6030,4280,6030,16.99,69.3,6.86,671
15,4280-5385,4280,5385,5.94,81.26,8.63,1078
15,4280-5386,4280,5386,4.13,79.01,4.95,848
15,4280-6031,4280,6031,5.04,80.11,5.04,377
15,4280-5387,4280,5387,2.97,91.95,2.71,1143
15,4280-5388,4280,5388,2.68,91.22,3.53,934
15,4280-5383,4280,5383,4.34,88.21,4.81,1060
15,4280-5389,4280,5389,9.37,74.98,4.9,1387
15,4280-5391,4280,5391,6.98,77.14,4.69,831
15,4280-5390,4280,5390,9.32,77.73,6.48,880
15,4280-79203,4280,79203,8.75,78.94,5.55,1154
15,4280-5392,4280,5392,6.97,78.56,4.82,933
15,79969-79970,79969,79970,10.0,50.91,30.91,110
15,4347-5521,4347,5521,4.72,17.22,63.33,360
15,4161-4743,4161,4743,0.0,0.0,77.19,57
15,4418-5859,4418,5859,0.0,54.37,36.89,309
15,4418-5791,4418,5791,0.0,47.88,43.03,165
15,4418-5781,4418,5781,0.0,32.84,58.21,67
15,4418-84336,4418,84336,0.0,51.18,36.56,424
15,4418-6054,4418,6054,0.0,0.0,0.0,14
15,89550-89551,89550,89551,0.0,0.0,44.9,49
15,79215-78788,79215,78788,5.23,82.73,9.55,880
15,80995-80996,80995,80996,0.0,94.06,0.0,438
15,79883-6346,79883,6346,0.0,21.82,73.33,165
15,79874-78813,79874,78813,0.0,73.93,15.38,234
15,79872-78901,79872,78901,9.48,37.91,46.45,211
15,79873-78900,79873,78900,13.91,74.83,9.27,302
15,79875-78817,79875,78817,8.0,65.26,20.21,475
15,80989-80990,80989,80990,23.9,66.33,0.0,502
15,88334-88335,88334,88335,8.9,77.4,9.82,438
15,79877-6347,79877,6347,6.18,60.91,24.91,550
15,79879-6348,79879,6348,3.9,91.97,0.0,436
15,6365-88201,6365,88201,0.0,8.02,74.07,162
15,6365-6366,6365,6366,0.0,15.46,78.01,291
15,4348-91778,4348,91778,0.0,15.04,74.22,419
15,4348-91793,4348,91793,3.1,15.38,77.73,741
15,4348-91173,4348,91173,3.81,20.32,68.1,630
15,4348-5522,4348,5522,3.09,12.7,76.87,614
15,4348-90769,4348,90769,3.43,13.46,78.57,1456
15,4348-92348,4348,92348,0.0,20.77,69.62,260
15,4406-91755,4406,91755,0.0,34.38,56.25,32
15,4406-6055,4406,6055,10.24,62.41,17.2,1221
15,4406-5805,4406,5805,12.73,61.65,17.08,644
15,4406-5808,4406,5808,3.24,30.47,60.41,1480
15,4406-5802,4406,5802,2.17,25.79,65.35,508
15,4406-5799,4406,5799,1.68,40.4,54.85,1010
15,4406-5796,4406,5796,3.46,74.03,13.2,462
15,4406-5794,4406,5794,9.22,57.06,22.19,347
15,4406-5795,4406,5795,6.98,74.32,12.16,444
15,4406-79378,4406,79378,2.34,23.1,68.81,1792
15,4406-5797,4406,5797,20.55,55.37,14.11,652
15,4406-5804,4406,5804,5.64,64.56,21.67,443
15,4406-5806,4406,5806,4.28,31.61,59.97,677
15,4406-5798,4406,5798,2.72,45.33,40.66,514
