year,mergecode,droprate
17,90199-90770,0.73
17,85540-85541,11.96
17,4296-5461,8.33
17,90878-92197,0.0
17,79961-79094,0.0
17,92768-92769,1.43
17,78897-78898,0.45
17,78897-79986,1.16
17,79213-10795,20.83
17,6364-5891,0.0
17,4297-5462,2.0
17,4325-5496,1.77
17,79437-79438,0.0
17,4289-5454,1.0
17,4289-79799,1.32
17,4289-78926,1.1
17,4289-87903,0.75
17,90758-91246,12.77
17,90758-91184,6.32
17,79053-79123,23.82
17,4409-5831,5.26
17,4409-6292,4.79
17,4280-5381,0.0
17,4280-5382,1.2
17,4280-5384,0.83
17,4280-5385,0.58
17,4280-5386,0.34
17,4280-5387,0.96
17,4280-5389,0.7
17,4280-5391,1.16
17,4280-79203,1.24
17,4347-5521,0.0
17,80995-80996,5.08
17,79883-6346,24.26
17,79874-78813,19.71
17,79872-78901,17.69
17,79873-78900,27.19
17,79875-78817,20.71
17,80989-80990,19.21
17,88334-88335,0.78
17,79877-6347,25.93
17,79879-6348,20.11
17,6365-88201,0.0
17,6365-6366,0.0
17,4348-92885,5.39
17,4348-90769,1.9
17,79461-81178,49.21
17,4406-91755,17.92
17,4406-6055,5.2
17,4406-5805,4.28
17,4406-5808,1.5
17,4406-5799,0.86
17,4406-79378,0.74
17,4406-5804,3.63
17,4406-5806,0.76
17,4406-5807,0.21
17,4406-5803,2.22
17,4506-6188,0.0
17,4506-92739,2.5
17,90532-90635,0.0
17,4443-5925,4.42
17,4443-5923,2.78
17,4443-91810,25.4
17,79426-79432,0.0
17,89486-89487,0.4
17,6378-10755,0.0
17,4331-6344,0.99
17,85816-5503,0.0
17,90779-90780,0.2
17,91131-91132,0.44
17,87403-87404,1.09
17,91958-92984,0.0
17,4346-5520,27.08
17,79947-79950,0.0
17,79947-81187,0.0
17,79947-91805,0.0
17,87407-81179,4.55
17,85749-85750,0.0
17,4345-5519,0.28
17,4274-5354,1.39
17,4471-6103,5.88
17,92325-92326,0.53
17,91303-91304,1.77
17,91305-91306,0.0
17,92327-91323,0.0
17,92987-635758,6.94
17,4272-91985,1.18
17,4272-87619,1.1
17,4272-90028,0.73
17,4272-79670,0.44
17,4272-79792,0.5
17,4272-5347,0.46
17,4272-78924,0.79
17,79929-80006,18.25
17,89869-89870,3.49
17,4508-6192,25.77
17,4412-90822,12.05
17,4412-90821,0.0
17,4412-5847,2.41
17,4412-5846,2.55
17,4468-6089,0.0
17,79204-10729,0.0
17,4294-10730,1.54
17,90885-91791,0.0
17,4268-5319,1.02
17,4268-5321,2.94
17,91339-92030,0.0
17,90842-91056,0.0
17,90862-90863,0.0
17,92734-92735,0.0
17,91949-91997,0.0
17,90508-90509,0.19
17,90841-91055,0.0
17,91280-91343,0.0
17,92349-92350,0.0
17,92320-92321,0.28
17,81078-81079,0.0
17,91309-91766,0.0
17,79983-79507,0.0
17,4355-92270,0.32
17,79226-4799,0.0
17,79226-4794,0.47
17,79226-85879,21.57
17,79226-90775,16.67
17,4515-6203,2.6
17,4169-4754,6.18
17,4169-4753,3.09
17,89871-89872,1.08
17,4397-5648,5.1
17,4397-5647,1.67
17,81041-90158,19.27
17,81041-81042,27.71
17,81041-81182,32.37
17,4171-4758,0.0
17,4171-4759,9.52
17,4305-5470,3.33
17,81097-81098,9.57
17,4269-81110,3.81
17,4269-87473,0.91
17,4269-90341,2.89
17,4269-89572,2.07
17,4269-87471,2.3
17,4269-88398,0.0
17,4284-5424,0.48
17,4284-79376,1.49
17,4284-89573,0.87
17,4378-5587,0.84
17,4378-6048,1.36
17,90328-88290,0.0
17,90327-88289,0.49
17,79055-80463,0.0
17,78888-90325,0.0
17,79905-79906,1.89
17,4470-84659,15.52
17,4470-6100,2.12
17,4470-6099,0.71
17,4470-90137,10.0
17,89758-89759,0.0
17,81029-81030,29.25
17,78858-78859,2.94
17,4400-5652,28.26
17,79047-80430,27.43
17,79047-79129,15.85
17,79047-80025,17.87
17,79047-80050,0.0
17,80001-80002,0.93
17,80001-89656,13.33
17,4282-5398,1.4
17,4282-5405,0.33
17,4282-5406,2.03
17,4282-5411,1.48
17,4282-5407,1.59
17,4282-5399,1.09
