year,mergecode,districtcode,schoolcode,black,hispanic,white,totalenroll
17,79457-79458,79457,79458,0.0,21.88,68.75,64
17,79053-79123,79053,79123,10.42,80.0,6.25,240
17,89949-90271,89949,90271,10.8,74.55,8.48,389
17,91303-91304,91303,91304,10.05,76.72,5.88,408
17,91305-91306,91305,91306,9.36,26.81,50.64,235
17,91307-91308,91307,91308,0.0,27.72,57.34,368
17,92325-92326,92325,92326,10.34,74.02,10.61,358
17,92327-91323,92327,91323,4.0,29.67,53.33,300
17,92987-635758,92987,635758,0.0,54.84,22.58,62
17,89869-89870,89869,89870,13.55,32.26,18.06,155
17,8326-8327,8326,8327,17.07,40.24,30.49,164
17,90199-90200,90199,90200,0.0,61.62,25.25,99
17,90199-90770,90199,90770,0.0,80.6,14.69,531
17,4296-5461,4296,5461,38.04,41.3,0.0,92
17,85540-85541,85540,85541,0.0,18.18,74.38,121
17,90878-92197,90878,92197,6.93,89.31,2.57,505
17,79961-79094,79961,79094,3.34,67.78,21.96,419
17,92768-92769,92768,92769,4.44,91.11,3.25,585
17,78897-81130,78897,81130,0.0,25.0,63.73,284
17,78897-78898,78897,78898,0.0,21.94,63.87,155
17,78897-79986,78897,79986,0.0,25.77,58.85,260
17,79213-10795,79213,10795,0.0,56.25,30.47,128
17,6364-5891,6364,5891,0.0,53.41,38.64,176
17,4297-5462,4297,5462,0.0,10.38,86.89,183
17,4325-5496,4325,5496,0.0,96.73,0.0,398
17,79437-79438,79437,79438,0.0,30.99,62.3,313
17,79437-88180,79437,88180,0.0,30.22,64.75,139
17,4289-5454,4289,5454,10.86,64.91,19.5,1667
17,4289-79799,4289,79799,13.89,50.91,27.38,1764
17,4289-78926,4289,78926,11.46,36.94,40.39,2347
17,4289-87903,4289,87903,6.03,36.87,49.52,1991
17,4249-5187,4249,5187,0.0,95.65,0.0,161
17,4249-4987,4249,4987,0.0,94.0,0.0,50
17,90758-91184,90758,91184,9.65,21.93,59.65,114
17,90758-91246,90758,91246,0.0,0.0,59.18,49
17,4409-5831,4409,5831,0.0,65.08,19.05,315
17,4409-6292,4409,6292,0.0,72.31,10.0,130
17,5978-10797,5978,10797,0.0,0.0,0.0,17
17,78966-78967,78966,78967,0.0,0.0,0.0,117
17,4280-5381,4280,5381,7.85,70.97,15.85,713
17,4280-5382,4280,5382,6.61,84.86,4.59,1090
17,4280-5384,4280,5384,12.83,72.24,8.62,951
17,4280-6030,4280,6030,15.89,67.9,10.11,623
17,4280-5385,4280,5385,6.15,78.49,9.57,1139
17,4280-8824,4280,8824,6.04,82.97,4.4,364
17,4280-5386,4280,5386,3.74,86.1,4.06,935
17,4280-5387,4280,5387,4.83,89.6,2.69,1077
17,4280-5388,4280,5388,5.01,88.74,3.5,799
17,4280-5383,4280,5383,6.46,85.16,2.94,883
17,4280-5389,4280,5389,12.26,72.28,5.71,1313
17,4280-5391,4280,5391,12.21,71.4,6.05,860
17,4280-5390,4280,5390,7.93,80.92,4.46,807
17,4280-79203,4280,79203,8.15,77.79,7.2,1166
17,4280-5392,4280,5392,9.55,72.76,4.89,859
17,79969-79970,79969,79970,11.21,65.52,17.24,116
17,4347-5521,4347,5521,6.47,16.44,63.07,371
17,4161-4743,4161,4743,0.0,0.0,77.05,61
17,4418-5859,4418,5859,0.0,55.96,30.46,302
17,4418-5791,4418,5791,0.0,14.97,74.15,147
17,4418-5781,4418,5781,0.0,38.1,51.19,84
17,4418-84336,4418,84336,0.0,53.43,32.86,350
17,4418-6054,4418,6054,0.0,75.0,0.0,16
17,89550-89551,89550,89551,0.0,21.67,55.0,60
17,79215-78788,79215,78788,4.37,89.77,4.71,870
17,80995-80996,80995,80996,0.0,95.07,0.0,467
17,79883-6346,79883,6346,0.0,18.75,76.25,160
17,79874-78813,79874,78813,0.0,77.08,15.42,240
17,79872-78901,79872,78901,9.74,31.79,37.44,195
17,79873-78900,79873,78900,16.49,72.04,8.24,279
17,79875-78817,79875,78817,10.22,63.46,21.61,509
17,80989-80990,80989,80990,24.09,69.77,0.0,440
17,88334-88335,88334,88335,9.26,80.32,5.79,432
17,79877-6347,79877,6347,4.78,60.0,24.35,460
17,79879-6348,79879,6348,4.41,89.33,2.78,431
17,6365-88201,6365,88201,0.0,15.48,58.71,155
17,6365-6366,6365,6366,0.0,25.72,68.48,276
17,4348-91778,4348,91778,2.33,17.34,73.36,473
17,4348-91793,4348,91793,2.37,13.03,80.26,760
17,4348-91173,4348,91173,3.79,21.7,66.31,659
17,4348-5522,4348,5522,0.0,12.87,77.36,614
17,4348-92885,4348,92885,3.93,21.89,68.02,1704
17,4348-90769,4348,90769,3.74,12.91,78.19,1417
17,4348-92348,4348,92348,2.71,22.17,67.24,406
17,79461-81178,79461,81178,5.21,36.06,49.78,4359
17,4406-91755,4406,91755,0.0,0.0,65.62,32
