year,mergecode,lowincome
17,4242-91794,5.0
17,4242-5121,55.0
17,4242-5123,57.0
17,4242-90027,55.0
17,4242-5115,7.0
17,4242-79636,20.0
17,4242-89613,10.0
17,4242-89589,11.0
17,4242-6014,11.0
17,4242-6013,73.0
17,4242-5111,91.0
17,4242-5118,54.0
17,4242-87679,9.0
17,4242-79634,9.0
17,4242-5124,61.0
17,4242-79635,33.0
17,4242-5120,14.0
17,4242-87519,11.0
17,4242-5110,63.0
17,80242-80378,95.0
17,80235-80236,90.0
17,80235-84333,90.0
17,80235-84334,80.0
17,80077-87926,98.0
17,4158-4733,99.0
17,4158-4732,86.0
17,4158-4737,92.0
17,4158-4731,94.0
17,4158-4734,99.0
17,4158-4736,93.0
17,4158-4735,99.0
17,4474-6110,47.0
17,4474-6108,65.0
17,4474-6109,59.0
17,4474-78928,66.0
17,90138-90139,8.0
17,90138-92636,32.0
17,5186-10801,98.0
17,5186-92637,77.0
17,80415-80416,99.0
17,85448-85451,47.0
17,85448-92561,47.0
17,4486-6122,53.0
17,81027-81028,60.0
17,79462-79466,80.0
17,4177-4785,57.0
17,79464-79526,95.0
17,92989-766437,77.0
17,91773-10733,72.0
17,4370-92635,82.0
17,4370-5567,86.0
17,4381-5592,56.0
17,4381-5593,58.0
17,4160-4742,96.0
17,89556-89557,98.0
17,4479-6114,98.0
17,4416-5855,32.0
17,4442-92608,72.0
17,4442-5916,67.0
17,4442-89577,85.0
17,4442-5914,78.0
17,4442-5911,79.0
17,79077-79099,81.0
17,79988-79989,92.0
17,6570-6571,95.0
17,4487-6123,80.0
17,4487-6124,72.0
17,4487-6126,73.0
17,4487-90934,38.0
17,4487-6125,63.0
17,92612-92614,90.0
17,90331-87412,92.0
17,80032-80033,95.0
17,4501-78935,76.0
17,4501-6172,66.0
17,4501-85833,75.0
17,4501-91908,26.0
17,4501-6174,69.0
17,4501-89582,56.0
17,4501-6168,78.0
17,4501-6169,89.0
17,4501-6173,75.0
17,4501-85834,81.0
17,4501-6175,75.0
17,92369-92906,95.0
17,4263-87058,38.0
17,4263-5289,35.0
17,4263-80050,77.0
17,4263-5283,98.0
17,4263-79285,96.0
17,4263-79285,96.0
17,4263-6023,96.0
17,4263-5284,96.0
17,4263-5285,96.0
17,4263-5287,94.0
17,4263-5288,90.0
17,4263-5286,97.0
17,89917-89918,39.0
17,79049-79127,33.0
17,89914-80974,99.0
17,90284-90285,24.0
17,90541-90639,77.0
17,4246-78922,18.0
17,4246-5154,33.0
17,4246-5162,51.0
17,4246-5151,47.0
17,4246-85850,14.0
17,4246-88399,19.0
17,4246-5146,87.0
17,4246-5160,12.0
17,4246-5161,39.0
17,4246-5142,69.0
17,4246-5159,26.0
17,4246-5156,26.0
17,4246-5150,54.0
17,4246-85851,12.0
17,4246-5157,59.0
17,4246-80318,13.0
17,4246-5152,38.0
17,4246-78921,22.0
17,4246-5155,14.0
17,4246-5158,16.0
17,4246-79290,14.0
17,4246-5149,58.0
17,4246-5163,13.0
17,4246-5153,48.0
17,4246-5144,35.0
17,4246-89953,18.0
17,4246-5145,50.0
17,4246-6016,57.0
17,4246-80317,12.0
17,4246-79574,16.0
17,4246-92907,13.0
17,4246-79573,17.0
17,4246-5147,70.0
17,4246-81017,13.0
17,4246-81016,15.0
17,4246-5143,81.0
17,4246-92525,47.0
17,4246-87528,9.0
17,9693-80377,98.0
17,81099-78950,28.0
17,81099-92249,22.0
17,6258-10807,70.0
17,80274-80275,98.0
17,6357-4898,42.0
17,4174-4765,87.0
17,4174-4773,83.0
17,4174-4767,92.0
17,4174-4766,91.0
17,4174-4771,81.0
17,4174-4770,94.0
17,4174-4768,98.0
17,4174-4769,78.0
17,4228-4902,70.0
17,4228-4903,47.0
17,4243-81111,45.0
17,4243-89600,24.0
17,4243-81112,36.0
17,4243-80052,47.0
17,4243-5128,75.0
17,4243-5133,67.0
17,4243-5129,88.0
17,4243-5132,65.0
17,4243-5130,71.0
17,4243-84683,28.0
17,4243-89604,31.0
17,4243-88416,59.0
17,4243-87621,40.0
17,4243-89821,80.0
17,4243-90134,25.0
17,4243-88414,28.0
17,4243-87620,32.0
17,4243-5131,80.0
17,4243-84684,82.0
17,4243-88417,46.0
17,4243-79632,51.0
17,4243-88415,35.0
17,4243-81113,32.0
17,91170-91171,81.0
17,91938-92563,94.0
17,91939-92601,92.0
17,89850-89851,43.0
17,87401-87402,57.0
17,92783-92921,42.0
17,90506-90507,95.0
17,6446-88201,67.0
17,6446-6366,40.0
17,6446-79982,42.0
17,6446-90349,60.0
17,6446-89920,98.0
17,6446-92492,12.0
17,6446-92290,72.0
17,6446-90322,73.0
17,6446-79219,62.0
17,6446-10849,44.5
17,6446-10753,18.0
17,6446-79697,84.0
17,6446-90377,37.0
17,6446-79263,73.0
17,6446-90324,57.0
17,6446-10848,59.0
17,81123-81124,92.0
17,81123-87415,77.0
17,4341-10752,92.0
17,4185-4795,62.0
17,4448-5940,99.0
17,4448-5941,99.0
17,4448-5942,89.0
17,6375-5495,76.0
17,91277-91783,97.0
17,91277-92975,92.0
17,4335-5507,93.0
17,92250-85886,96.0
17,92902-92903,84.5
17,92379-92893,87.0
17,79214-81173,89.0
17,88452-80145,98.0
17,78783-92501,76.0
17,78783-78820,93.0
17,4192-4811,15.0
17,4192-4820,38.0
17,4192-4807,59.0
17,4192-4819,25.0
17,4192-4812,65.0
17,4192-4814,92.0
17,4192-4806,63.0
17,4192-4804,23.0
17,4192-4817,49.0
17,4192-90191,45.0
17,4192-4805,41.0
17,4192-4803,67.0
17,4192-4815,29.0
17,4192-4808,75.0
17,4192-79665,44.0
17,91865-91866,90.0
17,4300-5466,87.0
