LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total
"Deer Valley Charter Schools, Inc.",79496,Deer Valley Academy,79506,078934201,ELL Students,*,*,*,*,*,*,*,*
"Deer Valley Charter Schools, Inc.",79496,Deer Valley Academy,79506,078934201,Free Lunch Students,*,*,*,*,*,*,*,*
"Deer Valley Charter Schools, Inc.",79496,Deer Valley Academy,79506,078934201,Sped Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,,,           _,All Students,1214,306,1076,6362,24275,123,1009,34365
Deer Valley Unified District,4246,,,           _,ELL Students,85,*,*,367,183,*,*,655
Deer Valley Unified District,4246,,,           _,Free Lunch Students,234,157,530,3146,4924,38,266,9295
Deer Valley Unified District,4246,,,           _,Sped Students,89,*,157,688,2228,*,98,3306
Deer Valley Unified District,4246,Anthem School,78922,070297137,All Students,12,*,18,84,669,*,*,804
Deer Valley Unified District,4246,Anthem School,78922,070297137,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Anthem School,78922,070297137,Free Lunch Students,*,*,11,23,90,*,*,130
Deer Valley Unified District,4246,Anthem School,78922,070297137,Sped Students,*,*,*,13,73,*,*,96
Deer Valley Unified District,4246,Arrowhead Elementary School,5154,070297127,All Students,31,*,19,81,442,*,28,611
Deer Valley Unified District,4246,Arrowhead Elementary School,5154,070297127,ELL Students,*,*,*,*,*,*,*,23
Deer Valley Unified District,4246,Arrowhead Elementary School,5154,070297127,Free Lunch Students,*,*,*,33,120,*,*,175
Deer Valley Unified District,4246,Arrowhead Elementary School,5154,070297127,Sped Students,*,*,*,17,60,*,*,88
Deer Valley Unified District,4246,Barry Goldwater High School,5162,070297224,All Students,62,*,93,637,991,*,41,1855
Deer Valley Unified District,4246,Barry Goldwater High School,5162,070297224,ELL Students,*,*,*,*,*,*,*,20
Deer Valley Unified District,4246,Barry Goldwater High School,5162,070297224,Free Lunch Students,20,*,51,418,307,*,22,835
Deer Valley Unified District,4246,Barry Goldwater High School,5162,070297224,Sped Students,*,*,14,55,94,*,*,170
Deer Valley Unified District,4246,Bellair Elementary School,5151,070297122,All Students,14,*,16,107,322,*,22,484
Deer Valley Unified District,4246,Bellair Elementary School,5151,070297122,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Bellair Elementary School,5151,070297122,Free Lunch Students,*,*,*,54,123,*,*,204
Deer Valley Unified District,4246,Bellair Elementary School,5151,070297122,Sped Students,*,*,*,13,46,*,*,63
Deer Valley Unified District,4246,Boulder Creek High School,85850,070297245,All Students,44,*,56,284,2123,*,73,2598
Deer Valley Unified District,4246,Boulder Creek High School,85850,070297245,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Boulder Creek High School,85850,070297245,Free Lunch Students,*,*,14,57,234,*,13,321
Deer Valley Unified District,4246,Boulder Creek High School,85850,070297245,Sped Students,*,*,*,19,138,*,*,167
Deer Valley Unified District,4246,Canyon Springs,88399,070297148,All Students,17,*,25,99,614,*,25,791
Deer Valley Unified District,4246,Canyon Springs,88399,070297148,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Canyon Springs,88399,070297148,Free Lunch Students,*,*,*,24,141,*,*,182
Deer Valley Unified District,4246,Canyon Springs,88399,070297148,Sped Students,*,*,*,11,72,*,*,88
Deer Valley Unified District,4246,Constitution Elementary School,5146,070297115,All Students,*,12,46,436,206,*,15,721
Deer Valley Unified District,4246,Constitution Elementary School,5146,070297115,ELL Students,*,*,*,116,18,*,*,137
Deer Valley Unified District,4246,Constitution Elementary School,5146,070297115,Free Lunch Students,*,*,42,397,153,*,12,616
Deer Valley Unified District,4246,Constitution Elementary School,5146,070297115,Sped Students,*,*,*,51,36,*,*,94
Deer Valley Unified District,4246,Copper Creek Elementary,5160,070297134,All Students,33,*,19,81,627,*,*,779
Deer Valley Unified District,4246,Copper Creek Elementary,5160,070297134,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Copper Creek Elementary,5160,070297134,Free Lunch Students,*,*,*,19,56,*,*,88
Deer Valley Unified District,4246,Copper Creek Elementary,5160,070297134,Sped Students,*,*,*,12,67,*,*,90
Deer Valley Unified District,4246,Deer Valley High School,5161,070297219,All Students,43,*,75,405,1238,*,56,1855
Deer Valley Unified District,4246,Deer Valley High School,5161,070297219,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Deer Valley High School,5161,070297219,Free Lunch Students,*,14,38,165,315,*,18,564
Deer Valley Unified District,4246,Deer Valley High School,5161,070297219,Sped Students,*,*,14,46,107,*,*,175
Deer Valley Unified District,4246,Deer Valley Middle School,5142,070297111,All Students,*,*,43,268,274,*,12,616
Deer Valley Unified District,4246,Deer Valley Middle School,5142,070297111,ELL Students,*,*,*,11,*,*,*,15
Deer Valley Unified District,4246,Deer Valley Middle School,5142,070297111,Free Lunch Students,*,*,35,212,153,*,*,421
Deer Valley Unified District,4246,Deer Valley Middle School,5142,070297111,Sped Students,*,*,*,29,42,*,*,78
Deer Valley Unified District,4246,Desert Mountain School,5159,070297132,All Students,11,*,15,111,551,*,17,717
Deer Valley Unified District,4246,Desert Mountain School,5159,070297132,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Desert Mountain School,5159,070297132,Free Lunch Students,*,*,*,41,107,*,*,167
Deer Valley Unified District,4246,Desert Mountain School,5159,070297132,Sped Students,*,*,*,13,78,*,*,108
Deer Valley Unified District,4246,Desert Sage Elementary School,5156,070297129,All Students,16,*,20,84,475,*,*,609
Deer Valley Unified District,4246,Desert Sage Elementary School,5156,070297129,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Desert Sage Elementary School,5156,070297129,Free Lunch Students,*,*,*,33,129,*,*,178
Deer Valley Unified District,4246,Desert Sage Elementary School,5156,070297129,Sped Students,*,*,*,23,67,*,*,108
Deer Valley Unified District,4246,Desert Sky Middle School,5150,070297121,All Students,*,*,24,182,402,*,13,642
Deer Valley Unified District,4246,Desert Sky Middle School,5150,070297121,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Desert Sky Middle School,5150,070297121,Free Lunch Students,*,*,18,111,175,*,*,321
Deer Valley Unified District,4246,Desert Sky Middle School,5150,070297121,Sped Students,*,*,*,18,35,*,*,62
Deer Valley Unified District,4246,Diamond Canyon Elementary,85851,070297146,All Students,22,*,11,111,894,*,25,1072
Deer Valley Unified District,4246,Diamond Canyon Elementary,85851,070297146,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Diamond Canyon Elementary,85851,070297146,Free Lunch Students,*,*,*,18,107,*,*,133
Deer Valley Unified District,4246,Diamond Canyon Elementary,85851,070297146,Sped Students,*,*,*,*,70,*,*,80
Deer Valley Unified District,4246,Esperanza Elementary School,5157,070297130,All Students,*,*,29,217,313,*,*,587
Deer Valley Unified District,4246,Esperanza Elementary School,5157,070297130,ELL Students,*,*,*,26,*,*,*,32
Deer Valley Unified District,4246,Esperanza Elementary School,5157,070297130,Free Lunch Students,*,*,20,163,174,*,*,373
Deer Valley Unified District,4246,Esperanza Elementary School,5157,070297130,Sped Students,*,*,*,30,57,*,*,93
Deer Valley Unified District,4246,Gavilan Peak Elementary,80318,070297142,All Students,28,*,*,78,640,*,29,794
Deer Valley Unified District,4246,Gavilan Peak Elementary,80318,070297142,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Gavilan Peak Elementary,80318,070297142,Free Lunch Students,*,*,*,24,81,*,*,112
Deer Valley Unified District,4246,Gavilan Peak Elementary,80318,070297142,Sped Students,*,*,*,*,58,*,*,74
Deer Valley Unified District,4246,Greenbrier Elementary School,5152,070297123,All Students,17,*,*,78,309,*,12,426
Deer Valley Unified District,4246,Greenbrier Elementary School,5152,070297123,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Greenbrier Elementary School,5152,070297123,Free Lunch Students,*,*,*,33,83,*,*,129
Deer Valley Unified District,4246,Greenbrier Elementary School,5152,070297123,Sped Students,*,*,*,16,37,*,*,56
Deer Valley Unified District,4246,Highland Lakes School,78921,070297136,All Students,59,*,47,135,795,*,40,1083
Deer Valley Unified District,4246,Highland Lakes School,78921,070297136,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Highland Lakes School,78921,070297136,Free Lunch Students,*,*,16,40,141,*,*,215
Deer Valley Unified District,4246,Highland Lakes School,78921,070297136,Sped Students,*,*,*,*,73,*,*,101
Deer Valley Unified District,4246,Hillcrest Middle School,5155,070297128,All Students,38,*,30,139,750,*,28,991
Deer Valley Unified District,4246,Hillcrest Middle School,5155,070297128,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Hillcrest Middle School,5155,070297128,Free Lunch Students,*,*,11,33,81,*,*,137
Deer Valley Unified District,4246,Hillcrest Middle School,5155,070297128,Sped Students,*,*,*,14,51,*,*,74
Deer Valley Unified District,4246,Las Brisas Elementary School,5158,070297131,All Students,28,*,26,86,659,*,31,834
Deer Valley Unified District,4246,Las Brisas Elementary School,5158,070297131,ELL Students,*,*,*,*,15,*,*,22
Deer Valley Unified District,4246,Las Brisas Elementary School,5158,070297131,Free Lunch Students,*,*,*,16,97,*,*,134
Deer Valley Unified District,4246,Las Brisas Elementary School,5158,070297131,Sped Students,*,*,*,*,76,*,*,98
Deer Valley Unified District,4246,Legend Springs Elementary,79290,070297138,All Students,57,*,*,74,505,*,28,672
Deer Valley Unified District,4246,Legend Springs Elementary,79290,070297138,ELL Students,*,*,*,*,*,*,*,14
Deer Valley Unified District,4246,Legend Springs Elementary,79290,070297138,Free Lunch Students,12,*,*,16,60,*,*,93
Deer Valley Unified District,4246,Legend Springs Elementary,79290,070297138,Sped Students,*,*,*,*,33,*,*,50
Deer Valley Unified District,4246,Mirage Elementary School,5149,070297120,All Students,*,*,18,146,292,*,17,481
Deer Valley Unified District,4246,Mirage Elementary School,5149,070297120,ELL Students,*,*,*,11,*,*,*,13
Deer Valley Unified District,4246,Mirage Elementary School,5149,070297120,Free Lunch Students,*,*,14,116,162,*,*,306
Deer Valley Unified District,4246,Mirage Elementary School,5149,070297120,Sped Students,*,*,*,24,36,*,*,62
Deer Valley Unified District,4246,Mountain Ridge High School,5163,070297233,All Students,150,*,50,262,1656,*,70,2206
Deer Valley Unified District,4246,Mountain Ridge High School,5163,070297233,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Mountain Ridge High School,5163,070297233,Free Lunch Students,16,*,15,41,154,*,11,238
Deer Valley Unified District,4246,Mountain Ridge High School,5163,070297233,Sped Students,*,*,*,18,100,*,*,137
Deer Valley Unified District,4246,Mountain Shadows Elementary School,5153,070297125,All Students,*,*,20,114,309,*,18,473
Deer Valley Unified District,4246,Mountain Shadows Elementary School,5153,070297125,ELL Students,*,*,*,*,*,*,*,19
Deer Valley Unified District,4246,Mountain Shadows Elementary School,5153,070297125,Free Lunch Students,*,*,12,69,132,*,*,226
Deer Valley Unified District,4246,Mountain Shadows Elementary School,5153,070297125,Sped Students,*,*,*,12,49,*,*,67
Deer Valley Unified District,4246,New River Elementary School,5144,070297113,All Students,*,*,*,33,233,*,*,275
Deer Valley Unified District,4246,New River Elementary School,5144,070297113,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,New River Elementary School,5144,070297113,Free Lunch Students,*,*,*,22,73,*,*,97
Deer Valley Unified District,4246,New River Elementary School,5144,070297113,Sped Students,*,*,*,*,31,*,*,38
Deer Valley Unified District,4246,Norterra Canyon K-8,89953,070297149,All Students,69,*,24,144,882,*,31,1167
Deer Valley Unified District,4246,Norterra Canyon K-8,89953,070297149,ELL Students,*,*,*,*,*,*,*,14
Deer Valley Unified District,4246,Norterra Canyon K-8,89953,070297149,Free Lunch Students,12,*,*,46,112,*,*,182
Deer Valley Unified District,4246,Norterra Canyon K-8,89953,070297149,Sped Students,*,*,*,*,73,*,*,101
Deer Valley Unified District,4246,Park Meadows Elementary School,5145,070297114,All Students,49,*,27,133,358,*,31,608
Deer Valley Unified District,4246,Park Meadows Elementary School,5145,070297114,ELL Students,17,*,*,20,*,*,*,40
Deer Valley Unified District,4246,Park Meadows Elementary School,5145,070297114,Free Lunch Students,*,*,21,96,207,*,15,353
Deer Valley Unified District,4246,Park Meadows Elementary School,5145,070297114,Sped Students,*,*,*,21,67,*,*,103
Deer Valley Unified District,4246,Paseo Hills Elementary,6016,070297135,All Students,25,22,54,309,533,14,26,983
Deer Valley Unified District,4246,Paseo Hills Elementary,6016,070297135,ELL Students,*,*,*,41,16,*,*,63
Deer Valley Unified District,4246,Paseo Hills Elementary,6016,070297135,Free Lunch Students,11,17,36,210,198,*,*,491
Deer Valley Unified District,4246,Paseo Hills Elementary,6016,070297135,Sped Students,*,*,*,35,37,*,*,82
Deer Valley Unified District,4246,Sandra Day O'Connor High School,80317,070297241,All Students,131,*,73,332,1846,*,78,2481
Deer Valley Unified District,4246,Sandra Day O'Connor High School,80317,070297241,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Sandra Day O'Connor High School,80317,070297241,Free Lunch Students,18,*,22,50,156,*,*,258
Deer Valley Unified District,4246,Sandra Day O'Connor High School,80317,070297241,Sped Students,*,*,*,15,114,*,*,155
Deer Valley Unified District,4246,Sierra Verde Elementary,79574,070297139,All Students,74,*,*,103,719,*,46,967
Deer Valley Unified District,4246,Sierra Verde Elementary,79574,070297139,ELL Students,*,*,*,*,*,*,*,13
Deer Valley Unified District,4246,Sierra Verde Elementary,79574,070297139,Free Lunch Students,*,*,*,17,122,*,11,161
Deer Valley Unified District,4246,Sierra Verde Elementary,79574,070297139,Sped Students,*,*,*,*,47,*,*,63
Deer Valley Unified District,4246,Stetson Hills Elementary,79573,070297140,All Students,42,*,25,147,867,*,25,1126
Deer Valley Unified District,4246,Stetson Hills Elementary,79573,070297140,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Stetson Hills Elementary,79573,070297140,Free Lunch Students,15,12,*,43,104,*,*,183
Deer Valley Unified District,4246,Stetson Hills Elementary,79573,070297140,Sped Students,*,*,*,*,60,*,*,78
Deer Valley Unified District,4246,Sunrise Elementary School,5147,070297117,All Students,*,*,38,237,212,*,29,544
Deer Valley Unified District,4246,Sunrise Elementary School,5147,070297117,ELL Students,*,*,*,27,*,*,*,35
Deer Valley Unified District,4246,Sunrise Elementary School,5147,070297117,Free Lunch Students,*,*,36,204,146,*,20,430
Deer Valley Unified District,4246,Sunrise Elementary School,5147,070297117,Sped Students,*,*,*,29,25,*,*,58
Deer Valley Unified District,4246,Sunset Ridge Elementary,81017,070297144,All Students,16,*,20,123,794,*,36,996
Deer Valley Unified District,4246,Sunset Ridge Elementary,81017,070297144,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Sunset Ridge Elementary,81017,070297144,Free Lunch Students,*,*,*,32,95,*,*,137
Deer Valley Unified District,4246,Sunset Ridge Elementary,81017,070297144,Sped Students,*,*,*,*,45,*,*,62
Deer Valley Unified District,4246,Terramar Elementary,81016,070297143,All Students,23,*,20,114,677,*,20,863
Deer Valley Unified District,4246,Terramar Elementary,81016,070297143,ELL Students,*,*,*,*,*,*,*,14
Deer Valley Unified District,4246,Terramar Elementary,81016,070297143,Free Lunch Students,*,*,11,24,84,*,*,125
Deer Valley Unified District,4246,Terramar Elementary,81016,070297143,Sped Students,*,*,*,26,63,*,*,105
Deer Valley Unified District,4246,Village Meadows Elementary School,5143,070297112,All Students,14,*,27,242,205,*,12,510
Deer Valley Unified District,4246,Village Meadows Elementary School,5143,070297112,ELL Students,*,*,*,33,*,*,*,44
Deer Valley Unified District,4246,Village Meadows Elementary School,5143,070297112,Free Lunch Students,12,*,23,220,159,*,11,434
Deer Valley Unified District,4246,Village Meadows Elementary School,5143,070297112,Sped Students,*,*,*,30,33,*,*,71
Deer Valley Unified District,4246,Vista Peak,92525,070297126,All Students,*,*,*,*,32,*,*,47
Deer Valley Unified District,4246,Vista Peak,92525,070297126,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,Vista Peak,92525,070297126,Free Lunch Students,*,*,*,*,16,*,*,23
Deer Valley Unified District,4246,Vista Peak,92525,070297126,Sped Students,*,*,*,*,31,*,*,46
Deer Valley Unified District,4246,West Wing Elementary,87528,070297147,All Students,42,*,19,131,822,*,23,1046
Deer Valley Unified District,4246,West Wing Elementary,87528,070297147,ELL Students,*,*,*,*,*,*,*,12
Deer Valley Unified District,4246,West Wing Elementary,87528,070297147,Free Lunch Students,*,*,*,21,77,*,*,123
Deer Valley Unified District,4246,West Wing Elementary,87528,070297147,Sped Students,*,*,*,*,47,*,*,65
Deer Valley Unified District,4246,eSchool,79414,070297299,All Students,*,*,*,*,39,*,*,51
Deer Valley Unified District,4246,eSchool,79414,070297299,ELL Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,eSchool,79414,070297299,Free Lunch Students,*,*,*,*,*,*,*,*
Deer Valley Unified District,4246,eSchool,79414,070297299,Sped Students,*,*,*,*,*,*,*,*
Desert Heights Charter Schools,81099,,,           _,All Students,21,*,52,174,498,*,43,801
Desert Heights Charter Schools,81099,,,           _,ELL Students,*,*,*,*,*,*,*,14
Desert Heights Charter Schools,81099,,,           _,Free Lunch Students,*,*,26,71,166,*,20,296
Desert Heights Charter Schools,81099,,,           _,Sped Students,*,*,*,24,41,*,*,76
Desert Heights Charter Schools,81099,Desert Heights Charter School,78950,078621101,All Students,*,*,20,86,256,*,19,396
Desert Heights Charter Schools,81099,Desert Heights Charter School,78950,078621101,ELL Students,*,*,*,*,*,*,*,11
Desert Heights Charter Schools,81099,Desert Heights Charter School,78950,078621101,Free Lunch Students,*,*,12,35,94,*,*,157
Desert Heights Charter Schools,81099,Desert Heights Charter School,78950,078621101,Sped Students,*,*,*,*,14,*,*,24
Desert Heights Charter Schools,81099,Desert Heights Preparatory Academy,92249,078621102,All Students,11,*,32,88,242,*,24,405
Desert Heights Charter Schools,81099,Desert Heights Preparatory Academy,92249,078621102,ELL Students,*,*,*,*,*,*,*,*
Desert Heights Charter Schools,81099,Desert Heights Preparatory Academy,92249,078621102,Free Lunch Students,*,*,14,36,72,*,*,139
Desert Heights Charter Schools,81099,Desert Heights Preparatory Academy,92249,078621102,Sped Students,*,*,*,16,27,*,*,52
"Desert Rose Academy,Inc.",79441,,,           _,All Students,*,*,*,141,50,*,*,214
"Desert Rose Academy,Inc.",79441,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Desert Rose Academy,Inc.",79441,,,           _,Free Lunch Students,*,*,*,132,43,*,*,196
"Desert Rose Academy,Inc.",79441,,,           _,Sped Students,*,*,*,34,*,*,*,50
"Desert Rose Academy,Inc.",79441,Desert Rose Academy Charter School,79442,108787201,All Students,*,*,*,141,50,*,*,214
"Desert Rose Academy,Inc.",79441,Desert Rose Academy Charter School,79442,108787201,ELL Students,*,*,*,*,*,*,*,*
"Desert Rose Academy,Inc.",79441,Desert Rose Academy Charter School,79442,108787201,Free Lunch Students,*,*,*,132,43,*,*,196
"Desert Rose Academy,Inc.",79441,Desert Rose Academy Charter School,79442,108787201,Sped Students,*,*,*,34,*,*,*,50
"Desert Sky Community School, Inc.",88308,,,           _,All Students,*,*,*,19,33,*,*,60
"Desert Sky Community School, Inc.",88308,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Desert Sky Community School, Inc.",88308,,,           _,Free Lunch Students,*,*,*,*,17,*,*,26
"Desert Sky Community School, Inc.",88308,,,           _,Sped Students,*,*,*,*,*,*,*,*
"Desert Sky Community School, Inc.",88308,Desert Sky Community School,88309,108732101,All Students,*,*,*,19,33,*,*,60
"Desert Sky Community School, Inc.",88308,Desert Sky Community School,88309,108732101,ELL Students,*,*,*,*,*,*,*,*
"Desert Sky Community School, Inc.",88308,Desert Sky Community School,88309,108732101,Free Lunch Students,*,*,*,*,17,*,*,26
"Desert Sky Community School, Inc.",88308,Desert Sky Community School,88309,108732101,Sped Students,*,*,*,*,*,*,*,*
Desert Springs Academy,10969,,,           _,All Students,*,*,*,57,58,*,*,130
Desert Springs Academy,10969,,,           _,ELL Students,*,*,*,*,*,*,*,*
Desert Springs Academy,10969,,,           _,Free Lunch Students,*,*,*,*,*,*,*,*
Desert Springs Academy,10969,,,           _,Sped Students,*,*,*,*,*,*,*,17
Desert Springs Academy,10969,Desert Springs Academy,79259,108771102,All Students,*,*,*,57,58,*,*,130
Desert Springs Academy,10969,Desert Springs Academy,79259,108771102,ELL Students,*,*,*,*,*,*,*,*
Desert Springs Academy,10969,Desert Springs Academy,79259,108771102,Free Lunch Students,*,*,*,*,*,*,*,*
Desert Springs Academy,10969,Desert Springs Academy,79259,108771102,Sped Students,*,*,*,*,*,*,*,17
Desert Star Academy,92302,,,           _,All Students,*,*,*,*,63,*,*,86
Desert Star Academy,92302,,,           _,ELL Students,*,*,*,*,*,*,*,*
Desert Star Academy,92302,,,           _,Free Lunch Students,*,*,*,*,*,*,*,*
Desert Star Academy,92302,,,           _,Sped Students,*,*,*,*,*,*,*,*
Desert Star Academy,92302,Desert Star Academy,92303,088705001,All Students,*,*,*,*,63,*,*,86
Desert Star Academy,92302,Desert Star Academy,92303,088705001,ELL Students,*,*,*,*,*,*,*,*
Desert Star Academy,92302,Desert Star Academy,92303,088705001,Free Lunch Students,*,*,*,*,*,*,*,*
Desert Star Academy,92302,Desert Star Academy,92303,088705001,Sped Students,*,*,*,*,*,*,*,*
"Desert Star Community School, Inc.",88321,,,           _,All Students,*,*,*,18,135,*,13,176
"Desert Star Community School, Inc.",88321,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Desert Star Community School, Inc.",88321,,,           _,Free Lunch Students,*,*,*,11,79,*,*,104
"Desert Star Community School, Inc.",88321,,,           _,Sped Students,*,*,*,*,17,*,*,19
"Desert Star Community School, Inc.",88321,Desert Star Community School,88322,138714101,All Students,*,*,*,18,135,*,13,176
"Desert Star Community School, Inc.",88321,Desert Star Community School,88322,138714101,ELL Students,*,*,*,*,*,*,*,*
"Desert Star Community School, Inc.",88321,Desert Star Community School,88322,138714101,Free Lunch Students,*,*,*,11,79,*,*,104
"Desert Star Community School, Inc.",88321,Desert Star Community School,88322,138714101,Sped Students,*,*,*,*,17,*,*,19
"Destiny School, Inc.",6258,,,           _,All Students,*,110,*,81,97,*,*,305
"Destiny School, Inc.",6258,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Destiny School, Inc.",6258,,,           _,Free Lunch Students,*,102,*,66,63,*,*,238
"Destiny School, Inc.",6258,,,           _,Sped Students,*,13,*,*,*,*,*,22
"Destiny School, Inc.",6258,Destiny School,10807,048701001,All Students,*,110,*,81,97,*,*,305
"Destiny School, Inc.",6258,Destiny School,10807,048701001,ELL Students,*,*,*,*,*,*,*,*
"Destiny School, Inc.",6258,Destiny School,10807,048701001,Free Lunch Students,*,102,*,66,63,*,*,238
"Destiny School, Inc.",6258,Destiny School,10807,048701001,Sped Students,*,13,*,*,*,*,*,22
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,,,           _,All Students,*,*,*,*,*,*,*,12
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,,,           _,Free Lunch Students,*,*,*,*,*,*,*,*
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,,,           _,Sped Students,*,*,*,*,*,*,*,*
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,DINE Southwest High School,79270,098651201,All Students,*,*,*,*,*,*,*,12
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,DINE Southwest High School,79270,098651201,ELL Students,*,*,*,*,*,*,*,*
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,DINE Southwest High School,79270,098651201,Free Lunch Students,*,*,*,*,*,*,*,*
"Developing Innovations in Navajo Education, Inc. (DINE, Inc.)",79269,DINE Southwest High School,79270,098651201,Sped Students,*,*,*,*,*,*,*,*
Discovery Plus Academy,6357,,,           _,All Students,*,*,*,22,77,*,*,107
Discovery Plus Academy,6357,,,           _,ELL Students,*,*,*,*,*,*,*,*
Discovery Plus Academy,6357,,,           _,Free Lunch Students,*,*,*,15,33,*,*,54
Discovery Plus Academy,6357,,,           _,Sped Students,*,*,*,*,21,*,*,28
Discovery Plus Academy,6357,Discovery Plus Academy,4898,058703001,All Students,*,*,*,22,77,*,*,107
Discovery Plus Academy,6357,Discovery Plus Academy,4898,058703001,ELL Students,*,*,*,*,*,*,*,*
Discovery Plus Academy,6357,Discovery Plus Academy,4898,058703001,Free Lunch Students,*,*,*,15,33,*,*,54
Discovery Plus Academy,6357,Discovery Plus Academy,4898,058703001,Sped Students,*,*,*,*,21,*,*,28
Double Adobe Elementary District,4179,,,           _,All Students,*,*,*,16,46,*,*,67
Double Adobe Elementary District,4179,,,           _,ELL Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,,,           _,Free Lunch Students,*,*,*,*,17,*,*,26
Double Adobe Elementary District,4179,,,           _,Sped Students,*,*,*,*,*,*,*,12
Double Adobe Elementary District,4179,Bisbee High School,4754,020202201,All Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Bisbee High School,4754,020202201,ELL Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Bisbee High School,4754,020202201,Free Lunch Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Bisbee High School,4754,020202201,Sped Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Double Adobe Elementary School,4787,020345101,All Students,*,*,*,13,32,*,*,47
Double Adobe Elementary District,4179,Double Adobe Elementary School,4787,020345101,ELL Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Double Adobe Elementary School,4787,020345101,Free Lunch Students,*,*,*,*,*,*,*,14
Double Adobe Elementary District,4179,Double Adobe Elementary School,4787,020345101,Sped Students,*,*,*,*,*,*,*,11
Double Adobe Elementary District,4179,Elfrida Elementary School,4795,020412101,All Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Elfrida Elementary School,4795,020412101,ELL Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Elfrida Elementary School,4795,020412101,Free Lunch Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Elfrida Elementary School,4795,020412101,Sped Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Valley Union High School,4800,020522201,All Students,*,*,*,*,*,*,*,15
Double Adobe Elementary District,4179,Valley Union High School,4800,020522201,ELL Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Valley Union High School,4800,020522201,Free Lunch Students,*,*,*,*,*,*,*,*
Double Adobe Elementary District,4179,Valley Union High School,4800,020522201,Sped Students,*,*,*,*,*,*,*,*
Douglas Unified District,4174,,,           _,All Students,16,*,*,3737,94,*,*,3867
Douglas Unified District,4174,,,           _,ELL Students,*,*,*,572,*,*,*,575
Douglas Unified District,4174,,,           _,Free Lunch Students,*,*,*,3021,48,*,*,3088
Douglas Unified District,4174,,,           _,Sped Students,*,*,*,243,14,*,*,261
Douglas Unified District,4174,Clawson School,4765,020227102,All Students,*,*,*,302,16,*,*,318
Douglas Unified District,4174,Clawson School,4765,020227102,ELL Students,*,*,*,*,*,*,*,64
Douglas Unified District,4174,Clawson School,4765,020227102,Free Lunch Students,*,*,*,256,*,*,*,265
