LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total
"Academy Of Excellence, Inc.",4296,Academy of Excellence - Central Arizona,85863,078604004,ELL Students,*,*,*,*,*,*,*,*
"Academy Of Excellence, Inc.",4296,Academy of Excellence - Central Arizona,85863,078604004,Free Lunch Students,*,*,*,*,*,*,*,*
"Academy Of Excellence, Inc.",4296,Academy of Excellence - Central Arizona,85863,078604004,Sped Students,*,*,*,*,*,*,*,*
"Academy of Building Industries, Inc.",85540,,,           _,All Students,*,*,*,*,70,*,*,107
"Academy of Building Industries, Inc.",85540,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Academy of Building Industries, Inc.",85540,,,           _,Free Lunch Students,*,*,*,*,30,*,*,45
"Academy of Building Industries, Inc.",85540,,,           _,Sped Students,*,*,*,*,*,*,*,15
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,All Students,*,*,*,*,70,*,*,107
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,ELL Students,*,*,*,*,*,*,*,*
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,Free Lunch Students,*,*,*,*,30,*,*,45
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,Sped Students,*,*,*,*,*,*,*,15
"Academy of Mathematics and Science South, Inc.",90878,,,           _,All Students,*,*,36,163,22,*,*,231
"Academy of Mathematics and Science South, Inc.",90878,,,           _,ELL Students,*,*,*,40,*,*,*,41
"Academy of Mathematics and Science South, Inc.",90878,,,           _,Free Lunch Students,*,*,32,149,14,*,*,202
"Academy of Mathematics and Science South, Inc.",90878,,,           _,Sped Students,*,*,*,18,*,*,*,21
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,All Students,*,*,36,163,22,*,*,231
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,ELL Students,*,*,*,40,*,*,*,41
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,Free Lunch Students,*,*,32,149,14,*,*,202
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,Sped Students,*,*,*,18,*,*,*,21
"Academy of Mathematics and Science, Inc.",79961,,,           _,All Students,11,17,23,263,79,*,19,412
"Academy of Mathematics and Science, Inc.",79961,,,           _,ELL Students,*,*,*,18,*,*,*,22
"Academy of Mathematics and Science, Inc.",79961,,,           _,Free Lunch Students,*,*,20,212,48,*,16,311
"Academy of Mathematics and Science, Inc.",79961,,,           _,Sped Students,*,*,*,*,*,*,*,20
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,All Students,11,17,23,263,79,*,19,412
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,ELL Students,*,*,*,18,*,*,*,22
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,Free Lunch Students,*,*,20,212,48,*,16,311
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,Sped Students,*,*,*,*,*,*,*,20
"Academy of Tucson, Inc.",78897,,,           _,All Students,15,*,33,152,455,*,28,697
"Academy of Tucson, Inc.",78897,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Academy of Tucson, Inc.",78897,,,           _,Free Lunch Students,*,*,*,*,*,*,*,*
"Academy of Tucson, Inc.",78897,,,           _,Sped Students,*,*,*,12,31,*,*,46
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,All Students,*,*,*,63,189,*,*,283
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,ELL Students,*,*,*,*,*,*,*,*
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,Free Lunch Students,*,*,*,*,*,*,*,*
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,Sped Students,*,*,*,*,12,*,*,14
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,All Students,*,*,*,36,102,*,*,154
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,ELL Students,*,*,*,*,*,*,*,*
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,Free Lunch Students,*,*,*,*,*,*,*,*
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,Sped Students,*,*,*,*,11,*,*,16
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,All Students,*,*,15,53,164,*,16,260
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,ELL Students,*,*,*,*,*,*,*,*
