year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
21,79873-78900arizona,79873arizona,13.89,67.36,9.03,144,71.0,28.43,40035201898,0.3,0.7,0.0,0.85,1,arizona,1
17,79875-78817arizona,79875arizona,10.22,63.46,21.61,509,73.0,20.71,40035301896,0.0,0.0,1.0,0.0,1,arizona,0
18,79875-78817arizona,79875arizona,9.79,65.53,19.57,470,75.0,20.54,40035301896,0.0,0.0,1.0,0.0,1,arizona,0
19,79875-78817arizona,79875arizona,8.83,67.15,18.07,487,70.0,20.69,40035301896,0.0,0.0,1.0,0.0,1,arizona,0
21,79875-78817arizona,79875arizona,10.97,61.85,18.45,401,76.0,29.09,40035301896,0.2,0.8,0.0,0.9,1,arizona,1
17,80989-80990arizona,80989arizona,24.09,69.77,0.0,440,90.0,19.21,40061803095,0.0,0.0,1.0,0.0,1,arizona,0
18,80989-80990arizona,80989arizona,25.9,64.86,4.02,498,90.0,21.96,40061803095,0.0,0.0,1.0,0.0,1,arizona,0
19,80989-80990arizona,80989arizona,23.79,68.15,0.0,496,90.0,18.49,40061803095,0.0,0.0,1.0,0.0,1,arizona,0
21,80989-80990arizona,80989arizona,22.13,67.83,2.25,488,90.0,28.3,40061803095,0.4,0.6,0.0,0.8,1,arizona,1
17,88334-88335arizona,88334arizona,9.26,80.32,5.79,432,70.0,0.78,40044702671,0.0,0.0,1.0,0.0,1,arizona,0
18,88334-88335arizona,88334arizona,8.84,83.33,2.78,396,84.0,1.05,40044702671,0.0,0.0,1.0,0.0,1,arizona,0
19,88334-88335arizona,88334arizona,6.79,85.25,3.51,427,85.0,0.39,40044702671,0.0,0.0,1.0,0.0,1,arizona,0
21,88334-88335arizona,88334arizona,5.43,87.6,3.36,387,87.0,5.25,40044702671,0.2,0.8,0.0,0.9,1,arizona,1
17,79877-6347arizona,79877arizona,4.78,60.0,24.35,460,78.0,25.93,40035401733,0.0,0.0,1.0,0.0,1,arizona,0
