year,mergecode,droprate
21,10879-10885,27.73
21,4386-7654,34.15
21,1000165-1000282,30.99
21,4457-5962,2.81
21,4457-91269,27.78
21,4457-5961,7.1
21,79701-79702,35.1
21,79881-79899,19.32
21,4323-5493,24.87
21,4323-89440,23.58
21,4323-78814,25.67
21,4323-79174,10.16
21,4323-80026,26.73
21,4323-89827,12.61
21,4323-10737,24.17
21,4262-5280,4.01
21,79068-79108,13.17
21,4196-92913,42.86
21,4196-4832,8.48
21,4196-4831,4.35
21,79578-79579,2.9
21,4241-5106,2.0
21,4241-5107,3.55
21,4241-5105,3.0
21,4241-90782,4.41
21,4241-5108,2.32
21,4241-92611,6.81
21,4510-80408,20.59
21,4510-6197,6.22
21,79953-5530,15.34
21,79953-90208,17.42
21,92983-850102,17.67
21,4209-91196,11.81
21,4209-10822,9.55
21,4209-4860,3.74
21,4237-5014,2.15
21,4237-5016,2.0
21,4237-5015,2.0
21,4237-87520,2.0
21,4237-6231,13.82
21,4237-5013,2.0
21,4237-85835,2.0
21,4237-5017,2.0
21,6379-10814,22.73
21,4286-5436,6.49
21,4286-89571,4.13
21,4286-6249,25.24
21,4286-5438,4.15
21,4286-5440,5.88
21,4286-5439,6.01
21,4286-78847,2.59
21,4286-79617,28.6
21,4286-5441,6.36
21,4286-5442,5.05
21,4286-875776,11.69
21,4286-5443,6.38
21,4286-5437,7.22
21,4420-6057,27.19
21,90536-90907,27.96
21,79959-79960,26.98
21,90997-90998,18.79
21,4220-92296,24.0
21,4220-81056,8.81
21,81011-10750,36.36
21,81009-79621,25.35
21,81001-5463,27.87
21,81001-81180,37.39
21,79439-289884,31.28
21,4390-5612,10.05
21,4390-5613,6.61
21,87405-91830,12.73
21,87405-79705,6.63
21,4431-5876,47.54
21,4431-5873,39.84
21,4431-5878,12.84
21,4431-5880,28.29
21,4431-5879,26.05
21,4431-5877,14.36
21,79569-79570,30.38
21,4466-8135,8.16
21,4466-8133,3.41
21,4245-5141,2.0
21,4245-5140,2.42
21,4159-4741,12.82
21,4155-4721,3.04
21,4449-5944,23.13
21,4254-5192,2.76
21,4254-85819,2.67
21,4218-216045,24.3
21,4218-4885,11.64
21,4218-4884,2.28
21,4218-4883,3.69
21,4411-5843,4.97
21,4411-5842,3.21
21,4411-90824,3.53
21,4320-90159,50.46
21,4210-89776,28.69
21,4210-1000382,17.6
21,89798-89799,2.68
21,4156-4723,15.33
21,4156-4724,16.22
21,4458-5966,3.02
21,4454-90415,39.47
21,4454-5951,5.0
21,79951-79952,26.92
21,4240-5066,2.42
21,4240-5069,2.0
21,4240-5067,3.81
21,4240-5070,2.0
21,4240-5063,2.49
21,4240-5068,2.0
21,4240-91286,2.0
21,4240-5047,3.55
21,4467-6085,3.62
21,4393-5632,3.15
21,4393-91203,29.66
21,4175-4783,3.16
21,4175-4781,2.0
21,79084-79092,9.13
21,4391-5618,3.03
21,79000-79028,10.37
21,92043-92044,14.5
21,4153-89607,39.29
21,91992-92497,13.58
21,4407-5809,2.8
21,4407-5824,2.0
21,4407-5826,7.67
21,4407-6288,28.13
21,4407-5827,5.56
21,4407-91829,2.0
21,4440-5907,10.05
21,4258-5231,4.07
21,4258-5232,3.04
21,4258-5230,3.29
21,4287-5450,26.55
21,4287-5447,2.0
21,4287-5449,2.0
21,4287-5446,3.14
21,4287-5445,2.02
21,4287-5448,2.07
21,4287-87990,2.43
21,4287-5444,3.42
21,4219-4889,2.52
21,92976-1000047,29.63
21,4288-85810,3.15
21,4288-80051,4.74
21,4288-89908,4.23
21,4288-5452,2.43
21,4288-1000260,9.7
21,4288-90085,2.0
21,4288-5453,4.58
21,4168-4751,4.63
21,4197-4838,16.04
21,6374-5892,32.3
21,4403-5750,3.11
21,4403-5738,6.9
21,4403-5756,8.43
21,4403-85924,6.6
21,4403-5757,5.15
21,4403-5737,6.85
21,4403-1001156,8.21
21,4403-5741,3.57
21,4403-5742,3.01
21,4403-92239,8.84
21,4403-5758,8.85
21,4403-5745,2.0
21,4403-6264,31.91
21,4403-5759,4.25
21,4403-5760,7.56
21,4403-5744,7.66
21,4403-5761,2.45
21,4403-5762,2.6
21,4403-5763,8.38
21,4403-5747,5.84
21,4403-6272,21.43
21,4403-5764,4.37
21,4403-5766,2.0
21,4403-5751,6.91
21,4422-5861,41.22
21,4413-91292,2.0
21,4413-79721,2.0
21,4413-84665,17.92
21,4413-90845,2.0
21,4260-5249,2.0
21,4260-5259,2.55
21,4260-5260,4.88
21,4260-5263,2.06
21,4394-5637,21.25
21,4394-5635,12.34
21,4236-4987,6.7
21,4170-4757,4.23
21,4154-4717,4.61
21,4387-5604,6.07
21,4387-5603,7.94
21,79379-91815,23.36
21,79379-79380,21.82
21,4499-6163,2.31
21,4499-6160,4.78
21,4499-6161,3.42
21,4499-6162,2.64
21,4499-85840,7.86
21,4509-6193,18.75
21,4507-6191,2.94
21,4507-89576,2.4
21,4507-6190,2.57
21,4507-80409,2.0
21,4507-6302,21.69
21,4507-6189,2.45
