year,mergecode,districtcode,schoolcode,black,hispanic,white,totalenroll
18,79457-79458,79457,79458,0.0,31.75,61.9,63
18,7355-91260,7355,91260,0.0,0.0,0.0,14
18,7355-7360,7355,7360,0.0,0.0,54.76,42
18,7355-7356,7355,7356,12.58,35.1,41.06,151
18,7355-92217,7355,92217,0.0,0.0,0.0,12
18,79053-79123,79053,79123,14.57,75.5,0.0,151
18,89949-90271,89949,90271,12.09,73.63,7.97,364
18,90273-90274,90273,90274,6.83,91.3,0.0,161
18,91303-91304,91303,91304,9.76,75.73,5.8,379
18,91305-91306,91305,91306,6.77,24.81,53.38,266
18,91307-91308,91307,91308,3.79,27.64,56.64,369
18,92325-92326,92325,92326,9.83,74.86,8.96,346
18,92327-91323,92327,91323,4.41,30.17,52.54,295
18,92716-70692,92716,70692,9.69,83.67,0.0,196
18,346763-92248,346763,92248,7.75,89.44,0.0,142
18,631426-338609,631426,338609,0.0,0.0,0.0,17
18,92987-635758,92987,635758,0.0,46.31,33.56,149
18,522074-860177,522074,860177,0.0,0.0,68.42,38
18,89869-89870,89869,89870,16.76,30.64,10.98,173
18,8326-8327,8326,8327,15.23,50.99,26.49,151
18,90199-90200,90199,90200,0.0,65.88,20.0,85
18,90199-90770,90199,90770,2.11,84.26,10.56,521
18,4296-5461,4296,5461,50.0,40.48,0.0,84
18,85540-85541,85540,85541,0.0,18.1,74.14,116
18,90878-92197,90878,92197,0.0,86.96,0.0,46
18,79961-79094,79961,79094,2.85,50.22,29.61,456
18,92768-92769,92768,92769,5.45,89.96,3.59,807
18,78897-81130,78897,81130,0.0,29.64,59.64,280
18,78897-78898,78897,78898,0.0,22.45,62.59,147
18,78897-79986,78897,79986,4.06,26.57,53.87,271
18,79213-10795,79213,10795,0.0,63.89,29.63,108
18,6364-5891,6364,5891,0.0,62.42,30.3,165
18,4297-5462,4297,5462,0.0,16.57,77.71,175
18,4325-5496,4325,5496,0.0,97.66,0.0,342
18,79437-79438,79437,79438,0.0,35.11,58.93,319
18,79437-88180,79437,88180,0.0,32.23,63.64,121
18,4289-5454,4289,5454,10.85,64.28,19.19,1761
18,4289-79799,4289,79799,12.57,54.16,26.19,1695
18,4289-78926,4289,78926,11.63,37.12,40.75,2287
18,4289-87903,4289,87903,6.03,36.83,49.33,2023
18,4249-5187,4249,5187,0.0,91.77,0.0,158
18,4409-5831,4409,5831,0.0,69.14,16.36,324
18,4409-6292,4409,6292,0.0,75.63,11.76,119
18,5978-10797,5978,10797,0.0,0.0,0.0,17
18,78966-78967,78966,78967,0.0,0.0,0.0,82
18,4280-5381,4280,5381,7.74,72.71,14.49,711
18,4280-5382,4280,5382,7.26,84.48,4.08,1102
18,4280-5384,4280,5384,12.07,72.18,8.72,895
18,4280-6030,4280,6030,13.58,70.03,10.26,604
18,4280-5385,4280,5385,5.29,79.28,8.73,1134
18,4280-5386,4280,5386,4.23,86.22,2.66,827
18,4280-5387,4280,5387,3.81,90.77,2.28,1051
18,4280-5388,4280,5388,2.87,90.97,3.69,731
18,4280-5383,4280,5383,9.67,80.03,4.15,796
18,4280-5389,4280,5389,19.09,66.75,4.85,1257
18,4280-5391,4280,5391,12.69,72.51,4.48,804
18,4280-5390,4280,5390,8.63,79.22,3.92,765
18,4280-79203,4280,79203,8.19,77.7,6.79,1148
18,4280-5392,4280,5392,14.66,69.29,4.15,723
18,79969-79970,79969,79970,17.36,54.55,22.31,121
18,4347-5521,4347,5521,7.0,18.37,62.97,343
18,4161-4743,4161,4743,0.0,23.33,71.67,60
18,4418-5859,4418,5859,0.0,56.95,30.13,302
18,4418-84336,4418,84336,0.0,58.46,29.97,337
18,79215-78788,79215,78788,4.32,90.45,4.32,880
18,80995-80996,80995,80996,0.0,94.86,2.8,428
18,79883-6346,79883,6346,0.0,19.14,75.93,162
18,79874-78813,79874,78813,6.55,68.36,19.64,275
18,79872-78901,79872,78901,11.89,34.05,42.7,185
18,79873-78900,79873,78900,12.0,75.11,9.78,225
18,79875-78817,79875,78817,9.79,65.53,19.57,470
18,80989-80990,80989,80990,25.9,64.86,4.02,498
18,88334-88335,88334,88335,8.84,83.33,2.78,396
18,79877-6347,79877,6347,8.18,56.24,28.43,489
18,79879-6348,79879,6348,4.11,89.73,4.34,438
18,6365-88201,6365,88201,0.0,21.34,52.44,164
18,6365-6366,6365,6366,0.0,30.07,63.51,296
18,4348-91778,4348,91778,3.59,14.8,74.21,473
18,4348-91173,4348,91173,4.71,18.84,67.82,637
18,4348-5522,4348,5522,2.16,8.82,82.35,510
18,4348-92885,4348,92885,4.55,18.16,69.73,2065
18,4348-90769,4348,90769,3.11,12.31,80.02,2217
18,4348-92348,4348,92348,4.56,23.06,63.81,373
18,4348-242454,4348,242454,0.0,0.0,80.65,124
18,4348-509281,4348,509281,4.09,6.74,81.06,1394
18,4348-865358,4348,865358,0.0,0.0,78.38,111
18,79461-81178,79461,81178,4.87,36.2,49.42,4227
18,4406-91755,4406,91755,0.0,41.03,53.85,39
18,4406-6055,4406,6055,11.44,60.7,17.74,1206
18,4406-5805,4406,5805,12.11,61.07,16.02,768
18,4406-5808,4406,5808,2.56,34.85,55.43,1564
18,4406-5802,4406,5802,0.0,28.33,57.94,466
18,4406-5799,4406,5799,1.35,40.36,54.57,887
18,4406-5796,4406,5796,3.64,76.36,11.69,385
18,4406-5794,4406,5794,6.8,56.68,25.19,397
18,4406-5795,4406,5795,10.37,68.62,10.37,376
18,4406-79378,4406,79378,2.79,26.35,64.46,1719
18,4406-5797,4406,5797,16.45,56.07,12.78,626
18,4406-5804,4406,5804,4.37,68.81,19.33,481
18,4406-5806,4406,5806,2.41,34.24,54.75,663
18,4406-5798,4406,5798,3.55,54.77,31.93,451
18,4406-5792,4406,5792,0.0,45.61,43.92,296
18,4406-5800,4406,5800,0.0,33.79,58.58,367
18,4406-79282,4406,79282,0.0,21.66,69.02,397
18,4406-5807,4406,5807,1.73,24.75,65.84,1212
18,4406-5803,4406,5803,0.0,38.16,47.37,76
18,4406-5801,4406,5801,4.97,71.11,18.28,443
18,4406-12976,4406,12976,0.0,22.15,65.51,316
18,4406-5793,4406,5793,0.0,22.44,67.31,517
18,4506-92739,4506,92739,0.0,73.08,0.0,26
18,4506-6188,4506,6188,0.0,74.36,25.64,195
18,90532-90635,90532,90635,0.0,10.69,77.36,795
18,4443-5925,4443,5925,0.0,30.0,63.0,600
18,4443-5923,4443,5923,2.4,32.91,59.9,626
18,4443-5922,4443,5922,0.0,28.85,64.01,714
18,4443-5920,4443,5920,1.69,39.27,55.65,708
18,4443-79631,4443,79631,0.0,28.72,63.75,491
18,4443-91810,4443,91810,0.0,0.0,0.0,13
18,79426-79432,79426,79432,0.0,96.72,0.0,244
18,90917-90999,90917,90999,3.2,16.35,53.76,532
18,92314-92315,92314,92315,0.0,14.53,71.51,516
18,91878-91879,91878,91879,0.0,11.95,70.71,519
18,92656-92708,92656,92708,3.88,13.43,51.94,670
18,91758-91785,91758,91785,2.61,15.67,64.93,804
18,90857-90994,90857,90994,0.0,8.52,70.43,399
18,92704-92707,92704,92707,7.1,35.9,36.92,493
18,90915-91001,90915,91001,4.66,27.24,53.92,536
18,90916-91000,90916,91000,0.0,11.73,74.67,537
18,89486-89487,89486,89487,3.78,18.38,69.19,555
18,6378-10755,6378,10755,0.0,50.0,0.0,34
18,134379-156568,134379,156568,0.0,26.83,60.98,41
18,4331-6344,4331,6344,0.0,15.02,76.36,313
18,85816-5503,85816,5503,7.5,82.73,8.18,440
18,87403-87404,87403,87404,0.0,14.58,77.08,144
18,90779-90780,90779,90780,6.75,40.75,43.5,400
18,91131-91132,91131,91132,0.0,10.59,86.02,236
18,91958-92598,91958,92598,0.0,50.94,28.3,106
18,91958-92984,91958,92984,0.0,49.3,29.58,71
18,4346-5520,4346,5520,8.67,81.33,8.0,150
18,79947-79950,79947,79950,5.71,60.14,26.53,735
18,79947-81187,79947,81187,12.78,47.81,31.72,845
18,79947-91805,79947,91805,0.0,92.25,3.75,400
18,87407-81179,87407,81179,6.56,25.28,56.58,2195
18,8336-8348,8336,8348,0.0,50.0,0.0,24
18,8336-8337,8336,8337,0.0,0.0,0.0,12
18,8336-10229,8336,10229,0.0,0.0,0.0,18
18,8336-8341,8336,8341,35.29,47.06,0.0,51
18,8336-8340,8336,8340,0.0,0.0,0.0,22
18,90758-91184,90758,91184,0.0,19.44,66.67,72
18,90758-91246,90758,91246,0.0,17.19,54.69,64
18,92566-92567,92566,92567,0.0,31.17,50.65,77
18,85749-85750,85749,85750,3.81,14.72,73.6,394
18,4345-5519,4345,5519,3.46,23.84,61.03,839
18,6393-6395,6393,6395,6.79,66.79,16.98,265
18,6393-78947,6393,78947,0.0,41.03,0.0,39
18,6393-78941,6393,78941,0.0,55.56,19.44,72
18,6393-6418,6393,6418,9.03,53.55,27.1,155
18,6393-8350,6393,8350,0.0,0.0,0.0,16
18,6393-90801,6393,90801,0.0,0.0,0.0,11
18,6393-6410,6393,6410,0.0,22.22,58.73,63
18,6393-90802,6393,90802,0.0,63.64,0.0,22
18,6393-6412,6393,6412,0.0,67.5,20.0,80
18,6393-6414,6393,6414,0.0,82.98,0.0,47
18,4274-5354,4274,5354,0.0,68.7,29.77,262
18,4187-4797,4187,4797,0.0,0.0,94.44,18
18,4471-6101,4471,6101,0.0,46.15,50.96,104
18,4471-6103,4471,6103,0.0,41.67,55.0,60
18,4471-6102,4471,6102,0.0,44.83,51.72,58
18,92932-92933,92932,92933,0.0,0.0,81.82,22
18,4272-91985,4272,91985,18.2,71.43,7.83,434
18,4272-87619,4272,87619,10.96,51.99,30.68,502
18,4272-90028,4272,90028,8.72,52.3,30.26,1021
18,4272-79670,4272,79670,10.04,56.67,26.69,697
18,4272-79792,4272,79792,16.76,54.53,24.45,728
18,4272-5348,4272,5348,17.06,73.14,6.47,510
18,4272-5349,4272,5349,15.49,69.72,12.32,284
18,4272-5347,4272,5347,5.05,89.2,4.93,852
18,4272-78924,4272,78924,12.33,55.73,26.43,454
18,79929-80006,79929,80006,0.0,91.49,0.0,94
18,4508-6192,4508,6192,0.0,91.21,0.0,91
18,6361-6065,6361,6065,4.26,35.35,33.03,775
18,81078-81079,81078,81079,1.48,6.02,34.96,1147
18,90508-90509,90508,90509,0.0,14.86,59.42,552
18,90841-91055,90841,91055,4.09,4.57,30.81,831
18,90842-91056,90842,91056,2.1,3.78,14.6,952
18,90862-90863,90862,90863,0.0,11.08,71.84,632
18,91280-91343,91280,91343,2.28,6.6,46.07,788
18,91309-91766,91309,91766,2.81,19.06,56.25,960
18,91339-92030,91339,92030,4.92,8.41,34.67,773
18,91949-91997,91949,91997,6.59,13.83,54.18,622
18,92318-92319,92318,92319,2.59,20.16,52.32,734
18,92320-92321,92320,92321,1.85,10.85,76.85,756
18,92349-92350,92349,92350,7.68,23.72,33.52,898
18,92734-92735,92734,92735,10.14,17.51,34.1,217
18,92736-92737,92736,92737,13.8,30.66,30.34,623
18,92863-92864,92863,92864,2.55,8.18,24.73,550
18,92865-92866,92865,92866,4.51,3.65,10.73,466
18,92997-93010,92997,93010,6.87,9.11,19.93,582
18,273398-103670,273398,103670,3.82,9.54,21.78,629
18,549803-139682,549803,139682,29.85,51.24,10.45,201
18,4412-90822,4412,90822,0.0,0.0,0.0,39
18,4412-90821,4412,90821,0.0,0.0,0.0,11
18,4412-5847,4412,5847,0.0,0.0,0.0,163
18,4412-5846,4412,5846,0.0,0.0,0.0,150
18,4412-948673,4412,948673,0.0,0.0,0.0,226
18,4412-5844,4412,5844,0.0,3.98,0.0,377
18,4468-6088,4468,6088,0.0,32.69,58.17,208
18,4468-6089,4468,6089,0.0,32.18,61.88,202
18,79204-10729,79204,10729,11.29,24.71,47.06,425
18,4294-10730,4294,10730,6.51,29.11,58.73,584
18,90885-91791,90885,91791,4.53,15.68,64.11,287
18,4268-81141,4268,81141,13.51,70.65,3.12,385
18,4268-5320,4268,5320,29.65,53.32,7.3,452
18,4268-5321,4268,5321,8.93,73.98,8.54,515
18,4268-92301,4268,92301,0.0,0.0,0.0,13
18,4268-5319,4268,5319,12.98,75.0,4.18,932
18,7340-7341,7340,7341,0.0,0.0,85.71,14
18,4481-6116,4481,6116,0.0,36.07,57.38,305
18,79983-79507,79983,79507,13.83,33.43,42.94,347
18,10972-78803,10972,78803,0.0,8.89,81.73,405
18,4355-5537,4355,5537,0.0,15.53,79.02,734
18,4355-5538,4355,5538,2.04,18.96,69.14,538
18,4355-88341,4355,88341,1.82,9.36,82.4,716
18,4355-92270,4355,92270,2.21,12.68,79.07,994
18,79226-4799,79226,4799,0.0,22.26,71.81,337
18,79226-4794,79226,4794,0.0,30.36,65.36,280
18,79226-4793,79226,4793,0.0,27.17,67.21,552
18,79226-85879,79226,85879,0.0,0.0,0.0,16
18,4515-6203,4515,6203,0.0,63.96,34.23,111
18,4169-4754,4169,4754,0.0,78.65,18.51,281
18,4169-4752,4169,4752,0.0,62.15,35.98,214
18,4169-4753,4169,4753,0.0,64.21,33.68,190
18,89871-89872,89871,89872,0.0,20.0,64.0,75
18,4231-4908,4231,4908,0.0,0.0,100.0,12
18,4397-5645,4397,5645,0.0,23.6,47.6,1021
18,4397-5648,4397,5648,0.0,22.08,47.91,693
18,4397-5647,4397,5647,0.0,25.88,44.47,371
18,81041-90158,81041,90158,0.0,77.36,0.0,53
18,81041-81042,81041,81042,14.04,76.32,6.14,228
18,81041-81182,81041,81182,8.8,36.11,49.07,216
18,4224-4896,4224,4896,0.0,46.51,51.16,86
18,4513-6201,4513,6201,0.0,0.0,76.19,21
18,4171-4758,4171,4758,0.0,85.37,0.0,41
18,4171-4759,4171,4759,0.0,63.64,0.0,22
18,4305-5470,4305,5470,0.0,67.24,19.4,232
18,81097-81098,81097,81098,33.27,16.36,47.27,550
18,4362-5550,4362,5550,0.0,12.0,52.4,250
18,4269-81110,4269,81110,6.75,63.76,24.87,756
18,4269-87473,4269,87473,4.49,71.2,18.33,802
18,4269-90341,4269,90341,8.92,56.62,27.97,740
18,4269-527220,4269,527220,8.82,61.31,26.32,703
18,4269-89572,4269,89572,6.58,60.54,27.89,441
18,4269-87471,4269,87471,8.52,59.92,26.76,751
18,4269-88398,4269,88398,6.38,54.89,31.63,705
18,4284-5424,4284,5424,8.22,59.87,28.28,1485
18,4284-79376,4284,79376,4.13,40.34,51.22,1066
18,4284-89573,4284,89573,7.73,58.21,28.8,1462
18,4378-5587,4378,5587,0.0,61.01,33.94,436
18,4378-5583,4378,5583,0.0,52.86,41.02,490
18,4378-5584,4378,5584,0.0,54.85,38.99,454
18,4378-5585,4378,5585,3.96,34.77,55.32,555
18,4378-6048,4378,6048,0.0,30.04,63.17,486
18,4378-79655,4378,79655,0.0,36.06,55.77,355
18,79971-81102,79971,81102,0.0,65.7,22.09,172
18,90328-88290,90328,88290,14.29,33.93,41.07,224
18,90327-88289,90327,88289,8.64,25.0,55.0,440
18,90327-92235,90327,92235,10.05,30.14,46.96,428
18,91934-92498,91934,92498,10.76,62.66,13.92,158
18,79004-78996,79004,78996,0.0,0.0,40.54,37
18,79004-392967,79004,392967,0.0,0.0,0.0,12
18,79004-92200,79004,92200,0.0,0.0,37.5,32
18,7363-7364,7363,7364,0.0,44.83,41.38,29
18,85448-85451,85448,85451,0.0,39.67,52.17,184
18,85448-92561,85448,92561,0.0,35.62,49.32,73
