year,mergecode,lowincome
19,7320-80290,98.0
19,7320-7322,98.0
19,7320-80289,98.0
19,90199-90200,92.0
19,90199-90770,75.0
19,90878-911531,93.0
19,90878-92197,87.0
19,79961-79094,59.0
19,92768-92769,88.0
19,7355-7356,59.0
19,4325-5496,97.0
19,79437-79438,70.0
19,79437-88180,64.0
19,80381-8327,98.0
19,4289-5454,57.0
19,4289-932049,30.0
19,4289-79799,45.0
19,4289-78926,25.0
19,4289-87903,23.0
19,4249-5187,96.0
19,4409-5831,82.0
19,4409-6292,77.0
19,4280-5381,64.0
19,4280-5384,87.0
19,4280-6030,94.0
19,4280-5385,86.0
19,4280-5386,92.0
19,4280-5387,90.0
19,4280-5388,95.0
19,4280-5383,92.0
19,4280-1000041,91.0
19,4280-5391,93.0
19,4280-5390,90.0
19,4280-79203,87.0
19,4280-1000042,98.0
19,4280-5392,91.0
19,79969-79970,72.0
19,4418-5859,76.0
19,4418-84336,94.0
19,80995-80996,84.0
19,79883-6346,83.0
19,79874-78813,64.0
19,79872-78901,41.0
19,79873-78900,56.0
19,79875-78817,70.0
19,80989-80990,90.0
19,88334-88335,85.0
19,79877-6347,78.0
19,79879-6348,96.0
19,9655-80313,90.0
19,4348-91173,38.0
19,4348-92885,42.0
19,4348-92348,49.0
19,4348-242454,41.0
19,4406-6055,80.0
19,4406-5805,88.0
19,4406-5808,24.0
19,4406-5802,25.0
19,4406-5799,39.0
19,4406-5796,95.0
19,4406-5794,83.0
19,4406-5795,90.0
19,4406-79378,11.0
19,4406-5797,93.0
19,4406-5804,80.0
19,4406-5806,27.0
19,4406-5798,55.0
19,4406-5792,57.0
19,4406-5800,40.0
19,4406-79282,14.0
19,4406-5807,14.0
19,4406-5803,56.0
19,4406-5801,82.0
19,4406-12976,11.0
19,4406-5793,18.0
19,4506-6188,81.0
19,4443-5925,46.0
19,4443-5923,58.0
19,4443-5922,63.0
19,4443-5920,78.0
19,4443-79631,63.0
19,79426-79432,98.0
19,6378-10755,80.0
19,79947-79950,66.0
19,79947-81187,60.0
19,79947-91805,86.0
19,79812-79813,33.0
19,85749-85750,11.0
19,6393-80462,78.0
19,6393-6396,84.0
19,4274-5354,81.0
19,4187-4797,98.0
19,4471-6101,80.0
19,4471-6103,75.0
19,4471-6102,79.0
19,80380-92289,98.0
19,89949-92326,59.0
19,89949-92248,88.0
19,89949-90274,86.0
19,89949-70692,95.0
19,89949-90271,55.0
19,89949-91304,51.0
19,4272-91985,81.0
19,4272-87619,58.0
19,4272-90028,43.0
19,4272-79670,59.0
19,4272-79792,51.0
19,4272-5348,85.0
19,4272-5349,83.0
19,4272-5347,90.0
19,4272-80181,70.0
19,4272-78924,64.0
19,4508-6192,93.0
19,4412-90822,96.0
19,4412-90821,80.0
19,4412-5847,89.0
19,4412-5846,87.0
19,4412-948673,98.0
19,4412-5844,98.0
19,90039-90040,100.0
19,4468-6088,42.0
19,4468-6089,42.0
19,79204-10729,42.0
19,4294-10730,41.0
19,4268-81141,98.0
19,4268-5320,98.0
19,4268-5321,84.0
19,4268-92301,93.0
19,4268-5319,98.0
19,549803-139682,62.0
19,4481-6116,64.0
19,79983-79507,62.0
19,79226-4799,31.0
19,79226-4794,51.0
19,79226-4793,50.0
19,79226-85879,39.0
19,4515-6203,80.0
19,4169-4754,66.0
19,4169-4752,74.0
19,4169-4753,69.0
19,91760-91761,98.0
19,4397-5645,54.0
19,4397-5648,40.0
19,4397-5647,50.0
19,4224-4896,53.0
19,4513-6201,83.0
19,4171-4758,73.0
19,4171-4759,64.0
19,4305-5470,78.0
19,4269-81110,76.0
19,4269-87473,98.0
19,4269-90341,55.0
19,4269-527220,46.0
19,4269-89572,75.0
19,4269-87471,55.0
19,4269-88398,55.0
19,4284-5424,60.0
19,4284-79376,33.0
19,4284-89573,60.0
19,4378-5587,89.0
19,4378-5583,98.0
19,4378-5584,98.0
19,4378-5585,72.0
19,4378-6048,66.0
19,4378-79655,79.0
19,90328-88290,76.0
19,90327-88289,32.0
19,90327-92235,41.0
19,79971-81102,82.0
19,79055-80463,43.0
19,79905-79906,85.0
19,4470-84659,79.0
19,4470-6098,71.0
19,4470-6100,48.0
19,4470-6099,61.0
19,4470-90137,81.0
19,4484-6119,94.0
19,79302-79303,98.0
19,79302-89565,98.0
19,4400-5652,91.0
19,4282-79283,91.0
19,4282-5414,98.0
19,4282-5398,92.0
19,4282-5405,67.0
19,4282-5406,86.0
19,4282-5411,84.0
19,4282-5407,87.0
19,4282-6032,88.0
19,4282-5399,96.0
19,4282-5409,92.0
19,4282-5402,89.0
19,4282-5400,92.0
19,4282-5401,92.0
19,4282-81109,87.0
19,4282-78980,86.0
19,4282-5412,92.0
19,4282-5413,88.0
19,4282-89955,94.0
19,4282-91270,67.0
19,4282-80352,86.0
19,4282-5404,85.0
19,4282-5403,88.0
19,4282-5415,72.0
19,91934-92498,96.0
19,80246-80247,98.0
19,4446-79692,63.0
19,4446-5934,96.0
19,4446-5935,81.0
19,4446-5929,98.0
19,4446-87948,59.0
19,4446-5930,95.0
19,4446-5936,65.0
19,4446-89578,62.0
19,4446-5937,94.0
19,4446-5932,98.0
19,4446-5933,98.0
19,4446-89579,59.0
19,4453-5948,52.0
19,4453-90084,61.0
19,4410-5835,15.0
19,4410-5839,13.0
19,4410-5837,14.0
19,4410-5833,9.0
19,4410-5834,11.0
19,4410-5832,12.0
19,4410-5838,13.0
19,4244-5134,12.0
19,4244-5137,6.0
19,4244-5136,13.0
19,4244-78912,4.0
19,4244-87477,5.0
19,4244-80056,6.0
19,4244-78911,9.0
19,4395-5638,98.0
19,4191-85876,98.0
19,4191-85877,61.0
19,4191-4801,48.0
19,4191-4802,98.0
19,4191-79039,86.0
19,6362-5555,28.0
19,4242-5117,14.0
19,4242-89591,8.0
19,4242-90302,6.0
19,4242-85838,4.0
19,4242-79247,16.0
19,4242-79633,9.0
19,4242-5125,26.0
19,4242-5127,43.0
19,4242-5119,20.0
19,4242-88404,4.0
19,4242-80102,10.0
19,4242-85837,7.0
19,4242-5122,28.0
19,4242-89926,8.0
19,4242-5126,55.0
19,4242-92892,10.0
19,4242-92891,15.0
19,4242-5116,77.0
19,4242-5113,87.0
19,4242-89925,8.0
19,4242-6015,17.0
19,4242-5114,84.0
19,4242-89590,10.0
19,4242-79653,18.0
19,4242-91794,6.0
19,4242-5121,52.0
19,4242-5123,59.0
19,4242-90027,53.0
19,4242-5115,6.0
19,4242-79636,19.0
19,4242-89613,9.0
19,4242-89589,9.0
19,4242-6014,11.0
19,4242-6013,72.0
19,4242-5111,81.0
19,4242-5118,59.0
19,4242-87679,11.0
19,4242-79634,11.0
19,4242-5124,55.0
19,4242-79635,33.0
19,4242-5120,11.0
19,4242-87519,10.0
19,4242-5110,57.0
19,80242-80378,98.0
19,80235-84333,98.0
19,80235-84334,98.0
19,80077-87926,96.0
19,4158-4733,98.0
19,4158-4732,86.0
19,4158-4737,92.0
19,4158-4731,94.0
19,4158-4734,98.0
19,4158-4736,93.0
19,4158-4735,98.0
19,4474-6110,47.0
19,4474-6108,60.0
19,4474-6109,52.0
19,4474-78928,63.0
19,90138-90139,5.0
19,90138-92636,11.0
19,5186-10801,98.0
19,5186-92637,76.0
19,80415-80416,98.0
19,85448-85451,39.0
19,85448-92561,44.0
19,4486-6122,43.0
19,81027-81028,61.0
19,4177-4785,40.0
19,79464-79526,90.0
19,91773-10733,76.0
19,4370-92635,86.0
19,4370-5567,86.0
19,4381-90858,65.0
19,4381-5592,46.0
19,4381-5593,55.0
19,4160-4742,85.0
19,89556-89557,92.0
19,4479-6114,66.0
19,4416-5855,31.0
19,4442-92608,68.0
19,4442-5916,66.0
19,4442-5914,78.0
19,4442-89577,81.0
19,4442-5911,76.0
19,79077-79099,81.0
19,79988-79989,92.0
19,6570-6571,95.0
19,4487-6124,81.0
19,4487-6123,46.0
19,4487-6126,73.0
19,4487-90934,36.0
19,4487-6125,57.0
19,92612-92614,93.0
19,90331-87412,90.0
19,80032-80033,84.0
19,4501-78935,76.0
19,4501-6172,62.0
19,4501-85833,83.0
19,4501-91908,26.0
19,4501-6174,66.0
19,4501-89582,53.0
19,4501-6168,84.0
19,4501-6169,98.0
19,4501-6173,74.0
19,4501-85834,98.0
19,4501-6175,90.0
19,92369-92906,98.0
19,4263-5289,42.0
