LEA ID,LEA Name,School Entity ID,School Name,Charter,Subgroup,Dropout Rate
90199,"Academy Del Sol, Inc.",90770,Academy Del Sol - Hope,Y,All,0.7
85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Y,All,6.21
4296,"Academy Of Excellence, Inc.",5461,Academy Of Excellence,Y,All,3.33
90878,"Academy of Mathematics and Science South, Inc.",92197,Academy of Mathematics and Science South,Y,All,0
79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Y,All,0
92768,"Academy of Mathematics and Science, Inc.",92769,Academy of Math and Science Camelback,Y,All,1.04
78897,"Academy of Tucson, Inc.",78898,Academy of Tucson High School,Y,All,0
78897,"Academy of Tucson, Inc.",79986,Academy of Tucson Middle School,Y,All,1.22
79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Y,All,16.59
6364,Accelerated Elementary and Secondary Schools,5891,Accelerated Learning Laboratory,Y,All,3.06
4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Y,All,1.57
4325,Acclaim Charter School,5496,ACCLAIM Academy,Y,All,0.92
79437,Acorn Montessori Charter School,79438,Acorn Montessori Charter School,Y,All,0
4289,Agua Fria Union High School District,5454,Agua Fria High School,N,All,1
4289,Agua Fria Union High School District,79799,Desert Edge High School,N,All,0.89
4289,Agua Fria Union High School District,78926,Millennium High School,N,All,0.93
4289,Agua Fria Union High School District,87903,Verrado High School,N,All,0.67
4249,Aguila Elementary District,5187,Aguila Elementary School,N,All,0
90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91184,Valiant Academy,Y,All,13.76
90758,"Ahwatukee Foothills Prep Early College High School, Inc.",91246,Valiant Academy,Y,All,22.22
79053,AIBT Non-Profit Charter High School - Phoenix,79123,RCB Medical Arts Academy,Y,All,18.2
449790,"AIBT Non-Profit Charter High School, Inc.",742847,RCB College Preparatory Academy,Y,All,5.56
4409,Ajo Unified District,5831,Ajo Elementary School,N,All,4.94
4409,Ajo Unified District,6292,Ajo High School,N,All,2.21
4280,Alhambra Elementary District,5381,Alhambra Traditional School,N,All,0
4280,Alhambra Elementary District,5382,Andalucia Middle School,N,All,1.13
4280,Alhambra Elementary District,5384,Barcelona Middle School,N,All,0.8
4280,Alhambra Elementary District,5385,Catalina Ventura School,N,All,0.28
4280,Alhambra Elementary District,5386,Cordova Elementary School,N,All,0.77
4280,Alhambra Elementary District,5387,Granada East School,N,All,1.58
4280,Alhambra Elementary District,5389,Montebello School,N,All,0.25
4280,Alhambra Elementary District,5391,R E Simpson School,N,All,1.16
4280,Alhambra Elementary District,79203,Sevilla West School,N,All,1.57
4347,"Allen-Cochran Enterprises, Inc.",5521,Center for Educational Excellence,Y,All,1.35
4161,Alpine Elementary District,4743,Alpine Elementary School,N,All,9.09
4418,Altar Valley Elementary District,5859,Altar Valley Middle School,N,All,8.02
80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Y,All,3.5
79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Y,All,17.65
79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Y,All,23.04
79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Y,All,18.09
79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Y,All,25.82
79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Y,All,20.54
80989,American Charter Schools Foundation d.b.a. South Pointe High School,80990,South Pointe High School,Y,All,21.96
88334,American Charter Schools Foundation d.b.a. South Ridge High School,88335,South Ridge High School,Y,All,1.05
79877,American Charter Schools Foundation d.b.a. Sun Valley High School,6347,Sun Valley High School,Y,All,34.98
79879,American Charter Schools Foundation d.b.a. West Phoenix High School,6348,West Phoenix High School,Y,All,18.81
6365,American Heritage Academy,88201,American Heritage Academy - Camp Verde,Y,All,2.08
6365,American Heritage Academy,6366,American Heritage Academy - Cottonwood,Y,All,0.58
4348,"American Leadership Academy, Inc.",92885,American Leadership Academy - Ironwood,Y,All,2.75
4348,"American Leadership Academy, Inc.",90769,American Leadership Academy - Queen Creek,Y,All,2.29
4348,"American Leadership Academy, Inc.",509281,"American Leadership Academy, Gilbert",Y,All,1.83
79461,American Virtual Academy,81178,Primavera - Online,Y,All,43.04
4406,Amphitheater Unified District,91755,Amphi Academy Online,N,All,16.36
4406,Amphitheater Unified District,6055,Amphitheater High School,N,All,5.89
4406,Amphitheater Unified District,5805,Amphitheater Middle School,N,All,5.86
4406,Amphitheater Unified District,5808,Canyon Del Oro High School,N,All,1.82
4406,Amphitheater Unified District,5799,Coronado K-8 School,N,All,0.27
4406,Amphitheater Unified District,79378,Ironwood Ridge High School,N,All,1.66
4406,Amphitheater Unified District,5804,La Cima Middle School,N,All,5.07
4406,Amphitheater Unified District,5806,Lawrence W Cross Middle School,N,All,1.37
4406,Amphitheater Unified District,5807,Richard B Wilson Jr School,N,All,0.2
4406,Amphitheater Unified District,5803,Rillito Center,N,All,2.27
4506,Antelope Union High School District,6188,Antelope Union High School,N,All,1.32
4506,Antelope Union High School District,92739,AUHS Online Acadamy,N,All,5.88
90532,Anthem Preparatory Academy,90635,Great Hearts Academies - Anthem Prep,Y,All,0
4443,Apache Junction Unified District,5925,Apache Junction High School,N,All,4.17
4443,Apache Junction Unified District,5923,Cactus Canyon Junior High,N,All,1.94
4443,Apache Junction Unified District,91810,Superstition Mountain On-Line School,N,All,43.24
79426,Aprender Tucson,79432,Southside Community School,Y,All,1.18
89486,Arete Preparatory Academy,89487,Great Hearts Academies - Arete Prep,Y,All,0.19
134379,Arizona Agribusiness & Equine Center INC.,156568,"Arizona Agribusiness & Equine Center, Inc. - Mesa",Y,All,0
4331,"Arizona Agribusiness & Equine Center, Inc.",6344,AAEC - Paradise Valley,Y,All,0.25
85816,"Arizona Agribusiness & Equine Center, Inc.",5503,AAEC - SMCC Campus,Y,All,0
90779,"Arizona Agribusiness & Equine Center, Inc.",90780,Arizona Agribusiness & Equine Center - Estrella,Y,All,0.2
91131,"Arizona Agribusiness & Equine Center, Inc.",91132,"Arizona Agribusiness & Equine Center, Inc. - Prescott Valley",Y,All,0
87403,"Arizona Agribusiness & Equine Center, Inc.",87404,"Arizona Agribusiness & Equine Center, Inc. - Red Mountain",Y,All,1.07
91958,"Arizona Autism Charter Schools, Inc.",92984,"Arizona Autism Charter School, Upper School Campus",Y,All,2.56
4346,"Arizona Call-a-Teen Youth Resources, Inc.",5520,Arizona Call-a-Teen Center for Excellence,Y,All,34.06
79947,Arizona Community Development Corporation,79950,La Paloma Academy,Y,All,0
79947,Arizona Community Development Corporation,81187,La Paloma Academy (Lakeside),Y,All,0
79947,Arizona Community Development Corporation,91805,La Paloma Academy-South,Y,All,1.82
87407,"Arizona Connections Academy Charter School, Inc.",81179,Arizona Connections Academy,Y,All,5.26
85749,Arizona Montessori Charter School at Anthem,85750,AMCS at Anthem dba Caurus Academy,Y,All,2.33
4345,Arizona School For The Arts,5519,Arizona School For The Arts,Y,All,0.57
4274,Arlington Elementary District,5354,Arlington Elementary School,N,All,0
4471,Ash Fork Joint Unified District,6103,Ash Fork High School,N,All,7.14
4471,Ash Fork Joint Unified District,6102,Ash Fork Middle School,N,All,0
92325,ASU Preparatory Academy,92326,ASU Preparatory Academy - Phoenix Middle School,Y,All,0
631426,ASU Preparatory Academy,338609,ASU Preparatory Academy - Tempe,Y,All,6.67
91303,ASU Preparatory Academy,91304,ASU Preparatory Academy- Phoenix High School,Y,All,0
