DistrictofResidenceEntityName,DistrictofResidenceEntityID,SchoolEntityName,SchoolEntityID,SchoolCTDS,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total,
Accelerated Elementary and Secondary Schools,6364,,,           _,*,12,15,13,16,11,14,14,25,18,*,11,12,*,176,
Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,108767001,*,12,15,13,16,11,14,14,25,18,*,11,12,*,176,
"Accelerated Learning Center, Inc.",4297,,,           _,*,*,*,*,*,*,*,*,*,*,*,*,31,128,183,
"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,078979201,*,*,*,*,*,*,*,*,*,*,*,*,31,128,183,
Acclaim Charter School,4325,,,           _,*,42,43,51,46,42,38,46,52,38,*,*,*,*,398,
Acclaim Charter School,4325,ACCLAIM Academy,5496,078701101,*,42,43,51,46,42,38,46,52,38,*,*,*,*,398,
Acclaim Charter School,4325,ACES-Phoenix West,90771,072190003,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Acorn Montessori Charter School,79437,,,           _,*,68,71,54,53,51,45,39,33,38,*,*,*,*,452,
Acorn Montessori Charter School,79437,Acorn Montessori Charter School,79438,138760101,*,*,*,54,53,51,45,39,*,38,*,*,*,*,313,
Acorn Montessori Charter School,79437,"Acorn Montessori Charter School, Inc. - West",88180,138760102,*,68,71,*,*,*,*,*,*,*,*,*,*,*,139,
Agua Fria Union High School District,4289,,,           _,*,*,*,*,*,*,*,*,*,*,2103,1998,1937,1750,7788,
Agua Fria Union High School District,4289,ACCEL Buckeye Learning Center,91260,072164008,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Agua Fria Union High School District,4289,ACCEL Metro Campus,7356,072164001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Agua Fria Union High School District,4289,ACES-Phoenix West,90771,072190003,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Agua Fria Union High School District,4289,Agua Fria High School,5454,070516201,*,*,*,*,*,*,*,*,*,*,482,439,405,341,1667,
Agua Fria Union High School District,4289,Banner Academy,7341,072144001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Agua Fria Union High School District,4289,Desert Edge High School,79799,070516203,*,*,*,*,*,*,*,*,*,*,415,468,459,422,1764,
Agua Fria Union High School District,4289,Hi-Star Center for Children,7373,072170001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Agua Fria Union High School District,4289,Millennium High School,78926,070516202,*,*,*,*,*,*,*,*,*,*,658,602,553,534,2347,
Agua Fria Union High School District,4289,Southwest Education Center-Tolleson,91270,072146005,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Agua Fria Union High School District,4289,Verrado High School,87903,070516204,*,*,*,*,*,*,*,*,*,*,545,486,516,444,1991,
Aguila Elementary District,4249,,,           _,*,*,17,23,17,20,19,17,15,15,12,14,12,18,217,
Aguila Elementary District,4249,Aguila Elementary School,5187,070363101,*,*,17,23,17,20,19,17,15,15,*,*,*,*,161,
Aguila Elementary District,4249,Salome High School,6203,150576201,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Aguila Elementary District,4249,Wickenburg High School,4987,070209201,*,*,*,*,*,*,*,*,*,*,*,14,*,14,50,
Aguila Elementary District,4249,Wickenburg Virtual Academy,91264,070209004,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,,,           _,*,16,*,*,*,11,*,23,15,18,14,17,*,*,163,
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,Valiant Academy,91184,078582003,*,16,*,*,*,11,*,23,15,18,*,*,*,*,114,
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,Valiant Academy,91246,078582002,*,*,*,*,*,*,*,*,*,*,14,17,*,*,49,
Ajo Unified District,4409,,,           _,16,29,36,31,37,41,31,30,33,31,33,32,30,35,445,
Ajo Unified District,4409,Ajo Elementary School,5831,100215001,16,29,36,31,37,41,31,30,33,31,*,*,*,*,315,
Ajo Unified District,4409,Ajo Headstart,84192,102601043,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Ajo Unified District,4409,Ajo High School,6292,100215002,*,*,*,*,*,*,*,*,*,*,33,32,30,35,130,
"Akimel O Otham Pee Posh Charter School, Inc.",5978,,,           _,*,*,*,*,*,*,*,*,*,*,*,*,*,*,17,
"Akimel O Otham Pee Posh Charter School, Inc.",5978,Akimel O'Otham Pee Posh (K-2),10797,118705001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,17,
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,,,           _,*,*,*,*,*,*,58,*,*,*,*,*,*,*,117,
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,Akimel O'Otham Pee Posh (3-5),78967,118706001,*,*,*,*,*,*,58,*,*,*,*,*,*,*,117,
Alhambra Elementary District,4280,,,           _,583,1246,1387,1502,1571,1534,1445,1470,1451,1404,*,*,*,*,13593,
Alhambra Elementary District,4280,ACCEL Metro Campus,7356,072164001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,ACES-Peoria,7408,072190001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,Alhambra Traditional School,5381,070468101,*,97,87,87,82,78,81,76,65,60,*,*,*,*,713,
Alhambra Elementary District,4280,Andalucia Middle School,5382,070468102,*,*,*,*,*,238,211,218,222,201,*,*,*,*,1090,
Alhambra Elementary District,4280,Barcelona Middle School,5384,070468104,223,*,*,*,*,162,139,150,136,122,*,*,*,*,932,
Alhambra Elementary District,4280,Canyon State Academy,79303,072107001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,Carol G. Peck Elementary School,6030,070468105,*,150,155,161,157,*,*,*,*,*,*,*,*,*,623,
Alhambra Elementary District,4280,Catalina Ventura School,5385,070468106,*,87,92,105,149,134,140,146,144,142,*,*,*,*,1139,
Alhambra Elementary District,4280,City Of Phoenix Alhambra Headstart,8824,072623001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,360,
Alhambra Elementary District,4280,Cordova Elementary School,5386,070468107,*,71,87,100,104,121,105,109,118,120,*,*,*,*,935,
Alhambra Elementary District,4280,Desert Heights Academy,90051,072113001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,FOUNDATION FOR BLIND CHILDREN,7335,072140001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,Gateway Academy,87276,072136001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,Granada East School,5387,070468109,*,*,*,*,*,228,232,209,197,211,*,*,*,*,1077,
Alhambra Elementary District,4280,Granada Primary School,5388,070468110,*,175,199,212,213,*,*,*,*,*,*,*,*,*,799,
Alhambra Elementary District,4280,Hi-Star Center for Children,7373,072170001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,James W. Rice Primary School,5383,070468103,*,187,222,223,251,*,*,*,*,*,*,*,*,*,883,
Alhambra Elementary District,4280,Montebello School,5389,070468111,*,125,124,159,163,154,152,146,142,148,*,*,*,*,1313,
Alhambra Elementary District,4280,R E Simpson School,5391,070468113,*,*,*,*,*,190,173,188,162,147,*,*,*,*,860,
Alhambra Elementary District,4280,Sevilla Primary School,5390,070468112,*,173,200,216,218,*,*,*,*,*,*,*,*,*,807,
Alhambra Elementary District,4280,Sevilla West School,79203,070468115,*,*,*,*,*,227,210,224,261,244,*,*,*,*,1166,
Alhambra Elementary District,4280,UPWARD FOUNDATION INC,7381,072175001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Alhambra Elementary District,4280,Westwood Primary School,5392,070468114,*,181,219,235,224,*,*,*,*,*,*,*,*,*,859,
All Aboard Charter School,79969,,,           _,*,23,20,23,17,21,12,*,*,*,*,*,*,*,116,
All Aboard Charter School,79969,All Aboard Charter School,79970,078967101,*,23,20,23,17,21,12,*,*,*,*,*,*,*,116,
"Allen-Cochran Enterprises, Inc.",4347,,,           _,*,38,49,41,48,44,49,42,28,32,*,*,*,*,371,
"Allen-Cochran Enterprises, Inc.",4347,Center for Educational Excellence,5521,078724101,*,38,49,41,48,44,49,42,28,32,*,*,*,*,371,
