year,districtcode,schoolcode,black,lowincome,hispanic,white,mergecode
19,7,20,1.08,75.88,55.83,42.01,7-20
19,7,40,1.79,70.33,46.29,51.15,7-40
19,7,9100,0.0,0.0,0.0,75.0,7-9100
19,14,40,1.03,63.58,4.73,90.53,14-40
19,14,130,1.54,68.86,7.89,87.06,14-130
19,14,140,2.94,87.25,6.86,83.33,14-140
19,14,210,1.33,67.11,9.78,85.33,14-210
19,63,20,0.59,43.53,4.71,91.18,63-20
19,63,40,2.08,33.33,1.04,95.83,63-40
19,63,60,1.37,32.88,8.22,84.93,63-60
19,70,20,1.57,49.34,6.04,88.98,70-20
19,70,40,1.23,40.62,6.15,90.15,70-40
19,84,20,0.0,42.01,7.1,91.12,84-20
19,84,40,0.0,23.38,1.3,93.51,84-40
19,91,60,0.0,53.13,15.63,78.75,91-60
19,91,70,0.0,60.87,14.13,75.0,91-70
19,91,80,1.41,58.59,12.68,83.1,91-80
19,105,20,1.07,52.94,26.2,71.66,105-20
19,105,40,0.0,47.62,22.22,77.78,105-40
19,105,250,0.0,51.76,29.41,70.59,105-250
19,112,40,2.06,31.19,3.9,85.32,112-40
19,112,60,0.28,36.11,5.0,82.78,112-60
19,112,80,0.74,34.62,7.0,82.32,112-80
19,112,100,1.54,41.54,3.85,85.38,112-100
19,119,20,1.91,44.39,4.53,89.26,119-20
19,119,40,0.62,30.15,3.74,91.68,119-40
19,119,50,1.04,42.91,3.46,90.31,119-50
19,119,60,1.1,38.36,1.92,92.88,119-60
19,126,20,0.52,32.64,0.78,94.52,126-20
19,126,60,0.0,26.14,2.13,93.92,126-60
19,126,80,1.23,28.92,2.15,95.69,126-80
19,126,140,0.0,0.0,0.0,100.0,126-140
19,140,50,0.6,57.92,6.21,86.77,140-50
19,140,70,0.91,48.57,4.68,88.7,140-70
19,140,80,0.0,50.44,9.73,87.61,140-80
19,140,100,0.85,77.12,0.85,91.53,140-100
19,140,180,1.96,88.24,5.23,80.39,140-180
19,140,200,1.63,51.02,4.08,89.8,140-200
19,140,260,0.0,50.0,6.03,93.1,140-260
19,140,280,0.91,85.0,6.36,80.0,140-280
19,140,9100,3.57,46.43,10.71,82.14,140-9100
19,147,20,3.51,37.69,13.0,67.93,147-20
19,147,30,4.78,26.09,7.64,75.16,147-30
19,147,40,7.18,44.87,11.63,63.58,147-40
19,147,60,8.12,50.98,17.37,49.3,147-60
19,147,80,15.19,75.95,15.82,48.73,147-80
19,147,100,11.03,52.57,4.41,73.53,147-100
19,147,110,2.49,18.5,4.99,73.8,147-110
19,147,120,3.75,22.5,5.63,82.08,147-120
19,147,130,4.79,31.15,7.35,71.25,147-130
19,147,135,0.0,21.82,4.55,90.0,147-135
19,147,145,0.0,18.71,7.74,87.74,147-145
19,147,150,7.58,49.39,6.67,56.97,147-150
19,147,155,0.57,46.59,70.45,25.0,147-155
19,147,160,5.14,50.86,9.14,63.14,147-160
19,147,165,3.86,43.3,10.61,66.99,147-165
19,147,180,5.8,61.03,16.1,46.38,147-180
19,147,190,6.43,60.23,26.9,48.25,147-190
19,147,195,1.99,27.03,5.8,81.59,147-195
19,147,200,3.08,26.1,4.95,80.99,147-200
19,147,210,0.65,12.42,1.96,85.62,147-210
19,147,220,1.09,17.83,4.57,86.52,147-220
19,147,240,9.49,57.99,14.09,63.14,147-240
19,147,250,7.16,42.23,10.65,70.33,147-250
19,147,260,7.2,53.81,12.08,55.51,147-260
19,147,280,4.31,58.12,9.64,56.09,147-280
19,147,300,4.81,44.57,13.82,64.6,147-300
19,147,320,3.5,47.38,17.28,58.64,147-320
19,147,340,2.77,42.91,15.22,74.39,147-340
19,147,410,8.12,54.57,13.96,53.81,147-410
19,147,420,4.14,30.18,8.28,75.74,147-420
19,147,430,0.79,14.96,3.94,91.34,147-430
19,147,440,0.0,47.06,29.41,70.59,147-440
19,147,450,7.69,23.08,6.59,83.52,147-450
19,147,460,0.0,16.67,3.03,93.94,147-460
19,147,490,3.85,37.18,10.26,82.05,147-490
19,147,800,0.0,0.0,0.0,100.0,147-800
19,147,850,4.67,40.39,9.52,76.3,147-850
19,154,40,0.54,56.87,49.06,50.13,154-40
19,154,190,0.55,77.64,78.36,20.0,154-190
19,154,290,1.05,74.28,67.98,30.45,154-290
19,161,20,1.42,36.17,2.13,94.33,161-20
19,161,40,0.0,32.29,2.08,94.79,161-40
19,161,250,0.0,50.91,3.64,94.55,161-250
19,170,20,1.11,58.16,2.06,70.68,170-20
19,170,30,0.93,65.66,0.7,70.3,170-30
19,170,60,0.32,68.89,2.22,62.54,170-60
19,170,80,0.49,65.69,1.7,67.88,170-80
19,170,120,0.0,82.26,0.0,100.0,170-120
19,170,130,1.39,63.89,2.78,66.67,170-130
19,170,250,0.0,0.0,0.0,60.87,170-250
19,170,400,0.0,0.0,4.17,54.17,170-400
19,182,20,3.03,31.41,8.02,75.24,182-20
19,182,45,3.59,33.29,6.77,76.8,182-45
19,182,50,3.56,28.32,3.76,80.79,182-50
19,182,55,3.2,36.92,5.81,76.16,182-55
19,182,60,3.06,45.13,7.52,74.65,182-60
19,196,20,0.0,43.82,9.55,89.33,196-20
19,196,40,0.0,24.22,5.59,91.93,196-40
19,196,60,0.0,39.47,10.53,88.16,196-60
19,203,40,0.0,33.16,3.63,94.3,203-40
19,203,60,0.23,29.44,2.57,95.79,203-60
19,203,9100,0.0,0.0,0.0,100.0,203-9100
19,217,20,0.0,55.81,3.75,91.01,217-20
19,217,40,1.41,35.92,7.75,87.32,217-40
19,217,200,2.08,51.39,4.17,91.67,217-200
19,217,410,0.0,30.99,0.0,98.59,217-410
19,231,40,1.24,18.84,3.11,90.27,231-40
19,231,70,0.78,26.98,4.24,91.3,231-70
19,231,90,0.55,23.01,4.38,90.14,231-90
19,238,60,0.26,63.17,3.58,88.49,238-60
19,238,100,0.37,48.7,1.49,89.96,238-100
19,238,120,0.36,56.32,2.53,90.25,238-120
19,245,20,0.71,35.46,3.55,92.2,245-20
19,245,40,0.98,29.74,3.27,93.79,245-40
19,280,20,1.72,47.74,11.08,77.07,280-20
19,280,40,0.75,39.81,8.48,85.09,280-40
19,280,60,0.87,45.51,10.72,74.78,280-60
19,280,110,1.18,52.07,6.51,83.14,280-110
19,280,120,1.96,47.06,6.86,80.39,280-120
19,280,140,1.59,51.59,4.76,88.89,280-140
19,280,150,0.7,23.94,7.04,86.62,280-150
19,280,160,5.88,47.06,11.76,76.47,280-160
19,280,180,4.26,74.77,11.85,73.25,280-180
19,287,20,0.44,6.61,1.76,96.48,287-20
19,287,40,0.95,18.01,0.0,97.16,287-40
19,308,20,18.03,67.21,8.2,68.85,308-20
19,308,30,11.78,47.95,4.93,80.27,308-30
