year,districtcode,schoolcode,black,lowincome,hispanic,white,mergecode
17,7,20,1.86,52.25,52.25,45.09,7-20
17,7,40,1.45,63.77,41.16,55.65,7-40
17,7,9100,0.0,0.0,0.0,100.0,7-9100
17,14,40,1.02,64.62,5.93,91.0,14-40
17,14,130,2.75,68.88,11.21,83.98,14-130
17,14,140,3.11,78.26,14.29,80.12,14-140
17,14,200,0.0,73.53,4.41,94.85,14-200
17,14,210,1.2,65.47,4.2,92.79,14-210
17,63,20,0.64,43.59,5.13,91.67,63-20
17,63,40,1.9,26.67,1.9,93.33,63-40
17,63,60,0.0,42.67,6.67,90.67,63-60
17,70,20,0.26,42.63,6.58,89.47,70-20
17,70,40,1.77,28.61,3.54,92.33,70-40
17,84,20,0.55,28.42,6.01,91.26,84-20
17,84,40,1.49,26.87,2.99,91.04,84-40
17,91,60,1.17,46.78,12.87,83.63,91-60
17,91,70,0.0,58.54,18.29,78.05,91-70
17,91,80,1.13,61.76,16.43,79.32,91-80
17,105,20,0.0,46.76,30.22,69.06,105-20
17,105,40,0.48,42.38,21.9,77.14,105-40
17,105,60,0.0,36.67,21.67,76.67,105-60
17,112,40,2.15,24.58,3.1,86.87,112-40
17,112,60,1.45,36.81,6.09,84.35,112-60
17,112,80,1.51,38.09,5.37,86.07,112-80
17,112,100,0.91,37.73,5.91,81.82,112-100
17,119,20,0.75,38.56,3.48,91.29,119-20
17,119,40,0.87,29.28,4.34,90.24,119-40
17,119,50,1.22,40.98,1.53,93.88,119-50
17,119,60,0.59,39.59,2.64,94.72,119-60
17,126,20,0.72,24.11,0.95,96.66,126-20
17,126,60,0.92,21.78,2.15,95.4,126-60
17,126,80,1.26,23.58,3.14,94.03,126-80
17,126,100,0.82,0.0,4.1,90.98,126-100
17,140,50,1.55,53.49,6.4,86.82,140-50
17,140,70,0.49,38.44,4.2,90.23,140-70
17,140,80,0.0,45.04,11.45,81.68,140-80
17,140,100,2.08,59.03,0.69,90.28,140-100
17,140,180,1.3,76.62,7.14,83.77,140-180
17,140,200,0.4,41.7,2.83,91.9,140-200
17,140,260,1.65,55.37,4.13,93.39,140-260
17,140,280,2.63,70.18,13.16,76.75,140-280
17,140,9100,7.14,42.86,0.0,92.86,140-9100
17,147,20,3.94,37.3,11.75,70.58,147-20
17,147,30,4.77,26.34,7.4,76.34,147-30
17,147,40,7.02,43.62,9.61,68.02,147-40
17,147,60,10.72,54.49,17.68,53.33,147-60
17,147,80,11.11,72.55,15.03,58.17,147-80
17,147,100,12.45,54.58,2.93,73.26,147-100
17,147,110,1.47,18.87,6.29,74.63,147-110
17,147,120,4.47,26.44,4.47,82.5,147-120
17,147,130,4.26,32.18,6.62,73.97,147-130
17,147,135,3.57,32.14,3.57,88.39,147-135
17,147,145,0.65,18.71,3.87,93.55,147-145
17,147,150,5.75,50.8,5.11,63.26,147-150
17,147,155,0.0,47.88,69.09,26.67,147-155
17,147,160,4.88,43.9,10.03,65.31,147-160
17,147,165,2.55,35.13,10.79,67.11,147-165
17,147,180,3.4,60.44,13.41,55.69,147-180
17,147,190,6.13,60.27,25.07,50.13,147-190
17,147,195,3.43,29.85,4.57,84.83,147-195
17,147,200,3.01,24.64,4.44,83.09,147-200
17,147,210,0.63,7.55,1.89,84.91,147-210
17,147,220,1.18,16.98,4.01,87.03,147-220
17,147,240,8.1,58.94,16.2,64.53,147-240
17,147,250,6.8,38.51,6.8,75.73,147-250
17,147,260,7.44,50.5,10.06,59.36,147-260
17,147,280,5.91,58.06,11.29,53.76,147-280
17,147,300,3.35,42.21,13.54,67.83,147-300
17,147,320,5.65,54.99,18.64,55.93,147-320
17,147,340,2.87,41.94,11.47,77.42,147-340
17,147,410,5.88,58.57,15.35,55.75,147-410
17,147,420,2.29,25.71,2.86,85.71,147-420
17,147,430,0.0,16.8,4.0,91.2,147-430
17,147,450,2.86,16.19,2.86,86.67,147-450
17,147,460,0.0,17.39,1.45,94.2,147-460
17,147,490,1.45,34.78,13.04,82.61,147-490
17,147,800,0.0,0.0,33.33,33.33,147-800
17,147,820,0.0,16.28,0.0,95.35,147-820
17,147,850,7.04,31.87,5.28,77.82,147-850
17,154,40,0.56,48.31,35.11,64.04,154-40
17,154,190,0.55,72.83,71.35,26.62,154-190
17,154,290,0.86,66.29,58.0,41.14,154-290
17,161,20,0.0,31.65,1.44,97.84,161-20
17,161,40,0.0,27.27,4.24,93.94,161-40
17,170,20,0.47,46.77,1.89,72.6,170-20
17,170,30,0.5,56.58,2.48,67.74,170-30
17,170,60,0.9,67.16,2.09,55.82,170-60
17,170,80,0.0,63.02,0.0,64.5,170-80
17,170,120,0.0,80.0,0.0,98.29,170-120
17,170,130,0.0,47.22,2.78,80.56,170-130
17,170,250,0.0,54.39,1.75,84.21,170-250
17,170,400,0.0,41.67,0.0,83.33,170-400
17,182,20,2.98,22.94,6.43,78.79,182-20
17,182,45,2.39,28.73,7.46,76.9,182-45
17,182,50,3.02,23.94,3.42,81.29,182-50
17,182,55,3.2,33.07,4.27,76.0,182-55
17,182,60,3.5,40.0,7.97,74.13,182-60
17,196,20,0.0,42.44,11.63,87.79,196-20
17,196,40,0.0,18.03,3.83,92.9,196-40
17,196,60,0.0,36.07,1.64,98.36,196-60
17,203,40,0.5,29.53,5.21,92.06,203-40
17,203,60,0.47,24.88,1.88,96.24,203-60
17,203,9100,0.0,0.0,0.0,100.0,203-9100
17,217,20,0.0,53.51,2.95,92.25,217-20
17,217,40,0.67,34.0,8.67,85.33,217-40
17,217,200,0.71,51.77,4.26,92.2,217-200
17,217,410,0.0,18.57,0.0,98.57,217-410
17,231,40,1.29,16.09,4.29,90.99,231-40
17,231,70,0.92,21.44,4.47,90.02,231-70
17,231,90,0.56,19.44,2.22,93.89,231-90
17,238,60,0.0,54.55,4.67,87.71,238-60
17,238,100,0.38,46.54,1.54,86.54,238-100
17,238,120,1.04,50.69,1.04,88.89,238-120
17,245,20,0.72,32.62,2.87,95.34,245-20
17,245,40,0.32,28.25,1.62,95.13,245-40
17,280,20,1.57,39.69,8.66,82.2,280-20
17,280,40,0.31,31.64,7.57,86.51,280-40
17,280,60,0.84,42.06,9.47,74.09,280-60
17,280,110,0.33,48.85,8.85,82.62,280-110
17,280,120,2.22,47.78,10.0,75.56,280-120
17,280,140,0.0,40.0,4.0,94.4,280-140
17,280,160,3.4,12.93,5.44,82.99,280-160
17,280,180,2.59,64.84,14.41,74.93,280-180
17,287,20,1.33,11.5,0.88,96.46,287-20
17,287,40,0.45,11.61,1.34,95.09,287-40
17,308,20,0.0,62.5,6.94,93.06,308-20
17,308,30,11.23,46.85,3.84,80.0,308-30
17,308,100,8.2,45.9,0.0,83.61,308-100
17,308,120,0.0,53.52,1.41,97.18,308-120
17,308,140,7.26,55.11,6.45,81.72,308-140
17,308,160,18.38,61.99,10.9,63.55,308-160
17,308,810,0.0,51.72,24.14,72.41,308-810
17,315,20,0.0,78.98,3.18,8.28,315-20
17,315,30,3.9,66.23,1.3,16.88,315-30
17,315,40,0.81,63.41,7.32,19.51,315-40
17,315,60,0.0,53.85,0.0,61.54,315-60
17,336,20,2.49,50.33,19.92,73.92,336-20
17,336,40,2.2,40.46,16.7,78.62,336-40
17,336,80,5.52,64.94,19.81,67.21,336-80
17,336,100,7.04,64.79,18.78,69.01,336-100
17,336,110,1.27,42.25,13.8,80.68,336-110
17,336,120,3.03,54.55,25.0,68.18,336-120
17,336,160,0.43,41.28,12.77,83.83,336-160
17,336,180,3.29,50.33,17.11,70.39,336-180
17,336,850,3.33,65.0,11.67,75.0,336-850
17,350,20,0.6,19.88,6.02,86.75,350-20
17,350,40,0.38,19.23,7.69,88.46,350-40
17,350,60,0.0,20.69,4.14,89.66,350-60
17,350,100,1.17,25.15,7.31,84.21,350-100
17,364,20,1.44,32.06,5.74,90.43,364-20
17,364,40,0.53,36.32,4.21,94.74,364-40
17,413,20,28.19,78.67,36.95,26.48,413-20
17,413,60,15.76,78.82,25.88,46.35,413-60
17,413,80,23.57,79.73,31.53,38.14,413-80
17,413,110,18.48,75.0,18.21,51.36,413-110
17,413,120,24.0,86.4,41.07,23.2,413-120
17,413,150,25.0,86.11,43.06,25.0,413-150
17,413,170,21.37,68.95,35.23,35.23,413-170
17,413,180,19.3,77.65,31.93,39.62,413-180
17,413,200,22.18,65.64,33.68,39.22,413-200
17,413,210,44.14,94.92,32.42,16.8,413-210
17,413,260,18.32,75.58,34.32,37.89,413-260
17,413,320,18.76,71.86,29.54,40.72,413-320
17,413,410,24.24,69.7,15.15,57.58,413-410
17,413,421,28.66,73.25,29.94,37.58,413-421
17,413,850,9.43,52.83,15.09,64.15,413-850
17,422,20,3.25,26.41,14.94,75.11,422-20
17,422,60,2.82,32.68,10.42,82.25,422-60
17,422,100,3.41,37.46,10.84,75.54,422-100
17,422,120,4.83,29.26,12.22,76.99,422-120
17,427,20,2.52,32.77,0.84,94.96,427-20
17,427,40,0.85,23.08,3.42,91.45,427-40
17,434,40,0.54,40.18,10.89,86.25,434-40
