year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
17,2289,800,,12.5,8,2289-800
17,2296,60,51.71,51.71,234,2296-60
17,2303,120,32.39,22.54,284,2303-120
17,2310,40,52.63,31.58,19,2310-40
17,2394,60,41.86,39.53,43,2394-60
17,2415,400,50.0,20.0,20,2415-400
17,2420,40,64.15,57.42,357,2420-40
17,2422,60,52.83,46.23,106,2422-60
17,2436,20,44.31,35.03,334,2436-20
17,2450,20,60.22,67.22,543,2450-20
17,2478,40,30.0,32.31,130,2478-40
17,2478,800,8.33,16.67,12,2478-800
17,2485,60,21.62,37.84,37,2485-60
17,2527,40,15.79,42.11,19,2527-40
17,2534,40,38.46,50.0,26,2534-40
17,2541,60,34.78,32.61,46,2541-60
17,2562,40,53.65,41.61,274,2562-40
17,2576,60,25.49,27.45,51,2576-60
17,2583,40,55.77,42.69,260,2583-40
17,2604,20,49.01,53.42,453,2604-20
17,2605,60,43.94,30.3,66,2605-60
17,2611,80,51.09,51.58,411,2611-80
17,2618,60,23.68,21.05,38,2618-60
17,2625,40,20.59,26.47,34,2625-40
17,2632,40,36.0,16.0,25,2632-40
17,2639,40,44.0,40.0,50,2639-40
17,2646,40,35.0,32.5,40,2646-40
17,2660,60,34.29,20.0,35,2660-60
17,2695,60,42.2,33.6,372,2695-60
17,2695,280,34.32,29.37,303,2695-280
17,2695,430,18.75,12.5,16,2695-430
17,2695,450,56.25,56.25,16,2695-450
17,2695,860,47.37,15.79,19,2695-860
17,2702,80,41.21,44.24,165,2702-80
17,2730,40,16.67,23.81,42,2730-40
17,2737,40,58.06,38.71,31,2737-40
17,2744,22,41.3,19.57,46,2744-22
17,2758,40,45.74,30.85,282,2758-40
17,2793,60,22.5,15.0,360,2793-60
17,2793,410,32.23,19.89,543,2793-410
17,2793,450,2.38,2.38,84,2793-450
17,2793,480,72.48,70.64,109,2793-480
17,2793,490,33.66,19.8,101,2793-490
17,2793,580,31.57,22.17,415,2793-580
17,2793,800,50.0,16.67,6,2793-800
17,2800,80,43.23,38.71,155,2800-80
17,2814,100,36.36,50.65,77,2814-100
17,2828,40,40.52,32.76,116,2828-40
17,2835,80,53.32,42.09,392,2835-80
17,2842,40,78.12,70.31,64,2842-40
17,2849,20,40.45,38.18,220,2849-20
17,2849,220,48.5,40.12,167,2849-220
17,2849,440,27.27,27.27,11,2849-440
17,2856,80,32.39,26.76,71,2856-80
17,2863,40,46.15,38.46,13,2863-40
17,2884,20,40.76,30.21,341,2884-20
17,2891,40,48.39,32.26,31,2891-40
17,2898,40,55.91,44.09,93,2898-40
17,2912,20,34.21,36.84,76,2912-20
17,2940,20,15.0,10.0,20,2940-20
17,2961,40,31.25,9.38,32,2961-40
17,3129,40,32.04,27.18,103,3129-40
17,3129,410,52.17,52.17,23,3129-410
17,3150,80,51.45,61.59,138,3150-80
17,3171,60,35.29,41.18,85,3171-60
17,3206,60,36.59,51.22,41,3206-60
17,3213,60,35.14,24.32,37,3213-60
17,3220,140,46.25,46.88,160,3220-140
17,3269,150,37.57,34.75,354,3269-150
17,3269,360,59.4,56.42,436,3269-360
17,3269,400,55.17,24.14,29,3269-400
17,3269,420,28.11,25.15,338,3269-420
17,3269,840,55.84,51.68,505,3269-840
17,3276,40,40.0,29.09,55,3276-40
17,3290,140,34.5,35.67,342,3290-140
17,3290,400,8.33,,24,3290-400
17,3297,160,34.31,31.37,102,3297-160
17,3304,40,48.65,50.0,74,3304-40
17,3311,60,29.17,21.53,144,3311-60
17,3318,100,22.58,16.13,31,3318-100
17,3325,120,42.59,40.74,54,3325-120
17,3332,40,32.53,30.12,83,3332-40
17,3339,120,52.28,48.77,285,3339-120
17,3360,60,35.4,25.66,113,3360-60
17,3360,410,37.5,12.5,8,3360-410
17,3367,80,34.44,30.0,90,3367-80
17,3381,80,58.06,52.26,155,3381-80
