year,districtcode,schoolcode,droprate,totalenroll,mergecode
17,7,40,0.00,297,7-40
17,14,40,3.27,489,14-40
17,63,40,0.00,89,63-40
17,70,40,2.25,355,70-40
17,84,40,0.00,68,84-40
17,91,60,1.15,174,91-60
17,105,40,0.00,179,105-40
17,112,40,0.00,419,112-40
17,119,40,1.75,458,119-40
17,140,70,1.78,788,140-70
17,147,440,43.75,16,147-440
17,147,490,1.56,64,147-490
17,147,20,1.78,1404,147-20
17,147,450,0.00,103,147-450
17,147,30,1.76,1652,147-30
17,147,420,0.58,171,147-420
17,147,430,0.00,137,147-430
17,147,460,1.49,67,147-460
17,147,40,2.93,1160,147-40
17,154,40,1.13,354,154-40
17,161,40,0.68,146,161-40
17,2450,20,0.14,2176,2450-20
17,170,400,0.00,25,170-400
17,170,20,0.93,643,170-20
17,182,20,0.39,1026,182-20
17,196,40,0.52,192,196-40
17,203,60,0.00,366,203-60
17,217,40,2.14,140,217-40
17,217,410,2.78,72,217-410
17,231,40,0.64,470,231-40
17,245,40,0.37,267,245-40
17,280,40,2.20,956,280-40
17,287,40,0.00,181,287-40
17,308,30,0.00,368,308-30
17,308,9410,5.56,18,308-9410
17,315,40,1.63,123,315-40
17,336,40,0.57,1055,336-40
17,4263,60,0.00,108,4263-60
17,350,40,0.00,261,350-40
17,364,40,0.00,158,364-40
17,413,200,0.37,1616,413-200
17,422,20,0.43,463,422-20
17,427,40,3.51,114,427-40
17,434,40,0.72,558,434-40
17,6013,20,0.63,478,6013-20
17,6013,9401,0.00,12,6013-9401
17,441,450,0.00,10,441-450
17,441,40,0.00,64,441-40
17,2240,20,1.90,105,2240-20
17,476,40,2.99,501,476-40
17,485,11,0.00,251,485-11
17,497,40,0.52,388,497-40
17,602,40,0.97,310,602-40
17,609,40,0.84,239,609-40
17,623,40,1.50,133,623-40
17,637,40,0.48,207,637-40
17,658,40,0.93,322,658-40
17,700,40,0.61,328,700-40
17,721,40,0.26,780,721-40
17,735,40,1.50,133,735-40
17,777,20,0.54,1120,777-20
17,840,40,1.18,85,840-40
17,870,40,2.38,252,870-40
17,882,40,1.14,175,882-40
17,896,40,0.40,252,896-40
17,903,40,0.41,245,903-40
17,903,9410,12.50,16,903-9410
17,910,40,0.47,426,910-40
17,980,40,0.00,263,980-40
17,994,40,0.00,91,994-40
17,1029,40,0.29,340,1029-40
17,1015,20,0.00,1121,1015-20
17,5054,20,1.23,1137,5054-20
17,1071,400,1.29,233,1071-400
17,1071,450,0.00,12,1071-450
17,1080,400,0.00,245,1080-400
17,1080,9410,0.00,12,1080-9410
17,1085,40,1.31,383,1085-40
17,1092,60,2.16,1527,1092-60
17,1120,40,0.83,121,1120-40
17,1127,40,0.54,185,1127-40
17,1134,60,0.28,361,1134-60
17,1141,40,6.47,510,1141-40
17,1155,40,0.00,332,1155-40
17,1162,40,1.75,285,1162-40
17,1169,60,0.00,219,1169-60
17,1176,40,1.05,380,1176-40
17,1183,40,0.00,380,1183-40
17,1204,40,0.00,103,1204-40
17,1218,60,1.73,231,1218-60
17,1232,40,0.49,204,1232-40
17,1246,40,0.41,243,1246-40
17,1253,40,1.24,727,1253-40
17,1260,60,0.37,272,1260-60
17,1260,420,0.00,33,1260-420
17,4970,35,2.12,1224,4970-35
17,4970,400,1.59,63,4970-400
17,1295,40,2.26,221,1295-40
17,1316,40,0.00,1035,1316-40
17,1414,20,0.35,1422,1414-20
17,1421,40,0.00,153,1421-40
17,1309,40,1.05,190,1309-40
17,1380,20,1.20,749,1380-20
17,1380,9401,9.09,11,1380-9401
17,1407,80,0.65,461,1407-80
17,2744,22,0.00,242,2744-22
17,1428,40,0.72,417,1428-40
17,1491,40,2.48,121,1491-40
17,1499,40,0.25,403,1499-40
17,1540,40,0.68,587,1540-40
17,1554,580,5.61,214,1554-580
17,1554,340,0.70,1709,1554-340
17,1554,400,1.12,1339,1554-400
17,1561,40,0.00,192,1561-40
17,1568,80,0.19,533,1568-80
17,1582,40,1.04,96,1582-40
17,1600,60,0.36,274,1600-60
17,1645,40,0.62,322,1645-40
17,1631,40,0.00,151,1631-40
17,1638,40,0.11,875,1638-40
17,1638,9401,2.50,40,1638-9401
17,1659,40,0.62,487,1659-40
17,714,20,0.08,1275,714-20
17,714,60,0.00,1220,714-60
17,1666,40,2.33,86,1666-40
17,8131,400,0.93,108,8131-400
17,1694,40,0.18,541,1694-40
17,1729,40,0.38,260,1729-40
17,1736,40,0.53,188,1736-40
17,1813,40,0.80,249,1813-40
17,5757,40,0.00,172,5757-40
17,1855,60,0.00,105,1855-60
17,1862,140,2.72,2136,1862-140
17,1883,80,3.14,924,1883-80
17,1900,60,0.20,1514,1900-60
17,1900,400,54.00,100,1900-400
17,1939,40,1.55,193,1939-40
17,1953,60,1.30,537,1953-60
17,2009,40,0.72,415,2009-40
17,2058,180,0.51,1386,2058-180
17,2114,120,0.00,193,2114-120
17,2128,20,1.36,147,2128-20
17,2135,60,1.20,167,2135-60
17,2142,60,0.00,45,2142-60
17,2198,80,0.00,213,2198-80
17,2198,400,14.29,7,2198-400
17,2212,40,0.00,57,2212-40
17,2217,40,0.27,752,2217-40
17,2226,40,3.00,100,2226-40
17,2233,80,1.13,266,2233-80
17,2289,180,4.09,1320,2289-180
17,2289,445,0.00,72,2289-445
17,2289,540,2.46,2278,2289-540
17,2289,600,1.04,1155,2289-600
17,2289,720,3.91,843,2289-720
17,2310,40,0.00,129,2310-40
17,2296,60,1.41,923,2296-60
17,2303,120,1.43,1192,2303-120
17,2394,60,1.01,199,2394-60
17,2415,400,0.00,142,2415-400
17,2420,40,0.40,1485,2420-40
17,2436,20,1.24,1372,2436-20
17,2478,40,5.88,527,2478-40
17,2527,40,0.00,81,2527-40
17,2534,40,0.00,128,2534-40
17,2541,60,0.85,234,2541-60
17,2562,40,0.27,1106,2562-40
17,2576,60,1.75,228,2576-60
17,2583,40,0.28,1066,2583-40
17,2604,20,0.53,1887,2604-20
17,2605,60,0.37,272,2605-60
17,2611,80,0.50,1801,2611-80
17,2618,60,0.00,248,2618-60
17,2625,40,0.98,204,2625-40
17,2632,40,2.50,120,2632-40
17,2639,40,0.30,328,2639-40
17,2646,40,0.00,180,2646-40
17,2660,60,0.00,137,2660-60
17,2695,60,0.82,1699,2695-60
17,2695,280,0.52,1354,2695-280
17,2695,400,25.00,168,2695-400
17,2695,450,0.00,42,2695-450
17,2695,430,0.00,64,2695-430
17,2702,80,0.77,651,2702-80
17,2737,40,0.98,102,2737-40
17,2758,40,0.94,1174,2758-40
17,2793,60,1.67,1617,2793-60
17,2793,490,0.19,523,2793-490
17,2793,280,2.80,107,2793-280
17,2793,410,0.86,2313,2793-410
17,2793,480,0.00,433,2793-480
17,2793,405,35.29,34,2793-405
17,2793,450,7.09,423,2793-450
17,2793,580,1.44,1670,2793-580
17,1376,470,0.00,147,1376-470
17,1376,450,0.00,85,1376-450
17,1376,120,0.49,1026,1376-120
17,1376,460,0.00,165,1376-460
17,2800,80,0.48,627,2800-80
17,2814,100,1.59,314,2814-100
17,5960,20,0.40,247,5960-20
17,2828,40,1.13,443,2828-40
17,2835,80,0.32,1542,2835-80
17,2842,40,0.00,238,2842-40
17,2849,440,0.00,41,2849-440
17,2849,20,1.47,1087,2849-20
17,2849,410,4.92,61,2849-410
17,2849,220,2.29,743,2849-220
17,2863,40,0.00,60,2863-40
17,2856,80,1.75,286,2856-80
17,2884,20,1.47,1429,2884-20
17,2884,9401,2.50,40,2884-9401
17,2891,40,0.00,94,2891-40
17,2898,40,0.50,404,2898-40
17,3647,20,0.28,708,3647-20
17,2912,20,0.75,268,2912-20
17,2940,20,2.06,97,2940-20
17,2961,40,3.00,100,2961-40
17,3129,410,0.00,120,3129-410
17,3129,40,2.62,381,3129-40
17,3150,80,0.00,489,3150-80
17,3171,60,1.33,376,3171-60
17,3206,60,1.37,146,3206-60
17,3213,60,0.00,202,3213-60
17,3220,140,0.31,638,3220-140
17,3269,150,2.29,1661,3269-150
17,3269,460,34.20,231,3269-460
17,3269,420,1.62,1609,3269-420
17,3269,360,1.65,1935,3269-360
17,3269,400,4.12,97,3269-400
17,3269,840,1.21,2229,3269-840
17,3276,40,1.18,339,3276-40
17,3290,140,2.53,1146,3290-140
17,3290,400,10.94,64,3290-400
17,3297,160,0.46,433,3297-160
17,3304,40,0.00,242,3304-40
17,3311,60,2.05,634,3311-60
17,3318,100,0.50,201,3318-100
17,3325,120,1.26,238,3325-120
17,3332,400,22.22,9,3332-400
17,3332,40,1.93,311,3332-40
17,3339,120,0.33,1205,3339-120
17,3360,410,0.00,41,3360-410
17,3360,60,1.67,478,3360-60
17,3367,80,0.51,390,3367-80
17,3381,450,1.67,60,3381-450
17,3381,80,0.00,671,3381-80
17,3381,430,8.66,1016,3381-430
17,3409,220,0.15,681,3409-220
17,3428,40,2.75,218,3428-40
17,3430,100,1.61,995,3430-100
17,3434,40,2.40,292,3434-40
17,3437,110,0.15,1311,3437-110
17,3444,180,0.51,977,3444-180
17,3479,60,0.08,1332,3479-60
17,3500,400,26.83,41,3500-400
17,3500,140,0.73,821,3500-140
17,3549,400,1.14,88,3549-400
17,3549,60,0.68,2048,3549-60
17,3612,100,0.55,1089,3612-100
17,3619,1063,22.39,134,3619-1063
17,3619,434,3.40,382,3619-434
17,3619,12,6.90,840,3619-12
17,3619,14,11.94,863,3619-14
17,3619,407,0.28,351,3619-407
17,3619,451,0.00,167,3619-451
17,3619,444,0.55,548,3619-444
17,3619,416,3.80,237,3619-416
17,3619,410,23.73,295,3619-410
17,3619,18,6.46,1779,3619-18
17,3619,409,8.76,765,3619-409
17,3619,8,1.13,882,3619-8
17,3619,441,3.72,215,3619-441
17,3619,38,3.98,905,3619-38
17,3619,27,24.42,217,3619-27
17,3619,419,17.96,490,3619-419
17,3619,474,21.00,100,3619-474
17,3619,458,34.28,353,3619-458
17,3619,26,10.75,977,3619-26
17,3619,435,1.07,1311,3619-435
17,3619,29,2.70,1521,3619-29
17,3619,1074,17.19,128,3619-1074
17,3619,32,11.61,1413,3619-32
17,3619,433,25.90,363,3619-433
17,3619,33,8.72,1078,3619-33
17,3619,424,11.70,769,3619-424
17,8127,400,1.16,259,8127-400
17,3633,80,1.47,204,3633-80
17,3661,40,0.00,237,3661-40
17,3668,100,0.74,269,3668-100
17,3675,60,0.10,980,3675-60
17,3675,450,0.00,45,3675-450
17,3682,120,0.70,710,3682-120
17,3689,420,6.25,32,3689-420
17,3689,40,1.38,290,3689-40
17,3696,40,0.00,103,3696-40
17,3787,100,0.95,632,3787-100
17,3794,120,0.00,745,3794-120
17,3822,60,0.06,1624,3822-60
17,3857,180,0.19,1592,3857-180
17,3871,9405,0.00,7,3871-9405
17,3871,40,1.25,319,3871-40
17,3892,180,1.25,2006,3892-180
17,3899,40,0.23,432,3899-40
17,3906,60,1.03,390,3906-60
17,3920,40,0.72,138,3920-40
17,3925,50,0.08,1180,3925-50
17,3925,140,0.09,1129,3925-140
17,3934,40,0.00,235,3934-40
17,3941,80,1.14,351,3941-80
17,3948,9405,33.33,6,3948-9405
17,3948,60,2.33,258,3948-60
17,3955,430,0.00,41,3955-430
17,3955,80,0.00,625,3955-80
17,3955,410,0.00,65,3955-410
17,3962,60,0.56,890,3962-60
17,3969,40,0.50,201,3969-40
17,2177,20,0.28,1069,2177-20
17,3976,20,13.95,43,3976-20
17,2016,120,7.01,157,2016-120
17,3983,60,0.00,422,3983-60
17,1945,60,0.00,226,1945-60
17,1526,90,0.74,406,1526-90
17,1526,410,0.00,15,1526-410
17,3654,410,0.00,144,3654-410
17,3990,20,0.00,304,3990-20
17,4018,140,0.39,2076,4018-140
17,4025,60,0.00,142,4025-60
17,4060,130,0.60,1663,4060-130
17,4074,400,5.00,20,4074-400
17,4074,410,15.00,20,4074-410
17,4074,200,0.60,499,4074-200
17,4067,100,2.54,315,4067-100
17,4088,60,1.02,391,4088-60
17,4095,40,0.22,915,4095-40
17,4137,80,0.00,318,4137-80
17,4144,60,0.27,1128,4144-60
17,4165,60,0.56,539,4165-60
17,4179,290,1.98,1264,4179-290
17,4179,300,0.53,1697,4179-300
17,4186,80,0.00,282,4186-80
17,4207,60,1.40,143,4207-60
17,4221,15,1.04,288,4221-15
17,4228,80,0.84,237,4228-80
17,4151,100,0.39,258,4151-100
17,490,40,1.04,192,490-40
17,4270,40,0.00,81,4270-40
17,4305,100,1.70,294,4305-100
17,4312,80,0.23,867,4312-80
17,4330,20,0.00,56,4330-20
17,4347,120,1.68,238,4347-120
17,4368,40,1.09,184,4368-40
17,4389,60,1.44,416,4389-60
17,4459,40,0.00,126,4459-40
17,4473,100,0.64,777,4473-100
17,4508,40,6.67,105,4508-40
17,4515,100,0.12,803,4515-100
17,4501,400,0.00,39,4501-400
17,4501,180,0.89,785,4501-180
17,4529,40,0.00,114,4529-40
17,4536,80,0.60,335,4536-80
17,4543,60,0.00,342,4543-60
17,4557,40,0.00,102,4557-40
17,4571,60,0.75,134,4571-60
17,4578,60,1.05,380,4578-60
17,4613,100,0.09,1086,4613-100
17,4620,491,4.36,1948,4620-491
17,4620,492,4.76,1784,4620-492
17,4620,494,6.25,1455,4620-494
17,4620,800,0.36,279,4620-800
17,4620,499,0.00,286,4620-499
17,4634,40,0.62,162,4634-40
17,4641,80,1.68,297,4641-80
17,4753,80,1.55,903,4753-80
17,4760,40,1.45,207,4760-40
17,4781,420,3.64,55,4781-420
17,4781,180,2.47,730,4781-180
17,4795,60,0.00,143,4795-60
17,4802,450,0.00,43,4802-450
17,4802,180,1.49,670,4802-180
17,4851,320,1.04,384,4851-320
17,4851,450,16.67,18,4851-450
17,4865,40,0.49,204,4865-40
17,4872,440,0.00,65,4872-440
17,4872,120,0.82,485,4872-120
17,4893,410,12.24,49,4893-410
17,4893,80,0.22,926,4893-80
17,4904,80,0.40,247,4904-80
17,5523,110,0.46,435,5523-110
17,3850,120,0.00,159,3850-120
17,4956,400,0.00,19,4956-400
17,4956,50,0.65,306,4956-50
17,4963,40,0.55,183,4963-40
17,1673,60,2.05,146,1673-60
17,2422,60,0.48,418,2422-60
17,5019,80,0.33,299,5019-80
17,5026,40,0.74,541,5026-40
17,5100,120,0.12,823,5100-120
17,8001,8115,2.21,226,8001-8115
17,8001,8124,0.39,255,8001-8124
17,5124,80,0.00,92,5124-80
17,5130,40,0.00,186,5130-40
17,5138,100,1.27,708,5138-100
17,5264,280,0.37,812,5264-280
17,5271,450,3.98,251,5271-450
17,5271,440,0.80,125,5271-440
17,5271,451,0.00,150,5271-451
17,5271,280,1.69,1478,5271-280
17,5271,340,3.00,1068,5271-340
17,5278,40,0.19,527,5278-40
17,5306,40,0.00,278,5306-40
17,5348,40,0.00,221,5348-40
17,5355,400,4.00,25,5355-400
17,5355,80,0.76,654,5355-80
17,5362,80,0.81,123,5362-80
17,5376,40,1.37,219,5376-40
17,5390,80,0.00,1044,5390-80
17,5432,40,0.00,467,5432-40
17,5439,120,1.72,1160,5439-120
17,4522,100,0.00,76,4522-100
17,5457,220,0.92,327,5457-220
17,2485,60,1.16,172,2485-60
17,5460,800,2.63,38,5460-800
17,5460,160,0.00,722,5460-160
17,5460,410,0.00,34,5460-410
17,5467,40,0.00,325,5467-40
17,5474,80,3.05,361,5474-80
17,5586,80,0.00,208,5586-80
17,5593,80,1.35,297,5593-80
17,5607,310,0.00,91,5607-310
17,5607,270,0.40,1506,5607-270
17,5614,40,0.00,60,5614-40
17,5621,140,0.80,1002,5621-140
17,5628,40,0.63,320,5628-40
17,5642,10,1.02,392,5642-10
17,5656,100,0.29,1697,5656-100
17,5663,280,1.56,1285,5663-280
17,5670,80,0.85,117,5670-80
17,5726,40,0.51,196,5726-40
17,5733,80,0.65,154,5733-80
17,5740,40,0.00,97,5740-40
17,5747,180,1.91,891,5747-180
17,5754,200,1.24,402,5754-200
17,126,60,0.31,324,126-60
17,4375,60,0.00,171,4375-60
17,5810,9410,25.00,8,5810-9410
17,5810,40,0.87,115,5810-40
17,5824,80,1.09,457,5824-80
17,5852,20,0.30,999,5852-20
17,238,100,0.75,268,238-100
17,5866,60,0.82,365,5866-60
17,5901,410,2.56,78,5901-410
17,5901,100,0.53,1520,5901-100
17,5985,410,0.00,38,5985-410
17,5985,9407,7.14,14,5985-9407
17,5985,220,0.00,307,5985-220
17,5992,80,0.00,177,5992-80
17,6027,40,1.05,190,6027-40
17,6069,40,0.00,21,6069-40
17,6083,20,0.37,1082,6083-20
17,6118,40,0.38,264,6118-40
17,6125,430,0.00,40,6125-430
17,6125,140,1.38,1303,6125-140
17,6174,470,6.28,573,6174-470
17,6174,290,1.22,1228,6174-290
17,6174,460,2.11,993,6174-460
17,6174,450,0.00,144,6174-450
17,6174,490,13.95,129,6174-490
17,6174,430,0.00,181,6174-430
17,6174,415,0.00,38,6174-415
17,6174,560,0.51,1166,6174-560
17,6181,40,0.72,1243,6181-40
17,6195,140,1.19,670,6195-140
17,6216,200,1.26,556,6216-200
17,6223,360,1.30,1003,6223-360
17,6223,400,4.00,75,6223-400
17,6223,800,0.00,32,6223-800
17,6223,410,1.56,64,6223-410
17,6223,380,1.21,1319,6223-380
17,6230,100,0.00,160,6230-100
17,6237,140,3.57,420,6237-140
17,6244,20,0.09,1089,6244-20
17,6244,430,5.30,132,6244-430
17,6244,280,0.84,1073,6244-280
17,6251,40,1.90,105,6251-40
17,6293,80,2.96,203,6293-80
17,6300,20,1.72,1277,6300-20
17,6300,340,0.48,1468,6300-340
17,6300,410,0.00,17,6300-410
17,6300,490,6.84,263,6300-490
17,6307,50,0.36,1096,6307-50
17,6307,430,0.00,44,6307-430
17,6307,200,0.34,1177,6307-200
17,6328,400,0.00,29,6328-400
17,6328,120,0.00,892,6328-120
17,6370,80,0.56,539,6370-80
17,6321,200,0.28,354,6321-200
17,6335,100,1.55,323,6335-100
17,6354,100,0.00,84,6354-100
17,6384,100,0.38,261,6384-100
17,6440,40,0.00,73,6440-40
17,6419,100,2.26,931,6419-100
17,6426,120,0.31,319,6426-120
17,6461,140,0.69,577,6461-140
17,6470,100,0.24,821,6470-100
17,6475,60,0.78,258,6475-60
17,6482,40,0.00,179,6482-40
17,6545,20,1.21,1072,6545-20
17,6608,60,0.41,490,6608-60
17,6615,80,1.39,72,6615-80
17,6678,100,2.59,424,6678-100
17,469,60,0.00,237,469-60
17,6685,160,0.36,1097,6685-160
17,6685,430,7.09,127,6685-430
17,6692,140,0.30,328,6692-140
17,6713,80,1.92,104,6713-80
17,6734,40,0.00,500,6734-40
