year,districtcode,schoolcode,droprate,totalenroll,mergecode
19,2695,430,0.00,71,2695-430
19,2702,80,2.54,629,2702-80
19,2737,40,0.00,99,2737-40
19,2758,40,0.69,1162,2758-40
19,2793,60,1.47,1494,2793-60
19,2793,490,0.00,532,2793-490
19,2793,280,6.38,94,2793-280
19,2793,410,0.68,2221,2793-410
19,2793,480,0.00,389,2793-480
19,2793,405,45.83,24,2793-405
19,2793,450,5.23,440,2793-450
19,2793,580,0.78,1661,2793-580
19,1376,470,0.00,169,1376-470
19,1376,450,0.00,87,1376-450
19,1376,120,0.20,982,1376-120
19,1376,460,0.00,138,1376-460
19,2800,80,1.00,603,2800-80
19,2814,100,0.88,341,2814-100
19,5960,20,0.00,253,5960-20
19,2828,40,0.00,417,2828-40
19,2835,80,0.26,1564,2835-80
19,2842,40,0.00,216,2842-40
19,2849,440,0.00,32,2849-440
19,2849,20,1.32,1064,2849-20
19,2849,410,5.00,60,2849-410
19,2849,220,1.20,753,2849-220
19,2863,40,0.00,66,2863-40
19,2856,80,2.63,266,2856-80
19,2884,20,1.59,1382,2884-20
19,2884,9401,18.64,59,2884-9401
19,2891,40,0.00,104,2891-40
19,2898,40,0.22,451,2898-40
19,3647,20,0.85,707,3647-20
19,3647,400,0.00,15,3647-400
19,2912,20,2.21,272,2912-20
19,2940,20,0.98,102,2940-20
19,2961,40,1.83,109,2961-40
19,3129,410,0.00,166,3129-410
19,3129,40,1.52,330,3129-40
19,3150,80,0.21,471,3150-80
19,3171,60,0.56,356,3171-60
19,3206,60,0.65,153,3206-60
19,3213,60,1.46,205,3213-60
19,3220,140,1.29,620,3220-140
19,3269,410,5.00,120,3269-410
19,3269,150,2.53,1697,3269-150
19,3269,460,24.87,189,3269-460
19,3269,420,1.89,1640,3269-420
19,3269,360,1.20,1995,3269-360
19,3269,400,2.97,101,3269-400
19,3269,840,0.48,2281,3269-840
19,3276,40,1.47,341,3276-40
19,3290,140,2.96,1080,3290-140
19,3290,400,6.12,49,3290-400
19,3297,160,0.93,428,3297-160
19,3304,40,0.00,246,3304-40
19,3311,60,2.70,630,3311-60
19,3318,100,0.00,174,3318-100
19,3325,120,0.00,253,3325-120
19,3332,40,0.95,315,3332-40
19,3339,120,1.29,1241,3339-120
19,3360,410,1.23,81,3360-410
19,3360,60,1.34,448,3360-60
19,3367,80,0.80,374,3367-80
19,3381,450,6.85,146,3381-450
19,3381,470,12.06,257,3381-470
19,3381,80,0.14,724,3381-80
19,3381,430,5.00,1000,3381-430
19,3409,220,0.93,644,3409-220
19,3428,40,0.00,336,3428-40
19,3430,100,1.31,917,3430-100
19,3434,40,6.27,335,3434-40
19,3437,110,0.23,1318,3437-110
19,3444,180,0.71,985,3444-180
19,3479,60,0.08,1332,3479-60
19,3500,400,22.22,27,3500-400
19,3500,140,0.59,845,3500-140
19,3549,400,0.99,101,3549-400
19,3549,60,0.51,2154,3549-60
19,3612,100,0.27,1114,3612-100
19,3619,413,13.81,210,3619-413
19,3619,1063,22.92,96,3619-1063
19,3619,434,1.33,377,3619-434
19,3619,432,4.76,126,3619-432
19,3619,12,4.52,951,3619-12
19,3619,14,5.83,1063,3619-14
19,3619,407,0.26,381,3619-407
19,3619,451,0.19,529,3619-451
19,3619,444,0.54,554,3619-444
19,3619,410,23.05,282,3619-410
19,3619,236,23.19,207,3619-236
19,3619,18,5.70,1614,3619-18
19,3619,409,9.20,859,3619-409
19,3619,20,0.46,1514,3619-20
19,3619,8,6.18,954,3619-8
19,3619,441,9.09,242,3619-441
19,3619,38,2.60,885,3619-38
19,3619,419,12.29,480,3619-419
19,3619,474,26.56,64,3619-474
19,3619,1072,17.39,115,3619-1072
19,3619,458,26.15,348,3619-458
19,3619,26,8.12,973,3619-26
19,3619,435,0.38,1329,3619-435
19,3619,29,1.21,1489,3619-29
19,3619,1074,22.86,105,3619-1074
19,3619,442,24.04,104,3619-442
19,3619,32,8.58,979,3619-32
19,3619,433,24.33,300,3619-433
19,3619,448,14.78,115,3619-448
19,3619,33,10.68,833,3619-33
19,3619,424,10.46,755,3619-424
